initial_state_id,R,exact_group_count,eta,T1_kg,T2_kg,T3_kg,T4_kg,TerminalLOH_total_kg,first_stage_cost,nominal_expected_recourse,worst_expected_recourse,complete_objective,nominal_complete_objective,worst_probability_ESS,divergence_used,strong_duality_gap,strong_duality_relative_gap,probability_sum_residual,minimum_probability,max_demand_balance_error,max_site_capacity_violation,qcp_residual,maximum_risk_linear_violation,maximum_mechanical_residual,optimization_build_runtime_sec,optimization_solve_runtime_sec,fixed_T_build_runtime_sec,fixed_T_solve_runtime_sec,case_runtime_sec,variable_count,linear_constraint_count,quadratic_constraint_count,service_variable_count,shortage_variable_count,solver_status,audit_status,audit_pass
19,100,47,0,290.756348362109,89.1907372555438,75.8257643946213,137.468292283774,593.241142296048,1186.4822845921,10181.8894076119,10181.8894076119,11368.371692204,11368.371692204,100,0,1.81898940354586e-12,1.78649495268138e-16,2.22044604925031e-16,0.01,1.95399252334028e-14,1.70530256582424e-13,0,NaN,9.09494701772928e-12,0.0019738,0.0323495,0.0019293,0.0270341,0.0671105,7418,1862,0,5740,1674,OPTIMAL,PASS,1
19,100,47,0.001,290.756348564513,88.645281392203,76.371220172278,137.468292162571,593.241142291565,1186.48228458313,10181.892618062,11811.5310718817,12998.0133564648,11368.3749026451,99.9000999000998,0.001,5.3982457757229e-06,4.57031839722613e-10,0,0.00993752054270567,0,4.4828425416199e-09,1.38509228515625e-07,7.06664519384503e-09,1.38509228515625e-07,0.0061916,0.0766655,0.0022477,0.0296437,0.1180362,7561,1956,47,5740,1674,OPTIMAL,PASS,1
19,100,47,0.01,292.938187628941,86.4633021916312,76.3718555594241,137.467796886667,593.241142266664,1186.48228453333,10181.940431262,15335.2610317515,16521.7433162848,11368.4227157953,99.0099009900991,0.01,7.09554624336306e-05,4.62694846124353e-09,0,0.00980241981392939,0,1.4210854715202e-14,1.25813781738281e-08,4.0602870285511e-10,1.25813781738281e-08,0.0037751,0.0540622,0.0014215,0.018216,0.0798914,7561,1956,47,5740,1674,OPTIMAL,PASS,1
19,100,47,0.05,294.02948974703,85.3720540309683,79.6443590288097,134.195239315678,593.241142122486,1186.48228424497,10182.0525011255,21705.0506535745,22891.5329378195,11368.5347853704,95.2380952380952,0.05,0.000467488091089763,2.15382170053943e-08,1.11022302462516e-16,0.00955818562294217,0,1.4210854715202e-14,4.74648498535156e-08,7.18396040610969e-11,4.74648498535156e-08,0.0030604,0.0558296,0.0014479,0.0217761,0.0843828,7561,1956,47,5740,1674,OPTIMAL,PASS,1
19,500,256,0,300,102.282955568284,59.4604915036958,150,611.74344707198,1223.48689414396,10745.9685902251,10745.9685902251,11969.4554843691,11969.4554843691,500.000000000001,1.88079096131566e-31,5.45696821063757e-12,5.07815388144854e-16,6.66133814775094e-16,0.002,3.5527136788005e-15,5.6843418860808e-14,0,NaN,6.54836185276508e-11,0.0078026,0.1579468,0.0102043,0.1783479,0.3680497,43015,10761,0,33274,9737,OPTIMAL,PASS,1
19,500,256,0.001,299.999999999846,102.282955566613,59.4604915126117,149.999999999965,611.743447079036,1223.48689415807,10745.9685902241,12166.7946561462,13390.2815503043,11969.4554843822,499.500499500499,0.000999999999999776,1.27268504002132e-05,1.04603149472766e-09,1.33226762955019e-15,0.00198487363253257,1.77635683940025e-15,1.67061386946443e-09,6.64117919921875e-08,1.62144051864743e-08,6.64117919921875e-08,0.0389863,0.6246492,0.0072803,0.1460547,0.8340125,43785,11273,256,33274,9737,OPTIMAL,PASS,1
19,500,256,0.01,299.99999999637,102.282956016139,59.4604919528505,149.999999997699,611.743447963059,1223.48689592612,10745.9685900296,15239.0151172718,16462.5020131979,11969.4554859557,495.049504950495,0.00999999999999978,0.000574524792682496,3.77009136260606e-08,1.33226762955019e-15,0.00195216622607901,1.77635683940025e-15,5.6843418860808e-14,2.56411437988281e-09,1.66286481544375e-09,2.56411437988281e-09,0.0376961,0.4675997,0.0089889,0.1572372,0.697135,43785,11273,256,33274,9737,OPTIMAL,PASS,1
19,500,256,0.05,299.999999993485,102.282956787672,59.4604921898731,149.999999994045,611.743448965075,1223.48689793015,10745.9685898228,20792.7260507941,22016.2129487242,11969.455487753,476.190476190476,0.0499999999999998,0.000988914562185528,4.7560601710893e-08,0,0.00189304042989424,1.77635683940025e-15,5.6843418860808e-14,7.25633239746094e-09,1.64883036632091e-09,7.25633239746094e-09,0.0361581,0.5017772,0.0071084,0.1506653,0.7180356,43785,11273,256,33274,9737,OPTIMAL,PASS,1
19,2000,1028,0,272.769549682241,139.377574121048,90.00900090009,150,652.156124703379,1304.31224940676,10014.0087137009,10014.008713701,11318.3209631078,11318.3209631077,1999.99999999996,5.75992231902921e-29,5.45696821063757e-12,5.44933439409877e-16,1.77635683940025e-15,0.000500000000000004,0,1.70530256582424e-13,0,NaN,2.11002770811319e-10,0.0312323,0.8293489,0.0335485,0.5014596,1.413271,185535,45528,0,144115,41416,OPTIMAL,PASS,1
19,2000,1028,0.01,278.497395027103,133.649728678163,100,150,662.147123705266,1324.29424741053,9994.14290942309,14006.22405054,15330.5182979506,11318.4371568336,1980.19801980195,0.0100000000000126,4.61295712739229e-09,3.29350516652233e-13,3.5527136788005e-15,0.000487544939199991,1.77635683940025e-15,5.6843418860808e-14,0,0,5.6843418860808e-14,0.184372,13.6427492,0.0279904,0.4196189,14.1038122,5,24,0,NaN,NaN,OPTIMAL,PASS,1
19,5000,2473,0,300,137.483293783924,93.8425660747893,150,681.325859858713,1362.65171971743,9399.02113323749,9399.02113323755,10761.672852955,10761.6728529549,5000,4.57588579769629e-29,1.81898940354586e-12,1.93529664181029e-16,2.1538326677728e-14,0.000200000000000001,1.77635683940025e-15,5.6843418860808e-14,0,NaN,2.85581336356699e-10,0.064935,1.6555941,0.0795736,1.1933978,3.0275645,461840,112901,0,358827,103009,OPTIMAL,PASS,1
19,5000,2473,0.01,300,138.331544714926,100,150,688.331544714926,1376.66308942985,9387.68120241471,12997.4549109527,14374.1180003826,10764.3442918446,4950.49504950491,0.00999999999999698,2.72848410531878e-10,2.09924490910874e-14,8.43769498715119e-15,0.000194798742547098,1.77635683940025e-15,5.6843418860808e-14,0,0,5.6843418860808e-14,0.0121135,12.4016194,0.0704744,1.1677039,13.6560465,5,10,0,NaN,NaN,OPTIMAL,PASS,1
19,15000,7334,0,294.589913536808,138.832065024684,93.0093009300931,150,676.431279491585,1352.86255898317,10092.0150377861,10092.0150377861,11444.8775967693,11444.8775967693,14999.9999999988,9.30439961861327e-30,7.27595761418343e-12,7.2096182842981e-16,3.17523785042795e-14,6.66666666666669e-05,1.77635683940025e-15,2.27373675443232e-13,0,NaN,1.61890056915581e-10,0.2019531,6.3285398,0.1914138,4.1723695,10.9842459,1397150,342318,0,1084164,312982,OPTIMAL,PASS,1
19,15000,7334,0.01,300,143.468740452331,100,150,693.468740452331,1386.93748090466,10065.2282288421,13916.4637289198,15303.4012098245,11452.1657097468,14851.4851485145,0.00999999999999865,1.56433088704944e-10,1.12408649030472e-14,2.30926389122033e-14,6.49243291356523e-05,3.5527136788005e-15,5.6843418860808e-14,0,0,5.6843418860808e-14,0.0138768,46.6261406,0.2075807,4.1232024,51.0032209,5,11,0,NaN,NaN,OPTIMAL,PASS,1
