initial_state_id,R,eta,shift_type,scenario_id,operating_loss,nominal_probability,worst_probability,probability_shift,worst_probability_ESS,divergence_used
19,100,0.05,MAX_INCREASE,64,484302.978044169,0.01,0.0305728109677028,0.0205728109677028,95.2380952380952,0.05
19,100,0.05,MAX_DECREASE,25,0,0.01,0.00955818562294217,-0.000441814377057826,95.2380952380952,0.05
19,500,0,MAX_INCREASE,1,69071.6751406991,0.002,0.002,-8.67361737988404e-19,500.000000000001,1.88079096131566e-31
19,500,0,MAX_DECREASE,1,69071.6751406991,0.002,0.002,-8.67361737988404e-19,500.000000000001,1.88079096131566e-31
19,500,0.001,MAX_INCREASE,177,505385.976281722,0.002,0.00269627102085908,0.000696271020859076,499.500499500499,0.000999999999999776
19,500,0.001,MAX_DECREASE,6,0,0.002,0.00198487363253257,-1.51263674674318e-05,499.500499500499,0.000999999999999776
19,500,0.01,MAX_INCREASE,177,505385.976281722,0.002,0.00420180229469063,0.00220180229469063,495.049504950495,0.00999999999999978
19,500,0.01,MAX_DECREASE,6,0,0.002,0.00195216622607901,-4.78337739209884e-05,495.049504950495,0.00999999999999978
19,500,0.05,MAX_INCREASE,177,505385.976281722,0.002,0.00692337960395112,0.00492337960395112,476.190476190476,0.0499999999999998
19,500,0.05,MAX_DECREASE,6,0,0.002,0.00189304042989424,-0.000106959570105756,476.190476190476,0.0499999999999998
19,2000,0,MAX_INCREASE,1,69071.6751406991,0.0005,0.000500000000000004,3.79470760369927e-18,1999.99999999996,5.75992231902921e-29
19,2000,0,MAX_DECREASE,1,69071.6751406991,0.0005,0.000500000000000004,3.79470760369927e-18,1999.99999999996,5.75992231902921e-29
19,2000,0.01,MAX_INCREASE,177,505385.976281722,0.0005,0.00111737514266101,0.000617375142661009,1980.19801980195,0.0100000000000126
19,2000,0.01,MAX_DECREASE,288,0,0.0005,0.000487544939199991,-1.24550608000086e-05,1980.19801980195,0.0100000000000126
19,5000,0,MAX_INCREASE,1,69071.6751406991,0.0002,0.000200000000000001,1.35525271560688e-18,5000,4.57588579769629e-29
19,5000,0,MAX_DECREASE,31,1816.33627646274,0.0002,0.000200000000000001,1.30104260698261e-18,5000,4.57588579769629e-29
19,5000,0.01,MAX_INCREASE,4905,605348.344020294,0.0002,0.000530192810373741,0.000330192810373741,4950.49504950491,0.00999999999999698
19,5000,0.01,MAX_DECREASE,6,0,0.0002,0.000194798742547098,-5.20125745290227e-06,4950.49504950491,0.00999999999999698
19,15000,0,MAX_INCREASE,72,260.270782322988,6.66666666666667e-05,6.66666666666669e-05,2.16840434497101e-19,14999.9999999988,9.30439961861327e-30
19,15000,0,MAX_DECREASE,38,142.461798627415,6.66666666666667e-05,6.66666666666669e-05,1.89735380184963e-19,14999.9999999988,9.30439961861327e-30
19,15000,0.01,MAX_INCREASE,4905,605348.344020294,6.66666666666667e-05,0.000169712925593072,0.000103046258926405,14851.4851485145,0.00999999999999865
19,15000,0.01,MAX_DECREASE,6,0,6.66666666666667e-05,6.49243291356523e-05,-1.74233753101433e-06,14851.4851485145,0.00999999999999865
