state_id,a,loc,lf,P_a1,P_lf8,P_stage7,probability_sum,proxy_definition,expected_terminal_target_proxy_site1_kg,conditional_target_given_stage7_site1_kg,expected_terminal_target_proxy_site2_kg,conditional_target_given_stage7_site2_kg,expected_terminal_target_proxy_site3_kg,conditional_target_given_stage7_site3_kg,expected_terminal_target_proxy_site4_kg,conditional_target_given_stage7_site4_kg,expected_terminal_target_proxy_total_kg,conditional_target_given_stage7_total_kg
25,1,4,1,1,0,0,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,0,,0,,0,,0,,0,
26,1,4,2,1,0,0,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,0,,0,,0,,0,,0,
27,1,4,3,1,0,0,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,0,,0,,0,,0,,0,
28,1,4,4,1,0,0,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,0,,0,,0,,0,,0,
29,1,4,5,1,0,0,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,0,,0,,0,,0,,0,
30,1,4,6,1,0,0,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,0,,0,,0,,0,,0,
31,1,4,7,1,0,0,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,0,,0,,0,,0,,0,
32,1,4,8,1,0,0,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,0,,0,,0,,0,,0,
33,1,5,1,1,0,0,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,0,,0,,0,,0,,0,
34,1,5,2,1,0,0,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,0,,0,,0,,0,,0,
35,1,5,3,1,0,0,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,0,,0,,0,,0,,0,
36,1,5,4,1,0,0,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,0,,0,,0,,0,,0,
37,1,5,5,1,0,0,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,0,,0,,0,,0,,0,
38,1,5,6,1,0,0,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,0,,0,,0,,0,,0,
39,1,5,7,1,0,0,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,0,,0,,0,,0,,0,
40,1,5,8,1,0,0,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,0,,0,,0,,0,,0,
41,1,6,1,1,0,0,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,0,,0,,0,,0,,0,
42,1,6,2,1,0,0,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,0,,0,,0,,0,,0,
43,1,6,3,1,0,0,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,0,,0,,0,,0,,0,
44,1,6,4,1,0,0,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,0,,0,,0,,0,,0,
45,1,6,5,1,0,0,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,0,,0,,0,,0,,0,
46,1,6,6,1,0,0,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,0,,0,,0,,0,,0,
47,1,6,7,1,0,0,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,0,,0,,0,,0,,0,
48,1,6,8,1,0,0,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,0,,0,,0,,0,,0,
49,1,7,1,1,0,0,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,0,,0,,0,,0,,0,
50,1,7,2,1,0,0,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,0,,0,,0,,0,,0,
51,1,7,3,1,0,0,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,0,,0,,0,,0,,0,
52,1,7,4,1,0,0,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,0,,0,,0,,0,,0,
53,1,7,5,1,0,0,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,0,,0,,0,,0,,0,
54,1,7,6,1,0,0,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,0,,0,,0,,0,,0,
55,1,7,7,1,0,0,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,0,,0,,0,,0,,0,
56,1,7,8,1,0,0,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,0,,0,,0,,0,,0,
57,2,1,1,0.355390294361,0.0442321400689,0.60037756557,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,12.0175263359,20.0166145857,4.92730098565,8.20700383927,2.79756761601,4.6596804685,7.20061050236,11.9934703015,26.94300544,44.876769195
58,2,1,2,0.315074755919,0.048163331848,0.636761912233,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,10.3135276257,16.1968349984,4.20531699797,6.60422195043,2.44685659117,3.84265538525,6.25080307491,9.81654674191,23.2165042898,36.460259076
59,2,1,3,0.27064261752,0.049950516,0.67940686648,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,8.61588605744,12.6814821612,3.46438270664,5.0991281919,2.09200287161,3.07916062499,5.31289106303,7.81989603748,19.4851626987,28.6796670155
60,2,1,4,0.21980684,0.047922,0.73227116,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,6.9101030813,9.43653588829,2.70556029658,3.69475195033,1.73502656347,2.36937716278,4.34635120778,5.93543955463,15.6970411491,21.436104556
61,2,1,5,0.16478,0.089,0.74622,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,5.14207289209,6.89082695731,1.93023779398,2.58668729595,1.35175675434,1.8114721588,3.29249233476,4.4122274058,11.7165597752,15.7012138179
62,2,1,6,0.11,0,0.89,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,4.09954674291,4.60623229541,1.51904357652,1.70679053542,1.22007911644,1.37087541173,2.47210419783,2.7776451661,9.3107736337,10.4615434086
63,2,1,7,0,0,1,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,0,0,0,0,0,0,0,0,0,0
64,2,1,8,0,1,0,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,0,,0,,0,,0,,0,
65,2,2,1,0.355390294361,0.0442321400689,0.60037756557,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,11.9507140382,19.9053307845,4.8992443588,8.16027220163,2.78128888023,4.63256630449,7.15509623114,11.9176608879,26.7863435084,44.6158301785
66,2,2,2,0.315074755919,0.048163331848,0.636761912233,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,10.2273868746,16.0615556272,4.16854608066,6.54647522185,2.42528575279,3.80877955511,6.19566545514,9.72995610464,23.0168841632,36.1467665088
67,2,2,3,0.27064261752,0.049950516,0.67940686648,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,8.52160927178,12.5427187922,3.42585482787,5.0424200827,2.0715490367,3.04905519639,5.2398507003,7.71238996663,19.2588638366,28.346584038
68,2,2,4,0.21980684,0.047922,0.73227116,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,6.79588081474,9.28055232265,2.66812817477,3.64363410785,1.70910181476,2.33397395407,4.25428006083,5.80970587567,15.4273908651,21.0678662602
69,2,2,5,0.16478,0.089,0.74622,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,4.99716134484,6.69663282254,1.89832022962,2.54391497095,1.31193566991,1.75810842635,3.19027014707,4.27524074277,11.3976873914,15.2738969626
70,2,2,6,0.11,0,0.89,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,3.72895789194,4.18984032802,1.41225587555,1.58680435455,1.06259642812,1.19392857092,2.42495756641,2.72467142293,8.62876776202,9.69524467643
71,2,2,7,0,0,1,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,0,0,0,0,0,0,0,0,0,0
72,2,2,8,0,1,0,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,0,,0,,0,,0,,0,
73,2,3,1,0.355390294361,0.0442321400689,0.60037756557,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,11.7647583684,19.5955995744,4.81973850456,8.02784577732,2.73623059011,4.5575163814,7.02636402239,11.7032421352,26.3470914854,43.8842038683
74,2,3,2,0.315074755919,0.048163331848,0.636761912233,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,9.98815452767,15.6858542193,4.06770974873,6.38811723909,2.36627405457,3.71610488804,6.03594240137,9.47911972342,22.4580807323,35.2691960698
75,2,3,3,0.27064261752,0.049950516,0.67940686648,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,8.24194394271,12.1310872017,3.32479956972,4.89367966936,2.00648063489,2.95328283225,5.04106715538,7.41980601623,18.6142913027,27.3978557195
76,2,3,4,0.21980684,0.047922,0.73227116,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,6.47070689001,8.83649014665,2.56884282571,3.50804861099,1.63217461231,2.22892106294,4.01918329867,5.48865436497,14.6909076267,20.0621141855
77,2,3,5,0.16478,0.089,0.74622,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,4.63888799844,6.2165152347,1.80066931486,2.41305421305,1.21905352374,1.63363823503,2.94263428202,3.94338704674,10.6012451191,14.2065947295
78,2,3,6,0.11,0,0.89,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,3.0969848158,3.47975822,1.08012962388,1.21362879088,0.821854656921,0.923432198787,2.21088938196,2.48414537299,7.20985847857,8.10096458266
79,2,3,7,0,0,1,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,0,0,0,0,0,0,0,0,0,0
80,2,3,8,0,1,0,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,0,,0,,0,,0,,0,
81,2,4,1,0.355390294361,0.0442321400689,0.60037756557,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,11.4894135582,19.1369801557,4.70202945529,7.83178740335,2.67002052709,4.44723567336,6.83290006339,11.3810049796,25.694363604,42.797008212
82,2,4,2,0.315074755919,0.048163331848,0.636761912233,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,9.63550302473,15.1320341867,3.92558297018,6.16491485241,2.2812815077,3.58262870922,5.79123563293,9.09482103384,21.6336031355,33.9743987822
83,2,4,3,0.27064261752,0.049950516,0.67940686648,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,7.80125424129,11.4824483328,3.16776008794,4.66253764015,1.89808575018,2.79373942748,4.75074637543,6.99249096501,17.6178464548,25.9312163654
84,2,4,4,0.21980684,0.047922,0.73227116,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,5.94221117013,8.11476881068,2.38862671954,3.26194291134,1.49982473997,2.04818217881,3.68363613953,5.03042635126,13.5142987692,18.4553202521
85,2,4,5,0.16478,0.089,0.74622,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,4.0718848631,5.45668149219,1.59362567105,2.13559764018,1.07547910667,1.44123597153,2.58633452245,3.4659142377,9.32732416328,12.4994293416
86,2,4,6,0.11,0,0.89,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,2.44291292523,2.7448459834,0.695844108908,0.78184731338,0.670291948209,0.753137020459,1.68498672003,1.89324350565,5.49403570238,6.17307382289
87,2,4,7,0,0,1,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,0,0,0,0,0,0,0,0,0,0
88,2,4,8,0,1,0,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,0,,0,,0,,0,,0,
89,2,5,1,0.355390294361,0.0442321400689,0.60037756557,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,11.1801867541,18.6219262597,4.57218830132,7.61552157096,2.59590700166,4.32379081185,6.61549587849,11.0188925401,24.9637779355,41.5801311826
90,2,5,2,0.315074755919,0.048163331848,0.636761912233,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,9.23794697309,14.5076939993,3.77081629978,5.92186220208,2.18629138714,3.43345188387,5.51506281285,8.66110661912,20.7101174729,32.5241147044
91,2,5,3,0.27064261752,0.049950516,0.67940686648,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,7.28421563888,10.7214336479,2.96118204188,4.35848118112,1.76903793671,2.60379755341,4.41244622341,6.49455641547,16.4268818409,24.1782687979
92,2,5,4,0.21980684,0.047922,0.73227116,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,5.344570785,7.29862252803,2.15668019285,2.94519340739,1.34636397296,1.83861395409,3.30090214639,4.50775932019,12.1485170972,16.5901892097
93,2,5,5,0.16478,0.089,0.74622,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,3.5046289871,4.6965090551,1.39569970541,1.8703595527,0.928304794574,1.24400953415,2.21324211842,2.96593781783,8.04187560551,10.7768159598
94,2,5,6,0.11,0,0.89,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,2.19958691267,2.47144596929,0.886396808726,0.995951470479,0.655987744471,0.737064881428,1.31467543305,1.47716340792,5.05664689891,5.68162572912
95,2,5,7,0,0,1,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,0,0,0,0,0,0,0,0,0,0
96,2,5,8,0,1,0,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,0,,0,,0,,0,,0,
97,2,6,1,0.355390294361,0.0442321400689,0.60037756557,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,10.8947091973,18.1464295505,4.45220692142,7.41567836099,2.52721065261,4.20936889973,6.4161315074,10.6868275488,24.2902582787,40.45830436
98,2,6,2,0.315074755919,0.048163331848,0.636761912233,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,8.87060234413,13.9307992104,3.62507381797,5.69298154982,2.0973945066,3.29384416107,5.26418838722,8.26712195891,19.8572590559,31.1847468801
99,2,6,3,0.27064261752,0.049950516,0.67940686648,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,6.82138769223,10.0402101138,2.77878081507,4.09000990742,1.65571872001,2.43700616184,4.09795117071,6.03165992706,15.353838398,22.5988861101
100,2,6,4,0.21980684,0.047922,0.73227116,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,4.80179814483,6.55740442493,1.9519659696,2.66563272764,1.21284981085,1.65628509916,2.93941079328,4.01410154304,10.9060247186,14.8934237948
101,2,6,5,0.16478,0.089,0.74622,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,2.95188325391,3.95578147719,1.20636008804,1.61662792212,0.793042233122,1.06274588342,1.85861693925,2.49070909283,6.80990251432,9.12586437555
102,2,6,6,0.11,0,0.89,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,1.67209503332,1.8787584644,0.841103156331,0.945059726215,0.535198323216,0.601346430579,1.06382859725,1.19531303062,4.11222511012,4.62047765182
103,2,6,7,0,0,1,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,0,0,0,0,0,0,0,0,0,0
104,2,6,8,0,1,0,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,0,,0,,0,,0,,0,
105,2,7,1,0.355390294361,0.0442321400689,0.60037756557,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,10.6427703733,17.726795576,4.34435445933,7.2360373013,2.4663697281,4.1080311283,6.24046854009,10.3942400549,23.6939631008,39.4651040605
106,2,7,2,0.315074755919,0.048163331848,0.636761912233,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,8.54723697867,13.4229714662,3.49114184467,5.48264865972,2.01841252434,3.16980724751,5.04437567221,7.92191802823,19.1011670199,29.9973454017
107,2,7,3,0.27064261752,0.049950516,0.67940686648,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,6.43175597596,9.46672206786,2.6392127784,3.88458361051,1.56240096044,2.29965435665,3.83162225865,5.63965783641,14.4649919735,21.2906178714
108,2,7,4,0.21980684,0.047922,0.73227116,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,4.33715946233,5.92288717519,1.80685334494,2.46746484586,1.10077434914,1.50323324101,2.62444527828,3.5839801178,9.86923243469,13.4775653799
109,2,7,5,0.16478,0.089,0.74622,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,2.43664090296,3.26531170829,1.05550448092,1.41446822775,0.66466657986,0.890711291388,1.51741053224,2.03346269497,5.67422249598,7.6039539224
110,2,7,6,0.11,0,0.89,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,0.882312643312,0.991362520575,0.449278795204,0.504807635061,0.295739664314,0.332291757656,0.636410397678,0.71506786256,2.26374150051,2.54352977585
111,2,7,7,0,0,1,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,0,0,0,0,0,0,0,0,0,0
112,2,7,8,0,1,0,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,0,,0,,0,,0,,0,
113,3,1,1,0.0726317702855,0.0621952699087,0.865172959806,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,82.4401064904,95.2874284338,34.4887794687,39.8634505134,18.1238652569,20.9482567057,48.2066092212,55.7190428513,183.259360437,211.818178504
114,3,1,2,0.0557159559528,0.06456744124,0.879716602807,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,80.1632101302,91.1239027141,33.7017223445,38.3097491135,17.7199138344,20.1427525385,47.2847675508,53.7500001705,178.86961386,203.326404537
115,3,1,3,0.0390692676,0.06406158,0.8968691524,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,78.0706001195,87.0479265683,32.7701442676,36.5383781791,17.3722872684,19.3699239425,46.715316102,52.0871032045,174.928347757,195.043331894
116,3,1,4,0.0233442,0.05901,0.9176458,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,76.9642844255,83.8714506463,32.0689619442,34.9469936485,17.4308266843,18.9951577007,46.6097665861,50.7927640339,173.07383964,188.606366029
117,3,1,5,0.0099,0.1,0.8901,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,73.180645254,82.2162063296,30.185209397,33.91215526,17.0321514366,19.135098794,44.4808182515,49.9728325486,164.878824339,185.236292932
118,3,1,6,0,0,1,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,83.412038587,83.412038587,35.2737188203,35.2737188203,20.8076959053,20.8076959053,48.5538643128,48.5538643128,188.047317625,188.047317625
119,3,1,7,0,0,1,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,63.824487644,63.824487644,13.0921787815,13.0921787815,11.4556774055,11.4556774055,54.550939968,54.550939968,142.923283799,142.923283799
120,3,1,8,0,1,0,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,0,,0,,0,,0,,0,
121,3,2,1,0.0726317702855,0.0621952699087,0.865172959806,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,82.0661729857,94.8552217861,34.281961085,39.6244019146,18.0337953337,20.8441504434,47.9241844661,55.3926055165,182.30611387,210.716379661
122,3,2,2,0.0557159559528,0.06456744124,0.879716602807,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,79.6333201337,90.5215610113,33.4014008782,37.9683647798,17.5901524725,19.995248943,46.8929233099,53.3045791795,177.517796794,201.789753914
123,3,2,3,0.0390692676,0.06406158,0.8968691524,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,77.3414177928,86.2348956766,32.4250409762,36.1535915126,17.2156068248,19.1952268385,46.0583965424,51.3546445645,173.040462136,192.938358592
124,3,2,4,0.0233442,0.05901,0.9176458,1,UNCONDITIONAL_E_T_WITH_ZERO_TARGET_FOR_NON_STAGE7_ABSORPTION,75.6395928269,82.427874488,31.5879774875,34.422843201,17.1124359028,18.6481929114,45.6573298357,49.7548507667,169.997336053,185.253761367
