record_type,path_id,path_group,stage,state_id,global_hour,origin_site,destination_site,flow_kg,ex_post_origin_target_kg,ex_post_destination_target_kg,proxy_origin_target_kg,proxy_destination_target_kg,ex_post_aligned_kg,information_proxy_aligned_kg,ex_post_non_aligned_kg,conservative_expost_nonaligned_but_information_aligned_kg,strict_flow_row_reversal,alignment_scope,group,path_count_with_HTT,flow_row_count,total_HTT_kg,ex_post_aligned_HTT_kg,ex_post_alignment_fraction,information_proxy_aligned_HTT_kg,information_proxy_alignment_fraction,strict_reversal_path_count,strict_reversal_flow_row_count,proxy_limit
FLOW,488,mixed,3,165,17,2,1,0.731854756653,132.558988567,168.56298044,16.1049722799,39.2030168173,0,0,0.731854756653,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,488,mixed,3,165,24,3,1,28.9697577081,40.9131822127,168.56298044,8.92533264066,39.2030168173,0,0,28.9697577081,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,488,mixed,4,166,25,2,3,12.7478827518,132.558988567,40.9131822127,11.8907958849,6.71895337245,0,1.63686788254,12.7478827518,1.63686788254,True,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,488,mixed,4,166,26,2,1,10.68470452,132.558988567,168.56298044,11.8907958849,27.9766941233,0,0,10.68470452,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,494,other,5,70,40,2,3,2.63317935985,0,0,1.41225587555,1.06259642812,0,0,2.63317935985,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,497,other,5,78,33,2,3,6.84144110664,0,0,1.08012962388,0.821854656921,0,0,6.84144110664,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,497,other,5,78,40,2,4,4.15486286461,0,0,1.08012962388,2.21088938196,0,0,4.15486286461,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,499,other,5,70,33,2,3,6.67351219084,0,0,1.41225587555,1.06259642812,0,0,6.67351219084,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,504,other,5,78,33,2,3,1.39158816433,0,0,1.08012962388,0.821854656921,0,0,1.39158816433,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
FLOW,505,other,4,86,32,2,3,4.94377830058,0,0,0.695844108908,0.670291948209,0,0,4.94377830058,0,False,FINAL_TARGET_EX_POST_VS_UNCONDITIONAL_EXPECTED_TERMINAL_TARGET_PROXY,,,,,,,,,,,
