cut_id,T1,T2,T3,T4,nominal_risk,extreme_risk,nominal_g1,nominal_g2,nominal_g3,nominal_g4,extreme_g1,extreme_g2,extreme_g3,extreme_g4,active_path_ids,active_replica_rows,case_id,eta,design,risk_type,top_k,kappa,beta_ext
1,294.589913536808,138.832065024684,93.0093009300931,150,10092.0150377861,872171.138280415,-1.99240909587796,-1.75019405512395,-1.74927751695221,-4.70555120280992,0,0,0,0,617;605;609,95;42;60,15,0,R2_TOPK_10PCT,R2_TOPK,3,0.05,0.000656114212821473
2,0,0,0,0,263526.207166166,1215939.77579576,-1153.89684826365,-1157.8453906544,-1157.94971382097,-1156.1371816338,-2000,-2000,-2000,-2000,599;600;601,11;17;21,15,0,R2_TOPK_10PCT,R2_TOPK,3,0.05,0.000656114212821473
3,150,100,50,75,27550.3497419371,872171.138280415,-224.322883390432,-207.903122370441,-192.110598449505,-218.542239680648,0,0,0,0,617;605;609,95;42;60,15,0,R2_TOPK_10PCT,R2_TOPK,3,0.05,0.000656114212821473
4,300,200,100,150,10015.9395484092,872171.138280415,-1.46589971427304,-0.14077387067491,-1.06880721030722,-4.04937965382203,0,0,0,0,617;605;609,95;42;60,15,0,R2_TOPK_10PCT,R2_TOPK,3,0.05,0.000656114212821473
5,288.396432574072,0,0,150,23166.1889158726,1029375.66483921,-77.9815777511603,-176.598336672339,-259.149160280796,-73.7717693482719,0,-2000,-2000,0,607;609;610,49;59;63,15,0,R2_TOPK_10PCT,R2_TOPK,3,0.05,0.000656114212821473
6,219.108173351902,27.9934055501522,50.6088577292454,150,17989.3279051929,882038.927310549,-81.5649540679398,-106.071225766222,-84.7354088691492,-70.0304445212209,0,-1330.99357398814,-662.123981121183,0,617;609;610,95;59;63,15,0,R2_TOPK_10PCT,R2_TOPK,3,0.05,0.000656114212821473
7,299.525710859529,78.6022632793976,0,150,14874.0458648402,933468.878449571,-37.5867201939532,-52.2488273249716,-216.570027198871,-42.3165969596552,0,0,-2000,0,610;600;617,63;20;95,15,0,R2_TOPK_10PCT,R2_TOPK,3,0.05,0.000656114212821473
8,300,53.8596825144448,30.6488700845778,150,12722.7273692797,882832.338066968,-33.902888733092,-50.3361244648676,-47.0863793975463,-38.7294484191794,0,0,-1327.02321034353,0,617;610;600,95;63;20,15,0,R2_TOPK_10PCT,R2_TOPK,3,0.05,0.000656114212821473
9,300,95.424243728198,38.6827911972259,150,10942.0731063412,872343.542180152,-18.6887942514464,-24.1870608151917,-24.5315690199527,-21.8888381616731,0,0,-662.138140608774,0,617;610;605,95;63;42,15,0,R2_TOPK_10PCT,R2_TOPK,3,0.05,0.000656114212821473
10,300,63.9085418500283,100,150,10538.8812147348,872171.138280415,-5.66892028228279,-11.4546558799392,-5.11790539563232,-8.07906990247602,0,0,0,0,617;605;609,95;42;60,15,0,R2_TOPK_10PCT,R2_TOPK,3,0.05,0.000656114212821473
11,300,116.945660238277,47.7670295607289,150,10389.3881042157,872171.448923082,-4.22932785154644,-7.28101836255767,-8.49870520136348,-6.88376382206692,0,0,-0.165738122999596,0,617;605;609,95;42;60,15,0,R2_TOPK_10PCT,R2_TOPK,3,0.05,0.000656114212821473
12,300,103.238826967453,87.2541575565772,150,10251.0725919376,872171.138280415,-4.87138998312516,-6.73458522828736,-4.30251330393789,-7.59947467044819,0,0,0,0,617;605;609,95;42;60,15,0,R2_TOPK_10PCT,R2_TOPK,3,0.05,0.000656114212821473
13,300,136.9419830657,59.6360773723932,150,10198.2807111668,872171.138280415,-2.64806453380303,-3.62372983127592,-4.92080573687042,-4.98340344535459,0,0,0,0,617;605;609,95;42;60,15,0,R2_TOPK_10PCT,R2_TOPK,3,0.05,0.000656114212821473
14,300,124.121391826727,84.6642561767158,150,10147.4207539428,872171.138280415,-3.42992115943357,-4.53611358522232,-3.48438042965992,-6.01933180494313,0,0,0,0,617;605;609,95;42;60,15,0,R2_TOPK_10PCT,R2_TOPK,3,0.05,0.000656114212821473
15,300,138.795718848592,75.9956034768117,150,10123.9037280742,872171.138280415,-2.12434505482828,-2.54951899652278,-3.50651175468661,-4.58535366659689,0,0,0,0,617;605;609,95;42;60,15,0,R2_TOPK_10PCT,R2_TOPK,3,0.05,0.000656114212821473
16,300,132.44473746802,86.1928793466412,150,10110.9295499363,872171.138280415,-2.77748699052969,-3.20801596370871,-2.42769783848234,-5.75495774503005,0,0,0,0,617;605;609,95;42;60,15,0,R2_TOPK_10PCT,R2_TOPK,3,0.05,0.000656114212821473
17,300,138.179685719589,83.5841849126987,150,10103.8454179584,872171.138280415,-1.86079110312966,-1.89348099318034,-2.30266429176261,-4.70994408679023,0,0,0,0,617;605;609,95;42;60,15,0,R2_TOPK_10PCT,R2_TOPK,3,0.05,0.000656114212821473
18,300,133.417512624657,93.8173693412064,150,10091.3765515496,872171.138280415,-2.64639191504717,-3.069158532098,-2.01335392469878,-5.62103887431424,0,0,0,0,617;605;609,95;42;60,15,0,R2_TOPK_10PCT,R2_TOPK,3,0.05,0.000656114212821473
19,300,135.078841463405,93.3872059667915,150,10088.6400837275,872171.138280415,-1.85810705224607,-2.1462514686081,-2.01305938937989,-4.83192009229376,0,0,0,0,617;605;609,95;42;60,15,0,R2_TOPK_10PCT,R2_TOPK,3,0.05,0.000656114212821473
20,294.232018691951,138.384836208157,91.1593320053945,150,10098.4850232592,872171.138280415,-2.91178084941696,-2.80297111301769,-2.27921574857934,-5.6256176782361,0,0,0,0,617;605;609,95;42;60,15,0,R2_TOPK_10PCT,R2_TOPK,3,0.05,0.000656114212821473
21,295.627696571474,138.689574693537,91.4123761382181,150,10093.6968210956,872171.138280415,-2.12267902098823,-2.01243916458627,-2.27700589416046,-4.83722950265849,0,0,0,0,617;605;609,95;42;60,15,0,R2_TOPK_10PCT,R2_TOPK,3,0.05,0.000656114212821473
22,295.875548873103,137.543150804868,93.2598751579405,150,10091.5472270679,872171.138280415,-2.77925512926887,-2.80161111534825,-2.01132081672466,-5.49382130823,0,0,0,0,617;605;609,95;42;60,15,0,R2_TOPK_10PCT,R2_TOPK,3,0.05,0.000656114212821473
