case_id,site_id,TerminalLOH,capacity,capacity_slack,capacity_binding,decision_label,eta,design,risk_type,top_k,kappa,beta_ext
13,2,138.832065024684,200,61.167934975316,0,EXTREME_ENHANCED,0,R2_TOPK_10PCT,R2_TOPK,3,0.005,6.56114212821473e-05
13,3,93.0093009300931,100,6.9906990699069,0,EXTREME_ENHANCED,0,R2_TOPK_10PCT,R2_TOPK,3,0.005,6.56114212821473e-05
13,4,150,150,0,1,EXTREME_ENHANCED,0,R2_TOPK_10PCT,R2_TOPK,3,0.005,6.56114212821473e-05
14,1,294.589913536808,300,5.41008646319199,0,EXTREME_ENHANCED,0,R2_TOPK_10PCT,R2_TOPK,3,0.01,0.000131222842564295
14,2,138.832065024684,200,61.167934975316,0,EXTREME_ENHANCED,0,R2_TOPK_10PCT,R2_TOPK,3,0.01,0.000131222842564295
14,3,93.0093009300931,100,6.9906990699069,0,EXTREME_ENHANCED,0,R2_TOPK_10PCT,R2_TOPK,3,0.01,0.000131222842564295
14,4,150,150,0,1,EXTREME_ENHANCED,0,R2_TOPK_10PCT,R2_TOPK,3,0.01,0.000131222842564295
15,1,294.589913536808,300,5.41008646319199,0,EXTREME_ENHANCED,0,R2_TOPK_10PCT,R2_TOPK,3,0.05,0.000656114212821473
15,2,138.832065024684,200,61.167934975316,0,EXTREME_ENHANCED,0,R2_TOPK_10PCT,R2_TOPK,3,0.05,0.000656114212821473
15,3,93.0093009300931,100,6.9906990699069,0,EXTREME_ENHANCED,0,R2_TOPK_10PCT,R2_TOPK,3,0.05,0.000656114212821473
15,4,150,150,0,1,EXTREME_ENHANCED,0,R2_TOPK_10PCT,R2_TOPK,3,0.05,0.000656114212821473
16,1,300,300,0,1,BASELINE_CHI2,0.01,R1_MAX,R1_MAX,1,0,0
16,2,143.468740452331,200,56.531259547669,0,BASELINE_CHI2,0.01,R1_MAX,R1_MAX,1,0,0
16,3,100,100,0,1,BASELINE_CHI2,0.01,R1_MAX,R1_MAX,1,0,0
16,4,150,150,0,1,BASELINE_CHI2,0.01,R1_MAX,R1_MAX,1,0,0
17,1,300,300,0,1,EXTREME_ENHANCED,0.01,R1_MAX,R1_MAX,1,0.001,1.70200160742543e-05
17,2,143.468740452331,200,56.531259547669,0,EXTREME_ENHANCED,0.01,R1_MAX,R1_MAX,1,0.001,1.70200160742543e-05
17,3,100,100,0,1,EXTREME_ENHANCED,0.01,R1_MAX,R1_MAX,1,0.001,1.70200160742543e-05
17,4,150,150,0,1,EXTREME_ENHANCED,0.01,R1_MAX,R1_MAX,1,0.001,1.70200160742543e-05
18,1,300,300,0,1,EXTREME_ENHANCED,0.01,R1_MAX,R1_MAX,1,0.005,8.51000803712716e-05
18,2,143.468740452331,200,56.531259547669,0,EXTREME_ENHANCED,0.01,R1_MAX,R1_MAX,1,0.005,8.51000803712716e-05
18,3,100,100,0,1,EXTREME_ENHANCED,0.01,R1_MAX,R1_MAX,1,0.005,8.51000803712716e-05
18,4,150,150,0,1,EXTREME_ENHANCED,0.01,R1_MAX,R1_MAX,1,0.005,8.51000803712716e-05
19,1,300,300,0,1,EXTREME_ENHANCED,0.01,R1_MAX,R1_MAX,1,0.01,0.000170200160742543
19,2,143.468740452331,200,56.531259547669,0,EXTREME_ENHANCED,0.01,R1_MAX,R1_MAX,1,0.01,0.000170200160742543
19,3,100,100,0,1,EXTREME_ENHANCED,0.01,R1_MAX,R1_MAX,1,0.01,0.000170200160742543
19,4,150,150,0,1,EXTREME_ENHANCED,0.01,R1_MAX,R1_MAX,1,0.01,0.000170200160742543
20,1,300,300,0,1,EXTREME_ENHANCED,0.01,R1_MAX,R1_MAX,1,0.05,0.000851000803712716
20,2,143.468740452331,200,56.531259547669,0,EXTREME_ENHANCED,0.01,R1_MAX,R1_MAX,1,0.05,0.000851000803712716
20,3,100,100,0,1,EXTREME_ENHANCED,0.01,R1_MAX,R1_MAX,1,0.05,0.000851000803712716
20,4,150,150,0,1,EXTREME_ENHANCED,0.01,R1_MAX,R1_MAX,1,0.05,0.000851000803712716
21,1,300,300,0,1,BASELINE_CHI2,0.01,R2_TOPK_5PCT,R2_TOPK,2,0,0
21,2,143.468740452331,200,56.531259547669,0,BASELINE_CHI2,0.01,R2_TOPK_5PCT,R2_TOPK,2,0,0
21,3,100,100,0,1,BASELINE_CHI2,0.01,R2_TOPK_5PCT,R2_TOPK,2,0,0
21,4,150,150,0,1,BASELINE_CHI2,0.01,R2_TOPK_5PCT,R2_TOPK,2,0,0
22,1,300,300,0,1,EXTREME_ENHANCED,0.01,R2_TOPK_5PCT,R2_TOPK,2,0.001,1.74097824661109e-05
22,2,143.468740452331,200,56.531259547669,0,EXTREME_ENHANCED,0.01,R2_TOPK_5PCT,R2_TOPK,2,0.001,1.74097824661109e-05
22,3,100,100,0,1,EXTREME_ENHANCED,0.01,R2_TOPK_5PCT,R2_TOPK,2,0.001,1.74097824661109e-05
22,4,150,150,0,1,EXTREME_ENHANCED,0.01,R2_TOPK_5PCT,R2_TOPK,2,0.001,1.74097824661109e-05
23,1,300,300,0,1,EXTREME_ENHANCED,0.01,R2_TOPK_5PCT,R2_TOPK,2,0.005,8.70489123305545e-05
23,2,143.468740452331,200,56.531259547669,0,EXTREME_ENHANCED,0.01,R2_TOPK_5PCT,R2_TOPK,2,0.005,8.70489123305545e-05
23,3,100,100,0,1,EXTREME_ENHANCED,0.01,R2_TOPK_5PCT,R2_TOPK,2,0.005,8.70489123305545e-05
23,4,150,150,0,1,EXTREME_ENHANCED,0.01,R2_TOPK_5PCT,R2_TOPK,2,0.005,8.70489123305545e-05
24,1,300,300,0,1,EXTREME_ENHANCED,0.01,R2_TOPK_5PCT,R2_TOPK,2,0.01,0.000174097824661109
24,2,143.468740452331,200,56.531259547669,0,EXTREME_ENHANCED,0.01,R2_TOPK_5PCT,R2_TOPK,2,0.01,0.000174097824661109
24,3,100,100,0,1,EXTREME_ENHANCED,0.01,R2_TOPK_5PCT,R2_TOPK,2,0.01,0.000174097824661109
24,4,150,150,0,1,EXTREME_ENHANCED,0.01,R2_TOPK_5PCT,R2_TOPK,2,0.01,0.000174097824661109
25,1,300,300,0,1,EXTREME_ENHANCED,0.01,R2_TOPK_5PCT,R2_TOPK,2,0.05,0.000870489123305545
25,2,143.468740452331,200,56.531259547669,0,EXTREME_ENHANCED,0.01,R2_TOPK_5PCT,R2_TOPK,2,0.05,0.000870489123305545
25,3,100,100,0,1,EXTREME_ENHANCED,0.01,R2_TOPK_5PCT,R2_TOPK,2,0.05,0.000870489123305545
25,4,150,150,0,1,EXTREME_ENHANCED,0.01,R2_TOPK_5PCT,R2_TOPK,2,0.05,0.000870489123305545
26,1,300,300,0,1,BASELINE_CHI2,0.01,R2_TOPK_10PCT,R2_TOPK,3,0,0
26,2,143.468740452331,200,56.531259547669,0,BASELINE_CHI2,0.01,R2_TOPK_10PCT,R2_TOPK,3,0,0
26,3,100,100,0,1,BASELINE_CHI2,0.01,R2_TOPK_10PCT,R2_TOPK,3,0,0
26,4,150,150,0,1,BASELINE_CHI2,0.01,R2_TOPK_10PCT,R2_TOPK,3,0,0
27,1,300,300,0,1,EXTREME_ENHANCED,0.01,R2_TOPK_10PCT,R2_TOPK,3,0.001,1.75463283960495e-05
27,2,143.468740452331,200,56.531259547669,0,EXTREME_ENHANCED,0.01,R2_TOPK_10PCT,R2_TOPK,3,0.001,1.75463283960495e-05
27,3,100,100,0,1,EXTREME_ENHANCED,0.01,R2_TOPK_10PCT,R2_TOPK,3,0.001,1.75463283960495e-05
27,4,150,150,0,1,EXTREME_ENHANCED,0.01,R2_TOPK_10PCT,R2_TOPK,3,0.001,1.75463283960495e-05
28,1,300,300,0,1,EXTREME_ENHANCED,0.01,R2_TOPK_10PCT,R2_TOPK,3,0.005,8.77316419802474e-05
28,2,143.468740452331,200,56.531259547669,0,EXTREME_ENHANCED,0.01,R2_TOPK_10PCT,R2_TOPK,3,0.005,8.77316419802474e-05
28,3,100,100,0,1,EXTREME_ENHANCED,0.01,R2_TOPK_10PCT,R2_TOPK,3,0.005,8.77316419802474e-05
28,4,150,150,0,1,EXTREME_ENHANCED,0.01,R2_TOPK_10PCT,R2_TOPK,3,0.005,8.77316419802474e-05
29,1,300,300,0,1,EXTREME_ENHANCED,0.01,R2_TOPK_10PCT,R2_TOPK,3,0.01,0.000175463283960495
29,2,143.468740452331,200,56.531259547669,0,EXTREME_ENHANCED,0.01,R2_TOPK_10PCT,R2_TOPK,3,0.01,0.000175463283960495
29,3,100,100,0,1,EXTREME_ENHANCED,0.01,R2_TOPK_10PCT,R2_TOPK,3,0.01,0.000175463283960495
29,4,150,150,0,1,EXTREME_ENHANCED,0.01,R2_TOPK_10PCT,R2_TOPK,3,0.01,0.000175463283960495
30,1,300,300,0,1,EXTREME_ENHANCED,0.01,R2_TOPK_10PCT,R2_TOPK,3,0.05,0.000877316419802474
30,2,143.468740452331,200,56.531259547669,0,EXTREME_ENHANCED,0.01,R2_TOPK_10PCT,R2_TOPK,3,0.05,0.000877316419802474
30,3,100,100,0,1,EXTREME_ENHANCED,0.01,R2_TOPK_10PCT,R2_TOPK,3,0.05,0.000877316419802474
30,4,150,150,0,1,EXTREME_ENHANCED,0.01,R2_TOPK_10PCT,R2_TOPK,3,0.05,0.000877316419802474
0,1,300,300,0,1,FULL_CAPACITY,0,R1_MAX,R1_MAX,1,NaN,NaN
0,2,200,200,0,1,FULL_CAPACITY,0,R1_MAX,R1_MAX,1,NaN,NaN
0,3,100,100,0,1,FULL_CAPACITY,0,R1_MAX,R1_MAX,1,NaN,NaN
0,4,150,150,0,1,FULL_CAPACITY,0,R1_MAX,R1_MAX,1,NaN,NaN
0,1,300,300,0,1,FULL_CAPACITY,0,R2_TOPK_5PCT,R2_TOPK,2,NaN,NaN
0,2,200,200,0,1,FULL_CAPACITY,0,R2_TOPK_5PCT,R2_TOPK,2,NaN,NaN
0,3,100,100,0,1,FULL_CAPACITY,0,R2_TOPK_5PCT,R2_TOPK,2,NaN,NaN
0,4,150,150,0,1,FULL_CAPACITY,0,R2_TOPK_5PCT,R2_TOPK,2,NaN,NaN
0,1,300,300,0,1,FULL_CAPACITY,0,R2_TOPK_10PCT,R2_TOPK,3,NaN,NaN
0,2,200,200,0,1,FULL_CAPACITY,0,R2_TOPK_10PCT,R2_TOPK,3,NaN,NaN
0,3,100,100,0,1,FULL_CAPACITY,0,R2_TOPK_10PCT,R2_TOPK,3,NaN,NaN
0,4,150,150,0,1,FULL_CAPACITY,0,R2_TOPK_10PCT,R2_TOPK,3,NaN,NaN
0,1,300,300,0,1,FULL_CAPACITY,0.01,R1_MAX,R1_MAX,1,NaN,NaN
0,2,200,200,0,1,FULL_CAPACITY,0.01,R1_MAX,R1_MAX,1,NaN,NaN
0,3,100,100,0,1,FULL_CAPACITY,0.01,R1_MAX,R1_MAX,1,NaN,NaN
0,4,150,150,0,1,FULL_CAPACITY,0.01,R1_MAX,R1_MAX,1,NaN,NaN
0,1,300,300,0,1,FULL_CAPACITY,0.01,R2_TOPK_5PCT,R2_TOPK,2,NaN,NaN
0,2,200,200,0,1,FULL_CAPACITY,0.01,R2_TOPK_5PCT,R2_TOPK,2,NaN,NaN
0,3,100,100,0,1,FULL_CAPACITY,0.01,R2_TOPK_5PCT,R2_TOPK,2,NaN,NaN
0,4,150,150,0,1,FULL_CAPACITY,0.01,R2_TOPK_5PCT,R2_TOPK,2,NaN,NaN
0,1,300,300,0,1,FULL_CAPACITY,0.01,R2_TOPK_10PCT,R2_TOPK,3,NaN,NaN
0,2,200,200,0,1,FULL_CAPACITY,0.01,R2_TOPK_10PCT,R2_TOPK,3,NaN,NaN
0,3,100,100,0,1,FULL_CAPACITY,0.01,R2_TOPK_10PCT,R2_TOPK,3,NaN,NaN
0,4,150,150,0,1,FULL_CAPACITY,0.01,R2_TOPK_10PCT,R2_TOPK,3,NaN,NaN
