iteration,cut_count,lower_bound,upper_bound,absolute_gap,relative_gap,master_T1,master_T2,master_T3,master_T4,case_id,eta,design,risk_type,top_k,kappa,beta_ext
16,19,11454.6956176644,11456.3224743661,1.62685670166502,0.0001420051421654,292.560255718958,125.364910772261,100,150,2,0,R1_MAX,R1_MAX,1,0.001,1.27286737107718e-05
17,20,11455.0982113364,11456.3224743661,1.22426302965505,0.000106863527313794,300,131.743313929842,95.0254012885564,150,2,0,R1_MAX,R1_MAX,1,0.001,1.27286737107718e-05
18,21,11455.2775876756,11456.3224743661,1.04488669042985,9.12061172132524e-05,300,135.134355784346,92.3621934771331,150,2,0,R1_MAX,R1_MAX,1,0.001,1.27286737107718e-05
19,22,11455.477288851,11456.3224743661,0.845185515092453,7.37745918887659e-05,289.889354561167,140.584573979173,88.0345130183491,150,2,0,R1_MAX,R1_MAX,1,0.001,1.27286737107718e-05
20,23,11455.7216991492,11456.3224743661,0.600775216851616,5.24404945998922e-05,292.53255354971,144.767182365882,84.7619927322879,150,2,0,R1_MAX,R1_MAX,1,0.001,1.27286737107718e-05
21,24,11455.9472028995,11456.3224743661,0.375271466589766,3.27567129355384e-05,294.989934955618,139.488117808694,90.8467749777585,150,2,0,R1_MAX,R1_MAX,1,0.001,1.27286737107718e-05
22,25,11456.0391356574,11456.3224743661,0.283338708608426,2.47320821530999e-05,295.991753549705,137.335963071924,93.3274025188581,150,2,0,R1_MAX,R1_MAX,1,0.001,1.27286737107718e-05
23,26,11456.0582757154,11456.3224743661,0.264198650640537,2.3061383897991e-05,296.198919737044,137.578166603982,93.1561518102951,150,2,0,R1_MAX,R1_MAX,1,0.001,1.27286737107718e-05
24,27,11456.3189076614,11456.3224743661,0.00356670468681841,3.11330681795929e-07,294.453689445502,138.894732873138,92.9367607990763,150,2,0,R1_MAX,R1_MAX,1,0.001,1.27286737107718e-05
25,28,11456.3194939518,11456.3224743661,0.00298041423411632,2.60154533951459e-07,294.524022732419,138.929919667895,92.9019116176618,150,2,0,R1_MAX,R1_MAX,1,0.001,1.27286737107718e-05
26,29,11456.3204454727,11456.3224743661,0.00202889339379908,1.77098139332129e-07,294.602701903989,138.819276657501,93.0135631784209,150,2,0,R1_MAX,R1_MAX,1,0.001,1.27286737107718e-05
27,30,11456.3224743616,11456.3224743661,4.42378222942352e-09,3.86143305526001e-13,294.589913026798,138.832065534691,93.0093004197412,150,2,0,R1_MAX,R1_MAX,1,0.001,1.27286737107718e-05
1,4,11444.0543725746,11502.1019847531,58.0476121784868,0.00504669600873241,288.396432574072,0,0,150,3,0,R1_MAX,R1_MAX,1,0.005,6.3643368553859e-05
2,5,11458.0774007172,11502.1019847531,44.0245840358966,0.0038275250988258,300,0,45.7436352645927,150,3,0,R1_MAX,R1_MAX,1,0.005,6.3643368553859e-05
3,6,11460.5636677906,11502.1019847531,41.5383169625438,0.00361136747158092,300,62.2974891664908,3.42582162180013,150,3,0,R1_MAX,R1_MAX,1,0.005,6.3643368553859e-05
4,7,11463.8034358115,11502.1019847531,38.2985489416624,0.00332969999678579,300,51.1930619843586,27.411384752471,150,3,0,R1_MAX,R1_MAX,1,0.005,6.3643368553859e-05
5,8,11476.0756382672,11502.1019847531,26.0263464859308,0.00226274697619884,300,109.214251058104,18.5496525429843,150,3,0,R1_MAX,R1_MAX,1,0.005,6.3643368553859e-05
