case_id,eta,design,risk_type,top_k,kappa,beta_ext,J_base_at_baseline,R_ext_at_baseline,T1,T2,T3,T4,TerminalLOH_total,capacity_binding_count,first_stage_cost,nominal_risk,extreme_risk,enhanced_objective,lower_bound,upper_bound,absolute_gap,relative_gap,iterations,cut_count,master_solver_calls,recourse_solver_calls,runtime_sec,objective_reconstruction_error,nominal_cut_max_violation,extreme_cut_max_violation,nominal_demand_balance_error,nominal_capacity_violation,extreme_demand_balance_error,extreme_capacity_violation,maximum_mechanical_residual,mechanical_pass,solver_status,active_path_ids,active_replica_rows
11,0,R2_TOPK_10PCT,R2_TOPK,3,0,0,11444.8775967693,872171.138280415,294.589913536808,138.832065024684,93.0093009300931,150,676.431279491585,1,1352.86255898317,10092.0150377861,872171.138280415,11444.8775967693,11444.8775967691,11444.8775967691,0,0,1,0,0,2,7.3859778,0,0,0,9.41469124882133e-14,3.97903932025656e-13,0,2.8421709430404e-14,3.97903932025656e-13,1,OPTIMAL,617;605;609,95;42;60
12,0,R2_TOPK_10PCT,R2_TOPK,3,0.001,1.31222842564295e-05,11444.8775967693,872171.138280415,294.589913536808,138.832065024684,93.0093009300931,150,676.431279491585,1,1352.86255898317,10092.0150377861,872171.138280415,11456.3224743661,11456.3224743616,11456.3224743661,4.42560121882707e-09,3.86302081556234e-13,23,26,23,26,120.6843877,0,3.63797880709171e-12,0,1.77635683940025e-15,5.11590769747272e-13,1.77635683940025e-15,5.11590769747272e-13,3.63797880709171e-12,1,OPTIMAL,617;605;609,95;42;60
13,0,R2_TOPK_10PCT,R2_TOPK,3,0.005,6.56114212821473e-05,11444.8775967693,872171.138280415,294.589913536808,138.832065024684,93.0093009300931,150,676.431279491585,1,1352.86255898317,10092.0150377861,872171.138280415,11502.1019847531,11502.1019847487,11502.1019847531,4.42560121882707e-09,3.84764560833622e-13,23,26,23,26,121.5986561,0,3.63797880709171e-12,0,1.77635683940025e-15,5.11590769747272e-13,1.77635683940025e-15,5.11590769747272e-13,3.63797880709171e-12,1,OPTIMAL,617;605;609,95;42;60
14,0,R2_TOPK_10PCT,R2_TOPK,3,0.01,0.000131222842564295,11444.8775967693,872171.138280415,294.589913536808,138.832065024684,93.0093009300931,150,676.431279491585,1,1352.86255898317,10092.0150377861,872171.138280415,11559.326372737,11559.3263654971,11559.326372737,7.2398306656396e-06,6.26319426598678e-10,22,25,22,25,118.8339029,0,7.27595761418343e-12,0,1.77635683940025e-15,5.11590769747272e-13,1.77635683940025e-15,5.11590769747272e-13,7.27595761418343e-12,1,OPTIMAL,617;605;609,95;42;60
15,0,R2_TOPK_10PCT,R2_TOPK,3,0.05,0.000656114212821473,11444.8775967693,872171.138280415,294.589913536808,138.832065024684,93.0093009300931,150,676.431279491585,1,1352.86255898317,10092.0150377861,872171.138280415,12017.1214766078,12017.1214693679,12017.1214766078,7.2398306656396e-06,6.02459638918728e-10,22,25,22,25,117.9823896,0,7.27595761418343e-12,0,1.77635683940025e-15,5.11590769747272e-13,1.77635683940025e-15,5.11590769747272e-13,7.27595761418343e-12,1,OPTIMAL,617;605;609,95;42;60
16,0.01,R1_MAX,R1_MAX,1,0,0,15303.4012098245,899141.407567379,300,143.468740452331,100,150,693.468740452331,3,1386.93748090466,13916.46372892,899141.407567379,15303.4012098246,15303.4011883682,15303.4012098246,2.14564443012932e-05,1.40207029843264e-09,5,8,5,8,36.0112608,0,0,0,3.5527136788005e-15,5.6843418860808e-14,3.5527136788005e-15,5.6843418860808e-14,5.6843418860808e-14,1,OPTIMAL,617,95
17,0.01,R1_MAX,R1_MAX,1,0.001,1.70200160742543e-05,15303.4012098245,899141.407567379,300,143.468740452331,100,150,693.468740452331,3,1386.93748090466,13916.46372892,899141.407567379,15318.7046110345,15318.704589578,15318.7046110345,2.14564443012932e-05,1.40066962880384e-09,5,8,5,8,35.3265266,0,0,0,3.5527136788005e-15,5.6843418860808e-14,3.5527136788005e-15,5.6843418860808e-14,5.6843418860808e-14,1,OPTIMAL,617,95
18,0.01,R1_MAX,R1_MAX,1,0.005,8.51000803712716e-05,15303.4012098245,899141.407567379,300,143.468740452331,100,150,693.468740452331,3,1386.93748090466,13916.46372892,899141.407567379,15379.9182158738,15379.9181944173,15379.9182158738,2.14564443012932e-05,1.39509482431108e-09,5,8,5,8,36.1374012,0,0,0,3.5527136788005e-15,5.6843418860808e-14,3.5527136788005e-15,5.6843418860808e-14,5.6843418860808e-14,1,OPTIMAL,617,95
19,0.01,R1_MAX,R1_MAX,1,0.01,0.000170200160742543,15303.4012098245,899141.407567379,300,143.468740452331,100,150,693.468740452331,3,1386.93748090466,13916.46372892,899141.407567379,15456.4352219229,15456.4352004664,15456.4352219229,2.14564443012932e-05,1.38818841428974e-09,5,8,5,8,36.881254,0,0,0,3.5527136788005e-15,5.6843418860808e-14,3.5527136788005e-15,5.6843418860808e-14,5.6843418860808e-14,1,OPTIMAL,617,95
20,0.01,R1_MAX,R1_MAX,1,0.05,0.000851000803712716,15303.4012098245,899141.407567379,300,143.468740452331,100,150,693.468740452331,3,1386.93748090466,13916.46372892,899141.407567379,16068.5712703159,16068.5712488594,16068.5712703159,2.14564443012932e-05,1.33530504612632e-09,5,8,5,8,35.1090659,0,0,0,3.5527136788005e-15,5.6843418860808e-14,3.5527136788005e-15,5.6843418860808e-14,5.6843418860808e-14,1,OPTIMAL,617,95
21,0.01,R2_TOPK_5PCT,R2_TOPK,2,0,0,15303.4012098245,879011.626917991,300,143.468740452331,100,150,693.468740452331,3,1386.93748090466,13916.46372892,879011.626917991,15303.4012098246,15303.4011883682,15303.4012098246,2.14564443012932e-05,1.40207029843264e-09,5,8,5,8,35.7164222,0,0,0,3.5527136788005e-15,5.6843418860808e-14,3.5527136788005e-15,5.6843418860808e-14,5.6843418860808e-14,1,OPTIMAL,617;605,95;42
22,0.01,R2_TOPK_5PCT,R2_TOPK,2,0.001,1.74097824661109e-05,15303.4012098245,879011.626917991,300,143.468740452331,100,150,693.468740452331,3,1386.93748090466,13916.46372892,879011.626917991,15318.7046110345,15318.704589578,15318.7046110345,2.14564443012932e-05,1.40066962880384e-09,5,8,5,8,36.1193148,0,0,0,3.5527136788005e-15,5.6843418860808e-14,3.5527136788005e-15,5.6843418860808e-14,5.6843418860808e-14,1,OPTIMAL,617;605,95;42
23,0.01,R2_TOPK_5PCT,R2_TOPK,2,0.005,8.70489123305545e-05,15303.4012098245,879011.626917991,300,143.468740452331,100,150,693.468740452331,3,1386.93748090466,13916.46372892,879011.626917991,15379.9182158738,15379.9181944173,15379.9182158738,2.14564443012932e-05,1.39509482431108e-09,5,8,5,8,35.9840101,0,0,0,3.5527136788005e-15,5.6843418860808e-14,3.5527136788005e-15,5.6843418860808e-14,5.6843418860808e-14,1,OPTIMAL,617;605,95;42
24,0.01,R2_TOPK_5PCT,R2_TOPK,2,0.01,0.000174097824661109,15303.4012098245,879011.626917991,300,143.468740452331,100,150,693.468740452331,3,1386.93748090466,13916.46372892,879011.626917991,15456.4352219229,15456.4352004664,15456.4352219229,2.14564443012932e-05,1.38818841428974e-09,5,8,5,8,36.004366,0,0,0,3.5527136788005e-15,5.6843418860808e-14,3.5527136788005e-15,5.6843418860808e-14,5.6843418860808e-14,1,OPTIMAL,617;605,95;42
25,0.01,R2_TOPK_5PCT,R2_TOPK,2,0.05,0.000870489123305545,15303.4012098245,879011.626917991,300,143.468740452331,100,150,693.468740452331,3,1386.93748090466,13916.46372892,879011.626917991,16068.5712703159,16068.5712488594,16068.5712703159,2.14564443012932e-05,1.33530504612632e-09,5,8,5,8,36.0171772,0,0,0,3.5527136788005e-15,5.6843418860808e-14,3.5527136788005e-15,5.6843418860808e-14,5.6843418860808e-14,1,OPTIMAL,617;605,95;42
26,0.01,R2_TOPK_10PCT,R2_TOPK,3,0,0,15303.4012098245,872171.138280415,300,143.468740452331,100,150,693.468740452331,3,1386.93748090466,13916.46372892,872171.138280415,15303.4012098246,15303.4011883682,15303.4012098246,2.14564443012932e-05,1.40207029843264e-09,5,8,5,8,35.1722042,0,0,0,3.5527136788005e-15,5.6843418860808e-14,3.5527136788005e-15,5.6843418860808e-14,5.6843418860808e-14,1,OPTIMAL,617;605;609,95;42;60
27,0.01,R2_TOPK_10PCT,R2_TOPK,3,0.001,1.75463283960495e-05,15303.4012098245,872171.138280415,300,143.468740452331,100,150,693.468740452331,3,1386.93748090466,13916.46372892,872171.138280415,15318.7046110345,15318.704589578,15318.7046110345,2.14564443012932e-05,1.40066962880384e-09,5,8,5,8,36.5270764,0,0,0,3.5527136788005e-15,5.6843418860808e-14,3.5527136788005e-15,5.6843418860808e-14,5.6843418860808e-14,1,OPTIMAL,617;605;609,95;42;60
28,0.01,R2_TOPK_10PCT,R2_TOPK,3,0.005,8.77316419802474e-05,15303.4012098245,872171.138280415,300,143.468740452331,100,150,693.468740452331,3,1386.93748090466,13916.46372892,872171.138280415,15379.9182158738,15379.9181944173,15379.9182158738,2.14564443012932e-05,1.39509482431108e-09,5,8,5,8,36.0991361,0,0,0,3.5527136788005e-15,5.6843418860808e-14,3.5527136788005e-15,5.6843418860808e-14,5.6843418860808e-14,1,OPTIMAL,617;605;609,95;42;60
29,0.01,R2_TOPK_10PCT,R2_TOPK,3,0.01,0.000175463283960495,15303.4012098245,872171.138280415,300,143.468740452331,100,150,693.468740452331,3,1386.93748090466,13916.46372892,872171.138280415,15456.4352219229,15456.4352004664,15456.4352219229,2.14564443012932e-05,1.38818841428974e-09,5,8,5,8,35.6912024,0,0,0,3.5527136788005e-15,5.6843418860808e-14,3.5527136788005e-15,5.6843418860808e-14,5.6843418860808e-14,1,OPTIMAL,617;605;609,95;42;60
30,0.01,R2_TOPK_10PCT,R2_TOPK,3,0.05,0.000877316419802474,15303.4012098245,872171.138280415,300,143.468740452331,100,150,693.468740452331,3,1386.93748090466,13916.46372892,872171.138280415,16068.5712703159,16068.5712488594,16068.5712703159,2.14564443012932e-05,1.33530504612632e-09,5,8,5,8,35.8718602,0,0,0,3.5527136788005e-15,5.6843418860808e-14,3.5527136788005e-15,5.6843418860808e-14,5.6843418860808e-14,1,OPTIMAL,617;605;609,95;42;60
