a0,loc0,lfw0,seed_id,base_seed,mode,fixed_a6_mps,record_count,D_mean_kg,D_q95_kg,D_q99_kg,full_loss_probability,A0_pair_share,reachable_pair_share,C_reachable_mean_km,C_reachable_q95_km,W3_failed_lines_mean,W3_failed_lines_q95,W3_closed_roads_mean,W3_closed_roads_q95,D_upper_bound_hit_share,D_min_kg,D_max_kg,nonfinite_count,negative_value_count
5,4,0,2,20260724,M1_A6_TRIANGULAR,NaN,33,484.742689144948,607.969887897881,607.969887897881,0.181818181818182,0.456228956228956,0.543771043771044,22.0680711580672,30.8207098057511,22.4848484848485,30,16.8787878787879,31,0.181818181818182,210.839265744756,607.969887897881,0,0
2,6,0,2,20260724,M0_FIXED,55.5,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,6,0,2,20260724,M1_A6_TRIANGULAR,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1,0,2,20260724,M0_FIXED,55.5,1,202.656629299294,202.656629299294,202.656629299294,0,0.0101010101010101,0.98989898989899,19.9293844970853,19.9293844970853,9,9,3,3,0,202.656629299294,202.656629299294,0,0
2,1,0,2,20260724,M1_A6_TRIANGULAR,NaN,1,202.656629299294,202.656629299294,202.656629299294,0,0.0101010101010101,0.98989898989899,20.2896377312658,20.2896377312658,9,9,4,4,0,202.656629299294,202.656629299294,0,0
4,4,0,2,20260724,M0_FIXED,55.5,26,454.776246855455,607.969887897881,607.969887897881,0.153846153846154,0.40510878010878,0.59489121989122,22.3501177702135,31.9253057535734,23,30,17.0769230769231,25,0.153846153846154,202.656629299294,607.969887897881,0,0
4,4,0,2,20260724,M1_A6_TRIANGULAR,NaN,26,451.461230039088,607.969887897881,607.969887897881,0.115384615384615,0.405400155400155,0.594599844599845,22.0795524310532,31.5075482844792,22.4615384615385,30,16.8846153846154,25,0.115384615384615,202.656629299294,607.969887897881,0,0
6,7,0,2,20260724,M0_FIXED,55.5,769,378.846845554635,607.969887897881,607.969887897881,0.11963589076723,0.17434093864523,0.82565906135477,21.7363057622364,29.5493805874048,10.3563068920676,26,5.84655396618986,21,0.11963589076723,0,607.969887897881,0,0
6,7,0,2,20260724,M1_A6_TRIANGULAR,NaN,769,377.596218068432,607.969887897881,607.969887897881,0.123537061118335,0.177871038079101,0.822128961920899,21.722870368625,29.9677020463763,10.371911573472,26,5.86866059817945,20,0.123537061118335,0,607.969887897881,0,0
5,4,0,3,20260725,M0_FIXED,55.5,34,444.670135462744,607.969887897881,607.969887897881,0.0882352941176471,0.401812240047534,0.598187759952466,21.7368874491969,29.7885915091948,18.7941176470588,30,13.5294117647059,27,0.0882352941176471,137.468292283774,607.969887897881,0,0
5,4,0,3,20260725,M1_A6_TRIANGULAR,NaN,34,449.611806100396,607.969887897881,607.969887897881,0.0882352941176471,0.400846702317291,0.599153297682709,21.8625576999834,29.8129923140713,18.7647058823529,30,13.5294117647059,28,0.0882352941176471,188.746147342007,607.969887897881,0,0
2,6,0,3,20260725,M0_FIXED,55.5,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,6,0,3,20260725,M1_A6_TRIANGULAR,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1,0,3,20260725,M0_FIXED,55.5,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,1,0,3,20260725,M1_A6_TRIANGULAR,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,4,0,3,20260725,M0_FIXED,55.5,33,464.327424477985,607.969887897881,607.969887897881,0.121212121212121,0.452938475665748,0.547061524334252,22.1517131006846,31.505380326949,20.3939393939394,30,15.1818181818182,27,0.121212121212121,100.646428279192,607.969887897881,0,0
4,4,0,3,20260725,M1_A6_TRIANGULAR,NaN,33,464.492730264762,607.969887897881,607.969887897881,0.151515151515152,0.450489745944291,0.549510254055709,22.5786166220357,31.4216786290585,20.3939393939394,31,15.1818181818182,26,0.151515151515152,100.646428279192,607.969887897881,0,0
6,7,0,3,20260725,M0_FIXED,55.5,788,373.386438782318,607.969887897881,607.969887897881,0.126903553299492,0.177197097882377,0.822802902117623,21.8727185599413,29.2318541843626,10.0444162436548,26,5.91370558375634,20,0.126903553299492,0,607.969887897881,0,0
6,7,0,3,20260725,M1_A6_TRIANGULAR,NaN,788,369.525300476517,607.969887897881,607.969887897881,0.121827411167513,0.176975978054658,0.823024021945342,21.8875798279712,29.6188448906479,10.0685279187817,27,5.95939086294416,20,0.121827411167513,0,607.969887897881,0,0
