path_id,terminal_state,terminal_state_k,a,loc,lf,saa_terminal_loh_target,dro_terminal_loh_target,delta_terminal_loh_target,saa_final_inventory,dro_final_inventory,delta_final_inventory,saa_terminal_gap,dro_terminal_gap,delta_terminal_gap,delta_production,delta_htt,delta_ordinary_shortage,delta_operating_cost,input_output_difference_compression_kg
20,7.0,111.0,2.0,7.0,7.0,0.0,0.0,0.0,334.909476553571,382.998409272046,48.08893271847501,0.0,0.0,0.0,48.08893271847501,36.7074553220523,0.0,2959.8135720825994,-48.08893271847501
22,14.0,167.0,3.0,7.0,7.0,185.745847312004,299.484469224306,113.738621912302,421.508280672679,421.508280672679,0.0,0.0,0.0,0.0,0.0,10.200236182102898,0.0,147.9955324704024,113.738621912302
23,4.0,87.0,2.0,4.0,7.0,0.0,67.6431305846633,67.6431305846633,345.558409272046,367.680926205093,22.122516933046995,0.0,0.0,0.0,22.122516933045972,20.330677106509903,0.0,1444.6141495020984,45.5206136516163
26,9.0,127.0,3.0,2.0,7.0,382.129122003109,405.313274925785,23.18415292267599,405.267093140662,405.267093140662,0.0,2.8421709430403997e-13,21.1658882452114,21.165888245211114,0.0,-8.657504267952888,0.0,-168.7528687617014,23.18415292267599
31,7.0,111.0,2.0,7.0,7.0,0.0,0.0,0.0,304.977938488306,315.177093140662,10.199154652356015,0.0,0.0,0.0,10.199154652356981,19.780317311594203,0.0,961.9785163962606,-10.199154652356015
32,25.0,255.0,5.0,4.0,7.0,607.969887897881,622.130683296519,14.160795398638015,601.688280672679,601.688280672679,0.0,17.0755304419282,20.4424026238401,3.366872181911898,0.0,-5.198929595260992,0.0,-338.6213805748048,14.160795398638015
33,5.0,95.0,2.0,5.0,7.0,0.0,30.2757519474911,30.2757519474911,387.537398531265,417.569718201853,30.03231967058798,0.0,0.0,0.0,30.032319670587015,15.225468829325,0.0,1259.3357491900006,0.24343227690311764
34,6.0,103.0,2.0,6.0,7.0,0.0,0.71367875842609,0.71367875842609,369.092005765617,408.181375713793,39.089369948176,0.0,0.0,0.0,39.089369948176,15.507944479471398,0.0,1523.2570374776005,-38.37569118974991
35,4.0,87.0,2.0,4.0,7.0,0.0,67.6431305846633,67.6431305846633,382.401876551291,428.145183353436,45.74330680214496,0.0,0.0,0.0,45.74330680214399,16.4058362321212,0.0,2071.0951713678005,21.89982378251834
36,5.0,95.0,2.0,5.0,7.0,0.0,30.2757519474911,30.2757519474911,391.629759781834,417.586379064121,25.956619282286965,0.0,0.0,0.0,25.956619282287022,3.4021275754129974,0.0,1031.1181995537008,4.319132665204133
38,7.0,111.0,2.0,7.0,7.0,0.0,0.0,0.0,391.038428050441,423.036779584551,31.998351534110043,0.0,0.0,0.0,31.998351534110043,17.964984730229197,0.0,1683.3357457726015,-31.998351534110043
41,4.0,87.0,2.0,4.0,7.0,0.0,67.6431305846633,67.6431305846633,345.558409272046,378.707591396807,33.14918212476101,0.0,0.0,0.0,33.14918212475999,19.6283246632339,0.0,1771.8072173362998,34.493948459902285
42,1.0,63.0,2.0,1.0,7.0,0.0,112.166696626405,112.166696626405,388.481024109255,429.062961964874,40.581937855619,0.0,0.0,0.0,40.58193785561997,16.981269988272498,0.0,1649.605607804,71.584758770786
44,5.0,95.0,2.0,5.0,7.0,0.0,30.2757519474911,30.2757519474911,446.40497291033,456.127120428908,9.72214751857797,0.0,0.0,0.0,9.72214751857797,6.183278174218501,0.0,345.1368986135021,20.55360442891313
45,5.0,95.0,2.0,5.0,7.0,0.0,30.2757519474911,30.2757519474911,366.309358208529,382.998409272046,16.689051063517013,0.0,0.0,0.0,16.689051063517013,6.050790949229302,0.0,773.6093792443007,13.586700883974085
46,2.0,71.0,2.0,2.0,7.0,0.0,110.465721330482,110.465721330482,315.177093140662,315.177093140662,0.0,0.0,0.0,0.0,0.0,-7.032148173696498,0.0,-205.5938824495297,110.465721330482
48,9.0,127.0,3.0,2.0,7.0,382.129122003109,405.313274925785,23.18415292267599,371.715101509697,371.715101509697,0.0,27.0027002700275,48.4697462234117,21.467045953384197,0.0,8.102260276522607,0.0,89.41343870069977,23.18415292267599
51,28.0,279.0,5.0,7.0,7.0,570.875269345116,581.922529232857,11.047259887741006,511.598280672679,511.598280672679,0.0,69.3689069551739,70.3242485601787,0.9553416050048043,0.0,-7.809590426531798,0.0,-373.0805484829034,11.047259887741006
52,7.0,111.0,2.0,7.0,7.0,0.0,0.0,0.0,354.687377170944,382.998409272046,28.311032101102,0.0,0.0,0.0,28.311032101102,20.91360974766711,0.0,1645.2288529240013,-28.311032101102
55,4.0,87.0,2.0,4.0,7.0,0.0,67.6431305846633,67.6431305846633,388.611671920716,432.300180422807,43.688508502091,0.0,0.0,0.0,43.688508502091,19.269576990197802,0.0,1907.6689723476993,23.9546220825723
56,3.0,79.0,2.0,3.0,7.0,0.0,79.4853371037635,79.4853371037635,315.177093140662,315.177093140662,0.0,0.0,0.0,0.0,0.0,19.903632120492304,0.0,608.1453043199108,79.4853371037635
58,4.0,87.0,2.0,4.0,7.0,0.0,67.6431305846633,67.6431305846633,315.177093140662,315.177093140662,0.0,0.0,0.0,0.0,0.0,-2.2066283637823005,0.0,-51.38725642515965,67.6431305846633
60,14.0,167.0,3.0,7.0,7.0,185.745847312004,299.484469224306,113.738621912302,367.479249470722,407.768842246942,40.28959277621999,0.0,0.0,0.0,40.28959277621999,6.013008110028796,0.0,1256.3456303419007,73.449029136082
61,6.0,103.0,2.0,6.0,7.0,0.0,0.71367875842609,0.71367875842609,325.238087639761,382.998409272046,57.76032163228501,0.0,0.0,0.0,57.76032163228501,46.4679265833162,0.0,3604.5189928148993,-57.04664287385892
62,7.0,111.0,2.0,7.0,7.0,0.0,0.0,0.0,345.298437423141,367.680926205093,22.382488781951963,0.0,0.0,0.0,22.382488781951963,19.316140007502604,0.0,1469.7946186872996,-22.382488781951963
63,5.0,95.0,2.0,5.0,7.0,0.0,30.2757519474911,30.2757519474911,315.177093140662,315.177093140662,0.0,0.0,0.0,0.0,0.0,1.1694387040381002,0.0,-11.715353843599587,30.2757519474911
66,7.0,111.0,2.0,7.0,7.0,0.0,0.0,0.0,315.177093140662,315.177093140662,0.0,0.0,0.0,0.0,0.0,19.903632120492304,0.0,608.1453043199108,0.0
68,9.0,127.0,3.0,2.0,7.0,382.129122003109,405.313274925785,23.18415292267599,551.895101509697,551.895101509697,0.0,0.0,0.0,0.0,0.0,18.00691118837561,0.0,437.9839678559001,23.18415292267599
69,3.0,79.0,2.0,3.0,7.0,0.0,79.4853371037635,79.4853371037635,345.558409272046,380.641655176751,35.083245904704995,0.0,0.0,0.0,35.08324590470397,19.496216468674202,0.0,1834.1718714753988,44.4020911990585
73,17.0,191.0,4.0,3.0,7.0,562.147123803289,578.512356224272,16.365232420983034,495.357093140662,495.357093140662,0.0,66.7900306626272,83.1552630836094,16.365232420982196,0.0,-19.062802782162294,0.0,-420.49821796340257,16.365232420983034
75,2.0,71.0,2.0,2.0,7.0,0.0,110.465721330482,110.465721330482,392.12944624317,434.513362485245,42.38391624207503,0.0,0.0,0.0,42.383916242076,17.964984730229197,0.0,1857.1253001614004,68.08180508840697
77,7.0,111.0,2.0,7.0,7.0,0.0,0.0,0.0,368.12634950633,405.539605988835,37.413256482505005,0.0,0.0,0.0,37.413256482505005,8.456324979086205,0.0,1214.693098171001,-37.413256482505005
79,25.0,255.0,5.0,4.0,7.0,607.969887897881,622.130683296519,14.160795398638015,511.598280672679,511.598280672679,0.0,96.3716072252019,110.53240262384,14.1607953986381,0.0,-9.957208273615002,0.0,-275.128024863101,14.160795398638015
82,6.0,103.0,2.0,6.0,7.0,0.0,0.71367875842609,0.71367875842609,358.645354010113,418.041798690995,59.396444680881984,0.0,0.0,0.0,59.39644468088102,26.307034188949398,0.0,2329.6971244857996,-58.68276592245589
83,13.0,159.0,3.0,6.0,7.0,240.569511496604,355.126452344801,114.556940848197,341.142941046613,364.107578499487,22.964637452874,0.0,2.81868338829348,2.81868338829348,22.964637452874,2.934263794132505,0.0,987.8942404762001,91.592303395323
85,7.0,111.0,2.0,7.0,7.0,0.0,0.0,0.0,399.239596804063,400.091612241769,0.8520154377059725,0.0,0.0,0.0,0.8520154377060294,14.668259196581403,0.0,286.2759349361004,-0.8520154377059725
87,6.0,103.0,2.0,6.0,7.0,0.0,0.71367875842609,0.71367875842609,325.938848107532,382.998409272046,57.05956116451398,0.0,0.0,0.0,57.059561164515,45.5910630640119,0.0,3576.4329656863993,-56.34588240608789
89,4.0,87.0,2.0,4.0,7.0,0.0,67.6431305846633,67.6431305846633,366.309358208542,382.998409272046,16.689051063503996,0.0,0.0,0.0,16.68905106350502,5.830626088178498,0.0,766.9564377257993,50.9540795211593
