policy,arm,penalty,path_id,state_sequence,termination_type,termination_stage,termination_state,operating_stage_count,reached_stage7,physical_dissipation_a1,lf8_absorbing,reported_objective,actual_operating_cost,holding_cost,production_cost,electricity_cost,production_om_cost,ordinary_shortage_total,ordinary_shortage_any,ordinary_shortage_cost,total_H2_production,total_HTT,HTT_cost,terminal_inventory_total,inventory_site1,inventory_site2,inventory_site3,inventory_site4,terminal_state_id,terminal_a,terminal_loc,target_site1,target_site2,target_site3,target_site4,target_total,gap_site1,gap_site2,gap_site3,gap_site4,terminal_site_gap,terminal_total_quantity_shortfall,terminal_spatial_component,terminal_gap_any,terminal_gap_class,surplus_site1,surplus_site2,surplus_site3,surplus_site4,terminal_penalty_cost,final_a,final_loc,final_lf,D_site_kg,S_site_kg,Q_total_kg,K_req_kg,K_req_formula_minus_equiv_kg,positive_target,sitewise_failure,failure_type,tail_group
Base,Arm-A,1000,11,81-90-155-197-214-183-192-208,STAGE7_TERMINAL_CHECK,6,183,5,1,0,0,155945.160038,102865.163217,75.0840544215,87931.8112833,87643.3264006,288.484882679,62.7440352854,1,12548.8070571,468.787934353,70.3701988337,2309.46082268,455.666444842,225.930637749,115.890041352,30.7622944167,83.0834713238,183,4,2,168.321498891,60.2781032687,34.3670729582,132.558689603,395.525364721,0,0,3.60477854145,49.4752182794,53.0799968209,0,53.0799968209,1,PURE_SPATIAL_MISMATCH,57.609138858,55.6119380834,0,0,53079.9968209,4,2,7,53.0799968209,113.221076941,0,53.0799968209,0,True,True,PURE_LOCATION,difficult4
Base,Arm-A,1000,12,81-19-13-38-23-40-56-56,PHYSICAL_DISSIPATION_A1,2,19,1,0,1,0,9797.55821741,9797.55821741,12.0753740567,9785.48284335,9715.40284335,70.08,0,0,0,113.88,0,0,241.507481134,90.0053559616,64.9621752057,37.6776415006,48.8623084666,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,NO_GAP,90.0053559616,64.9621752057,37.6776415006,48.8623084666,0,1,3,3,0,241.507481134,0,0,0,False,False,NO_GAP,not_stage7_tail
Base,Arm-A,1000,13,81-58-84-103-96-88-72-88,STAGE7_TERMINAL_CHECK,4,103,3,1,0,0,49918.3972426,49918.3972426,29.1915182805,49889.2057244,49806.2857243,82.92,0,0,0,134.745,0,0,157.383409272,55.6945570449,45.5081379386,20.9821334423,35.1985808462,103,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,NO_GAP,55.6945570449,45.5081379386,20.9821334423,35.1985808462,0,2,6,7,0,157.383409272,0,0,0,False,False,NO_GAP,not_stage7_tail
Base,Arm-A,1000,14,81-91-108-109-38-23-16-24,PHYSICAL_DISSIPATION_A1,5,38,4,0,1,0,58093.5305143,58093.5305143,36.2633255282,58057.2671888,57950.9141649,106.353023889,0,0,0,172.82366382,0,0,156.451144954,70.1053559616,28.9621752057,20.9713053203,36.4123084666,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,NO_GAP,70.1053559616,28.9621752057,20.9713053203,36.4123084666,0,1,5,6,0,156.451144954,0,0,0,False,False,NO_GAP,not_stage7_tail
Base,Arm-A,1000,15,81-90-107-93-48-24-8-16,PHYSICAL_DISSIPATION_A1,5,48,4,0,1,0,58413.8879901,58413.8879901,37.4383955462,58376.4495946,58259.4741704,116.97542411,0,0,0,190.085064178,0,0,173.712545313,75.9553559616,35.8505655699,22.5693153148,39.3373084666,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,NO_GAP,75.9553559616,35.8505655699,22.5693153148,39.3373084666,0,1,6,8,0,173.712545313,0,0,0,False,False,NO_GAP,not_stage7_tail
Base,Arm-A,1000,16,81-124-182-183-248-272-192-184,STAGE7_TERMINAL_CHECK,4,183,3,1,0,0,115438.216328,73162.6018177,48.0222182947,58808.876509,58594.3116264,214.564882679,45.4960659317,1,9099.21318635,348.667934353,166.349979021,5206.48990402,416.802409557,187.276013764,94.6479353137,44.5953853859,90.2830750932,183,4,2,168.321498891,60.2781032687,34.3670729582,132.558689603,395.525364721,0,0,0,42.2756145101,42.2756145101,0,42.2756145101,1,PURE_SPATIAL_MISMATCH,18.9545148724,34.369832045,10.2283124277,0,42275.6145101,4,2,7,42.2756145101,63.5526593452,0,42.2756145101,0,True,True,PURE_LOCATION,difficult4
Base,Arm-A,1000,17,81-107-93-78-87-80-64-72,STAGE7_TERMINAL_CHECK,5,87,4,1,0,0,58228.7647362,58228.7647362,36.6438058544,58181.4574581,58071.8615994,109.595858672,0,0,0,178.093270343,1.38627250897,10.6634721909,161.720751477,70.8777395635,27.5759026967,21.0048007503,42.2623084666,87,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,NO_GAP,70.8777395635,27.5759026967,21.0048007503,42.2623084666,0,2,4,7,0,161.720751477,0,0,0,False,False,NO_GAP,not_stage7_tail
Base,Arm-A,1000,18,81-98-84-101-78-15-24-8,PHYSICAL_DISSIPATION_A1,6,15,5,0,1,0,78418.2051249,78418.2051249,44.0686810599,78364.6037324,78235.425527,129.178205389,0,0,0,209.914583757,1.22184412659,9.53271150955,134.049058961,63.824487644,19.6383954592,15.7608480965,34.8253277609,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,NO_GAP,63.824487644,19.6383954592,15.7608480965,34.8253277609,0,1,2,7,0,134.049058961,0,0,0,False,False,NO_GAP,not_stage7_tail
Base,Arm-A,1000,19,81-107-92-101-166-143-128-200,STAGE7_TERMINAL_CHECK,6,143,5,1,0,0,82815.5878566,82815.5878566,48.4979112393,82334.2063131,82146.1568045,188.049508565,0,0,0,305.580451419,12.1986636821,432.883632269,229.714926623,107.479825511,48.8226892141,24.0897657592,49.3226461386,143,3,4,70.8777395635,47.7705448833,22.9113388566,39.2766549653,180.836278269,0,0,0,0,0,0,0,0,NO_GAP,36.6020859473,1.05214433079,1.17842690261,10.0459911733,0,3,4,7,0,48.878648354,0,0,0,True,False,NO_GAP,not_stage7_tail
Base,Arm-A,1000,20,81-107-76-70-15-32-56-56,PHYSICAL_DISSIPATION_A1,5,15,4,0,1,0,58426.5952477,58426.5952477,37.6371963851,58388.9580513,58274.9358477,114.022203666,0,0,0,185.286080958,0,0,168.913562092,70.8777395635,32.8621752057,22.9113388566,42.2623084666,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,NO_GAP,70.8777395635,32.8621752057,22.9113388566,42.2623084666,0,1,2,7,0,168.913562092,0,0,0,False,False,NO_GAP,not_stage7_tail
Base,Arm-A,1000,21,81-98-27-36-45-22-39-48,PHYSICAL_DISSIPATION_A1,3,27,2,0,1,0,28954.6708721,28954.6708721,21.1760978169,28933.4947743,28863.4147742,70.08,0,0,0,113.88,0,0,182.014475204,67.5324378844,50.3037901125,28.6029194459,35.5753277609,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,NO_GAP,67.5324378844,50.3037901125,28.6029194459,35.5753277609,0,1,4,3,0,182.014475204,0,0,0,False,False,NO_GAP,not_stage7_tail
Base,Arm-A,1000,22,81-98-107-92-133-126-71-96,STAGE7_TERMINAL_CHECK,7,71,6,1,0,0,109753.973137,109753.973137,69.3971832787,108021.342233,107739.097351,282.244882679,0,0,0,458.647934353,58.1818244074,1663.23372078,337.286343625,168.625322715,55.6310238266,31.7468701454,81.283126938,71,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,NO_GAP,168.625322715,55.6310238266,31.7468701454,81.283126938,0,2,2,7,0,337.286343625,0,0,0,False,False,NO_GAP,not_stage7_tail
Base,Arm-A,1000,23,81-10-12-22-15-40-32-48,PHYSICAL_DISSIPATION_A1,2,10,1,0,1,0,9797.55821741,9797.55821741,12.0753740567,9785.48284335,9715.40284335,70.08,0,0,0,113.88,0,0,241.507481134,90.0053559616,64.9621752057,37.6776415006,48.8623084666,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,NO_GAP,90.0053559616,64.9621752057,37.6776415006,48.8623084666,0,1,2,2,0,241.507481134,0,0,0,False,False,NO_GAP,not_stage7_tail
Base,Arm-A,1000,24,81-130-204-198-191-208-224-280,STAGE7_TERMINAL_CHECK,5,191,4,1,0,0,88059.5830169,76877.1586321,70.5150374755,68783.7993524,68495.3144697,288.484882679,25.2491532192,1,5049.83064383,468.787934353,93.3186127319,2973.01359838,477.664568706,219.704362817,71.2735504002,39.3184154671,147.368240023,191,4,3,184.298449791,82.4559747849,34.3670602262,85.6444457484,386.76593055,0,11.1824243848,0,0,11.1824243848,0,11.1824243848,1,PURE_SPATIAL_MISMATCH,35.4059130259,0,4.95135524091,61.7237942741,11182.4243848,4,3,7,11.1824243848,102.081062541,0,11.1824243848,0,True,True,PURE_LOCATION,not_stage7_tail
Base,Arm-A,1000,25,81-74-84-101-94-79-72-64,STAGE7_TERMINAL_CHECK,6,79,5,1,0,0,77510.2934464,77510.2934464,42.8587876467,77467.4346588,77353.1474492,114.287209534,0,0,0,185.716715493,0,0,109.851190696,48.4016193797,20.8602395858,14.5390039699,26.0503277609,79,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,NO_GAP,48.4016193797,20.8602395858,14.5390039699,26.0503277609,0,2,3,7,0,109.851190696,0,0,0,False,False,NO_GAP,not_stage7_tail
Base,Arm-A,1000,26,81-11-36-29-38-15-16-16,PHYSICAL_DISSIPATION_A1,2,11,1,0,1,0,9797.55821741,9797.55821741,12.0753740567,9785.48284335,9715.40284335,70.08,0,0,0,113.88,0,0,241.507481134,90.0053559616,64.9621752057,37.6776415006,48.8623084666,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,NO_GAP,90.0053559616,64.9621752057,37.6776415006,48.8623084666,0,1,2,3,0,241.507481134,0,0,0,False,False,NO_GAP,not_stage7_tail
Base,Arm-A,1000,27,81-131-124-189-270-335-280-280,STAGE7_TERMINAL_CHECK,6,335,5,1,0,0,102198.685947,102198.685947,96.0815720117,92841.3312833,92478.9264006,362.404882679,35.911993069,1,7182.39861379,588.907934353,64.3691444259,2078.87447824,548.954402626,236.085864272,125.576023138,59.8880498992,127.404465317,335,6,7,201.698362762,37.6405887247,31.0934028472,76.4273318331,346.859686167,0,0,0,0,0,0,0,0,NO_GAP,34.3875015099,87.9354344131,28.7946470521,50.9771334838,0,6,7,7,0,202.094716459,0,0,0,True,False,NO_GAP,not_stage7_tail
Base,Arm-A,1000,28,81-156-205-198-207-160-144-160,STAGE7_TERMINAL_CHECK,5,207,4,1,0,0,81432.5568191,81432.5568191,72.9725824717,68783.7993524,68495.3144697,288.484882679,46.5918680524,1,9318.37361049,468.787934353,116.994746576,3257.4112737,499.00728354,229.399078436,76.6242464201,41.7354437384,151.248514946,207,4,5,169.268163717,50.7550168597,29.4574724764,67.4600784407,316.940731494,0,0,0,0,0,0,0,0,NO_GAP,60.1309147186,25.8692295604,12.277971262,83.7884365048,0,4,5,7,0,182.066552046,0,0,0,True,False,NO_GAP,not_stage7_tail
Base,Arm-A,1000,29,81-146-213-182-191-264-280-224,STAGE7_TERMINAL_CHECK,5,191,4,1,0,0,86259.4178913,86259.4178913,74.2643896199,68783.7993524,68495.3144697,288.484882679,72.4280110158,1,14485.6022032,468.787934353,97.0973544938,2915.7519461,524.843426503,194.591050927,142.553490546,47.9001358317,139.798749198,191,4,3,184.298449791,82.4559747849,34.3670602262,85.6444457484,386.76593055,0,0,0,0,0,0,0,0,NO_GAP,10.2926011367,60.0975157607,13.5330756055,54.1543034498,0,4,3,7,0,138.077495953,0,0,0,True,False,NO_GAP,not_stage7_tail
Base,Arm-A,1000,30,81-58-68-61-78-71-88-104,STAGE7_TERMINAL_CHECK,6,71,5,1,0,0,78426.7093656,78426.7093656,46.9071400186,78278.4105837,78142.4443217,135.966262033,0,0,0,220.945175804,6.92542340758,101.391641887,145.079651007,65.1824378844,19.6536693255,20.989526884,39.2540169134,71,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,NO_GAP,65.1824378844,19.6536693255,20.989526884,39.2540169134,0,2,2,7,0,145.079651007,0,0,0,False,False,NO_GAP,not_stage7_tail
Base,Arm-A,1000,31,81-107-108-86-103-80-96-112,STAGE7_TERMINAL_CHECK,5,103,4,1,0,0,58114.5373333,58114.5373333,36.1765369543,58039.2625725,57933.9777157,105.284856825,0,0,0,171.087892341,4.94377830058,39.0982238171,154.715373476,70.3548673538,24.0183969051,21.0048007503,39.3373084666,103,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,NO_GAP,70.3548673538,24.0183969051,21.0048007503,39.3373084666,0,2,6,7,0,154.715373476,0,0,0,False,False,NO_GAP,not_stage7_tail
Base,Arm-A,1000,32,81-66-5-30-47-56-56-56,PHYSICAL_DISSIPATION_A1,3,5,2,0,1,0,29058.6171221,29058.6171221,21.3223478169,29037.2947743,28965.4147742,71.88,0,0,0,116.805,0,0,184.939475204,67.5324378844,50.3037901125,28.6029194459,38.5003277609,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,NO_GAP,67.5324378844,50.3037901125,28.6029194459,38.5003277609,0,1,1,5,0,184.939475204,0,0,0,False,False,NO_GAP,not_stage7_tail
Base,Arm-A,1000,33,81-67-60-77-62-71-88-24,STAGE7_TERMINAL_CHECK,6,71,5,1,0,0,78775.1068607,78775.1068607,46.9747511239,78697.6344253,78554.6971944,142.937230922,0,0,0,232.273000249,4.01889665179,30.4976843061,156.407475452,70.3548673538,24.0183969051,22.9113388566,39.1228723369,71,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,NO_GAP,70.3548673538,24.0183969051,22.9113388566,39.1228723369,0,2,2,7,0,156.407475452,0,0,0,False,False,NO_GAP,not_stage7_tail
Base,Arm-A,1000,34,81-74-67-60-78-79-64-80,STAGE7_TERMINAL_CHECK,6,79,5,1,0,0,78813.2926006,78813.2926006,48.7206160974,78665.2604986,78516.7004986,148.56,0,0,0,241.41,4.42868915254,99.31148592,165.544475204,71.0324378844,33.27510096,21.9829194459,39.2540169134,79,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,NO_GAP,71.0324378844,33.27510096,21.9829194459,39.2540169134,0,2,3,7,0,165.544475204,0,0,0,False,False,NO_GAP,not_stage7_tail
Base,Arm-A,1000,35,81-67-76-30-15-32-48-24,PHYSICAL_DISSIPATION_A1,4,30,3,0,1,0,49983.1972426,49983.1972426,29.1915182805,49954.0057243,49869.2857243,84.72,0,0,0,137.67,0,0,160.308409272,61.5445570449,45.5081379386,20.9821334423,32.2735808462,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,NO_GAP,61.5445570449,45.5081379386,20.9821334423,32.2735808462,0,1,4,6,0,160.308409272,0,0,0,False,False,NO_GAP,not_stage7_tail
Base,Arm-A,1000,36,81-66-92-109-54-55-48-32,PHYSICAL_DISSIPATION_A1,5,54,4,0,1,0,58174.2195044,58174.2195044,36.7317972476,58137.4877071,58030.4088775,107.078829666,0,0,0,174.003098207,0,0,157.630579341,68.4961848786,28.9621752057,20.8349107902,39.3373084666,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,NO_GAP,68.4961848786,28.9621752057,20.8349107902,39.3373084666,0,1,7,6,0,157.630579341,0,0,0,False,False,NO_GAP,not_stage7_tail
Base,Arm-A,1000,37,81-99-84-101-78-63-16-40,STAGE7_TERMINAL_CHECK,6,63,5,1,0,0,78418.2051249,78418.2051249,44.0686810599,78364.6037324,78235.425527,129.178205389,0,0,0,209.914583757,1.22184412659,9.53271150955,134.049058961,63.824487644,19.6383954592,15.7608480965,34.8253277609,63,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NO_GAP,63.824487644,19.6383954592,15.7608480965,34.8253277609,0,2,1,7,0,134.049058961,0,0,0,False,False,NO_GAP,not_stage7_tail
Base,Arm-A,1000,38,81-67-85-30-39-16-16-32,PHYSICAL_DISSIPATION_A1,4,30,3,0,1,0,49665.1251097,49665.1251097,28.5577682805,49628.7057244,49551.7857243,76.92,0,0,0,124.995,1.03349081966,7.86161702358,147.633409272,55.6945570449,40.574647119,22.015624262,29.3485808462,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,NO_GAP,55.6945570449,40.574647119,22.015624262,29.3485808462,0,1,4,6,0,147.633409272,0,0,0,False,False,NO_GAP,not_stage7_tail
Base,Arm-A,1000,39,81-106-91-76-62-71-80-88,STAGE7_TERMINAL_CHECK,6,71,5,1,0,0,78794.6431019,78794.6431019,48.5997525863,78644.6827111,78496.8664865,147.816224547,0,0,0,240.201364889,5.30293762905,101.360638293,164.335840093,71.0324378844,31.1922173725,22.9886182445,39.1225665914,71,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,NO_GAP,71.0324378844,31.1922173725,22.9886182445,39.1225665914,0,2,2,7,0,164.335840093,0,0,0,False,False,NO_GAP,not_stage7_tail
Base,Arm-A,1000,40,81-34-29-15-40-32-16-24,PHYSICAL_DISSIPATION_A1,2,34,1,0,1,0,9797.55821741,9797.55821741,12.0753740567,9785.48284335,9715.40284335,70.08,0,0,0,113.88,0,0,241.507481134,90.0053559616,64.9621752057,37.6776415006,48.8623084666,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,NO_GAP,90.0053559616,64.9621752057,37.6776415006,48.8623084666,0,1,5,2,0,241.507481134,0,0,0,False,False,NO_GAP,not_stage7_tail
Base,Arm-A,1000,41,81-106-91-108-109-87-112-104,STAGE7_TERMINAL_CHECK,6,87,5,1,0,0,78040.238814,78040.238814,45.6675583292,77994.5712557,77864.7993035,129.771952195,0,0,0,210.879422318,0,0,135.013897521,59.3324378844,24.1382124302,19.6429194459,31.9003277609,87,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,NO_GAP,59.3324378844,24.1382124302,19.6429194459,31.9003277609,0,2,4,7,0,135.013897521,0,0,0,False,False,NO_GAP,not_stage7_tail
Base,Arm-A,1000,42,81-66-83-68-133-143-120-152,STAGE7_TERMINAL_CHECK,6,143,5,1,0,0,84002.6164523,84002.6164523,55.3116160974,83678.5804986,83454.3004986,224.28,0,0,0,364.455,8.81162096044,268.724337617,288.589475204,126.644058845,62.2254628418,38.5696257562,61.1503277609,143,3,4,70.8777395635,47.7705448833,22.9113388566,39.2766549653,180.836278269,0,0,0,0,0,0,0,0,NO_GAP,55.7663192813,14.4549179585,15.6582868996,21.8736727956,0,3,4,7,0,107.753196935,0,0,0,True,False,NO_GAP,not_stage7_tail
Base,Arm-A,1000,43,81-67-69-70-71-72-96-16,STAGE7_TERMINAL_CHECK,5,71,4,1,0,0,58348.4861044,58348.4861044,37.2163207124,58306.6778361,58195.4356407,111.242195387,0,0,0,180.768567503,0.617513454709,4.59194767083,164.396048638,70.8777395635,28.344661751,22.9113388566,42.2623084666,71,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,NO_GAP,70.8777395635,28.344661751,22.9113388566,42.2623084666,0,2,2,7,0,164.396048638,0,0,0,False,False,NO_GAP,not_stage7_tail
Base,Arm-A,1000,44,81-106-84-78-103-112-112-88,STAGE7_TERMINAL_CHECK,5,103,4,1,0,0,58397.7334377,58397.7334377,37.3956194798,58360.3378183,58245.6888688,114.648949447,0,0,0,186.304542852,0,0,169.932023986,70.8777395635,32.8621752057,21.0048007503,45.1873084666,103,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,NO_GAP,70.8777395635,32.8621752057,21.0048007503,45.1873084666,0,2,6,7,0,169.932023986,0,0,0,False,False,NO_GAP,not_stage7_tail
Base,Arm-A,1000,45,81-98-107-148-167-168-208-280,STAGE7_TERMINAL_CHECK,5,167,4,1,0,0,60758.1125768,60758.1125768,40.3848923372,59676.0285677,59522.7885677,153.24,0,0,0,249.015,38.2431798579,1041.69911673,232.642481134,110.598220729,44.3425872371,17.2140496113,60.4876235573,167,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,NO_GAP,110.598220729,44.3425872371,17.2140496113,60.4876235573,0,3,7,7,0,232.642481134,0,0,0,False,False,NO_GAP,not_stage7_tail
Base,Arm-A,1000,46,81-67-84-102-87-64-80-72,STAGE7_TERMINAL_CHECK,5,87,4,1,0,0,58289.2783034,58289.2783034,37.1615809682,58252.1167225,58140.348247,111.768475458,0,0,0,181.623772619,0,0,165.251253753,70.3548673538,32.8621752057,22.9113388566,39.1228723369,87,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,NO_GAP,70.3548673538,32.8621752057,22.9113388566,39.1228723369,0,2,4,7,0,165.251253753,0,0,0,False,False,NO_GAP,not_stage7_tail
Base,Arm-A,1000,47,81-34-52-53-55-48-56-40,PHYSICAL_DISSIPATION_A1,2,34,1,0,1,0,9797.55821741,9797.55821741,12.0753740567,9785.48284335,9715.40284335,70.08,0,0,0,113.88,0,0,241.507481134,90.0053559616,64.9621752057,37.6776415006,48.8623084666,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,NO_GAP,90.0053559616,64.9621752057,37.6776415006,48.8623084666,0,1,5,2,0,241.507481134,0,0,0,False,False,NO_GAP,not_stage7_tail
Base,Arm-A,1000,48,81-91-84-77-104-88-16-32,LF8_ABSORBING,5,104,4,0,0,1,58942.3694687,58942.3694687,38.826877699,58903.542591,58771.2781558,132.264435222,0,0,0,214.929707236,0,0,198.55718837,81.8053559616,43.4751510239,26.3776415006,46.899039884,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,NO_GAP,81.8053559616,43.4751510239,26.3776415006,46.899039884,0,2,6,8,0,198.55718837,0,0,0,False,False,NO_GAP,not_stage7_tail
