record_type,terminal_a,terminal_loc,early_arrival_after_stage,late_arrival_after_stage,early_path_count,late_path_count,descriptive_only,early_mean_cumulative_production_kg,early_CI95_low_cumulative_production_kg,early_CI95_high_cumulative_production_kg,early_mean_ending_inventory_kg,early_CI95_low_ending_inventory_kg,early_CI95_high_ending_inventory_kg,early_mean_htt_kg,early_CI95_low_htt_kg,early_CI95_high_htt_kg,early_mean_ordinary_shortage_kg,early_CI95_low_ordinary_shortage_kg,early_CI95_high_ordinary_shortage_kg,early_mean_terminal_gap_kg,early_CI95_low_terminal_gap_kg,early_CI95_high_terminal_gap_kg,late_mean_cumulative_production_kg,late_minus_early_mean_cumulative_production_kg,late_mean_ending_inventory_kg,late_minus_early_mean_ending_inventory_kg,late_mean_htt_kg,late_minus_early_mean_htt_kg,late_mean_ordinary_shortage_kg,late_minus_early_mean_ordinary_shortage_kg,late_mean_terminal_gap_kg,late_minus_early_mean_terminal_gap_kg
ARRIVAL_GROUP,3,2,3,,19,,YES,205.045882597,167.740050021,242.351715173,230.078821655,192.213440351,267.944202958,48.8362865581,34.9200002851,62.7525728312,2.39452978588,-2.29874859445,7.08780816621,36.171998567,29.1914512522,43.1525458817,,,,,,,,,,
ARRIVAL_GROUP,3,2,4,,45,,NO,253.440896182,228.091794117,278.789998247,245.137680912,219.437840412,270.837521413,54.0926507691,40.1446145708,68.0406869674,8.06930359579,4.1907152404,11.9478919512,17.819214101,13.0223242484,22.6161039536,,,,,,,,,,
ARRIVAL_GROUP,3,2,5,,42,,NO,343.271090517,314.743974012,371.798207023,276.612161256,247.501683632,305.72263888,74.8326778374,58.1565312097,91.5088244651,9.20659553501,3.67414095544,14.7390501146,22.5333665172,17.3296927895,27.7370402449,,,,,,,,,,
ARRIVAL_GROUP,3,2,6,,7,,YES,360.924142157,305.922162347,415.926121967,249.483471661,196.475663204,302.491280118,53.9021809846,34.8033718651,73.0009901041,9.92092023255,-1.08091203548,20.9227525006,19.2982823598,11.8723908522,26.7241738675,,,,,,,,,,
ARRIVAL_GROUP,3,3,3,,16,,YES,215.026965016,177.012570238,253.041359794,244.732235598,205.287108214,284.177362982,50.3462919714,38.8214304249,61.8711535179,7.06686130986,-0.761040810729,14.8947634304,24.9730803552,21.7689396211,28.1772210893,,,,,,,,,,
ARRIVAL_GROUP,3,3,4,,60,,NO,249.404930224,228.491553766,270.318306682,239.380311756,217.873858006,260.886765507,51.0799959675,38.3455893567,63.8144025782,6.34790039815,3.07499440443,9.62080639186,11.8828383978,8.52997691618,15.2356998794,,,,,,,,,,
ARRIVAL_GROUP,3,3,5,,29,,YES,340.002650834,305.196304774,374.808996894,272.672914296,236.379426512,308.966402081,78.6283391209,52.757343213,104.499335029,8.53578825855,1.69429604158,15.3772804755,18.4604875252,14.7783161273,22.142658923,,,,,,,,,,
ARRIVAL_GROUP,3,3,6,,8,,YES,378.608283865,318.322473331,438.894094398,271.122154089,207.836812974,334.407495204,64.5686516784,34.4305750359,94.7067283209,13.875460952,1.09753179133,26.6533901127,14.1981876328,6.6234828016,21.772892464,,,,,,,,,,
ARRIVAL_GROUP,3,4,2,,2,,YES,111.4425,108.576,114.309,179.576975204,176.710475204,182.443475204,0,0,0,0,0,0,6.95088365427,4.08438365427,9.81738365427,,,,,,,,,,
ARRIVAL_GROUP,3,4,3,,19,,YES,162.799002438,135.480938026,190.117066851,185.43741171,158.119347298,212.755476123,35.0161125194,20.5942143367,49.4380107021,0,0,0,45.7464789133,38.6872297784,52.8057280482,,,,,,,,,,
ARRIVAL_GROUP,3,4,4,,49,,NO,278.885603066,251.721448183,306.049757948,265.545619838,238.289748254,292.801491422,67.9319870157,53.7705936556,82.0933803759,3.03253563783,0.684946039603,5.38012523607,26.508830313,21.1702068147,31.8474538113,,,,,,,,,,
ARRIVAL_GROUP,3,4,5,,35,,NO,346.654672465,314.700586339,378.608758591,278.395683043,245.351431923,311.439934164,90.1875527256,69.5804959604,110.794609491,7.60653537455,1.9678283288,13.2452424203,35.5117281932,29.0167763849,42.0066800014,,,,,,,,,,
