policy,stage,loc,path_count,information_timing,sample_scope,descriptive_only,mean_production_kg,CI95_low_production_kg,CI95_high_production_kg,mean_ending_inventory_kg,CI95_low_ending_inventory_kg,CI95_high_ending_inventory_kg,mean_ordinary_shortage_kg,CI95_low_ordinary_shortage_kg,CI95_high_ordinary_shortage_kg,mean_htt_kg,CI95_low_htt_kg,CI95_high_htt_kg,site1_mean_ending_inventory_kg,site2_mean_ending_inventory_kg,site3_mean_ending_inventory_kg,site4_mean_ending_inventory_kg,state_variable,weighted_mean_slope_kg_per_state_level,rank_correlation_of_group_means,state_group_count,adjacent_increase_count_gt_1kg,adjacent_decrease_count_lt_minus_1kg,adjacent_comparison_count
Stage89N,4,1,439,STATE_T_OBSERVED_BEFORE_DECISION_T,ACTIVE_PATHS,NO,72.6465402186,70.2892328475,75.0038475897,213.274138861,206.470162994,220.078114727,2.00710635517,1.23025947107,2.78395323927,10.7008147372,8.48247399134,12.919155483,96.3607233683,37.9411192856,21.6583468015,57.3139494053,loc,-5.48235719265,-0.857142857143,7,1,2,6
Stage89N,4,2,910,STATE_T_OBSERVED_BEFORE_DECISION_T,ACTIVE_PATHS,NO,75.259071032,73.5340177436,76.9841243205,216.803978097,211.756271388,221.851684805,2.45396941951,1.92056787915,2.98737095987,15.3949869037,13.2858063623,17.504167445,95.2903148203,38.6238226694,24.1915493888,58.698291218,loc,-5.48235719265,-0.857142857143,7,1,2,6
Stage89N,4,3,831,STATE_T_OBSERVED_BEFORE_DECISION_T,ACTIVE_PATHS,NO,75.7406777215,73.9246593477,77.5566960952,216.171368861,211.020754367,221.321983355,1.29880618943,0.867406422473,1.73020595639,15.8108552904,13.619865371,18.0018452099,95.7951365092,37.1437399295,25.7290640277,57.5034283944,loc,-5.48235719265,-0.857142857143,7,1,2,6
Stage89N,4,4,783,STATE_T_OBSERVED_BEFORE_DECISION_T,ACTIVE_PATHS,NO,70.0282627363,67.9081836254,72.1483418471,208.591084904,203.263160021,213.919009788,1.4590899879,0.991357723581,1.92682225221,13.25543585,11.094257189,15.416614511,94.9585626093,31.5200559785,26.6205343059,55.4919320106,loc,-5.48235719265,-0.857142857143,7,1,2,6
Stage89N,4,5,829,STATE_T_OBSERVED_BEFORE_DECISION_T,ACTIVE_PATHS,NO,69.8882418249,68.065346546,71.7111371037,205.078794071,199.905721482,210.251866661,0.886340579894,0.5619640511,1.21071710869,12.2930886705,10.3998289648,14.1863483763,92.3812697436,34.5576837276,27.3090522983,50.8307883021,loc,-5.48235719265,-0.857142857143,7,1,2,6
Stage89N,4,6,620,STATE_T_OBSERVED_BEFORE_DECISION_T,ACTIVE_PATHS,NO,69.3875837069,67.287563584,71.4876038299,204.806408052,198.821311008,210.791505096,0.413443490733,0.10666869416,0.720218287306,8.60064013126,6.75291308436,10.4483671782,90.9465374841,38.4920183274,27.2910547594,48.0767974812,loc,-5.48235719265,-0.857142857143,7,1,2,6
Stage89N,4,7,1442,STATE_T_OBSERVED_BEFORE_DECISION_T,ACTIVE_PATHS,NO,41.2966746498,38.9408382501,43.6525110495,172.942370418,168.249023365,177.63571747,0.364497679259,0.176231463566,0.552763894951,8.61443380192,7.38900317754,9.83986442631,77.5577957633,32.2071185783,26.8477691093,36.3296869666,loc,-5.48235719265,-0.857142857143,7,1,2,6
Stage89N,5,1,201,STATE_T_OBSERVED_BEFORE_DECISION_T,ACTIVE_PATHS,NO,29.4147463066,24.1016618199,34.7278307933,207.051278972,192.451411239,221.651146705,4.08230507572,2.27839917503,5.88621097641,13.4490738487,10.5212746202,16.3768730773,99.8010728558,33.7343450688,20.1428544404,53.3730066074,loc,-1.27169932127,-0.642857142857,7,2,4,6
Stage89N,5,2,349,STATE_T_OBSERVED_BEFORE_DECISION_T,ACTIVE_PATHS,NO,25.017599331,21.0001725922,29.0350260698,193.519841691,183.227602774,203.812080609,2.66721262184,1.6068260318,3.72759921189,13.26446801,11.4119940239,15.1169419962,88.6705886088,29.7663847386,19.7804456988,55.3024226454,loc,-1.27169932127,-0.642857142857,7,2,4,6
Stage89N,5,3,379,STATE_T_OBSERVED_BEFORE_DECISION_T,ACTIVE_PATHS,NO,29.0958392946,24.509838905,33.6818396842,205.201653595,194.11405709,216.289250101,1.80209775776,0.916568362126,2.68762715339,19.1076923741,16.623693837,21.5916909113,97.3721376024,29.0540841284,19.1800962514,59.5953356129,loc,-1.27169932127,-0.642857142857,7,2,4,6
Stage89N,5,4,321,STATE_T_OBSERVED_BEFORE_DECISION_T,ACTIVE_PATHS,NO,21.9858445021,17.209755672,26.7619333322,185.030136065,173.680321037,196.379951092,1.42421915364,0.497355204107,2.35108310318,18.0221368834,14.8411109006,21.2031628662,89.2155132882,24.1323353973,21.1816630458,50.5006243334,loc,-1.27169932127,-0.642857142857,7,2,4,6
Stage89N,5,5,346,STATE_T_OBSERVED_BEFORE_DECISION_T,ACTIVE_PATHS,NO,20.3481876936,15.8837065062,24.8126688809,181.190685172,169.561737028,192.819633315,1.46429639848,0.55950390827,2.36908888868,13.1260653604,10.5950943115,15.6570364092,89.1996233685,31.5332417727,19.1868957521,41.2709242783,loc,-1.27169932127,-0.642857142857,7,2,4,6
Stage89N,5,6,250,STATE_T_OBSERVED_BEFORE_DECISION_T,ACTIVE_PATHS,NO,26.0749232596,20.1176558145,32.0321907048,177.721233506,164.316593648,191.125873365,1.52828136204,0.432440452711,2.62412227136,12.0285097725,8.64925037448,15.4077691706,85.142825699,33.0248336693,17.1478521931,42.4057219449,loc,-1.27169932127,-0.642857142857,7,2,4,6
Stage89N,5,7,735,STATE_T_OBSERVED_BEFORE_DECISION_T,ACTIVE_PATHS,NO,20.3797231462,17.3231986458,23.4362476465,167.464334787,159.750328411,175.178341163,0.524772038146,0.147302096546,0.902241979747,7.49423447852,6.05891578565,8.92955317139,81.5933363279,29.7530519973,19.0810545084,37.0368919532,loc,-1.27169932127,-0.642857142857,7,2,4,6
Stage89N,6,1,43,STATE_T_OBSERVED_BEFORE_DECISION_T,ACTIVE_PATHS,NO,64.972513225,57.3666321615,72.5783942884,217.490136988,180.844749975,254.135524001,3.7324917214,0.293797146746,7.17118629605,6.54338944347,3.42069525208,9.66608363486,104.453877582,40.9735467848,17.947709625,54.1150029962,loc,-6.29093221215,-0.857142857143,7,1,4,6
Stage89N,6,2,66,STATE_T_OBSERVED_BEFORE_DECISION_T,ACTIVE_PATHS,NO,51.0254490616,42.8069871122,59.243911011,231.018587786,201.083935518,260.953240054,4.59642071089,1.65945356276,7.53338785903,11.2501995929,7.3835365385,15.1168626472,116.349895937,37.9526657561,17.7686111235,58.9474149685,loc,-6.29093221215,-0.857142857143,7,1,4,6
Stage89N,6,3,62,STATE_T_OBSERVED_BEFORE_DECISION_T,ACTIVE_PATHS,NO,40.1933662313,31.6791688869,48.7075635757,195.95948449,167.271603417,224.647365564,3.10153395788,0.654697072867,5.54837084289,13.3160048911,7.85324181474,18.7787679675,94.7556805472,27.6433426545,14.9322697426,58.6281915461,loc,-6.29093221215,-0.857142857143,7,1,4,6
Stage89N,6,4,60,STATE_T_OBSERVED_BEFORE_DECISION_T,ACTIVE_PATHS,NO,40.7428782511,31.2927063397,50.1930501626,207.233620739,175.362052073,239.105189405,1.3590272591,-0.218464620812,2.936519139,13.958441499,7.88770707274,20.0291759253,100.924761477,33.4695998003,16.3528837089,56.4863757526,loc,-6.29093221215,-0.857142857143,7,1,4,6
Stage89N,6,5,63,STATE_T_OBSERVED_BEFORE_DECISION_T,ACTIVE_PATHS,NO,47.8479507874,38.4213332988,57.2745682759,197.210768662,167.321665402,227.099871923,1.55385819847,0.352612108139,2.75510428881,14.1083127344,9.09182392852,19.1248015404,98.5725384422,30.71207621,19.4118265898,48.5143274201,loc,-6.29093221215,-0.857142857143,7,1,4,6
Stage89N,6,6,51,STATE_T_OBSERVED_BEFORE_DECISION_T,ACTIVE_PATHS,NO,28.2259752202,18.7600678693,37.691882571,187.661437854,151.119700733,224.203174976,1.59511663904,-0.609321892211,3.79955517029,9.0043219851,5.15993614734,12.8487078229,98.390213815,31.7223645538,16.4978982008,41.0509612849,loc,-6.29093221215,-0.857142857143,7,1,4,6
Stage89N,6,7,129,STATE_T_OBSERVED_BEFORE_DECISION_T,ACTIVE_PATHS,NO,19.8842553326,13.0416255031,26.726885162,178.376016195,156.573266072,200.178766319,0.442351367939,-0.150934771012,1.03563750689,9.40434064792,6.99104867697,11.8176326189,94.1025125925,29.815112322,14.10244368,40.3559476009,loc,-6.29093221215,-0.857142857143,7,1,4,6
