interval_type,section,group,metric,denominator,N,mean,std,SE,CI_low,CI_high,events,probability
NORMAL_MEAN_95,Stage89N_PRODUCTION_BY_STAGE,Stage6_Site3,production_kg,ACTIVE_PATHS,474,4.48628338351,4.61025805127,0.2117561655,4.07124129913,4.90132546789,,
NORMAL_MEAN_95,Stage89N_PRODUCTION_BY_STAGE,Stage6_Site4,production_kg,ACTIVE_PATHS,474,9.1740689114,8.56156940565,0.39324590681,8.40330693405,9.94483088874,,
NORMAL_MEAN_95,Stage89N_INVENTORY_BY_STAGE,Stage6,beginning_inventory_kg,ACTIVE_PATHS,474,203.92907677,111.834036964,5.13670744165,193.861130184,213.997023355,,
NORMAL_MEAN_95,Stage89N_INVENTORY_BY_STAGE,Stage6,ending_inventory_kg,ACTIVE_PATHS,474,198.709548128,124.780894898,5.73137632153,187.476050538,209.943045718,,
NORMAL_MEAN_95,Stage89N_INVENTORY_BY_STAGE,Stage6_Site1,ending_inventory_kg,ACTIVE_PATHS,474,100.143760973,76.9108884037,3.53263410257,93.2197981322,107.067723814,,
NORMAL_MEAN_95,Stage89N_INVENTORY_BY_STAGE,Stage6_Site2,ending_inventory_kg,ACTIVE_PATHS,474,32.4634020406,39.8745098637,1.83149689584,28.8736681248,36.0531359565,,
NORMAL_MEAN_95,Stage89N_INVENTORY_BY_STAGE,Stage6_Site3,ending_inventory_kg,ACTIVE_PATHS,474,16.3185795627,10.3752709788,0.476551979102,15.3845376837,17.2526214417,,
NORMAL_MEAN_95,Stage89N_INVENTORY_BY_STAGE,Stage6_Site4,ending_inventory_kg,ACTIVE_PATHS,474,49.7838055512,34.5186547356,1.58549432239,46.6762366794,52.8913744231,,
NORMAL_MEAN_95,Stage89H_PRODUCTION_BY_STAGE,Stage1,production_kg,ACTIVE_PATHS,10000,120.12,5.68462612449e-14,5.68462612449e-16,120.12,120.12,,
NORMAL_MEAN_95,Stage89H_PRODUCTION_BY_STAGE,Stage1,cumulative_production_kg,ACTIVE_PATHS,10000,120.12,5.68462612449e-14,5.68462612449e-16,120.12,120.12,,
NORMAL_MEAN_95,Stage89H_PRODUCTION_BY_STAGE,Stage1,electrolyzer_utilization,ACTIVE_PATHS,10000,1,0,0,1,1,,
NORMAL_MEAN_95,Stage89H_PRODUCTION_BY_STAGE,Stage1_Site1,production_kg,ACTIVE_PATHS,10000,46.8,7.10578265562e-15,7.10578265562e-17,46.8,46.8,,
NORMAL_MEAN_95,Stage89H_PRODUCTION_BY_STAGE,Stage1_Site2,production_kg,ACTIVE_PATHS,10000,31.2,3.55289132781e-15,3.55289132781e-17,31.2,31.2,,
