terminal_a,terminal_loc,terminal_state_id,path_count,path_share,metric,Stage89H_mean,Stage89N_mean,paired_difference_mean,paired_difference_ci95_low,paired_difference_ci95_high,descriptive_only
2.0,4.0,87.0,660,0.066,terminal_inventory_site2_kg,81.79338601870727,24.874882364493065,-56.91850365421415,-58.71914970327514,-55.117857605153155,NO
2.0,4.0,87.0,660,0.066,terminal_target_site2_kg,0.0,0.0,0.0,0.0,0.0,NO
2.0,4.0,87.0,660,0.066,terminal_gap_site2_kg,0.0,0.0,0.0,0.0,0.0,NO
2.0,4.0,87.0,660,0.066,terminal_surplus_site2_kg,81.79338601870727,24.874882364493065,-56.91850365421415,-58.71914970327514,-55.117857605153155,NO
2.0,4.0,87.0,660,0.066,site2_cumulative_production_kg,77.40599811511133,32.796632822454065,-44.609365292657415,-45.727840646364314,-43.49088993895052,NO
2.0,4.0,87.0,660,0.066,site2_last_active_production_kg,10.439747942028315,2.2772744713139237,-8.16247347071441,-8.976821995281894,-7.3481249461469265,NO
2.0,4.0,87.0,660,0.066,terminal_inventory_site3_kg,22.032432368096067,24.818895944130603,2.7864635760344987,1.3605540936528373,4.21237305841616,NO
2.0,4.0,87.0,660,0.066,terminal_target_site3_kg,4.909309756018182,0.0,-4.909309756018182,-4.909309756018184,-4.909309756018179,NO
2.0,4.0,87.0,660,0.066,terminal_gap_site3_kg,0.07301901386018074,0.0,-0.07301901386018074,-0.11025739744444754,-0.035780630275913945,NO
2.0,4.0,87.0,660,0.066,terminal_surplus_site3_kg,17.196141625938026,24.818895944130603,7.62275431819255,6.202937933773642,9.042570702611458,NO
2.0,4.0,87.0,660,0.066,site3_cumulative_production_kg,39.0414890937219,26.223410651949415,-12.818078441772451,-13.61225537653187,-12.023901507013033,NO
2.0,4.0,87.0,660,0.066,site3_last_active_production_kg,3.6045914122216303,3.6564982306338827,0.051906818412254085,-0.4014519811781824,0.5052656180026907,NO
2.0,4.0,87.0,660,0.066,terminal_inventory_site4_kg,75.94467875544618,39.73300130715932,-36.21167744828669,-37.765994449891835,-34.65736044668155,NO
2.0,4.0,87.0,660,0.066,terminal_target_site4_kg,0.5270111130442916,0.0,-0.5270111130442916,-0.5270111130442919,-0.5270111130442913,NO
2.0,4.0,87.0,660,0.066,terminal_gap_site4_kg,0.0,0.0,0.0,0.0,0.0,NO
2.0,4.0,87.0,660,0.066,terminal_surplus_site4_kg,75.41766764240178,39.73300130715932,-35.68466633524252,-37.23898333684766,-34.130349333637376,NO
2.0,4.0,87.0,660,0.066,site4_cumulative_production_kg,76.7577331780891,44.23299857322038,-32.524734604868954,-33.26056410158807,-31.78890510814983,NO
2.0,4.0,87.0,660,0.066,site4_last_active_production_kg,12.833218963553607,9.065944521710971,-3.7672744418426998,-4.265547871118331,-3.269001012567068,NO
2.0,5.0,95.0,645,0.0645,production_kg,344.0273328516022,176.3893610525769,-167.637971799025,-170.96647290476704,-164.30947069328295,NO
2.0,5.0,95.0,645,0.0645,stage1_production_kg,120.12000000000025,109.980000000001,-10.140000000000096,-10.140000000000104,-10.14000000000009,NO
2.0,5.0,95.0,645,0.0645,stage2_6_production_kg,223.90733285160192,66.409361052577,-157.49797179902498,-160.82647290476703,-154.16947069328293,NO
2.0,5.0,95.0,645,0.0645,last_active_stage_production_kg,47.189639527256794,22.37972095907887,-24.809918568177867,-26.65113075528042,-22.968706381075314,NO
2.0,5.0,95.0,645,0.0645,terminal_inventory_kg,315.46080700056575,145.80468762405957,-169.65611937650655,-172.74869562172626,-166.56354313128685,NO
2.0,5.0,95.0,645,0.0645,terminal_target_kg,0.0,0.0,0.0,0.0,0.0,NO
2.0,5.0,95.0,645,0.0645,terminal_gap_kg,0.0,0.0,0.0,0.0,0.0,NO
2.0,5.0,95.0,645,0.0645,terminal_surplus_kg,315.46080700056575,145.80468762405957,-169.65611937650655,-172.74869562172626,-166.56354313128685,NO
2.0,5.0,95.0,645,0.0645,ordinary_shortage_kg,2.2823542866652833,0.2642067091838436,-2.0181475774814395,-2.676361031113159,-1.3599341238497196,NO
2.0,5.0,95.0,645,0.0645,htt_kg,20.39322562509877,14.833477796452193,-5.559747828646552,-7.326858486356949,-3.792637170936155,NO
