cohort,cohort_timing,stage,local_hour,time_resolution,metric,path_count,Stage89H_mean,Stage89N_mean,paired_difference_mean,paired_difference_ci95_low,paired_difference_ci95_high,descriptive_only
EARLY_A1,S2->A1,1,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ordinary_shortage_kg,937,0.0,0.0,0.0,0.0,0.0,NO
EARLY_A1,S2->A1,1,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,htt_kg,937,0.0,0.0,0.0,0.0,0.0,NO
EARLY_A1,S2->A1,1,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ending_inventory_kg,937,247.74748113448572,237.60748113448022,-10.140000000000018,-10.14000000000002,-10.140000000000017,NO
EARLY_A1,S2->A1,1,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,beginning_inventory_kg,937,166.63840927204294,166.63840927204294,0.0,0.0,0.0,NO
EARLY_A1,S2->A1,2,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,production_kg,937,101.53317943436063,1.0738527214514342,-100.45932671290888,-101.33513389247653,-99.58351953334122,NO
EARLY_A1,S2->A1,2,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ordinary_demand_kg_site,937,59.49300593071005,59.49300593071005,0.0,0.0,0.0,NO
EARLY_A1,S2->A1,2,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ordinary_served_kg,937,59.49300593071005,59.49300593071005,0.0,0.0,0.0,NO
EARLY_A1,S2->A1,2,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ordinary_shortage_kg,937,0.0,0.0,0.0,0.0,0.0,NO
EARLY_A1,S2->A1,2,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,htt_kg,937,0.968747466222128,0.0,-0.968747466222128,-1.2941766076618015,-0.6433183247824547,NO
EARLY_A1,S2->A1,2,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ending_inventory_kg,937,289.7876546381339,179.18832792522142,-110.59932671290873,-111.47513389247639,-109.72351953334108,NO
EARLY_A1,S2->A1,2,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,beginning_inventory_kg,937,247.74748113448572,237.60748113448022,-10.140000000000018,-10.14000000000002,-10.140000000000017,NO
EARLY_A1,S3->A1,1,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,production_kg,767,120.11999999999946,109.98000000000019,-10.140000000000134,-10.140000000000143,-10.140000000000125,NO
EARLY_A1,S3->A1,1,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ordinary_demand_kg_site,767,39.010928137562836,39.010928137562836,0.0,0.0,0.0,NO
EARLY_A1,S3->A1,1,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ordinary_served_kg,767,39.010928137562836,39.010928137562836,0.0,0.0,0.0,NO
EARLY_A1,S3->A1,1,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ordinary_shortage_kg,767,0.0,0.0,0.0,0.0,0.0,NO
EARLY_A1,S3->A1,1,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,htt_kg,767,0.0,0.0,0.0,0.0,0.0,NO
EARLY_A1,S3->A1,1,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ending_inventory_kg,767,247.74748113448538,237.60748113448173,-10.140000000000104,-10.140000000000112,-10.140000000000095,NO
EARLY_A1,S3->A1,1,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,beginning_inventory_kg,767,166.63840927204356,166.63840927204356,0.0,0.0,0.0,NO
EARLY_A1,S3->A1,2,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,production_kg,767,102.19216689254328,2.529256734144047,-99.66291015839911,-100.81379684999145,-98.51202346680678,NO
EARLY_A1,S3->A1,2,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ordinary_demand_kg_site,767,59.493005930710495,59.493005930710495,0.0,0.0,0.0,NO
EARLY_A1,S3->A1,2,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ordinary_served_kg,767,59.1300572221725,59.493005930710495,0.36294870853801586,0.07447429281399887,0.6514231242620329,NO
EARLY_A1,S3->A1,2,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ordinary_shortage_kg,767,0.36294870853801564,0.0,-0.36294870853801564,-0.6514231242620323,-0.07447429281399892,NO
EARLY_A1,S3->A1,2,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,htt_kg,767,0.7567506546535484,0.43042534329244575,-0.3263253113611025,-0.8086848782844367,0.15603425556223166,NO
EARLY_A1,S3->A1,2,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ending_inventory_kg,767,290.80959080485485,180.64373193791397,-110.16585886693689,-111.1974507520278,-109.13426698184597,NO
EARLY_A1,S3->A1,2,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,beginning_inventory_kg,767,247.74748113448538,237.60748113448173,-10.140000000000104,-10.140000000000112,-10.140000000000095,NO
EARLY_A1,S3->A1,3,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,production_kg,767,48.11465053310502,16.378900577223213,-31.735749955881612,-32.65107732943633,-30.820422582326895,NO
EARLY_A1,S3->A1,3,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ordinary_demand_kg_site,767,45.49606593172552,45.49606593172552,0.0,0.0,0.0,NO
EARLY_A1,S3->A1,3,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ordinary_served_kg,767,45.49606593172552,45.49606593172552,0.0,0.0,0.0,NO
EARLY_A1,S3->A1,3,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ordinary_shortage_kg,767,0.0,0.0,0.0,0.0,0.0,NO
EARLY_A1,S3->A1,3,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,htt_kg,767,3.7180400133412252,4.591539502503858,0.8734994891626364,0.2499216187012785,1.4970773596239944,NO
EARLY_A1,S3->A1,3,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ending_inventory_kg,767,293.42817540623224,151.5265665834134,-141.90160882281856,-143.37540892986613,-140.427808715771,NO
EARLY_A1,S3->A1,3,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,beginning_inventory_kg,767,290.80959080485485,180.64373193791397,-110.16585886693689,-111.1974507520278,-109.13426698184597,NO
EARLY_A1,S4->A1,1,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,production_kg,485,120.12000000000096,109.98000000000101,-10.14000000000002,-10.140000000000022,-10.140000000000018,NO
EARLY_A1,S4->A1,1,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ordinary_demand_kg_site,485,39.01092813756298,39.01092813756298,0.0,0.0,0.0,NO
EARLY_A1,S4->A1,1,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ordinary_served_kg,485,39.01092813756298,39.01092813756298,0.0,0.0,0.0,NO
EARLY_A1,S4->A1,1,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ordinary_shortage_kg,485,0.0,0.0,0.0,0.0,0.0,NO
EARLY_A1,S4->A1,1,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,htt_kg,485,0.0,0.0,0.0,0.0,0.0,NO
EARLY_A1,S4->A1,1,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ending_inventory_kg,485,247.74748113448427,237.6074811344846,-10.139999999999972,-10.139999999999974,-10.13999999999997,NO
EARLY_A1,S4->A1,1,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,beginning_inventory_kg,485,166.6384092720456,166.6384092720456,0.0,0.0,0.0,NO
EARLY_A1,S4->A1,2,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,production_kg,485,103.96279908624496,4.378293807096826,-99.58450527914808,-101.2632532792048,-97.90575727909135,NO
EARLY_A1,S4->A1,2,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ordinary_demand_kg_site,485,59.49300593071145,59.49300593071145,0.0,0.0,0.0,NO
EARLY_A1,S4->A1,2,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ordinary_served_kg,485,58.44951015710876,59.49300593071145,1.0434957736026687,0.4168589041355113,1.670132643069826,NO
EARLY_A1,S4->A1,2,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ordinary_shortage_kg,485,1.0434957736026678,0.0,-1.0434957736026678,-1.6701326430698247,-0.41685890413551085,NO
EARLY_A1,S4->A1,2,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,htt_kg,485,0.6384630540471166,1.036627311986132,0.39816425793901544,-0.39348268147583443,1.1898111973538654,NO
EARLY_A1,S4->A1,2,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ending_inventory_kg,485,293.2607700636194,182.49276901086822,-110.76800105275078,-112.06319879984379,-109.47280330565776,NO
EARLY_A1,S4->A1,2,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,beginning_inventory_kg,485,247.74748113448427,237.6074811344846,-10.139999999999972,-10.139999999999974,-10.13999999999997,NO
EARLY_A1,S4->A1,3,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,production_kg,485,53.42900112001226,19.936221070723985,-33.49278004928831,-34.5470169617621,-32.438543136814516,NO
EARLY_A1,S4->A1,3,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ordinary_demand_kg_site,485,45.49606593172573,45.49606593172573,0.0,0.0,0.0,NO
EARLY_A1,S4->A1,3,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ordinary_served_kg,485,45.03233624561023,45.382002552058026,0.3496663064477891,0.08842350795433374,0.6109091049412445,NO
EARLY_A1,S4->A1,3,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ordinary_shortage_kg,485,0.46372968611549725,0.11406337966770803,-0.3496663064477891,-0.6109091049412445,-0.08842350795433374,NO
EARLY_A1,S4->A1,3,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,htt_kg,485,2.766201126787985,4.790880972506047,2.0246798457180617,0.9823963184406128,3.0669633729955104,NO
EARLY_A1,S4->A1,3,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ending_inventory_kg,485,301.6574349380214,157.04698752953428,-144.61044740848715,-146.2950288763132,-142.92586594066108,NO
EARLY_A1,S4->A1,3,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,beginning_inventory_kg,485,293.2607700636194,182.49276901086822,-110.76800105275078,-112.06319879984379,-109.47280330565776,NO
EARLY_A1,S4->A1,4,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,production_kg,485,91.46897511219109,53.761449343097425,-37.707525769093664,-39.42338384214024,-35.99166769604709,NO
EARLY_A1,S4->A1,4,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ordinary_demand_kg_site,485,39.01092813756298,39.01092813756298,0.0,0.0,0.0,NO
EARLY_A1,S4->A1,4,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ordinary_served_kg,485,39.01092813756298,39.01092813756298,0.0,0.0,0.0,NO
EARLY_A1,S4->A1,4,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ordinary_shortage_kg,485,0.0,0.0,0.0,0.0,0.0,NO
EARLY_A1,S4->A1,4,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,htt_kg,485,6.278224661081321,1.9527303916650764,-4.325494269416244,-5.246166998480115,-3.4048215403523723,NO
EARLY_A1,S4->A1,4,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ending_inventory_kg,485,354.11548191264956,171.79750873506907,-182.3179731775808,-184.6754352897371,-179.9605110654245,NO
EARLY_A1,S4->A1,4,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,beginning_inventory_kg,485,301.6574349380214,157.04698752953428,-144.61044740848715,-146.2950288763132,-142.92586594066108,NO
EARLY_A1,S5->A1,1,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,production_kg,197,120.11999999999992,109.97999999999965,-10.140000000000043,-10.140000000000049,-10.140000000000038,NO
EARLY_A1,S5->A1,1,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ordinary_demand_kg_site,197,39.01092813756348,39.01092813756348,0.0,0.0,0.0,NO
EARLY_A1,S5->A1,1,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ordinary_served_kg,197,39.01092813756348,39.01092813756348,0.0,0.0,0.0,NO
EARLY_A1,S5->A1,1,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ordinary_shortage_kg,197,0.0,0.0,0.0,0.0,0.0,NO
EARLY_A1,S5->A1,1,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,htt_kg,197,0.0,0.0,0.0,0.0,0.0,NO
EARLY_A1,S5->A1,1,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ending_inventory_kg,197,247.74748113448234,237.60748113448264,-10.13999999999993,-10.139999999999938,-10.13999999999992,NO
EARLY_A1,S5->A1,1,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,beginning_inventory_kg,197,166.63840927204654,166.63840927204654,0.0,0.0,0.0,NO
EARLY_A1,S5->A1,2,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,production_kg,197,105.74762345346907,5.208578680203044,-100.53904477326603,-103.19877727689024,-97.87931226964182,NO
EARLY_A1,S5->A1,2,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ordinary_demand_kg_site,197,59.493005930711156,59.493005930711156,0.0,0.0,0.0,NO
EARLY_A1,S5->A1,2,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ordinary_served_kg,197,58.55773918024213,59.493005930711156,0.9352667504690058,0.038838056102272756,1.8316954448357388,NO
EARLY_A1,S5->A1,2,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ordinary_shortage_kg,197,0.9352667504690046,0.0,-0.9352667504690046,-1.8316954448357368,-0.03883805610227253,NO
EARLY_A1,S5->A1,2,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,htt_kg,197,0.0,1.8694127552834983,1.8694127552834983,0.3457230583997104,3.393102452167286,NO
EARLY_A1,S5->A1,2,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ending_inventory_kg,197,294.9373654077105,183.3230538839753,-111.61431152373515,-113.66419857477659,-109.56442447269372,NO
EARLY_A1,S5->A1,2,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,beginning_inventory_kg,197,247.74748113448234,237.60748113448264,-10.13999999999993,-10.139999999999938,-10.13999999999992,NO
EARLY_A1,S5->A1,3,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,production_kg,197,55.01206827983082,24.485292357470158,-30.526775922360564,-32.16092364803458,-28.892628196686545,NO
EARLY_A1,S5->A1,3,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ordinary_demand_kg_site,197,45.49606593172571,45.49606593172571,0.0,0.0,0.0,NO
EARLY_A1,S5->A1,3,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ordinary_served_kg,197,45.07431068430912,45.35876877478349,0.2844580904743719,-0.20231289966143273,0.7712290806101766,NO
EARLY_A1,S5->A1,3,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ordinary_shortage_kg,197,0.421755247416584,0.13729715694221167,-0.28445809047437237,-0.7712290806101771,0.2023128996614324,NO
EARLY_A1,S5->A1,3,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,htt_kg,197,1.2079725327442055,1.9846834538457545,0.7767109211015486,-0.21052694873104616,1.7639487909341434,NO
EARLY_A1,S5->A1,3,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ending_inventory_kg,197,304.8751230032318,162.44957746666162,-142.42554553657055,-145.46346752842248,-139.38762354471862,NO
EARLY_A1,S5->A1,3,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,beginning_inventory_kg,197,294.9373654077105,183.3230538839753,-111.61431152373515,-113.66419857477659,-109.56442447269372,NO
EARLY_A1,S5->A1,4,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,production_kg,197,103.38013178218866,68.95739870390798,-34.42273307828066,-37.167286727916746,-31.67817942864457,NO
EARLY_A1,S5->A1,4,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ordinary_demand_kg_site,197,39.01092813756348,39.01092813756348,0.0,0.0,0.0,NO
EARLY_A1,S5->A1,4,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ordinary_served_kg,197,38.619710205430586,38.9223862655642,0.3026760601336153,-0.015562002996685143,0.6209141232639157,NO
EARLY_A1,S5->A1,4,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ordinary_shortage_kg,197,0.39121793213289496,0.0885418719992797,-0.30267606013361525,-0.6209141232639155,0.015562002996684976,NO
EARLY_A1,S5->A1,4,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,htt_kg,197,3.8852794448206582,2.4063943698674697,-1.4788850749531888,-2.377428784495638,-0.5803413654107398,NO
EARLY_A1,S5->A1,4,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ending_inventory_kg,197,369.6355445799902,192.48458990500558,-177.15095467498452,-180.62942623276368,-173.67248311720536,NO
EARLY_A1,S5->A1,4,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,beginning_inventory_kg,197,304.8751230032318,162.44957746666162,-142.42554553657055,-145.46346752842248,-139.38762354471862,NO
EARLY_A1,S5->A1,5,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,production_kg,197,14.940700971250996,3.8614073141294702,-11.079293657121525,-13.041535428048812,-9.117051886194238,NO
EARLY_A1,S5->A1,5,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ordinary_demand_kg_site,197,59.493005930711156,59.493005930711156,0.0,0.0,0.0,NO
EARLY_A1,S5->A1,5,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ordinary_served_kg,197,59.493005930711156,59.493005930711156,0.0,0.0,0.0,NO
EARLY_A1,S5->A1,5,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ordinary_shortage_kg,197,0.0,0.0,0.0,0.0,0.0,NO
EARLY_A1,S5->A1,5,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,htt_kg,197,21.18770728200457,5.530840671231547,-15.656866610773024,-18.15016770087918,-13.163565520666868,NO
EARLY_A1,S5->A1,5,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ending_inventory_kg,197,325.0832396205299,136.85299128842405,-188.23024833210596,-191.9392843505473,-184.52121231366462,NO
EARLY_A1,S5->A1,5,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,beginning_inventory_kg,197,369.6355445799902,192.48458990500558,-177.15095467498452,-180.62942623276368,-173.67248311720536,NO
EARLY_LF8,S3->LF8,1,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,production_kg,135,120.12000000000035,109.97999999999969,-10.140000000000018,-10.140000000000022,-10.140000000000015,NO
EARLY_LF8,S3->LF8,1,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ordinary_demand_kg_site,135,39.010928137563475,39.010928137563475,0.0,0.0,0.0,NO
EARLY_LF8,S3->LF8,1,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ordinary_served_kg,135,39.010928137563475,39.010928137563475,0.0,0.0,0.0,NO
EARLY_LF8,S3->LF8,1,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ordinary_shortage_kg,135,0.0,0.0,0.0,0.0,0.0,NO
EARLY_LF8,S3->LF8,1,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,htt_kg,135,0.0,0.0,0.0,0.0,0.0,NO
EARLY_LF8,S3->LF8,1,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ending_inventory_kg,135,247.7474811344834,237.6074811344835,-10.139999999999956,-10.139999999999961,-10.13999999999995,NO
EARLY_LF8,S3->LF8,1,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,beginning_inventory_kg,135,166.6384092720462,166.6384092720462,0.0,0.0,0.0,NO
EARLY_LF8,S3->LF8,2,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,production_kg,135,97.64635926912486,12.807472871645798,-84.838886397479,-90.55089941445601,-79.12687338050199,NO
EARLY_LF8,S3->LF8,2,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ordinary_demand_kg_site,135,59.493005930710936,59.493005930710936,0.0,0.0,0.0,NO
EARLY_LF8,S3->LF8,2,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ordinary_served_kg,135,54.43540018464195,59.493005930710936,5.057605746069015,2.380526105629226,7.734685386508804,NO
EARLY_LF8,S3->LF8,2,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ordinary_shortage_kg,135,5.05760574606901,0.0,-5.05760574606901,-7.734685386508797,-2.380526105629223,NO
EARLY_LF8,S3->LF8,2,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,htt_kg,135,5.995848749263031,4.455507921485014,-1.5403408277780155,-3.8949679504548196,0.8142862948987886,NO
EARLY_LF8,S3->LF8,2,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ending_inventory_kg,135,290.9584402189658,190.92194807541793,-100.03649214354813,-104.07604286230165,-95.99694142479461,NO
EARLY_LF8,S3->LF8,2,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,beginning_inventory_kg,135,247.7474811344834,237.6074811344835,-10.139999999999956,-10.139999999999961,-10.13999999999995,NO
EARLY_LF8,S3->LF8,3,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,production_kg,135,50.88216074153544,23.555755699993696,-27.326405041541726,-30.580748621383304,-24.072061461700148,NO
EARLY_LF8,S3->LF8,3,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ordinary_demand_kg_site,135,45.49606593172569,45.49606593172569,0.0,0.0,0.0,NO
EARLY_LF8,S3->LF8,3,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ordinary_served_kg,135,41.70776302367676,44.71264349255751,3.0048804688807516,1.2837206418279883,4.726040295933515,NO
EARLY_LF8,S3->LF8,3,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ordinary_shortage_kg,135,3.7883029080489203,0.7834224391681691,-3.004880468880751,-4.726040295933514,-1.2837206418279876,NO
EARLY_LF8,S3->LF8,3,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,htt_kg,135,18.570965163472206,20.248031603480317,1.6770664400081148,-2.9139665434352975,6.2680994234515275,NO
EARLY_LF8,S3->LF8,3,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ending_inventory_kg,135,300.1328379368243,169.7650602828538,-130.36777765397062,-136.09959319825637,-124.63596210968488,NO
EARLY_LF8,S3->LF8,3,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,beginning_inventory_kg,135,290.9584402189658,190.92194807541793,-100.03649214354813,-104.07604286230165,-95.99694142479461,NO
EARLY_LF8,S4->LF8,1,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,production_kg,175,120.12000000000005,109.97999999999966,-10.140000000000036,-10.140000000000041,-10.14000000000003,NO
EARLY_LF8,S4->LF8,1,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ordinary_demand_kg_site,175,39.01092813756348,39.01092813756348,0.0,0.0,0.0,NO
EARLY_LF8,S4->LF8,1,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ordinary_served_kg,175,39.01092813756348,39.01092813756348,0.0,0.0,0.0,NO
EARLY_LF8,S4->LF8,1,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ordinary_shortage_kg,175,0.0,0.0,0.0,0.0,0.0,NO
EARLY_LF8,S4->LF8,1,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,htt_kg,175,0.0,0.0,0.0,0.0,0.0,NO
EARLY_LF8,S4->LF8,1,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,ending_inventory_kg,175,247.74748113448263,237.6074811344829,-10.139999999999938,-10.139999999999946,-10.139999999999931,NO
EARLY_LF8,S4->LF8,1,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,beginning_inventory_kg,175,166.63840927204646,166.63840927204646,0.0,0.0,0.0,NO
EARLY_LF8,S4->LF8,2,NOT_AVAILABLE_PAIRED,STAGE_AGGREGATE_ONLY,production_kg,175,105.08540272590939,6.948926426789479,-98.13647629911985,-101.50350089881574,-94.76945169942395,NO
