complexity_label,initial_state_id,scenario_index,path_id,site_id,T_representative,T_min,T_max,range_width,multiple_optimum_flag
simple,7,43,43,4,0,0,5e-09,5e-09,0
simple,7,44,44,1,0,0,5e-09,5e-09,0
simple,7,44,44,2,0,0,5e-09,5e-09,0
simple,7,44,44,3,0,0,5e-09,5e-09,0
simple,7,44,44,4,0,0,5e-09,5e-09,0
simple,7,45,45,1,0,0,5e-09,5e-09,0
simple,7,45,45,2,0,0,5e-09,5e-09,0
simple,7,45,45,3,0,0,5e-09,5e-09,0
simple,7,45,45,4,0,0,5e-09,5e-09,0
simple,7,46,46,1,0,0,5e-09,5e-09,0
simple,7,46,46,2,0,0,5e-09,5e-09,0
simple,7,46,46,3,0,0,5e-09,5e-09,0
simple,7,46,46,4,0,0,5e-09,5e-09,0
simple,7,47,47,1,0,0,5e-09,5e-09,0
simple,7,47,47,2,0,0,5e-09,5e-09,0
simple,7,47,47,3,0,0,5e-09,5e-09,0
simple,7,47,47,4,0,0,5e-09,5e-09,0
simple,7,48,48,1,0,0,5e-09,5e-09,0
simple,7,48,48,2,0,0,5e-09,5e-09,0
simple,7,48,48,3,0,0,5e-09,5e-09,0
simple,7,48,48,4,0,0,5e-09,5e-09,0
simple,7,49,49,1,0,0,5e-09,5e-09,0
simple,7,49,49,2,0,0,5e-09,5e-09,0
simple,7,49,49,3,0,0,5e-09,5e-09,0
simple,7,49,49,4,0,0,5e-09,5e-09,0
simple,7,50,50,1,0,0,5e-09,5e-09,0
simple,7,50,50,2,0,0,5e-09,5e-09,0
simple,7,50,50,3,0,0,5e-09,5e-09,0
simple,7,50,50,4,0,0,5e-09,5e-09,0
simple,7,51,51,1,0,0,5e-09,5e-09,0
simple,7,51,51,2,0,0,5e-09,5e-09,0
simple,7,51,51,3,0,0,5e-09,5e-09,0
simple,7,51,51,4,0,0,5e-09,5e-09,0
simple,7,52,52,1,0,0,5e-09,5e-09,0
simple,7,52,52,2,0,0,5e-09,5e-09,0
simple,7,52,52,3,0,0,5e-09,5e-09,0
simple,7,52,52,4,0,0,5e-09,5e-09,0
simple,7,53,53,1,0,0,5e-09,5e-09,0
simple,7,53,53,2,0,0,5e-09,5e-09,0
simple,7,53,53,3,0,0,5e-09,5e-09,0
