arm,transition_group,stage,global_hour,path_count,site1_H2_production_kg_mean,site1_P_EL_kW_mean,site1_end_inventory_kg_mean,site1_inventory_before_HTT_kg_mean,site1_HTT_in_kg_mean,site1_HTT_out_kg_mean,site1_ordinary_shortage_kg_mean,site1_electrolyzer_capacity_binding_mean,site1_storage_capacity_binding_mean,site2_H2_production_kg_mean,site2_P_EL_kW_mean,site2_end_inventory_kg_mean,site2_inventory_before_HTT_kg_mean,site2_HTT_in_kg_mean,site2_HTT_out_kg_mean,site2_ordinary_shortage_kg_mean,site2_electrolyzer_capacity_binding_mean,site2_storage_capacity_binding_mean,site3_H2_production_kg_mean,site3_P_EL_kW_mean,site3_end_inventory_kg_mean,site3_inventory_before_HTT_kg_mean,site3_HTT_in_kg_mean,site3_HTT_out_kg_mean,site3_ordinary_shortage_kg_mean,site3_electrolyzer_capacity_binding_mean,site3_storage_capacity_binding_mean,site4_H2_production_kg_mean,site4_P_EL_kW_mean,site4_end_inventory_kg_mean,site4_inventory_before_HTT_kg_mean,site4_HTT_in_kg_mean,site4_HTT_out_kg_mean,site4_ordinary_shortage_kg_mean,site4_electrolyzer_capacity_binding_mean,site4_storage_capacity_binding_mean
B0001,PERSISTENT_FAILURE,4,25,361,5.752770083102456,295.0138504155125,113.86107401834565,111.47881221286444,3.3584537656595854,0.9761919601784158,0.24240571496088711,0.9833795013850416,0.0,3.251800554016619,166.7590027700831,51.1342210326765,54.14683744055171,2.5252373476716317,5.537853755546914,0.057638375113986284,0.8337950138504155,0.0,2.1131301939058202,108.36565096952909,26.543433507354354,28.674459799015075,1.0863178948023586,3.217344186463087,0.03404411362712328,0.9030470914127424,0.0,3.554968836565097,182.3060941828255,63.38622971229693,60.624848818242015,3.9263336347876945,1.16495274073285,0.10634167659553734,0.9722991689750693,0.0
B0001,PERSISTENT_FAILURE,4,26,361,5.759153362144597,295.3411980586992,119.58079887308092,119.2741718713015,0.3066270017794232,0.0,0.11941503921997362,0.9806094182825484,0.0,3.2897898673658927,168.70717268543046,54.08469573203304,54.17058998724503,0.0,0.08589425521199646,0.057138093413823456,0.8310249307479224,0.0,2.0729168075002717,106.30342602565487,28.091941892504906,28.289087545148778,0.05779867232945684,0.2549443249733274,0.0691864244680251,0.8614958448753463,0.0,3.5352167261782363,181.29316544503777,66.6958392694424,66.71942636336598,0.013636254041288239,0.037223347964844375,0.058713455222798916,0.9556786703601108,0.0
B0001,PERSISTENT_FAILURE,4,27,361,5.747575581046949,294.74746569471716,125.03746187542966,124.9828173710986,0.15763042871792418,0.10298592438689944,0.11991346537958777,0.9806094182825484,0.0,3.254786138443727,166.91210966378097,57.035305550304365,57.08656123937959,0.0,0.051255689075226867,0.057638375113986284,0.8199445983379502,0.0,2.118399514151228,108.63587252057563,29.931048486060988,30.04671002180323,0.029649040875780883,0.1453105766180187,0.03459321223401236,0.8781163434903048,0.0,3.5862495378719763,183.9102327113834,70.19140828119859,70.07913556071215,0.12141751662945664,0.009144796143016703,0.057780283730083266,0.9722991689750693,0.0
B0001,PERSISTENT_FAILURE,4,28,361,5.763100180348612,295.54359899223846,130.49490549513936,130.4537155806478,0.3864100649488273,0.3452201504572896,0.11862407327873199,0.9833795013850416,0.0,3.237441588538871,166.02264556609606,59.86489320307638,59.766905876648835,0.1219621662565405,0.02397483982901072,0.11527675022797257,0.8116343490304709,0.0,2.1691419280162214,111.23804759057532,31.53516777209393,31.936231961320242,0.03300199942806862,0.43406618865438246,0.03426614433011998,0.9030470914127424,0.0,3.577351978868732,183.45394763429394,73.82777465967781,73.56588771137058,0.3304559196463809,0.06856897133913463,0.057860981635244994,0.9667590027700831,0.0
B0001,PERSISTENT_FAILURE,4,29,361,5.400522174060519,276.94985508002827,134.84120473699508,135.20689228734292,0.1704298516250205,0.5361174019728443,0.24240571496088711,0.9085872576177285,0.0,2.966581591392187,152.13238930216386,61.68379062672823,61.816498788221224,0.16753305288761744,0.3002412143805915,0.22726001859737305,0.7590027700831025,0.0,1.8603324099722987,95.4016620498615,33.07691420961403,33.231868797213345,0.012578465288305567,0.16753305288761744,0.03459321223401236,0.7950138504155124,0.0,3.40403647944005,174.56597330461798,77.47092069944007,76.81757039999995,0.6533502994401097,0.0,0.107226321545711,0.9307479224376731,0.0
B0001,PERSISTENT_FAILURE,4,30,361,4.9402632042656345,253.34683098798243,138.64256086770692,138.4023947450481,0.4674649757119349,0.22729885305316577,0.4828089974229945,0.8365650969529086,0.0,2.7020718383524107,138.56778658217542,61.29793895435514,61.90729468339186,0.15355235176400364,0.762908080800723,0.5524881189323126,0.667590027700831,0.0,1.7668009028386797,90.60517450454779,34.29018726976765,34.51645234274685,0.17901992223994906,0.4052849952191465,0.0691864244680251,0.7451523545706371,0.0,3.3827908587257616,173.47645429362882,80.61242491054999,80.01697023119283,0.6548870827778781,0.05943240342073047,0.2061927943549995,0.925207756232687,0.0
B0001,PERSISTENT_FAILURE,4,31,361,4.551877604357423,233.429620736279,139.9085928596086,139.91369722060028,0.3669608166512325,0.3720651776429394,1.0388254377709678,0.7506925207756233,0.0,2.592797783933508,132.9639889196676,60.65588927031053,60.795025411836214,0.3390715807907262,0.478207722316396,0.6931085493239,0.6648199445983379,0.0,1.5367358730525673,78.80696784884988,34.84698081390935,35.172397603408406,0.06776394032706551,0.3931807298261281,0.13837284893604992,0.6565096952908587,0.0,2.8422958087785157,145.75875942453925,82.24604774091785,81.77639044890141,0.7072945887772482,0.23763729676080858,0.4075379722293225,0.7617728531855956,0.0
B0001,PERSISTENT_FAILURE,4,32,361,3.9323158832548497,201.65722478230043,140.40629530230913,139.6275934487877,1.0934423614738613,0.3147405079524261,1.186143067468088,0.6371191135734072,0.0,2.5387811634348934,130.1939058171745,59.82897292338695,60.71646593118079,0.6291404381245249,1.5166334459183648,0.5528513980564665,0.6509695290858726,0.0,1.4843767313019334,76.1218836565097,34.54584498561964,35.02007273036924,0.2920678168540853,0.7662955616037184,0.2745119618536345,0.6343490304709142,0.0,2.4103793022075584,123.609194985003,83.1422470161417,82.55922811711963,0.9126608586028481,0.32964195958080994,0.5101363773139699,0.6565096952908587,0.0
B0001,PERSISTENT_FAILURE,5,33,179,4.856641108598507,249.05851838966638,143.47269952143924,138.71468574573623,6.098108310813295,1.3400945351103595,1.182559814069521,0.7821229050279329,0.0,2.87450965510681,147.41075154393934,66.97600385919563,64.00808548068353,6.85208993311303,3.884171554600956,0.39904229848363904,0.7318435754189944,0.0,1.7405218451440858,89.2575305202096,30.666834076312522,35.89067324533592,0.5822582501573967,5.8060974191807775,0.4095165139818881,0.7318435754189944,0.0,2.6649289428453775,136.66302271001936,76.90284570294422,79.40493868813587,2.209263300739245,4.711356285930881,0.4777687036251194,0.7206703910614525,0.0
B0001,PERSISTENT_FAILURE,5,34,179,4.179301162273,214.32313652682006,146.02603812770712,145.9588522331367,0.4158109740580185,0.3486250794875676,0.6342042914693683,0.7094972067039106,0.0,2.8310483014308248,145.1819641759401,69.36360097406435,68.90538373581828,0.6191090922028322,0.16089185395676148,0.340567600036535,0.7206703910614525,0.0,1.6528132958114867,84.75965619546089,30.711624251667946,31.29572404188375,0.003540819543357011,0.5876406097591569,0.33986189771802283,0.6871508379888268,0.0,2.6192128837871347,134.31860942498125,78.58401298209546,78.52531632469619,0.3486250794875676,0.2899284220882894,0.30692538962485233,0.7094972067039106,0.0
