record_type,cohort,stage,global_hour,base_mean_production_kg,b0001_mean_production_kg,paired_delta_mean_kg,base_path_count,b0001_path_count
HOUR,ALL_PATHS,4,27,2.6873303421758505,3.2462939973442104,0.5589636551683599,5854,5854
HOUR,ALL_PATHS,4,28,2.687622081534962,3.195106824954655,0.5074847434196927,5854,5854
HOUR,ALL_PATHS,4,29,2.609136036568738,2.6810384724957066,0.07190243592696843,5854,5854
HOUR,ALL_PATHS,4,30,2.2330023060159507,2.569610513327826,0.33660820731187524,5854,5854
HOUR,ALL_PATHS,4,31,1.7280822630122716,1.4489374673345474,-0.2791447956777242,5854,5854
HOUR,ALL_PATHS,4,32,0.8692295141975834,0.6156964208189142,-0.25353309337866925,5854,5854
HOUR,ALL_PATHS,5,33,1.161149487172871,0.8729725132986975,-0.2881769738741734,2581,2581
HOUR,ALL_PATHS,5,34,0.759473391629573,0.7959315736184088,0.03645818198883588,2581,2581
HOUR,ALL_PATHS,5,35,0.6527081888036533,0.7516290320462344,0.0989208432425811,2581,2581
HOUR,ALL_PATHS,5,36,0.5967988346237743,0.7079589227092384,0.11116008808546418,2581,2581
HOUR,ALL_PATHS,5,37,0.5898495714223577,0.6881766611800451,0.09832708975768734,2581,2581
HOUR,ALL_PATHS,5,38,0.5846848518031111,0.6760847190375515,0.09139986723444038,2581,2581
HOUR,ALL_PATHS,5,39,0.6302208135250825,0.7296594895919059,0.09943867606682333,2581,2581
HOUR,ALL_PATHS,5,40,0.9425929126694025,0.8110836988632302,-0.1315092138061723,2581,2581
HOUR,ALL_PATHS,6,41,1.393098742667513,1.1963304462128082,-0.19676829645470484,474,474
HOUR,ALL_PATHS,6,42,1.02777055825211,0.9200499799939582,-0.10772057825815173,474,474
HOUR,ALL_PATHS,6,43,0.7592616075916451,0.8193301386671066,0.060068531075461506,474,474
HOUR,ALL_PATHS,6,44,0.6935705851239127,0.7393028528543991,0.04573226773048644,474,474
HOUR,ALL_PATHS,6,45,0.7031061720391135,0.7785358876062161,0.07542971556710254,474,474
HOUR,ALL_PATHS,6,46,0.8846634855127142,0.8439948653196496,-0.04066862019306461,474,474
HOUR,ALL_PATHS,6,47,1.9316782640895713,2.0958427240649202,0.1641644599753489,474,474
HOUR,ALL_PATHS,6,48,2.281072266386818,2.6875549284868074,0.4064826620999895,474,474
STAGE_TOTAL_PER_PATH,ALL_PATHS,1,ALL,23.399999999996098,27.30023846891665,3.900238468920552,10000,10000
STAGE_TOTAL_PER_PATH,ALL_PATHS,2,ALL,1.9930949999999252,1.722825,-0.2702699999999252,10000,10000
STAGE_TOTAL_PER_PATH,ALL_PATHS,3,ALL,5.273415910931366,6.012038733657631,0.7386228227262652,10000,10000
STAGE_TOTAL_PER_PATH,ALL_PATHS,4,ALL,10.670176800361425,11.71462497564261,1.044448175281186,10000,10000
STAGE_TOTAL_PER_PATH,ALL_PATHS,5,ALL,1.5273010851308153,1.5572454751301272,0.029944389999311927,10000,10000
STAGE_TOTAL_PER_PATH,ALL_PATHS,6,ALL,0.45855810771084615,0.4778366424199578,0.019278534709111672,10000,10000
HOUR,NEW_FAILURES,1,1,2.9250000000000043,3.65625,0.7312499999999957,82,82
HOUR,NEW_FAILURES,1,2,2.9250000000000043,3.65625,0.7312499999999957,82,82
HOUR,NEW_FAILURES,1,3,2.9250000000000043,3.65625,0.7312499999999957,82,82
HOUR,NEW_FAILURES,1,4,2.9250000000000043,3.65625,0.7312499999999957,82,82
HOUR,NEW_FAILURES,1,5,2.9250000000000043,3.65625,0.7312499999999957,82,82
HOUR,NEW_FAILURES,1,6,2.9250000000000043,3.65625,0.7312499999999957,82,82
HOUR,NEW_FAILURES,1,7,2.9250000000000043,3.65625,0.7312499999999957,82,82
HOUR,NEW_FAILURES,1,8,2.9250000000000043,1.7064884689136088,-1.2185115310863954,82,82
HOUR,NEW_FAILURES,2,9,2.033231707317074,1.6497713414634145,-0.3834603658536595,82,82
HOUR,NEW_FAILURES,2,10,1.319817073170731,1.6497713414634145,0.3299542682926835,82,82
HOUR,NEW_FAILURES,2,11,1.319817073170731,1.6497713414634145,0.3299542682926835,82,82
HOUR,NEW_FAILURES,2,12,1.319817073170731,1.6497713414634145,0.3299542682926835,82,82
HOUR,NEW_FAILURES,2,13,1.319817073170731,1.6497713414634145,0.3299542682926835,82,82
HOUR,NEW_FAILURES,2,14,1.319817073170731,1.6497713414634145,0.3299542682926835,82,82
HOUR,NEW_FAILURES,2,15,1.319817073170731,1.6497713414634145,0.3299542682926835,82,82
HOUR,NEW_FAILURES,2,16,1.319817073170731,1.6497713414634145,0.3299542682926835,82,82
HOUR,NEW_FAILURES,3,17,1.997560975609757,2.4969512195121952,0.49939024390243825,82,82
HOUR,NEW_FAILURES,3,18,1.997560975609757,2.363185975609756,0.3656249999999992,82,82
HOUR,NEW_FAILURES,3,19,1.997560975609757,2.229420731707317,0.23185975609756015,82,82
HOUR,NEW_FAILURES,3,20,1.9618902439024397,2.229420731707317,0.2675304878048774,82,82
HOUR,NEW_FAILURES,3,21,1.9763807545156016,2.229420731707317,0.25303997719171556,82,82
HOUR,NEW_FAILURES,3,22,1.997560975609757,2.229420731707317,0.23185975609756015,82,82
HOUR,NEW_FAILURES,3,23,2.710975609756101,3.2918628921616966,0.5808872824055955,82,82
HOUR,NEW_FAILURES,3,24,2.889329268292687,3.611661585365854,0.7223323170731666,82,82
HOUR,NEW_FAILURES,4,25,2.8849315068493184,3.606164383561644,0.7212328767123255,73,73
HOUR,NEW_FAILURES,4,26,2.8849315068493184,3.5849795749222113,0.7000480680728929,73,73
HOUR,NEW_FAILURES,4,27,2.8849315068493184,3.606164383561644,0.7212328767123255,73,73
HOUR,NEW_FAILURES,4,28,2.9176382697945966,3.606164383561644,0.6885261137670473,73,73
HOUR,NEW_FAILURES,4,29,2.8849315068493184,3.4559075342465753,0.5709760273972568,73,73
HOUR,NEW_FAILURES,4,30,2.835089476126772,3.362230700436799,0.5271412243100269,73,73
HOUR,NEW_FAILURES,4,31,2.6845890410958932,3.2555650684931505,0.5709760273972573,73,73
HOUR,NEW_FAILURES,4,32,2.564383561643838,2.8543243574921733,0.2899407958483353,73,73
HOUR,NEW_FAILURES,5,33,2.6088247780447156,3.1185661764705883,0.5097413984258727,34,34
HOUR,NEW_FAILURES,5,34,2.5657464865382527,2.9034926470588234,0.3377461605205707,34,34
HOUR,NEW_FAILURES,5,35,2.4948529411764695,2.6046824989864668,0.10982955780999726,34,34
HOUR,NEW_FAILURES,5,36,2.4088235294117637,2.5808823529411766,0.17205882352941293,34,34
HOUR,NEW_FAILURES,5,37,2.4088235294117637,2.5808823529411766,0.17205882352941293,34,34
HOUR,NEW_FAILURES,5,38,2.4088235294117637,2.5808823529411766,0.17205882352941293,34,34
HOUR,NEW_FAILURES,5,39,2.441854675588628,2.5808823529411766,0.13902767735254873,34,34
HOUR,NEW_FAILURES,5,40,2.5808823529411753,2.9884543372610852,0.40757198431990993,34,34
HOUR,NEW_FAILURES,6,41,2.6,3.65625,1.05625,9,9
HOUR,NEW_FAILURES,6,42,2.6,3.65625,1.05625,9,9
HOUR,NEW_FAILURES,6,43,2.6,3.65625,1.05625,9,9
HOUR,NEW_FAILURES,6,44,2.2750000000000004,2.84375,0.5687499999999996,9,9
HOUR,NEW_FAILURES,6,45,2.2750000000000004,3.1337414313210545,0.8587414313210542,9,9
HOUR,NEW_FAILURES,6,46,2.6,3.65625,1.05625,9,9
HOUR,NEW_FAILURES,6,47,2.6,3.65625,1.05625,9,9
HOUR,NEW_FAILURES,6,48,2.9250000000000003,3.65625,0.7312499999999997,9,9
STAGE_TOTAL_PER_PATH,NEW_FAILURES,1,ALL,23.400000000000034,27.30023846891362,3.900238468913585,82,82
STAGE_TOTAL_PER_PATH,NEW_FAILURES,2,ALL,11.271951219512186,13.198170731707316,1.9262195121951304,82,82
STAGE_TOTAL_PER_PATH,NEW_FAILURES,3,ALL,17.528819778905845,20.68134459947877,3.152524820572925,82,82
STAGE_TOTAL_PER_PATH,NEW_FAILURES,4,ALL,20.067367383564157,24.33170156339191,4.2643341798277525,82,82
STAGE_TOTAL_PER_PATH,NEW_FAILURES,5,ALL,8.258944902022368,9.09654454185874,0.8375996398363732,82,82
STAGE_TOTAL_PER_PATH,NEW_FAILURES,6,ALL,2.247256097560976,3.0638405229498717,0.8165844253888959,82,82
