record_type,cohort,site,stage,global_hour,mean_inventory_delta_kg,first_negative_note,minimum_stage,minimum_global_hour,minimum_mean_inventory_delta_kg
HOUR,NEW_FAILURES,2,5,38,8.360908216660667,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,2,5,39,9.109564745426344,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,2,5,40,10.384649910102098,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,2,6,41,24.45880572705042,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,2,6,42,27.738736621627783,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,2,6,43,27.318069415993065,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,2,6,44,26.14889818345912,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,2,6,45,29.449442435982107,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,2,6,46,32.053149143590446,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,2,6,47,32.85291638265149,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,2,6,48,30.802951700938916,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
SUMMARY,NEW_FAILURES,3,2,10,-0.5029457839237491,first hour with mean B0001-Base ending inventory delta < 0,6,48,-13.223411791222553
HOUR,NEW_FAILURES,3,1,1,0.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,3,1,2,0.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,3,1,3,0.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,3,1,4,0.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,3,1,5,0.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,3,1,6,0.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,3,1,7,0.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,3,1,8,0.0,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,3,2,9,0.46723060933685734,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,3,2,10,-0.5029457839237491,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,3,2,11,-0.5573714265771421,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,3,2,12,-0.6139727050522206,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,3,2,13,0.9344612186737147,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,3,2,14,0.9129090767620714,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,3,2,15,0.898876730207458,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,3,2,16,-0.46092645408372124,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,3,3,17,3.279482225100809,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,3,3,18,3.1012813697057533,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,3,3,19,2.3047572523021764,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,3,3,20,2.5970163689333257,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,3,3,21,2.191121473899409,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,3,3,22,2.0898781165559193,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,3,3,23,2.3979536551089913,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,3,3,24,0.4291306331476555,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,3,4,25,6.139850646305918,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,3,4,26,5.992751027115052,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,3,4,27,5.563079241435707,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,3,4,28,5.619015138392292,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,3,4,29,4.872189999077622,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,3,4,30,5.472479816434067,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,3,4,31,4.877243623742106,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,3,4,32,5.24536377654853,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,3,5,33,-1.2084792114678549,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,3,5,34,-3.0591997124705737,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,3,5,35,-4.917626733604805,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,3,5,36,-6.378710314533193,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,3,5,37,-6.636219926269374,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,3,5,38,-9.089157624007484,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,3,5,39,-10.268019988247755,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,3,5,40,-11.809963545311888,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,3,6,41,-7.988451566480251,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,3,6,42,-7.134194597237608,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,3,6,43,-8.060353492948732,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,3,6,44,-8.27345189651951,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,3,6,45,-7.136985424377254,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,3,6,46,-10.899824029647084,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,3,6,47,-12.476478071906278,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
HOUR,NEW_FAILURES,3,6,48,-13.223411791222553,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE
