mode,source_eta,state_id,intensity,loc,source_lfw,main_msp_lf,main_state_k,T1_kg,T2_kg,T3_kg,T4_kg,TerminalLOH_total_kg,formula_k,mapping_formula_pass,station_order,non_target_max_abs_kg
chi2_eta003,0.03,23,5,2,0,7,239,277.406850906388,141.287090282329,61.0968533805147,150,629.790794569232,239,1,"T1_kg,T2_kg,T3_kg,T4_kg",0
chi2_eta003,0.03,24,5,3,0,7,247,278.513576350821,136.906705367182,61.1125785326699,150,626.532860250673,247,1,"T1_kg,T2_kg,T3_kg,T4_kg",0
chi2_eta003,0.03,25,5,4,0,7,255,276.300390904299,141.809518632341,54.0207737598781,150,622.130683296519,255,1,"T1_kg,T2_kg,T3_kg,T4_kg",0
chi2_eta003,0.03,26,5,5,0,7,263,271.194922361943,137.134215078136,49.6407679003528,150,607.969905340432,263,1,"T1_kg,T2_kg,T3_kg,T4_kg",0
chi2_eta003,0.03,27,5,6,0,7,271,271.951288207453,131.468495838033,54.5501038750447,150,607.969887920531,271,1,"T1_kg,T2_kg,T3_kg,T4_kg",0
chi2_eta003,0.03,28,5,7,0,7,279,266.387722760742,113.46575234314,52.9143765828423,149.154677546133,581.922529232857,279,1,"T1_kg,T2_kg,T3_kg,T4_kg",0
chi2_eta003,0.03,29,6,1,0,7,287,299.772462370493,143.468674173339,82.1081042623194,150,675.349240806152,287,1,"T1_kg,T2_kg,T3_kg,T4_kg",0
chi2_eta003,0.03,30,6,2,0,7,295,300,143.241148115322,88.3216683109635,150,681.562816426285,295,1,"T1_kg,T2_kg,T3_kg,T4_kg",0
chi2_eta003,0.03,31,6,3,0,7,303,300,143.241140516995,83.7691237697975,150,677.010264286793,303,1,"T1_kg,T2_kg,T3_kg,T4_kg",0
chi2_eta003,0.03,32,6,4,0,7,311,300,139.105719792175,83.4615116465665,150,672.567231438742,311,1,"T1_kg,T2_kg,T3_kg,T4_kg",0
chi2_eta003,0.03,33,6,5,0,7,319,300,133.421984648734,73.6444866111792,150,657.066471259913,319,1,"T1_kg,T2_kg,T3_kg,T4_kg",0
chi2_eta003,0.03,34,6,6,0,7,327,300,123.603016670133,58.1418507848514,150,631.744867454984,327,1,"T1_kg,T2_kg,T3_kg,T4_kg",0
chi2_eta003,0.03,35,6,7,0,7,335,300,106.980914137021,50.9889763636863,150,607.969890500707,335,1,"T1_kg,T2_kg,T3_kg,T4_kg",0
