iteration,saa_LB,chi2_eta003_LB,LB_difference,cuts_available_before_forward,saa_cumulative_cut_rows_before_forward,chi2_cumulative_cut_rows_before_forward,same_seed_and_sampling,forward_LB_exact_match
59,16712.3903689603,20187.8806119991,3475.49024303877,1,73138,73138,1,0
60,16899.2965145505,20417.8336821645,3518.53716761401,1,74399,74399,1,0
61,16905.0118896575,20419.8323148832,3514.82042522569,1,75660,75660,1,0
62,16913.54113043,20421.4346191528,3507.89348872287,1,76921,76921,1,0
63,16915.8072903796,20422.5894112333,3506.78212085366,1,78182,78182,1,0
64,16925.3594840702,20446.1182416232,3520.75875755298,1,79443,79443,1,0
65,16939.7177443174,20679.1749063715,3739.4571620541,1,80704,80704,1,0
66,16947.7212951304,20679.4612342096,3731.73993907924,1,81965,81965,1,0
67,16947.7212951304,20679.9431006245,3732.22180549408,1,83226,83226,1,0
68,16970.1666171061,20694.0970475466,3723.93043044046,1,84487,84487,1,0
69,16975.6926950417,20704.3818693033,3728.68917426162,1,85748,85748,1,0
70,16975.6926950417,20704.3818693033,3728.68917426162,1,87009,87009,1,0
71,16975.6926950417,20704.3818693033,3728.68917426162,1,88270,88270,1,0
72,17107.7173470807,20733.3425959479,3625.62524886725,1,89531,89531,1,0
73,17118.3176348701,20736.9144871588,3618.59685228873,1,90792,90792,1,0
74,17119.2612716091,20739.9469595775,3620.68568796839,1,92053,92053,1,0
75,17213.1700146739,20808.9302263918,3595.76021171787,1,93314,93314,1,0
76,17218.2265700869,20818.7048620435,3600.47829195661,1,94575,94575,1,0
77,17415.1780358891,20893.1701342266,3477.9920983375,1,95836,95836,1,0
78,17518.0190649132,20946.2467457092,3428.22768079598,1,97097,97097,1,0
79,17594.9502193103,20953.7801641533,3358.82994484299,1,98358,98358,1,0
80,17636.6373635511,20991.4432212168,3354.80585766568,1,99619,99619,1,0
81,17637.9513961629,20991.4432212168,3353.49182505387,1,100880,100880,1,0
82,17644.7886344863,20993.2836803646,3348.4950458783,1,102141,102141,1,0
83,17644.7886344863,20993.2836803646,3348.4950458783,1,103402,103402,1,0
84,17657.8761646619,21001.2540965797,3343.37793191781,1,104663,104663,1,0
85,17658.1680387674,21001.2540965797,3343.08605781236,1,105924,105924,1,0
86,17658.1680387674,21001.2540965797,3343.08605781236,1,107185,107185,1,0
87,17665.2385070425,21008.2144491608,3342.97594211829,1,108446,108446,1,0
88,17667.1914285864,21010.8258947848,3343.63446619833,1,109707,109707,1,0
89,17668.4869802019,21011.818829395,3343.33184919319,1,110968,110968,1,0
90,17669.87918009,21012.9411936208,3343.06201353078,1,112229,112229,1,0
91,17733.850023212,21039.9620210607,3306.11199784867,1,113490,113490,1,0
92,17738.1807336354,21041.0391982201,3302.85846458478,1,114751,114751,1,0
93,17774.3457592912,21048.8775339638,3274.53177467263,1,116012,116012,1,0
94,17834.9756031934,21181.629019874,3346.6534166806,1,117273,117273,1,0
95,17858.2136784977,21195.5409835433,3337.32730504561,1,118534,118534,1,0
96,17882.7996389686,21208.1461141313,3325.34647516275,1,119795,119795,1,0
97,17882.8709978426,21210.185899624,3327.31490178145,1,121056,121056,1,0
98,17882.8709978426,21210.185899624,3327.31490178145,1,122317,122317,1,0
99,17884.6934598817,21210.8302117482,3326.13675186646,1,123578,123578,1,0
100,17884.7697648722,21212.6528640451,3327.88309917293,1,124839,124839,1,0
101,17958.4158825889,21231.9700914354,3273.55420884649,1,126100,126100,1,0
102,17958.4158825889,21231.9700914354,3273.55420884649,1,127361,127361,1,0
103,17960.8943293122,21239.9264811334,3279.0321518212,1,128622,128622,1,0
104,17966.6724214902,21249.9378224957,3283.2654010055,1,129883,129883,1,0
105,17966.6724214902,21249.9378224957,3283.2654010055,1,131144,131144,1,0
106,17966.9787952624,21254.8537095407,3287.87491427831,1,132405,132405,1,0
107,17968.1050839277,21256.3230318913,3288.21794796361,1,133666,133666,1,0
108,17979.210127122,21268.7945080877,3289.58438096573,1,134927,134927,1,0
109,17979.2791719853,21336.0300265007,3356.75085451539,1,136188,136188,1,0
110,17986.6137382586,21336.4215979447,3349.80785968615,1,137449,137449,1,0
111,17989.627342318,21339.8388060195,3350.2114637015,1,138710,138710,1,0
112,17994.3764952556,21340.7062517271,3346.3297564715,1,139971,139971,1,0
113,17995.2138705332,21342.1386060289,3346.9247354957,1,141232,141232,1,0
114,17995.2138705332,21342.1386060289,3346.9247354957,1,142493,142493,1,0
115,17995.2138705332,21342.2271665511,3347.0132960179,1,143754,143754,1,0
116,17995.2789525044,21343.06475263,3347.78580012564,1,145015,145015,1,0
117,17995.2789525044,21343.06475263,3347.78580012564,1,146276,146276,1,0
118,18127.8770375958,21347.7498641767,3219.8728265809,1,147537,147537,1,0
119,18235.7631654108,21467.5127065492,3231.74954113837,1,148798,148798,1,0
120,18257.9824088547,21471.5274223413,3213.54501348664,1,150059,150059,1,0
121,18283.6270337568,21471.5953492242,3187.96831546734,1,151320,151320,1,0
122,18294.1183708194,21479.346191401,3185.22782058159,1,152581,152581,1,0
123,18299.3001957283,21490.7373681118,3191.43717238352,1,153842,153842,1,0
124,18310.3993235542,21491.3114690567,3180.91214550249,1,155103,155103,1,0
125,18311.4606514004,21491.7726978056,3180.31204640523,1,156364,156364,1,0
126,18315.1806185746,21537.2181755971,3222.03755702252,1,157625,157625,1,0
127,18329.5800695906,21544.1998450767,3214.61977548609,1,158886,158886,1,0
128,18335.2530859222,21544.9985503348,3209.74546441255,1,160147,160147,1,0
129,18340.5820269453,21550.7161078783,3210.13408093294,1,161408,161408,1,0
130,18342.7232266129,21552.8113800488,3210.08815343583,1,162669,162669,1,0
131,18370.4281268115,21556.1569673663,3185.72884055474,1,163930,163930,1,0
132,18390.8307570541,21560.1385821259,3169.30782507176,1,165191,165191,1,0
133,18401.1813763045,21560.8755692112,3159.69419290673,1,166452,166452,1,0
134,18401.5433350517,21561.0092994938,3159.46596444211,1,167713,167713,1,0
135,18402.7223014441,21562.9587381618,3160.23643671775,1,168974,168974,1,0
136,18402.7223014441,21562.9587381618,3160.23643671775,1,170235,170235,1,0
137,18402.9889922272,21564.6404947122,3161.65150248504,1,171496,171496,1,0
138,18406.3107538481,21566.2831262339,3159.97237238578,1,172757,172757,1,0
139,18407.8754385097,21566.8702652859,3158.99482677622,1,174018,174018,1,0
140,18408.0183850615,21567.8146219569,3159.79623689541,1,175279,175279,1,0
141,18408.8386698189,21570.2160027309,3161.37733291199,1,176540,176540,1,0
142,18408.8386698189,21570.2160027309,3161.37733291199,1,177801,177801,1,0
143,18423.2155704963,21583.2008301571,3159.98525966078,1,179062,179062,1,0
144,18426.301171509,21583.8033022196,3157.50213071068,1,180323,180323,1,0
145,18426.458844521,21585.1665633442,3158.70771882328,1,181584,181584,1,0
146,18473.0628085434,21648.4423258822,3175.37951733889,1,182845,182845,1,0
147,18475.2845138257,21650.4890667803,3175.20455295462,1,184106,184106,1,0
148,18478.7203463409,21650.6847008449,3171.96435450401,1,185367,185367,1,0
149,18480.2839193291,21652.2798491524,3171.99592982325,1,186628,186628,1,0
150,18480.9270574203,21652.5239513336,3171.59689391333,1,187889,187889,1,0
151,18481.4142157608,21652.5239513336,3171.10973557288,1,189150,189150,1,0
152,18481.5507738573,21652.6075705434,3171.05679668611,1,190411,190411,1,0
153,18481.5865593017,21652.6075705434,3171.02101124163,1,191672,191672,1,0
154,18488.0259741028,21670.1262367282,3182.10026262536,1,192933,192933,1,0
155,18488.2350004155,21671.6145589818,3183.37955856633,1,194194,194194,1,0
156,18488.5452392056,21671.8417292344,3183.29649002877,1,195455,195455,1,0
157,18490.131788169,21672.016730534,3181.88494236505,1,196716,196716,1,0
158,18490.7176639302,21673.0151510322,3182.29748710196,1,197977,197977,1,0
159,18491.5019579312,21673.2196633253,3181.71770539416,1,199238,199238,1,0
160,18493.604879581,21675.2602682771,3181.65538869604,1,200499,200499,1,0
161,18493.604879581,21675.2602682771,3181.65538869604,1,201760,201760,1,0
162,18494.7147705245,21675.3924427557,3180.67767223126,1,203021,203021,1,0
163,18494.717657976,21676.8531556329,3182.13549765693,1,204282,204282,1,0
