initial_state_id,R,site_id,positive_demand_scenario_count,mean_total_demand_kg,max_total_demand_kg,scenario_weight,T_aggregate_kg,T_period_kg,period_minus_aggregate_kg,site_absolute_difference_kg,site_difference_fraction_of_capacity,aggregate_total_T_kg,period_total_T_kg,period_minus_aggregate_total_kg,total_absolute_difference_kg,total_difference_fraction_of_total_capacity,aggregate_at_capacity,period_at_capacity,aggregate_relative_regret,period_relative_regret,case_pass,difference_direction,site_direction_stable_across_R,reference_dominant_site_R500,reference_direction_stable_across_R,state_max_site_difference_kg,state_max_relative_regret,state_close_diagnostic,aggregate_capacity_hit_count,period_capacity_hit_count
9,500,2,136,43.5250797807053,607.969887897881,0.002,166.92578348744,81.008100810081,-85.9176826773586,85.9176826773586,0.429588413386793,609.606415186973,607.969887897881,-1.63652728909267,1.63652728909267,0.00218203638545689,0,0,0.0752290796491022,0.00213708971179583,1,PERIOD_LOWER,1,2,1,85.9176826773586,0.0752290796491022,0,1,1
9,500,3,136,43.5250797807053,607.969887897881,0.002,16.3652728909255,87.5542099664512,71.1889370755257,71.1889370755257,0.711889370755257,609.606415186973,607.969887897881,-1.63652728909267,1.63652728909267,0.00218203638545689,0,0,0.0752290796491022,0.00213708971179583,1,PERIOD_HIGHER,0,2,1,85.9176826773586,0.0752290796491022,0,1,1
9,500,4,136,43.5250797807053,607.969887897881,0.002,150,150,0,0,0,609.606415186973,607.969887897881,-1.63652728909267,1.63652728909267,0.00218203638545689,1,1,0.0752290796491022,0.00213708971179583,1,ZERO,1,2,1,85.9176826773586,0.0752290796491022,0,1,1
9,1000,1,275,44.9562228950168,607.969887897881,0.001,300,277.679131549518,-22.3208684504816,22.3208684504816,0.0744028948349385,681.613615907045,607.969887897881,-73.6437280091645,73.6437280091645,0.0981916373455527,1,0,0.0276914326111476,0.02251652966323,1,PERIOD_LOWER,0,2,1,29.4574912036658,0.0276914326111476,0,2,1
9,1000,2,275,44.9562228950168,607.969887897881,0.001,143.241142296048,121.37577394103,-21.8653683550173,21.8653683550173,0.109326841775086,681.613615907045,607.969887897881,-73.6437280091645,73.6437280091645,0.0981916373455527,0,0,0.0276914326111476,0.02251652966323,1,PERIOD_LOWER,1,2,1,29.4574912036658,0.0276914326111476,0,2,1
9,1000,3,275,44.9562228950168,607.969887897881,0.001,88.3724736109975,58.9149824073316,-29.4574912036658,29.4574912036658,0.294574912036658,681.613615907045,607.969887897881,-73.6437280091645,73.6437280091645,0.0981916373455527,0,0,0.0276914326111476,0.02251652966323,1,PERIOD_LOWER,0,2,1,29.4574912036658,0.0276914326111476,0,2,1
9,1000,4,275,44.9562228950168,607.969887897881,0.001,150,150,0,0,0,681.613615907045,607.969887897881,-73.6437280091645,73.6437280091645,0.0981916373455527,1,1,0.0276914326111476,0.02251652966323,1,ZERO,1,2,1,29.4574912036658,0.0276914326111476,0,2,1
9,2000,1,525,44.5680931729537,607.969887897881,0.0005,300,274.936584567548,-25.0634154324524,25.0634154324524,0.0835447181081745,666.56711125658,607.969887897881,-58.5972233586995,58.5972233586995,0.0781296311449326,1,0,0.0184048054682959,0.0317461551827079,1,PERIOD_LOWER,0,2,1,29.4574912036658,0.0317461551827079,0,2,1
9,2000,2,525,44.5680931729537,607.969887897881,0.0005,128.194637645583,124.118320923001,-4.07631672258132,4.07631672258132,0.0203815836129066,666.56711125658,607.969887897881,-58.5972233586995,58.5972233586995,0.0781296311449326,0,0,0.0184048054682959,0.0317461551827079,1,PERIOD_LOWER,1,2,1,29.4574912036658,0.0317461551827079,0,2,1
9,2000,3,525,44.5680931729537,607.969887897881,0.0005,88.3724736109975,58.9149824073316,-29.4574912036658,29.4574912036658,0.294574912036658,666.56711125658,607.969887897881,-58.5972233586995,58.5972233586995,0.0781296311449326,0,0,0.0184048054682959,0.0317461551827079,1,PERIOD_LOWER,0,2,1,29.4574912036658,0.0317461551827079,0,2,1
9,2000,4,525,44.5680931729537,607.969887897881,0.0005,150,150,0,0,0,666.56711125658,607.969887897881,-58.5972233586995,58.5972233586995,0.0781296311449326,1,1,0.0184048054682959,0.0317461551827079,1,ZERO,1,2,1,29.4574912036658,0.0317461551827079,0,2,1
11,500,1,122,36.9156915691569,607.969887897881,0.002,300,300,0,0,0,489.837165534735,572.784551182391,82.9473856476557,82.9473856476557,0.110596514196874,1,1,0.0474526793060418,0.0832349723839866,1,ZERO,0,2,0,77.4622916837138,0.0832349723839866,0,1,1
11,500,2,122,36.9156915691569,607.969887897881,0.002,24.5479093363882,102.010201020102,77.4622916837138,77.4622916837138,0.387311458418569,489.837165534735,572.784551182391,82.9473856476557,82.9473856476557,0.110596514196874,0,0,0.0474526793060418,0.0832349723839866,1,PERIOD_HIGHER,0,2,0,77.4622916837138,0.0832349723839866,0,1,1
11,500,3,122,36.9156915691569,607.969887897881,0.002,24.5479093363882,39.8521670348852,15.304257698497,15.304257698497,0.15304257698497,489.837165534735,572.784551182391,82.9473856476557,82.9473856476557,0.110596514196874,0,0,0.0474526793060418,0.0832349723839866,1,PERIOD_HIGHER,1,2,0,77.4622916837138,0.0832349723839866,0,1,1
11,500,4,122,36.9156915691569,607.969887897881,0.002,140.741346861959,130.922183127404,-9.81916373455527,9.81916373455527,0.0654610915637018,489.837165534735,572.784551182391,82.9473856476557,82.9473856476557,0.110596514196874,0,0,0.0474526793060418,0.0832349723839866,1,PERIOD_LOWER,1,2,0,77.4622916837138,0.0832349723839866,0,1,1
11,1000,1,226,35.8391293674822,607.969887897881,0.001,300,300,0,0,0,607.969887897881,607.969887897881,1.13686837721616e-13,1.13686837721616e-13,1.51582450295488e-16,1,1,0.0012088045374024,1.65255180405453e-05,1,ZERO,0,2,0,6.00060006000599,0.0012088045374024,1,1,1
11,1000,2,226,35.8391293674822,607.969887897881,0.001,100.130922183127,96.5551100564602,-3.57581212666716,3.57581212666716,0.0178790606333358,607.969887897881,607.969887897881,1.13686837721616e-13,1.13686837721616e-13,1.51582450295488e-16,0,0,0.0012088045374024,1.65255180405453e-05,1,PERIOD_LOWER,0,2,0,6.00060006000599,0.0012088045374024,1,1,1
11,1000,3,226,35.8391293674822,607.969887897881,0.001,67.0976188527944,73.0982189128004,6.00060006000599,6.00060006000599,0.0600060006000599,607.969887897881,607.969887897881,1.13686837721616e-13,1.13686837721616e-13,1.51582450295488e-16,0,0,0.0012088045374024,1.65255180405453e-05,1,PERIOD_HIGHER,1,2,0,6.00060006000599,0.0012088045374024,1,1,1
11,1000,4,226,35.8391293674822,607.969887897881,0.001,140.741346861959,138.31655892862,-2.42478793333873,2.42478793333873,0.0161652528889249,607.969887897881,607.969887897881,1.13686837721616e-13,1.13686837721616e-13,1.51582450295488e-16,0,0,0.0012088045374024,1.65255180405453e-05,1,PERIOD_LOWER,1,2,0,6.00060006000599,0.0012088045374024,1,1,1
11,2000,1,440,34.5543190682705,607.969887897881,0.0005,300,289.665330169381,-10.3346698306195,10.3346698306195,0.0344488994353983,602.757548482121,572.784551182391,-29.97299729973,29.97299729973,0.03996399639964,1,0,0.00596971490804366,0.00697735549641962,1,PERIOD_LOWER,0,2,0,18.001800180018,0.00697735549641962,1,1,0
11,2000,2,440,34.5543190682705,607.969887897881,0.0005,107.465291983744,89.4634918037258,-18.001800180018,18.001800180018,0.09000900090009,602.757548482121,572.784551182391,-29.97299729973,29.97299729973,0.03996399639964,0,0,0.00596971490804366,0.00697735549641962,1,PERIOD_LOWER,0,2,0,18.001800180018,0.00697735549641962,1,1,0
11,2000,3,440,34.5543190682705,607.969887897881,0.0005,54.5509096364181,62.7335460818809,8.18263644546278,8.18263644546278,0.0818263644546278,602.757548482121,572.784551182391,-29.97299729973,29.97299729973,0.03996399639964,0,0,0.00596971490804366,0.00697735549641962,1,PERIOD_HIGHER,1,2,0,18.001800180018,0.00697735549641962,1,1,0
11,2000,4,440,34.5543190682705,607.969887897881,0.0005,140.741346861959,130.922183127404,-9.8191637345553,9.8191637345553,0.065461091563702,602.757548482121,572.784551182391,-29.97299729973,29.97299729973,0.03996399639964,0,0,0.00596971490804366,0.00697735549641962,1,PERIOD_LOWER,1,2,0,18.001800180018,0.00697735549641962,1,1,0
19,500,1,260,118.734964405531,607.969887897881,0.002,300,300,0,0,0,750,611.74344707198,-138.25655292802,138.25655292802,0.184342070570694,1,1,0.021180070697749,0.0225567277316484,1,ZERO,0,2,1,97.7170444317159,0.0225567277316484,0,4,2
19,500,2,260,118.734964405531,607.969887897881,0.002,200,102.282955568284,-97.7170444317159,97.7170444317159,0.48858522215858,750,611.74344707198,-138.25655292802,138.25655292802,0.184342070570694,1,0,0.021180070697749,0.0225567277316484,1,PERIOD_LOWER,1,2,1,97.7170444317159,0.0225567277316484,0,4,2
19,500,3,260,118.734964405531,607.969887897881,0.002,100,59.4604915036958,-40.5395084963042,40.5395084963042,0.405395084963042,750,611.74344707198,-138.25655292802,138.25655292802,0.184342070570694,1,0,0.021180070697749,0.0225567277316484,1,PERIOD_LOWER,1,2,1,97.7170444317159,0.0225567277316484,0,4,2
19,500,4,260,118.734964405531,607.969887897881,0.002,150,150,0,0,0,750,611.74344707198,-138.25655292802,138.25655292802,0.184342070570694,1,1,0.021180070697749,0.0225567277316484,1,ZERO,1,2,1,97.7170444317159,0.0225567277316484,0,4,2
19,1000,1,554,125.915500640973,607.969887897881,0.001,300,300,0,0,0,743.382974661102,658.929983907482,-84.4529907536208,84.4529907536208,0.112603987671494,1,1,0.0151402335250929,0.0129762961916346,1,ZERO,0,2,1,81.235850857813,0.0151402335250929,0,3,2
19,1000,2,554,125.915500640973,607.969887897881,0.001,193.382974661103,112.14712380329,-81.235850857813,81.235850857813,0.406179254289065,743.382974661102,658.929983907482,-84.4529907536208,84.4529907536208,0.112603987671494,0,0,0.0151402335250929,0.0129762961916346,1,PERIOD_LOWER,1,2,1,81.235850857813,0.0151402335250929,0,3,2
19,1000,3,554,125.915500640973,607.969887897881,0.001,100,96.7828601041922,-3.21713989580785,3.21713989580785,0.0321713989580785,743.382974661102,658.929983907482,-84.4529907536208,84.4529907536208,0.112603987671494,1,0,0.0151402335250929,0.0129762961916346,1,PERIOD_LOWER,1,2,1,81.235850857813,0.0151402335250929,0,3,2
19,1000,4,554,125.915500640973,607.969887897881,0.001,150,150,0,0,0,743.382974661102,658.929983907482,-84.4529907536208,84.4529907536208,0.112603987671494,1,1,0.0151402335250929,0.0129762961916346,1,ZERO,1,2,1,81.235850857813,0.0151402335250929,0,3,2
19,2000,1,1121,126.928647410195,607.969887897881,0.0005,300,272.769549682241,-27.2304503177591,27.2304503177591,0.0907681677258635,743.382974661102,652.156124703379,-91.2268499577231,91.2268499577231,0.121635799943631,1,0,0.016216999998781,0.0071402274178889,1,PERIOD_LOWER,0,2,1,54.005400540054,0.016216999998781,0,3,1
19,2000,2,1121,126.928647410195,607.969887897881,0.0005,193.382974661103,139.377574121048,-54.005400540054,54.005400540054,0.27002700270027,743.382974661102,652.156124703379,-91.2268499577231,91.2268499577231,0.121635799943631,0,0,0.016216999998781,0.0071402274178889,1,PERIOD_LOWER,1,2,1,54.005400540054,0.016216999998781,0,3,1
19,2000,3,1121,126.928647410195,607.969887897881,0.0005,100,90.00900090009,-9.99099909990998,9.99099909990998,0.0999099909990998,743.382974661102,652.156124703379,-91.2268499577231,91.2268499577231,0.121635799943631,1,0,0.016216999998781,0.0071402274178889,1,PERIOD_LOWER,1,2,1,54.005400540054,0.016216999998781,0,3,1
19,2000,4,1121,126.928647410195,607.969887897881,0.0005,150,150,0,0,0,743.382974661102,652.156124703379,-91.2268499577231,91.2268499577231,0.121635799943631,1,1,0.016216999998781,0.0071402274178889,1,ZERO,1,2,1,54.005400540054,0.016216999998781,0,3,1
