check,observed,expected,source,pass
ALL_anchor_event_identity,"{(8916, -16), (9638, -4), (3997, -4), (9334, -4), (477, -4), (904, -16), (5592, -16), (8332, -16), (6257, -8), (5557, -8), (1432, -4), (7392, -4), (6960, -16), (7669, -4), (6098, -8), (8061, -8), (8747, -16), (8384, -4), (6260, -16), (7862, -16), (5334, -8), (5265, -16), (201, -8), (5152, -16), (3381, -8), (2962, -16), (5055, -4), (6266, -8), (3951, -8), (7786, -16), (8716, -8), (1313, -16), (3911, -8), (6098, -4), (2916, -8), (3909, -16), (7669, -16), (6663, -16), (2268, -16), (869, -8), (9276, -8), (7623, -8), (4075, -8), (3381, -4), (152, -16), (8138, -8), (2829, -8), (459, -8), (4711, -8), (8716, -4), (326, -16), (1666, -16), (3269, -8), (4723, -16), (1580, -4), (1628, -16), (488, -16), (2000, -16), (9428, -16), (6098, -16), (869, -4), (9825, -8), (3349, -16), (1655, -8), (2420, -16), (4329, -8), (2676, -8), (2414, -8), (965, -4), (4689, -16), (8440, -8), (9657, -8), (783, -8), (518, -16), (3269, -4), (467, -16), (643, -16), (668, -8), (8716, -16), (5212, -16), (5685, -16), (6266, -4), (9825, -4), (8611, -8), (801, -16), (9063, -16), (7541, -8), (2467, -16), (1057, -8), (2419, -8), (7564, -16), (1320, -16), (766, -8), (6526, -8), (8440, -4), (9955, -8), (9638, -8), (783, -4), (4007, -16), (3997, -8), (4448, -8), (2103, -16), (4711, -16), (2052, -16), (4674, -8), (2435, -16), (2501, -16), (2316, -16), (1165, -16), (6698, -16), (5444, -8), (8873, -8), (1432, -8), (6266, -16), (9825, -16), (7669, -8), (3724, -16), (4744, -8)}","{(8916, -16), (9638, -4), (3997, -4), (9334, -4), (477, -4), (904, -16), (5592, -16), (8332, -16), (6257, -8), (5557, -8), (1432, -4), (7392, -4), (6960, -16), (7669, -4), (6098, -8), (8061, -8), (8747, -16), (8384, -4), (6260, -16), (7862, -16), (5334, -8), (5265, -16), (201, -8), (5152, -16), (3381, -8), (2962, -16), (5055, -4), (6266, -8), (3951, -8), (7786, -16), (8716, -8), (1313, -16), (3911, -8), (6098, -4), (2916, -8), (3909, -16), (7669, -16), (6663, -16), (2268, -16), (869, -8), (9276, -8), (7623, -8), (4075, -8), (3381, -4), (152, -16), (8138, -8), (2829, -8), (459, -8), (4711, -8), (8716, -4), (326, -16), (1666, -16), (3269, -8), (4723, -16), (1580, -4), (1628, -16), (488, -16), (2000, -16), (9428, -16), (6098, -16), (869, -4), (9825, -8), (3349, -16), (1655, -8), (2420, -16), (4329, -8), (2676, -8), (2414, -8), (965, -4), (4689, -16), (8440, -8), (9657, -8), (783, -8), (518, -16), (3269, -4), (467, -16), (643, -16), (668, -8), (8716, -16), (5212, -16), (5685, -16), (6266, -4), (9825, -4), (8611, -8), (801, -16), (9063, -16), (7541, -8), (2467, -16), (1057, -8), (2419, -8), (7564, -16), (1320, -16), (766, -8), (6526, -8), (8440, -4), (9955, -8), (9638, -8), (783, -4), (4007, -16), (3997, -8), (4448, -8), (2103, -16), (4711, -16), (2052, -16), (4674, -8), (2435, -16), (2501, -16), (2316, -16), (1165, -16), (6698, -16), (5444, -8), (8873, -8), (1432, -8), (6266, -16), (9825, -16), (7669, -8), (3724, -16), (4744, -8)}",G3 formal events,True
ALL_anchor_retained_paths,"[104, 89]","[104, 89]",G3 formal events,True
all16_grid_summary,True,True,grid event aggregation,True
32_subset_pair_recomposition,"[32, True]","[32, True]",grid summary,True
subset_retained_monotonic,6,>=0,site pairs,True
Pareto_independent,True,True,frontier recomposition,True
ALL_gain_thresholds,True,True,grid summary,True
selected_candidates_max3,3,<=3,decision,True
selected_expected_roles,"{'B1111', 'B0001', 'B1011'}","{'B1011', 'B0001', 'B1111'}",decision rules,True
recommendation_enumerated,S4_AND_ASYMMETRIC_SMOKE,enumerated,status,True
no_forbidden_capability,[],[],main AST,True
figure_count,8,8,figure directory,True
contact_sheet,True,True,figure directory,True
lightweight_extensions,"['.csv', '.md', '.png']","['.csv', '.md', '.png']",accepted trees,True
