method,intensity,loc,terminal_state_k,site,target_loh_kg,accepted_source,accepted_source_sha256
saa,2,4,87,1,0.0,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,2,4,87,2,0.0,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,2,4,87,3,0.0,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,2,4,87,4,0.0,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,2,5,95,1,0.0,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,2,5,95,2,0.0,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,2,5,95,3,0.0,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,2,5,95,4,0.0,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,2,6,103,1,0.0,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,2,6,103,2,0.0,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,2,6,103,3,0.0,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,2,6,103,4,0.0,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,2,7,111,1,0.0,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,2,7,111,2,0.0,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,2,7,111,3,0.0,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,2,7,111,4,0.0,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,3,1,119,1,193.1102201129204,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,3,1,119,2,80.18983716553474,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,3,1,119,3,16.365272890925453,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,3,1,119,4,81.82636445462727,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,3,2,127,1,181.3817745410905,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,3,2,127,2,78.28055532826008,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,3,2,127,3,21.27485475820309,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,3,2,127,4,101.19193737555568,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,3,3,135,1,198.2925565283801,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,3,3,135,2,77.73504623189591,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,3,3,135,3,22.093118402749347,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,3,3,135,4,74.18923710552873,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,3,4,143,1,192.5647110165561,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,3,4,143,2,72.007200720072,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,3,4,143,3,16.365272890925453,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,3,4,143,4,74.18923710552873,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,3,5,151,1,202.3838747511113,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,3,5,151,2,32.73054578185091,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,3,5,151,3,16.365272890925453,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,3,5,151,4,74.18923710552872,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,3,6,159,1,133.37697406104255,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,3,6,159,2,36.276354908218,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,3,6,159,3,9.819163734555271,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,3,6,159,4,61.09701879278845,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,3,7,167,1,121.10301939284837,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,3,7,167,2,19.638327469110543,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,3,7,167,3,9.819163734555271,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,3,7,167,4,35.185336715489726,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,4,1,175,1,240.85726754493624,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,4,1,175,2,143.46889234377988,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,4,1,175,3,42.54970951640618,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,4,1,175,4,150.0,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,4,2,183,1,242.4937948340288,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,4,2,183,2,136.66503013937762,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,4,2,183,3,42.80746256443816,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,4,2,183,4,150.0,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,4,3,191,1,241.38777514115048,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,4,3,191,2,138.0288028802879,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,4,3,191,3,32.73054578185091,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,4,3,191,4,150.0,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,4,4,199,1,243.5698115266071,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,4,4,199,2,123.30005727845511,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,4,4,199,3,29.45749120366581,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,4,4,199,4,150.0,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,4,5,207,1,222.8404658647684,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,4,5,207,2,119.19373755557378,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,4,5,207,3,36.003600360036,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,4,5,207,4,133.3769740610424,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,4,6,215,1,216.021602160216,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,4,6,215,2,82.09911900280936,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,4,6,215,3,29.45749120366581,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,4,6,215,4,99.82816463464528,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,4,7,223,1,213.8395657747593,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,4,7,223,2,81.82636445462727,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,4,7,223,3,16.365272890925453,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,4,7,223,4,93.28205547827508,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,5,1,231,1,267.0417041704169,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,5,1,231,2,146.7419469219649,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,5,1,231,3,44.18623680549872,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,5,1,231,4,150.0,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,5,2,239,1,275.48209366391166,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,5,2,239,2,140.1958377655947,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,5,2,239,3,49.36857322095845,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,5,2,239,4,150.0,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,5,3,247,1,277.40637700133647,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,5,3,247,2,134.74074680195292,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,5,3,247,3,51.27785505823309,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,5,3,247,4,150.0,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,5,4,255,1,272.20903908572666,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,5,4,255,2,144.30215748847604,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,5,4,255,3,41.45869132367782,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,5,4,255,4,150.0,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,5,5,263,1,275.4820936639117,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,5,5,263,2,137.21053923574163,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,5,5,263,3,45.277254998227086,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,5,5,263,4,150.0,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,5,6,271,1,273.443935302621,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,5,6,271,2,129.9750429588413,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,5,6,271,3,50.042958841338695,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,5,6,271,4,150.0,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,5,7,279,1,264.2991571884461,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,5,7,279,2,109.10181927283622,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,5,7,279,3,50.732345961869,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,5,7,279,4,146.74194692196497,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,6,1,287,1,297.5752120666609,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,6,1,287,2,140.19583776559472,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,6,1,287,3,78.55330987644221,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,6,1,287,4,150.0,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
saa,6,2,295,1,300.0,results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh/run-024/terminal_loh_table_saa.csv,2a47fbe844633e20f588add221b75fa2c2d8293694ab5d9ed80e299fe29086d4
