method,bus,global_hour,observed_records,mean_voltage_pu,q01_voltage_pu,q05_voltage_pu,q50_voltage_pu,minimum_voltage_pu,lower_bound_hit_frequency,lower_bound_hit_count,unit_note
chi2_eta003,2,40,2476,0.997543454742145,0.997198949960266,0.997198949960266,0.997643044801477,0.997198949960266,0,0,p.u.
chi2_eta003,2,41,427,0.997453085775103,0.997197454333421,0.997197454333421,0.997477724222121,0.997197454333421,0,0,p.u.
chi2_eta003,2,42,427,0.997591761989936,0.997255422797718,0.997255422797718,0.997699492501805,0.997255422797718,0,0,p.u.
chi2_eta003,2,43,427,0.997508709840966,0.997138448262981,0.997138448262981,0.997582570037794,0.997138448262981,0,0,p.u.
chi2_eta003,2,44,427,0.99719432626138,0.996836939327739,0.996836939327739,0.997242959298409,0.996836939327739,0,0,p.u.
chi2_eta003,2,45,427,0.997118381079845,0.996784681345933,0.996784681345933,0.997174411975355,0.996784681345933,0,0,p.u.
chi2_eta003,2,46,427,0.9971604879213,0.996836939327739,0.996836939327739,0.997242959298409,0.996836939327739,0,0,p.u.
chi2_eta003,2,47,427,0.99694225386573,0.996862487060825,0.996862487060825,0.996862487060825,0.996862487060825,0,0,p.u.
chi2_eta003,2,48,427,0.997073448727484,0.997045528643147,0.997045528643147,0.997045528643147,0.997045528643147,0,0,p.u.
chi2_eta003,3,1,10000,0.984466820036044,0.984466820036017,0.984466820036017,0.984466820036017,0.984466820036017,0,0,p.u.
chi2_eta003,3,2,10000,0.985205760404218,0.985205760404216,0.985205760404216,0.985205760404216,0.985205760404216,0,0,p.u.
chi2_eta003,3,3,10000,0.985447557927996,0.985447557927977,0.985447557927977,0.985447557927977,0.985447557927977,0,0,p.u.
chi2_eta003,3,4,10000,0.985693687859876,0.985693687859885,0.985693687859885,0.985693687859885,0.985693687859885,0,0,p.u.
chi2_eta003,3,5,10000,0.985843092743682,0.98584309274367,0.98584309274367,0.98584309274367,0.98584309274367,0,0,p.u.
chi2_eta003,3,6,10000,0.986185763438101,0.986185763438124,0.986185763438124,0.986185763438124,0.986185763438124,0,0,p.u.
chi2_eta003,3,7,10000,0.98643170917644,0.986431709176385,0.986431709176385,0.986431709176385,0.986431709176385,0,0,p.u.
chi2_eta003,3,8,10000,0.985693687859876,0.985693687859885,0.985693687859885,0.985693687859885,0.985693687859885,0,0,p.u.
chi2_eta003,3,9,8914,0.984216394413125,0.984216394413138,0.984216394413138,0.984216394413138,0.984216394413138,0,0,p.u.
chi2_eta003,3,10,8914,0.984300276027794,0.984300276027767,0.984300276027767,0.984300276027767,0.984300276027767,0,0,p.u.
chi2_eta003,3,11,8914,0.98376277945756,0.983762779457599,0.983762779457599,0.983762779457599,0.983762779457599,0,0,p.u.
chi2_eta003,3,12,8914,0.983505432179997,0.983505432179987,0.983505432179987,0.983505432179987,0.983505432179987,0,0,p.u.
chi2_eta003,3,13,8914,0.983437440037934,0.983393338862183,0.983393338862183,0.983393338862183,0.983393338862183,0,0,p.u.
chi2_eta003,3,14,8914,0.983548226510391,0.983290845079768,0.983290845079768,0.983290845079768,0.983290845079768,0,0,p.u.
chi2_eta003,3,15,8914,0.98388585682753,0.983885856827516,0.983885856827516,0.983885856827516,0.983885856827516,0,0,p.u.
chi2_eta003,3,16,8914,0.98372799558769,0.98372799558764,0.98372799558764,0.98372799558764,0.98372799558764,0,0,p.u.
chi2_eta003,3,17,7936,0.983792806619336,0.983701474037771,0.983701474037771,0.983701474037771,0.983701474037771,0,0,p.u.
chi2_eta003,3,18,7936,0.984576209541435,0.984007813170244,0.984007813170244,0.984558601079928,0.984007813170244,0,0,p.u.
chi2_eta003,3,19,7936,0.985257180837671,0.983293913332126,0.983293913332126,0.986148966744734,0.983293913332126,0,0,p.u.
chi2_eta003,3,20,7936,0.983683018505992,0.981557885942012,0.981557885942012,0.98417209001586,0.981557885942012,0,0,p.u.
chi2_eta003,3,21,7936,0.983200544884662,0.981265833173402,0.981265833173402,0.983775883360634,0.981265833173402,0,0,p.u.
chi2_eta003,3,22,7936,0.982187356113711,0.981557885942012,0.981557885942012,0.982501202572145,0.981557885942012,0,0,p.u.
chi2_eta003,3,23,7936,0.981700804876977,0.981700637816337,0.981700637816337,0.981700637816337,0.981700637816337,0,0,p.u.
chi2_eta003,3,24,7936,0.982740465091172,0.982740465091152,0.982740465091152,0.982740465091152,0.982740465091152,0,0,p.u.
chi2_eta003,3,25,5788,0.984492872112847,0.984466820036017,0.984466820036017,0.984466820036017,0.984466820036017,0,0,p.u.
chi2_eta003,3,26,5788,0.985228220828394,0.985205760404216,0.985205760404216,0.985205760404216,0.985205760404216,0,0,p.u.
chi2_eta003,3,27,5788,0.985475079000553,0.985447557927977,0.985447557927977,0.985447557927977,0.985447557927977,0,0,p.u.
chi2_eta003,3,28,5788,0.985724025407402,0.985693687859885,0.985693687859885,0.985693687859885,0.985693687859885,0,0,p.u.
chi2_eta003,3,29,5788,0.985931247894518,0.98584309274367,0.98584309274367,0.98584309274367,0.98584309274367,0,0,p.u.
chi2_eta003,3,30,5788,0.986442858476014,0.986185763438124,0.986185763438124,0.986185763438124,0.986185763438124,0,0,p.u.
chi2_eta003,3,31,5788,0.987107159526763,0.986431709176385,0.986431709176385,0.986431709176385,0.986431709176385,0,0,p.u.
chi2_eta003,3,32,5788,0.987393020480719,0.985693687859885,0.985693687859885,0.987863116160583,0.985693687859885,0,0,p.u.
chi2_eta003,3,33,2476,0.986149833075817,0.984216394413138,0.984216394413138,0.987068779593042,0.984216394413138,0,0,p.u.
chi2_eta003,3,34,2476,0.986557107483447,0.984300276027767,0.984300276027767,0.987152418831073,0.984300276027767,0,0,p.u.
chi2_eta003,3,35,2476,0.986054200689509,0.983762779457599,0.983762779457599,0.986616476074589,0.983762779457599,0,0,p.u.
chi2_eta003,3,36,2476,0.985859077023244,0.983505432179987,0.983505432179987,0.986359873344026,0.983505432179987,0,0,p.u.
chi2_eta003,3,37,2476,0.985789104493219,0.983393338862183,0.983393338862183,0.986248104451518,0.983393338862183,0,0,p.u.
chi2_eta003,3,38,2476,0.985721612431333,0.983290845079768,0.983290845079768,0.986145907375467,0.983290845079768,0,0,p.u.
chi2_eta003,3,39,2476,0.986207368723048,0.983885856827516,0.983885856827516,0.986739197498972,0.983885856827516,0,0,p.u.
chi2_eta003,3,40,2476,0.985941860569587,0.98372799558764,0.98372799558764,0.986581792817289,0.98372799558764,0,0,p.u.
chi2_eta003,3,41,427,0.985344523723853,0.983701474037771,0.983701474037771,0.985503375858657,0.983701474037771,0,0,p.u.
chi2_eta003,3,42,427,0.986168752503508,0.984007813170244,0.984007813170244,0.986860801225677,0.984007813170244,0,0,p.u.
chi2_eta003,3,43,427,0.985674213622317,0.983293913332126,0.983293913332126,0.986148966744734,0.983293913332126,0,0,p.u.
chi2_eta003,3,44,427,0.983859010452336,0.981557885942012,0.981557885942012,0.98417209001586,0.981557885942012,0,0,p.u.
