group,relative_hour,path_count,mean_inventory_kg,median_inventory_kg,mean_production_kg,mean_HTT_kg,mean_ordinary_shortage_kg,mean_system_electrolyzer_utilization
正目标不足,-14,473,244.08131857,225.60747799,9.92153707781,0.431225272662,0.535355860529,0.660775030157
正目标不足,-13,473,249.147863446,220.608059883,9.80712779766,0.375933101767,0.407804297087,0.65315536448
正目标不足,-12,473,254.893246876,215.32510151,9.49652728404,0.484530331082,0.318412533486,0.632469349586
正目标不足,-11,473,260.275849688,217.540602082,9.1251914746,0.632186779389,0.347795566541,0.607738359947
正目标不足,-10,473,264.905747338,228.083125541,9.03563966782,0.911207010432,0.460714805578,0.601774203651
正目标不足,-9,473,269.04099617,237.716890313,9.79001724203,0.890233400134,0.668793880336,0.652015800335
正目标不足,-8,473,273.901615012,251.186343625,11.3334460567,1.41009629307,0.71499957741,0.754808262186
正目标不足,-7,473,281.086370525,264.240151864,12.1973713556,12.6707656801,1.83542917338,0.812345744629
正目标不足,-6,473,288.972612169,277.821939585,11.7873986821,0.98678313755,1.43300819788,0.785041537269
正目标不足,-5,473,297.567929332,291.601951903,11.5843135231,1.2314726628,1.09742046388,0.771516052156
正目标不足,-4,473,306.175942191,305.071405215,11.2303385779,0.979026143417,1.00154145452,0.747941297232
正目标不足,-3,473,313.952540107,317.193536435,10.7484856966,0.6837932403,1.21206393217,0.715849863241
正目标不足,-2,473,320.43508594,325.876215025,10.5044242058,1.32743707109,1.72912353784,0.699595351698
正目标不足,-1,473,325.896803299,333.030174693,11.0538696553,1.27361746137,2.46918626903,0.736188455231
正目标不足,0,473,331.010580945,346.522481134,11.5445593154,2.47727973924,2.76345837123,0.768868419276
超额大于100kg,-24,475,235.376223768,241.507481134,7.99376842105,0,0,0.532385509228
超额大于100kg,-23,520,229.494903716,231.844519637,9.16172013235,3.90462207989,0.179146945674,0.610171170986
超额大于100kg,-22,520,231.120474299,225.60747799,8.982,0.048616372704,0.155675047364,0.598201798202
超额大于100kg,-21,520,234.542652341,220.608059883,8.94,0.392084220867,0.115087453332,0.595404595405
超额大于100kg,-20,520,238.659884269,218.25010151,8.60670056582,0.317297616738,0.0829690547697,0.57320683089
超额大于100kg,-19,520,242.615017736,222.624030634,8.44089415743,0.557499608717,0.0859403031302,0.562164113049
超额大于100kg,-18,520,246.206629863,229.568141678,8.54964843145,0.689216879954,0.114269506949,0.569407154942
超额大于100kg,-17,520,249.864360435,240.641890313,9.59921349778,0.208042777811,0.180453233256,0.639308258261
超额大于100kg,-16,520,253.838625963,241.507481134,10.713375,0.539447667381,0.198493185311,0.713511488511
超额大于100kg,-15,520,260.088369774,246.859519637,12.8955045658,12.4057479378,0.589428669372,0.858841462923
超额大于100kg,-14,520,267.253553421,255.63747799,12.7556559906,0.20480825278,0.481487502064,0.849527538501
超额大于100kg,-13,520,275.754032989,265.653059883,12.6679541072,0.770851673697,0.377524623094,0.843686587227
超额大于100kg,-12,520,284.534227226,275.38510151,12.1301664195,0.479324911738,0.291193067748,0.807869891406
超额大于100kg,-11,520,292.857865696,284.064503917,11.830388052,0.811617788769,0.330373267753,0.787904632169
超额大于100kg,-10,520,300.116624866,291.493042507,11.8381955418,1.19321160438,0.433227091199,0.788424611509
超额大于100kg,-9,520,306.187744426,297.422270075,12.3422145117,0.602581885999,0.694097943824,0.821992308469
超额大于100kg,-8,520,312.103457944,302.134475204,13.1970453637,1.68740233618,0.657505226529,0.878924100148
超额大于100kg,-7,520,320.577423645,305.134230145,14.3418561984,14.6867519415,1.26259598339,0.955168577985
超额大于100kg,-6,520,330.340920865,308.937093141,14.1145097161,1.13217433327,0.947314122347,0.940027287121
超额大于100kg,-5,520,340.893986177,315.899180063,13.9112279606,0.877146840424,0.751247645474,0.926488708662
超额大于100kg,-4,520,351.19141249,324.402726707,13.4081418421,1.5685268153,0.723070989008,0.892983139664
超额大于100kg,-3,520,360.694892979,333.861188746,13.1698113773,0.415905993047,0.865944815878,0.877110314836
超额大于100kg,-2,520,369.028770705,345.233125541,13.2387838211,1.0608069009,1.23440169849,0.881703884191
超额大于100kg,-1,520,375.978402677,357.510036256,13.6517677187,1.1989984974,1.71687310544,0.909208639277
超额大于100kg,0,520,382.165358853,371.306343625,13.8693874106,2.33973968206,1.91311693781,0.923702125248
