initial_state_id,T_label,eta,path_id,loss,nominal_probability,worst_probability,probability_shift,model,absolute_shift
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,62,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,63,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,64,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,65,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,66,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,67,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,68,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,69,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,70,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,71,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,72,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,73,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,74,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,75,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,76,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,77,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,78,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,79,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,80,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,81,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,82,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,83,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,84,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,85,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,86,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,87,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,88,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,89,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,90,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,91,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,92,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,93,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,94,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,95,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,96,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,97,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,98,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,99,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,100,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,101,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,102,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,103,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,104,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,105,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,106,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,107,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,108,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,109,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,110,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,111,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,112,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,113,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,114,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,115,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,116,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,117,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,118,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,119,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,120,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,121,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,122,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,123,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,124,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,125,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,126,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,127,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,128,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,129,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,130,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,131,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,132,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,133,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,134,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,135,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,136,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,137,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,138,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
7,ASYMMETRIC_CAPACITY_FRACTION,0.001,139,0.0,0.005,0.004988387130748221,-1.1612869251779318e-05,flat,1.1612869251779318e-05
