initial_state_id,parent_stage,parent_node_count,unique_native_state_count,unique_prefix_count,unique_edge_count,shared_parent_count,average_child_count,median_child_count,maximum_child_count,single_child_parent_share,prefix_shared_by_at_least_2_share,prefix_shared_by_at_least_10_share,node_supported_by_one_sample_share
14,2,1774,173,1774,7731,1085,4.3579481397970685,2.0,44,0.4064261555806088,0.6116121758737317,0.1871476888387824,0.3883878241262683
15,0,1,1,1,94,1,94.0,94.0,94,0.0,1.0,1.0,0.0
15,1,94,94,94,1850,86,19.680851063829788,11.5,88,0.10638297872340426,0.9148936170212766,0.6808510638297872,0.0851063829787234
15,2,1850,201,1850,8037,1110,4.344324324324324,2.0,53,0.412972972972973,0.6,0.1654054054054054,0.4
16,0,1,1,1,97,1,97.0,97.0,97,0.0,1.0,1.0,0.0
16,1,97,97,97,1980,87,20.412371134020617,12.0,94,0.10309278350515463,0.8969072164948454,0.6082474226804123,0.10309278350515463
16,2,1980,215,1980,8407,1157,4.245959595959596,2.0,53,0.42424242424242425,0.5843434343434344,0.16464646464646465,0.41565656565656567
17,0,1,1,1,93,1,93.0,93.0,93,0.0,1.0,1.0,0.0
17,1,93,93,93,1980,88,21.29032258064516,12.0,97,0.053763440860215055,0.946236559139785,0.6666666666666666,0.053763440860215055
17,2,1980,226,1980,8440,1165,4.262626262626263,2.0,48,0.4292929292929293,0.5883838383838383,0.15151515151515152,0.4116161616161616
18,0,1,1,1,94,1,94.0,94.0,94,0.0,1.0,1.0,0.0
18,1,94,94,94,2036,81,21.659574468085108,13.0,94,0.13829787234042554,0.8617021276595744,0.648936170212766,0.13829787234042554
18,2,2036,239,2036,8503,1184,4.176326129666012,2.0,45,0.4302554027504912,0.581532416502947,0.15471512770137524,0.41846758349705304
19,0,1,1,1,97,1,97.0,97.0,97,0.0,1.0,1.0,0.0
19,1,97,97,97,2018,89,20.804123711340207,13.0,89,0.10309278350515463,0.9175257731958762,0.6391752577319587,0.08247422680412371
19,2,2018,227,2018,8464,1189,4.194251734390486,2.0,52,0.4222001982160555,0.589197224975223,0.15460852329038652,0.410802775024777
20,0,1,1,1,91,1,91.0,91.0,91,0.0,1.0,1.0,0.0
20,1,91,91,91,1900,82,20.87912087912088,12.0,91,0.10989010989010989,0.9010989010989011,0.6703296703296703,0.0989010989010989
20,2,1900,207,1900,8236,1150,4.334736842105263,2.0,50,0.4163157894736842,0.6052631578947368,0.16631578947368422,0.39473684210526316
21,0,1,1,1,96,1,96.0,96.0,96,0.0,1.0,1.0,0.0
21,1,96,96,96,1888,82,19.666666666666668,12.0,90,0.14583333333333334,0.8541666666666666,0.6770833333333334,0.14583333333333334
21,2,1888,198,1888,8026,1089,4.251059322033898,2.0,51,0.4348516949152542,0.5768008474576272,0.163135593220339,0.4231991525423729
22,0,1,1,1,74,1,74.0,74.0,74,0.0,1.0,1.0,0.0
22,1,74,74,74,1519,69,20.527027027027028,12.0,72,0.06756756756756757,0.9324324324324325,0.7162162162162162,0.06756756756756757
22,2,1519,175,1519,7092,918,4.668861092824226,2.0,44,0.4088215931533904,0.6043449637919684,0.18828176431863067,0.3956550362080316
23,0,1,1,1,74,1,74.0,74.0,74,0.0,1.0,1.0,0.0
23,1,74,74,74,1570,69,21.216216216216218,13.0,80,0.06756756756756757,0.9324324324324325,0.6756756756756757,0.06756756756756757
23,2,1570,184,1570,7226,958,4.602547770700637,2.0,42,0.40382165605095544,0.6101910828025477,0.18662420382165604,0.38980891719745225
24,0,1,1,1,73,1,73.0,73.0,73,0.0,1.0,1.0,0.0
24,1,73,73,73,1594,67,21.835616438356166,14.0,74,0.0821917808219178,0.9178082191780822,0.6575342465753424,0.0821917808219178
24,2,1594,197,1594,7490,952,4.698870765370138,2.0,46,0.4134253450439147,0.5972396486825596,0.1875784190715182,0.4027603513174404
25,0,1,1,1,75,1,75.0,75.0,75,0.0,1.0,1.0,0.0
25,1,75,75,75,1571,66,20.946666666666665,13.0,78,0.12,0.88,0.6266666666666667,0.12
25,2,1571,208,1571,7332,939,4.667091024824952,2.0,44,0.4099299809038829,0.5977084659452578,0.18968809675366008,0.4022915340547422
26,0,1,1,1,70,1,70.0,70.0,70,0.0,1.0,1.0,0.0
26,1,70,70,70,1558,66,22.257142857142856,13.0,71,0.05714285714285714,0.9428571428571428,0.7,0.05714285714285714
26,2,1558,193,1558,7300,960,4.685494223363286,2.0,49,0.39730423620025673,0.6161745827984596,0.1925545571245186,0.38382541720154045
27,0,1,1,1,75,1,75.0,75.0,75,0.0,1.0,1.0,0.0
27,1,75,75,75,1562,70,20.826666666666668,12.0,74,0.08,0.9333333333333333,0.68,0.06666666666666667
27,2,1562,179,1562,7158,923,4.58258642765685,2.0,41,0.4231754161331626,0.5909090909090909,0.18886043533930857,0.4090909090909091
28,0,1,1,1,74,1,74.0,74.0,74,0.0,1.0,1.0,0.0
28,1,74,74,74,1490,69,20.135135135135137,13.0,72,0.06756756756756757,0.9324324324324325,0.6891891891891891,0.06756756756756757
28,2,1490,159,1490,6862,910,4.605369127516779,2.0,40,0.4006711409395973,0.610738255033557,0.1953020134228188,0.38926174496644295
29,0,1,1,1,59,1,59.0,59.0,59,0.0,1.0,1.0,0.0
29,1,59,59,59,1420,57,24.06779661016949,19.0,72,0.03389830508474576,0.9661016949152542,0.8305084745762712,0.03389830508474576
29,2,1420,142,1420,7369,948,5.18943661971831,2.0,40,0.3492957746478873,0.6676056338028169,0.23380281690140844,0.3323943661971831
30,0,1,1,1,60,1,60.0,60.0,60,0.0,1.0,1.0,0.0
30,1,60,60,60,1475,57,24.583333333333332,17.5,70,0.05,0.95,0.8166666666666667,0.05
30,2,1475,172,1475,7512,992,5.092881355932203,2.0,42,0.3383050847457627,0.672542372881356,0.2264406779661017,0.32745762711864407
31,0,1,1,1,57,1,57.0,57.0,57,0.0,1.0,1.0,0.0
31,1,57,57,57,1512,55,26.526315789473685,22.0,71,0.03508771929824561,0.9649122807017544,0.8070175438596491,0.03508771929824561
31,2,1512,174,1512,7698,1006,5.091269841269841,2.0,41,0.35119047619047616,0.6653439153439153,0.21626984126984128,0.33465608465608465
32,0,1,1,1,58,1,58.0,58.0,58,0.0,1.0,1.0,0.0
32,1,58,58,58,1526,58,26.310344827586206,21.5,68,0.017241379310344827,1.0,0.7931034482758621,0.0
32,2,1526,182,1526,7803,988,5.113368283093053,2.0,41,0.3636959370904325,0.6474442988204456,0.22346002621231978,0.35255570117955437
33,0,1,1,1,62,1,62.0,62.0,62,0.0,1.0,1.0,0.0
33,1,62,62,62,1526,60,24.612903225806452,16.0,74,0.03225806451612903,0.967741935483871,0.7258064516129032,0.03225806451612903
33,2,1526,178,1526,7657,972,5.017693315858454,2.0,39,0.372870249017038,0.6369593709043251,0.22673656618610746,0.36304062909567497
34,0,1,1,1,60,1,60.0,60.0,60,0.0,1.0,1.0,0.0
34,1,60,60,60,1458,58,24.3,18.0,74,0.03333333333333333,0.9666666666666667,0.8,0.03333333333333333
34,2,1458,164,1458,7589,979,5.2050754458161865,3.0,41,0.3388203017832647,0.6714677640603567,0.22976680384087791,0.32853223593964337
35,0,1,1,1,59,1,59.0,59.0,59,0.0,1.0,1.0,0.0
35,1,59,59,59,1429,57,24.220338983050848,21.0,65,0.03389830508474576,0.9661016949152542,0.7796610169491526,0.03389830508474576
35,2,1429,143,1429,7140,927,4.996501049685095,2.0,40,0.36738978306508047,0.6487053883834849,0.23023093072078377,0.35129461161651504
