initial_state_id,parent_id,child_id,parent_stage,child_stage,parent_native_state,child_native_state,parent_support_count,child_support_count,nominal_conditional_probability,theoretical_transition_probability
7,s7:n1:a=1|loc=5|lfw=1,s7:n2:a=1|loc=5|lfw=1>a=1|loc=3|lfw=1,1,2,a=1|loc=5|lfw=1,a=1|loc=3|lfw=1,180,1,0.005555555555555556,0.018
7,s7:n2:a=1|loc=5|lfw=1>a=1|loc=3|lfw=1,s7:n3:a=1|loc=5|lfw=1>a=1|loc=3|lfw=1>a=1|loc=5|lfw=2,2,3,a=1|loc=3|lfw=1,a=1|loc=5|lfw=2,1,1,1.0,0.0975
7,s7:root,s7:n1:a=1|loc=8|lfw=1,0,1,a=2|loc=7|lfw=0,a=1|loc=8|lfw=1,15000,466,0.031066666666666666,0.029820000000000003
7,s7:n1:a=1|loc=8|lfw=1,s7:n2:a=1|loc=8|lfw=1>a=1|loc=10|lfw=2,1,2,a=1|loc=8|lfw=1,a=1|loc=10|lfw=2,466,48,0.10300429184549356,0.10263157894736849
7,s7:n2:a=1|loc=8|lfw=1>a=1|loc=10|lfw=2,s7:n3:a=1|loc=8|lfw=1>a=1|loc=10|lfw=2>a=1|loc=9|lfw=2,2,3,a=1|loc=10|lfw=2,a=1|loc=9|lfw=2,48,2,0.041666666666666664,0.0814814814814814
7,s7:n1:a=2|loc=9|lfw=0,s7:n2:a=2|loc=9|lfw=0>a=2|loc=7|lfw=0,1,2,a=2|loc=9|lfw=0,a=2|loc=7|lfw=0,383,11,0.028720626631853787,0.023589024390243876
7,s7:n2:a=2|loc=9|lfw=0>a=2|loc=7|lfw=0,s7:n3:a=2|loc=9|lfw=0>a=2|loc=7|lfw=0>a=2|loc=7|lfw=0,2,3,a=2|loc=7|lfw=0,a=2|loc=7|lfw=0,11,2,0.18181818181818182,0.0348174
7,s7:n2:a=2|loc=6|lfw=1>a=2|loc=7|lfw=2,s7:n3:a=2|loc=6|lfw=1>a=2|loc=7|lfw=2>a=2|loc=8|lfw=3,2,3,a=2|loc=7|lfw=2,a=2|loc=8|lfw=3,383,57,0.14882506527415143,0.17661000000000002
7,s7:n2:a=2|loc=8|lfw=1>a=2|loc=6|lfw=2,s7:n3:a=2|loc=8|lfw=1>a=2|loc=6|lfw=2>a=2|loc=9|lfw=3,2,3,a=2|loc=6|lfw=2,a=2|loc=9|lfw=3,165,4,0.024242424242424242,0.0315375
7,s7:root,s7:n1:a=2|loc=6|lfw=2,0,1,a=2|loc=7|lfw=0,a=2|loc=6|lfw=2,15000,49,0.003266666666666667,0.0037004
7,s7:n1:a=2|loc=6|lfw=2,s7:n2:a=2|loc=6|lfw=2>a=2|loc=6|lfw=3,1,2,a=2|loc=6|lfw=2,a=2|loc=6|lfw=3,49,4,0.08163265306122448,0.113535
7,s7:n2:a=2|loc=6|lfw=2>a=2|loc=6|lfw=3,s7:n3:a=2|loc=6|lfw=2>a=2|loc=6|lfw=3>a=4|loc=5|lfw=3,2,3,a=2|loc=6|lfw=3,a=4|loc=5|lfw=3,4,1,0.25,0.001045
7,s7:n1:a=2|loc=9|lfw=0,s7:n2:a=2|loc=9|lfw=0>a=1|loc=7|lfw=0,1,2,a=2|loc=9|lfw=0,a=1|loc=7|lfw=0,383,3,0.007832898172323759,0.003982926829268288
7,s7:n2:a=2|loc=9|lfw=0>a=1|loc=7|lfw=0,s7:n3:a=2|loc=9|lfw=0>a=1|loc=7|lfw=0>a=1|loc=7|lfw=1,2,3,a=1|loc=7|lfw=0,a=1|loc=7|lfw=1,3,1,0.3333333333333333,0.135
