initial_state_id,feature_name,sample_count,mean,std,q50,q90,q95,q99,q995,maximum,CVaR95,CVaR99,CVaR995
12,total_D,15000,27.9841802362054,80.9608721876731,0,93.8821154842759,218.803698551673,405.313258598587,411.586613206775,607.969887897881,333.980670794352,443.353235847145,500.745050581613
12,unreachable_D,15000,0.627535480820809,7.07969519248039,0,0,0,19.6383274691105,45.8227640945913,394.675831219486,0.627535480820809,52.9368241772394,79.859660607209
12,unreachable_D_ratio,15000,0.00196681328651214,0.0206834258959622,0,0,0,0.0646029609690444,0.137283034151626,1,0.00196681328651214,0.166164570270493,0.231727544935059
12,reachable_D_1,15000,26.2784096591477,75.4299200114197,0,91.6455281891825,202.656629299294,384.583912936748,405.313258598587,607.969887897881,308.687899013292,428.424890820498,440.446749408224
12,reachable_D_2,15000,25.0885270345216,73.2911099059452,0,86.7359463219049,194.48763058124,380.263480893545,405.313258598587,607.969887897881,303.082671903554,425.082508250825,436.904511046439
12,reachable_D_3,15000,23.7680131649528,71.0434178344019,0,75.2802552982571,182.200038185637,375.604833210594,405.313258598587,607.969887897881,294.7201874285,423.158679504314,436.082920331345
12,reachable_D_4,15000,25.4149233105128,73.86631107334,0,87.2814554182691,196.15143332515,384.583912936748,405.313258598587,607.969887897881,304.825755302803,427.580587970821,440.078972932258
12,demand_weighted_C_1,15000,4.44161902018204,9.72117776034998,0,24.6277227298478,29.0038998870146,30.0676831195942,30.9010164529275,58.4909316661455,30.1642924121111,32.3169306662251,33.6517835443354
12,demand_weighted_C_2,15000,3.00513251170619,7.29043360991646,0,16.0259956543428,21.9351020524516,28.7926015229962,32.6798626067737,64.6236845721416,25.7210462722567,33.9390839732221,36.2152898404509
12,demand_weighted_C_3,15000,3.23143874653504,7.97662631514468,0,17.9895427232903,24.4966737502098,30.4566372074056,32.4555036324147,46.6809899610561,28.468858045322,33.5954539514728,34.968434152327
12,demand_weighted_C_4,15000,3.59508145180195,8.45525105650269,0,19.8603032865608,25.23115087913,31.1925123763023,35.3825971983132,50.4193920291584,29.3716528210985,36.1229586043656,38.347324209003
12,loss_T0,15000,55968.3604724107,161921.744375339,0,187764.230968552,437607.397103345,810626.517197174,823173.22641355,1215939.77579576,667961.341588704,886706.47169429,1001490.10116323
12,loss_T25,15000,15804.2879659772,77411.1850478528,0,747.243855090266,75061.151232788,436055.341043505,486844.991105437,948130.963948777,300869.336342826,551911.101655732,654516.52167002
12,loss_T50,15000,3680.56953854114,31023.7500428337,0,496.432169353997,1588.26604056237,102193.02796442,225339.6577104,798384.872869115,72409.3260985877,266358.377694505,381523.199282314
12,loss_T75,15000,1806.90159679751,18164.2019725747,0,429.167546195777,1449.43471045582,47056.2993667891,109460.314127243,789459.567721066,34994.3171588116,145301.202801975,211916.317348547
12,loss_T100,15000,1514.06791001685,15377.3213125448,0,427.76658995795,1439.8875216062,41502.1182209839,94160.3054590779,789459.567721066,29139.8104978143,119557.953778494,174804.579731937
12,audit_unique_D_count,1,948,0,948,948,948,948,948,948,948,948,948
12,audit_unique_A_count,1,243,0,243,243,243,243,243,243,243,243,243
12,audit_unique_Ctilde_count,1,1617,0,1617,1617,1617,1617,1617,1617,1617,1617,1617
12,audit_unique_joint_D_A_Ctilde_count,1,1875,0,1875,1875,1875,1875,1875,1875,1875,1875,1875
