distribution_scope,state_i,state_j,repeat_count,sample_count_per_state,median_energy_distance,minimum_energy_distance,maximum_energy_distance,IQR_energy_distance,seed_rule
bulk,29,26,10,1000,1.06046861635076,0.868472255719883,1.19552228762112,0.059915822356885,20260300 + repeat*100 + state
tail95,29,26,10,750,5.74947758289146,5.74947758289146,5.74947758289146,0,20260300 + repeat*100 + state
bulk,29,27,10,1000,1.78206879759443,1.64581230700203,1.94910124685111,0.126011642082071,20260300 + repeat*100 + state
tail95,29,27,10,750,6.88556585591538,6.88556585591538,6.88556585591538,0,20260300 + repeat*100 + state
bulk,29,28,10,1000,2.77336093734289,2.5862466204061,2.9311650239799,0.182478782160331,20260300 + repeat*100 + state
tail95,29,28,10,750,9.20802716212477,9.20802716212477,9.20802716212477,0,20260300 + repeat*100 + state
bulk,29,29,10,1000,0,0,0,0,20260300 + repeat*100 + state
tail95,29,29,10,750,0,0,0,0,20260300 + repeat*100 + state
bulk,29,30,10,1000,0.0149843644912919,0.00904709208067445,0.0410084843115408,0.00780514775197916,20260300 + repeat*100 + state
tail95,29,30,10,750,0.0243332242101495,0.0243332242101495,0.0243332242101495,0,20260300 + repeat*100 + state
bulk,29,31,10,1000,0.020420327916324,0.010312391666071,0.03591003678864,0.0148961145859892,20260300 + repeat*100 + state
tail95,29,31,10,750,0.0114957142194436,0.0114957142194436,0.0114957142194436,0,20260300 + repeat*100 + state
bulk,29,32,10,1000,0.0559158516878808,0.018259979556758,0.090382958830034,0.014858780900401,20260300 + repeat*100 + state
tail95,29,32,10,750,0.0744869793250338,0.0744869793250338,0.0744869793250338,0,20260300 + repeat*100 + state
bulk,29,33,10,1000,0.20933684338433,0.139126195441186,0.263373553729455,0.0421042715330293,20260300 + repeat*100 + state
tail95,29,33,10,750,0.545224897893932,0.545224897893932,0.545224897893932,0,20260300 + repeat*100 + state
bulk,29,34,10,1000,0.720656363913374,0.588157581818587,0.819030599886594,0.110866060065158,20260300 + repeat*100 + state
tail95,29,34,10,750,1.65459529731618,1.65459529731618,1.65459529731618,0,20260300 + repeat*100 + state
bulk,29,35,10,1000,1.3739618507919,1.14376610707467,1.5002492167301,0.0872629300391703,20260300 + repeat*100 + state
tail95,29,35,10,750,3.20502072491893,3.20502072491893,3.20502072491893,0,20260300 + repeat*100 + state
bulk,30,1,10,1000,8.9382607882967,8.80354113895141,9.2011493236789,0.144475996861209,20260300 + repeat*100 + state
tail95,30,1,10,750,21.1145470509639,21.1145470509639,21.1145470509639,0,20260300 + repeat*100 + state
bulk,30,2,10,1000,8.92644652388534,8.80107726599308,9.25306026686759,0.147848097865705,20260300 + repeat*100 + state
tail95,30,2,10,750,21.1018751945558,21.1018751945558,21.1018751945558,0,20260300 + repeat*100 + state
bulk,30,3,10,1000,8.94572661815845,8.80703317887395,9.18185437054978,0.150111751746028,20260300 + repeat*100 + state
tail95,30,3,10,750,21.2777373289094,21.2777373289094,21.2777373289094,0,20260300 + repeat*100 + state
bulk,30,4,10,1000,8.93895926509913,8.82141763758046,9.18817087744725,0.174041706677141,20260300 + repeat*100 + state
tail95,30,4,10,750,21.2299613339313,21.2299613339313,21.2299613339313,0,20260300 + repeat*100 + state
bulk,30,5,10,1000,8.98319220626812,8.87907014720068,9.26046725147612,0.211165514025041,20260300 + repeat*100 + state
tail95,30,5,10,750,21.7729263957846,21.7729263957846,21.7729263957846,0,20260300 + repeat*100 + state
bulk,30,6,10,1000,9.05005786505391,8.91357583892552,9.24918600484178,0.120993962797675,20260300 + repeat*100 + state
tail95,30,6,10,750,22.1062819618392,22.1062819618392,22.1062819618392,0,20260300 + repeat*100 + state
bulk,30,7,10,1000,9.07924665397,8.94674759699013,9.26831168070574,0.122702406540292,20260300 + repeat*100 + state
tail95,30,7,10,750,22.3966814692478,22.3966814692478,22.3966814692478,0,20260300 + repeat*100 + state
bulk,30,8,10,1000,6.65044418287829,6.37946108749351,6.83533411577604,0.186812551526995,20260300 + repeat*100 + state
tail95,30,8,10,750,18.4880760133712,18.4880760133712,18.4880760133712,0,20260300 + repeat*100 + state
bulk,30,9,10,1000,6.55813424855025,6.40522946217233,6.98865506263474,0.205592963887996,20260300 + repeat*100 + state
