initial_state_id,scenario_r,path_id_r,scenario_s,path_id_s,neighbor_categories,nearest_all_rank,pair_type,r_tail95,r_tail99,r_tail995,s_tail95,s_tail99,s_tail995,loss_T50_r,loss_T50_s,d_D,d_Ctilde,d_new,D_l1_difference_kg,max_D_difference_node_id,max_D_difference_kg,A_reachability_change_count,C_common_reachable_l1_km,changed_local_count,max_local_Ctilde,local_dilution_ratio,T_r1,T_r2,T_r3,T_r4,T_s1,T_s2,T_s3,T_s4,d_T_normalized,T_L1_difference_kg,max_single_site_T_difference_kg,max_difference_site_id,optimal_objective_r,optimal_objective_s,own_operating_loss_r,own_operating_loss_s,cross_objective_r_to_s,cross_objective_s_to_r,regret_obj_r_to_s,regret_obj_s_to_r,regret_loss_r_to_s,regret_loss_s_to_r,relative_regret_obj_r_to_s,relative_regret_obj_s_to_r,multiple_optimum_r,multiple_optimum_s,capacity_saturated_r,capacity_saturated_s,tier_0,tier_1,tier_2,tier_3,historical_step03R_false_near,severity_score,top20_severity,diagnostic_classification,local_average_dilution_flag,actual_substitutability
18,5905,5905,7896,7896,all;tail,8,TAIL_TAIL,1,0,0,1,0,0,329056.095445729,447161.922393622,0.0309555854642829,0.174290380941018,0.0882895036549771,18.8200638245643,14,6.54610915637018,23,2.26087774914854,26,1,1.13012373893631,108.010801080108,39.2766549382211,100,74.1892371055237,91.6455281891825,70.9161825273436,14.7287456018329,16.3652728909204,0.362738546581931,191.100019092818,85.2712543981671,3,230616.534676663,447549.233852041,229973.581290425,447161.922393632,510512.636172366,547734.177612577,62963.4023203157,317117.642935904,62707.7603924866,317373.284863733,0.140684862262841,1.37508632405957,0,0,1,0,0,1,1,1,0,1.59344946385266,0,TRUE_BIDIRECTIONAL_FALSE_NEAR,0,NOT_SUBSTITUTABLE
18,5905,5905,7991,7991,all;tail,9,TAIL_TAIL,1,0,0,1,0,0,329056.095445729,405984.023270714,0.0107671601614897,0.204953306551192,0.0884416187173705,6.54610915637018,9,3.27305457818509,27,19.2278357716133,30,1,1.10890002750924,108.010801080108,39.2766549382211,100,74.1892371055237,154.924583367428,19.6383274691105,14.7287456018329,55.6419278291415,0.307733046031876,170.370673430979,85.2712543981671,3,230616.534676663,396742.160435151,229973.581290425,396252.293266626,489722.680643225,476021.007417014,92980.5202080647,245404.472740341,92827.433990352,245557.558958054,0.234360069285504,1.06412349437303,0,0,1,0,0,1,1,1,0,2.6498844399766,0,TRUE_BIDIRECTIONAL_FALSE_NEAR,0,NOT_SUBSTITUTABLE
18,5905,5905,2875,2875,all;tail,10,TAIL_TAIL,1,0,0,1,0,0,329056.095445729,439519.363529874,0.025572005383538,0.189419857077463,0.0911111460611079,15.5470092463792,14,6.54610915637018,25,1.22186713650937,28,1,1.1198467541577,108.010801080108,39.2766549382211,100,74.1892371055237,151.651528789243,19.6383274691105,14.7287456018329,16.3652728909205,0.370466592113757,206.374273791015,85.2712543981671,3,230616.534676663,436648.199934846,229973.581290425,436243.432185353,523536.224095624,554371.556231371,86888.0241607682,323755.021554698,86649.8385240227,323993.207191444,0.198988623275514,1.40386734198658,0,0,1,0,0,1,1,1,0,2.18402063719024,0,TRUE_BIDIRECTIONAL_FALSE_NEAR,0,NOT_SUBSTITUTABLE
18,5926,5926,442,442,all;tail,2,TAIL_TAIL,1,0,0,1,1,1,467397.131311805,728344.377525635,0,0.154396476280822,0.061758590512329,0,1,0,20,135.837604375286,52,1,2.55147917510035,286.392275591595,171.017101710171,44.186236805099,91.6455281891825,300,19.6383274691105,96.039603960396,24.5479093363832,0.442026020784571,283.937484657562,151.37877424106,2,35273.7861219959,340959.746999214,34087.3038374138,340079.295317692,470415.783046603,469579.293049285,129456.036047379,434305.506927279,129150.005444319,434611.537530339,0.379681288441576,12.3124153847589,0,0,0,1,0,1,1,1,0,6.14782956171546,0,TRUE_BIDIRECTIONAL_FALSE_NEAR,0,NOT_SUBSTITUTABLE
18,5926,5926,10292,10292,all;tail,3,TAIL_TAIL,1,0,0,1,1,0,467397.131311805,588094.728187013,0,0.168981877702401,0.0675927510809606,0,1,0,22,109.148654280283,60,1,2.68990651971549,286.392275591595,171.017101710171,44.186236805099,91.6455281891825,300,39.2766549382211,100,91.6455281891774,0.315549736792536,201.161934375261,131.74044677195,2,35273.7861219959,158730.859299754,34087.3038374138,157669.01493351,296639.075496605,296559.796137912,137908.216196841,261286.010015907,137783.578278504,261410.647934244,0.86881792743527,7.40737070617154,0,0,0,1,0,1,1,1,0,12.8537145409961,0,TRUE_BIDIRECTIONAL_FALSE_NEAR,0,NOT_SUBSTITUTABLE
18,5926,5926,1788,1788,all;tail,5,TAIL_TAIL,1,0,0,1,1,1,467397.131311805,627327.078869225,0,0.237280823453742,0.094912329381497,0,1,0,31,114.670533882285,61,1,1.94757083777274,286.392275591595,171.017101710171,44.186236805099,91.6455281891825,276.401276491775,19.6383274691105,99.99999999951,150,0.434341161388565,275.538008346109,151.37877424106,2,35273.7861219959,129775.118434798,34087.3038374138,128683.039226888,336905.330054969,335854.83654507,207130.21162016,300581.050423064,207035.808543489,300675.453499736,1.59607029543349,8.52137191577357,0,0,0,1,0,1,1,1,0,16.8162588131004,0,TRUE_BIDIRECTIONAL_FALSE_NEAR,0,NOT_SUBSTITUTABLE
18,5926,5926,14949,14949,all;tail,6,TAIL_TAIL,1,0,0,1,1,0,467397.131311805,553231.853626252,0,0.250164116741063,0.100065646696425,0,1,0,33,7.73714411146892,51,1,1.54444067117567,286.392275591595,171.017101710171,44.186236805099,91.6455281891825,198.019801980198,200,24.5479093363882,57.2784551182341,0.216246624661808,171.360772440886,88.3724736113972,1,35273.7861219959,260462.695704602,34087.3038374138,259503.003371742,317985.546562723,318180.972437781,57522.8508581112,282907.186315775,57296.0609063887,283133.976267498,0.220848711952775,8.02032379901745,0,0,0,1,0,1,1,1,0,2.20703827181346,0,TRUE_BIDIRECTIONAL_FALSE_NEAR,0,NOT_SUBSTITUTABLE
18,5926,5926,13618,13618,all;tail,8,TAIL_TAIL,1,0,0,1,1,0,467397.131311805,554185.657058269,0,0.250872404904871,0.100348961961948,0,1,0,33,41.1287869159438,49,1,1.47968494722599,286.392275591595,171.017101710171,44.186236805099,91.6455281891825,198.019801980198,56.4601914736928,100,76.9167825873446,0.380922183128744,273.471892644614,114.556910236478,2,35273.7861219959,356874.950871628,34087.3038374138,356012.157319556,467868.083145667,356574.615060754,110993.132274029,321300.828938748,110669.44354152,321624.517671258,0.311014073705475,9.10877068391311,0,0,0,1,0,1,1,1,0,3.09932527078267,0,TRUE_BIDIRECTIONAL_FALSE_NEAR,0,NOT_SUBSTITUTABLE
18,5967,5967,442,442,all;tail,1,TAIL_TAIL,1,1,0,1,1,1,545517.692974419,728344.377525635,0.0789591745175911,0.13983702500127,0.103310314711063,48.004800480048,24,22.9113820472956,18,163.74995183533,48,1,2.60042977625604,230.578512397197,29.4574912036658,99.9999999994975,58.9149824073316,300,19.6383274691105,96.039603960396,24.5479093363832,0.137304639553198,117.568120447408,69.4214876028032,1,289509.289309604,340959.746999214,288671.387337598,340079.295317692,470505.996133579,377843.135212754,129546.249134355,88333.8459031402,129588.798843871,88291.2961936238,0.379945874181591,0.305115756782064,0,0,1,1,0,1,1,1,0,2.95339103007679,0,TRUE_BIDIRECTIONAL_FALSE_NEAR,0,NOT_SUBSTITUTABLE
18,5967,5967,7512,7512,all;tail,6,TAIL_TAIL,1,1,0,1,0,0,545517.692974419,536775.379990592,0.0538358008074485,0.222282796637634,0.121214599139522,32.7305457818509,25,22.9113820472956,29,121.906610852689,47,1,1.60183609099114,230.578512397197,29.4574912036658,99.9999999994975,58.9149824073316,300,19.6383274691105,14.7287456018329,91.6455281891776,0.337854239967768,197.242451516869,85.2712543976645,3,289509.289309604,207618.068149783,288671.387337598,206766.042947273,410120.903548479,342082.829877083,202502.835398686,52573.540567469,202516.958629191,52559.4173369642,0.975362294829678,0.181595349471652,0,0,1,1,0,1,1,1,0,1.49813100699718,0,TRUE_BIDIRECTIONAL_FALSE_NEAR,0,NOT_SUBSTITUTABLE
