path_id,base_frozen_tail_group,base_terminal_site_gap_kg,selection_rank,selection_rule
1,NORMAL95,0.0,1,retrospective Base terminal_site_gap rank; ties path_id
69,NORMAL95,0.0,62,retrospective Base terminal_site_gap rank; ties path_id
70,NORMAL95,0.0,63,retrospective Base terminal_site_gap rank; ties path_id
71,NORMAL95,0.0,64,retrospective Base terminal_site_gap rank; ties path_id
72,NORMAL95,0.0,65,retrospective Base terminal_site_gap rank; ties path_id
73,NORMAL95,0.0,66,retrospective Base terminal_site_gap rank; ties path_id
74,NORMAL95,0.0,67,retrospective Base terminal_site_gap rank; ties path_id
75,NORMAL95,0.0,68,retrospective Base terminal_site_gap rank; ties path_id
76,NORMAL95,0.0,69,retrospective Base terminal_site_gap rank; ties path_id
77,NORMAL95,0.0,70,retrospective Base terminal_site_gap rank; ties path_id
78,NORMAL95,0.0,71,retrospective Base terminal_site_gap rank; ties path_id
79,NORMAL95,0.0,72,retrospective Base terminal_site_gap rank; ties path_id
80,NORMAL95,0.0,73,retrospective Base terminal_site_gap rank; ties path_id
81,NORMAL95,0.0,74,retrospective Base terminal_site_gap rank; ties path_id
82,NORMAL95,0.0,75,retrospective Base terminal_site_gap rank; ties path_id
83,NORMAL95,0.0,76,retrospective Base terminal_site_gap rank; ties path_id
84,NORMAL95,0.0,77,retrospective Base terminal_site_gap rank; ties path_id
85,NORMAL95,0.0,78,retrospective Base terminal_site_gap rank; ties path_id
86,NORMAL95,0.0,79,retrospective Base terminal_site_gap rank; ties path_id
87,NORMAL95,0.0,80,retrospective Base terminal_site_gap rank; ties path_id
88,NORMAL95,0.0,81,retrospective Base terminal_site_gap rank; ties path_id
89,NORMAL95,0.0,82,retrospective Base terminal_site_gap rank; ties path_id
90,NORMAL95,0.0,83,retrospective Base terminal_site_gap rank; ties path_id
91,NORMAL95,0.0,84,retrospective Base terminal_site_gap rank; ties path_id
92,NORMAL95,0.0,85,retrospective Base terminal_site_gap rank; ties path_id
93,NORMAL95,0.0,86,retrospective Base terminal_site_gap rank; ties path_id
94,NORMAL95,0.0,87,retrospective Base terminal_site_gap rank; ties path_id
95,NORMAL95,0.0,88,retrospective Base terminal_site_gap rank; ties path_id
96,NORMAL95,0.0,89,retrospective Base terminal_site_gap rank; ties path_id
97,NORMAL95,0.0,90,retrospective Base terminal_site_gap rank; ties path_id
98,NORMAL95,0.0,91,retrospective Base terminal_site_gap rank; ties path_id
99,NORMAL95,0.0,92,retrospective Base terminal_site_gap rank; ties path_id
100,NORMAL95,0.0,93,retrospective Base terminal_site_gap rank; ties path_id
101,NORMAL95,0.0,94,retrospective Base terminal_site_gap rank; ties path_id
102,NORMAL95,0.0,95,retrospective Base terminal_site_gap rank; ties path_id
103,NORMAL95,0.0,96,retrospective Base terminal_site_gap rank; ties path_id
104,NORMAL95,0.0,97,retrospective Base terminal_site_gap rank; ties path_id
105,NORMAL95,0.0,98,retrospective Base terminal_site_gap rank; ties path_id
106,NORMAL95,0.0,99,retrospective Base terminal_site_gap rank; ties path_id
107,NORMAL95,0.0,100,retrospective Base terminal_site_gap rank; ties path_id
108,NORMAL95,0.0,101,retrospective Base terminal_site_gap rank; ties path_id
109,NORMAL95,0.0,102,retrospective Base terminal_site_gap rank; ties path_id
110,NORMAL95,0.0,103,retrospective Base terminal_site_gap rank; ties path_id
111,NORMAL95,0.0,104,retrospective Base terminal_site_gap rank; ties path_id
112,NORMAL95,0.0,105,retrospective Base terminal_site_gap rank; ties path_id
113,NORMAL95,0.0,106,retrospective Base terminal_site_gap rank; ties path_id
114,NORMAL95,0.0,107,retrospective Base terminal_site_gap rank; ties path_id
115,NORMAL95,0.0,108,retrospective Base terminal_site_gap rank; ties path_id
116,NORMAL95,0.0,109,retrospective Base terminal_site_gap rank; ties path_id
117,NORMAL95,0.0,110,retrospective Base terminal_site_gap rank; ties path_id
118,NORMAL95,0.0,111,retrospective Base terminal_site_gap rank; ties path_id
119,NORMAL95,0.0,112,retrospective Base terminal_site_gap rank; ties path_id
120,NORMAL95,0.0,113,retrospective Base terminal_site_gap rank; ties path_id
121,NORMAL95,0.0,114,retrospective Base terminal_site_gap rank; ties path_id
122,NORMAL95,0.0,115,retrospective Base terminal_site_gap rank; ties path_id
123,NORMAL95,0.0,116,retrospective Base terminal_site_gap rank; ties path_id
124,NORMAL95,0.0,117,retrospective Base terminal_site_gap rank; ties path_id
125,NORMAL95,0.0,118,retrospective Base terminal_site_gap rank; ties path_id
126,NORMAL95,0.0,119,retrospective Base terminal_site_gap rank; ties path_id
127,NORMAL95,0.0,120,retrospective Base terminal_site_gap rank; ties path_id
128,NORMAL95,0.0,121,retrospective Base terminal_site_gap rank; ties path_id
129,NORMAL95,0.0,122,retrospective Base terminal_site_gap rank; ties path_id
130,NORMAL95,0.0,123,retrospective Base terminal_site_gap rank; ties path_id
131,NORMAL95,0.0,124,retrospective Base terminal_site_gap rank; ties path_id
132,NORMAL95,0.0,125,retrospective Base terminal_site_gap rank; ties path_id
133,NORMAL95,0.0,126,retrospective Base terminal_site_gap rank; ties path_id
134,NORMAL95,0.0,127,retrospective Base terminal_site_gap rank; ties path_id
135,NORMAL95,0.0,128,retrospective Base terminal_site_gap rank; ties path_id
136,NORMAL95,0.0,129,retrospective Base terminal_site_gap rank; ties path_id
137,NORMAL95,0.0,130,retrospective Base terminal_site_gap rank; ties path_id
138,NORMAL95,0.0,131,retrospective Base terminal_site_gap rank; ties path_id
140,NORMAL95,0.0,132,retrospective Base terminal_site_gap rank; ties path_id
141,NORMAL95,0.0,133,retrospective Base terminal_site_gap rank; ties path_id
142,NORMAL95,0.0,134,retrospective Base terminal_site_gap rank; ties path_id
