terminal_a,terminal_loc,path_count,mean_target_kg,mean_final_inventory_kg,adequate_probability,positive_gap_probability,gap_if_positive_kg,adequate_surplus_mean_kg,adequate_surplus_median_kg,mean_production_kg,mean_final16h_production_kg,mean_final8h_production_kg,mean_HTT_kg,ordinary_shortage_probability,ordinary_shortage_if_positive_kg,mean_ordinary_shortage_kg,mean_actual_operating_cost_yuan,arrival_stage_distribution
4,3,60,386.76593055,414.868473692,0.216666666667,0.783333333333,37.0587289954,140.451591191,165.590025639,430.321836504,222.232794458,115.945467221,54.1367928821,0.6,38.4834481795,23.0900689077,81652.6686417,after Stage3:6;after Stage4:30;after Stage5:21;after Stage6:3
4,4,65,423.861526765,394.894094737,0.0461538461538,0.953846153846,73.3157677192,28.2402115317,26.2138887221,414.458231131,218.721364435,118.552426754,52.7656377384,0.538461538462,40.4938505645,21.8043810732,81683.65798,after Stage3:5;after Stage4:34;after Stage5:20;after Stage6:6
4,5,59,316.940731494,380.24812958,0.406779661017,0.593220338983,35.3705528075,142.970428887,135.474683993,407.457129057,200.767741195,107.946473993,47.5928610941,0.440677966102,39.1110261127,17.2353674395,81622.6692686,after Stage3:5;after Stage4:29;after Stage5:17;after Stage6:8
4,6,43,189.355321264,404.688410344,0.883720930233,0.116279069767,6.92536259745,220.98054206,230.882842697,429.916193535,214.352064357,106.487030898,58.720931304,0.395348837209,43.7665983473,17.3030737652,81775.6911915,after Stage3:4;after Stage4:19;after Stage5:18;after Stage6:2
4,7,104,11.1833565999,392.160465397,1,0,,380.977108797,378.52384564,431.166171698,216.313483198,113.182865089,46.9539134363,0.423076923077,33.5815479248,14.2075779682,84634.6948723,after Stage3:8;after Stage4:34;after Stage5:52;after Stage6:10
5,1,11,528.704034541,447.409429179,0,1,96.3153688961,,,454.067768352,237.266146011,119.128715337,74.5160507127,0.909090909091,61.4299149996,55.8453772723,97503.9825684,after Stage4:4;after Stage5:5;after Stage6:2
5,2,30,543.056863022,504.965477191,0,1,65.3322020546,,,522.11688775,235.024430639,116.915610447,85.8808742137,0.8,56.143790297,44.9150322376,99207.8283026,after Stage3:2;after Stage4:9;after Stage5:12;after Stage6:7
5,3,12,552.327963649,471.463475286,0,1,84.2497890779,,,475.713846095,233.975540115,118.162486047,65.9851058891,0.833333333333,44.9415944126,37.4513286771,87812.4696012,after Stage3:1;after Stage4:6;after Stage5:4;after Stage6:1
5,4,18,546.93138762,491.918648076,0,1,79.6824839916,,,519.987522119,229.89477242,113.709947191,77.299923406,0.611111111111,56.8975396162,34.7707186543,96347.3951136,after Stage4:7;after Stage5:7;after Stage6:4
5,5,23,455.499334558,467.307406862,0.260869565217,0.739130434783,51.9417541889,89.2069796442,92.4525430426,492.174064307,232.482882164,113.649852957,74.6884124647,0.826086956522,50.0777603615,41.3685846464,98463.5177563,after Stage3:2;after Stage4:5;after Stage5:10;after Stage6:6
5,6,16,332.579156112,476.666489733,0.6875,0.3125,10.9069186343,176.990057746,176.858089628,504.351822077,236.065359617,117.989884235,79.97627147,0.875,39.3152315318,34.4008275903,95514.7080247,after Stage4:6;after Stage5:7;after Stage6:3
5,7,43,161.875234945,475.878206286,1,0,,314.002971341,310.737315323,517.63819779,231.156104589,115.428221652,71.8186775686,0.744186046512,38.3770186722,28.5596418026,97725.5252721,after Stage3:1;after Stage4:10;after Stage5:22;after Stage6:10
6,1,1,573.206027967,521.817409557,0,1,72.1374112183,,,597.682934353,234.787934353,114.667934353,55.5061931117,1,45.4960659317,45.4960659317,124411.740044,after Stage6:1
6,2,0,,,,,,,,,,,,,,,,
6,3,0,,,,,,,,,,,,,,,,
6,4,0,,,,,,,,,,,,,,,,
6,5,1,545.857309476,462.094277978,0,1,83.7630314988,,,583.455868706,234.787934353,114.667934353,107.773876761,0,,0,115945.297829,after Stage6:1
6,6,0,,,,,,,,,,,,,,,,
6,7,2,346.859686167,542.348298516,1,0,,195.488612349,195.488612349,528.847934353,237.513967176,120.12,73.145429364,1,59.619385994,59.619385994,95366.6605626,after Stage4:1;after Stage5:1
