scope,lf,path_stage_observation_count,unique_history_node_count,unique_path_count,mean_node_oos_path_count,mean_future_outcome_count_including_no_terminal,mean_future_terminal_state_count,mean_terminal_hit_probability,mean_positive_target_probability,mean_max_future_outcome_probability,mean_realized_terminal_state_probability,exact_target_vector_observation_share,conditional_terminal_target_vector_exact_observation_share,mean_conditional_modal_top_site_probability,conditional_top_site_certain_observation_share,mean_positive_target_modal_top_site_probability,positive_target_top_site_certain_observation_share,mean_conditional_target_std_l2_kg,mean_conditional_max_site_target_range_kg
state13_physical_feasible_actual_unmet,6,4,3,4,220.5,11,10.25,0.931894022735607,0.731738173817382,0.362192885955262,0.0458929226255959,0,0,0.695222245440162,0.25,0.866361788617886,0.25,61.5938393984223,215.426347416163
state14_physical_feasible_actual_unmet,1,42,1,42,10000,32,31,0.6053,0.503,0.3947,0.0188,0,0,0.757475631918058,0,0.911530815109344,0,105.125182065221,300
state14_physical_feasible_actual_unmet,2,16,6,16,806.25,24.5,23.5,0.636663543725111,0.515140358642914,0.363336456274889,0.0256036018758188,0,0,0.72278608000058,0,0.892121541211274,0,98.1551163312358,273.102215707613
state14_physical_feasible_actual_unmet,3,27,9,27,441.259259259259,22.3333333333333,21.3333333333333,0.685432201534696,0.551123493061932,0.314567798465304,0.02133415671449,0,0,0.716328169330293,0,0.890273250549785,0,89.4516897036045,274.228607377233
state14_physical_feasible_actual_unmet,4,22,12,22,306.590909090909,19.3181818181818,18.3181818181818,0.744869018156968,0.595214145776122,0.256814483526534,0.0199215035283309,0,0,0.719232888658426,0,0.898121708106294,0,81.4564768449258,257.535690374796
state14_physical_feasible_actual_unmet,5,24,12,24,237.958333333333,15.5833333333333,14.5833333333333,0.773894495933017,0.580601879696631,0.250038494325297,0.0402686407347827,0,0,0.639707398680138,0.0416666666666667,0.848500203545199,0.0416666666666667,78.2438996065007,243.517256135037
state14_physical_feasible_actual_unmet,6,16,11,16,108.5625,11.375,10.625,0.910644528039836,0.722984636330822,0.284635058087174,0.0592084939961249,0,0,0.683646530691664,0.125,0.851189586802607,0.125,63.6613573348775,208.252216063169
state19_physical_feasible_actual_unmet,1,8,1,8,10000,32,31,0.6053,0.503,0.3947,0.0044,0,0,0.757475631918057,0,0.911530815109344,0,105.125182065221,300
state19_physical_feasible_actual_unmet,2,8,5,8,925.875,26.75,25.75,0.666095225105528,0.570412494629586,0.333904774894472,0.0082845639842547,0,0,0.782196886089468,0,0.919064748189798,0,100.069692050742,278.513576350821
state19_physical_feasible_actual_unmet,3,8,7,8,107.625,21.375,20.375,0.828551359595754,0.767933682709314,0.185830360834353,0.0442292641031063,0,0,0.888041407272992,0.125,0.965303278361868,0.375,103.701552418836,271.978100779334
state19_physical_feasible_actual_unmet,4,6,5,6,79.5,12.5,12,0.891853676336435,0.846591254637232,0.205096214731103,0.115407593433286,0,0,0.904671201814059,0.5,0.957331730769231,0.5,62.1718017749221,162.122990771997
state19_physical_feasible_actual_unmet,5,7,7,7,26.7142857142857,9.85714285714286,9.14285714285714,0.888736263736264,0.881868131868132,0.234279609279609,0.0997863247863248,0,0,0.979047619047619,0.714285714285714,0.98843537414966,0.714285714285714,54.5440316747,129.960750762358
state19_physical_feasible_actual_unmet,6,5,5,5,20.4,7.2,7.2,1,0.984615384615385,0.343589743589744,0.0837558275058275,0,0,0.984615384615385,0.8,1,1,53.603675943448,137.402411840424
