dataset_role,initial_state_id,a0,loc0,lfw0,record_count,minimum_weight,maximum_weight,weight_sum,passed
nominal,28,5,7,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
nominal,29,6,1,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
nominal,30,6,2,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
nominal,31,6,3,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
nominal,32,6,4,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
nominal,33,6,5,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
nominal,34,6,6,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
nominal,35,6,7,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
validation-1,1,2,1,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
validation-1,2,2,2,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
validation-1,3,2,3,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
validation-1,4,2,4,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
validation-1,5,2,5,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
validation-1,6,2,6,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
validation-1,7,2,7,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
validation-1,8,3,1,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
validation-1,9,3,2,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
validation-1,10,3,3,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
validation-1,11,3,4,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
validation-1,12,3,5,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
validation-1,13,3,6,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
validation-1,14,3,7,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
validation-1,15,4,1,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
validation-1,16,4,2,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
validation-1,17,4,3,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
validation-1,18,4,4,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
validation-1,19,4,5,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
validation-1,20,4,6,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
validation-1,21,4,7,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
validation-1,22,5,1,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
validation-1,23,5,2,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
validation-1,24,5,3,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
validation-1,25,5,4,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
validation-1,26,5,5,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
validation-1,27,5,6,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
validation-1,28,5,7,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
validation-1,29,6,1,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
validation-1,30,6,2,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
validation-1,31,6,3,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
validation-1,32,6,4,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
validation-1,33,6,5,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
validation-1,34,6,6,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
validation-1,35,6,7,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
validation-2,1,2,1,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
validation-2,2,2,2,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
validation-2,3,2,3,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
validation-2,4,2,4,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
validation-2,5,2,5,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
validation-2,6,2,6,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
validation-2,7,2,7,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
validation-2,8,3,1,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
validation-2,9,3,2,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
validation-2,10,3,3,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
validation-2,11,3,4,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
validation-2,12,3,5,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
validation-2,13,3,6,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
validation-2,14,3,7,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
validation-2,15,4,1,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
validation-2,16,4,2,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
validation-2,17,4,3,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
validation-2,18,4,4,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
validation-2,19,4,5,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
validation-2,20,4,6,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
validation-2,21,4,7,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
validation-2,22,5,1,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
validation-2,23,5,2,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
validation-2,24,5,3,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
validation-2,25,5,4,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
validation-2,26,5,5,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
validation-2,27,5,6,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
validation-2,28,5,7,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
validation-2,29,6,1,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
validation-2,30,6,2,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
validation-2,31,6,3,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
validation-2,32,6,4,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
validation-2,33,6,5,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
validation-2,34,6,6,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
validation-2,35,6,7,0,15000,6.66666666666667e-05,6.66666666666667e-05,0.999999999999968,1
