path_id,hours_before_stage7,current_inventory_kg,remaining_target_gap_kg,remaining_hours,remaining_electrolyzer_nameplate_max_kg,known_remaining_ordinary_demand_kg,simple_optimistic_additional_H2_upper_bound_kg,optimistic_final_inventory_kg,target_total_kg,optimistic_total_margin_kg,serve_all_remaining_demand_net_additional_H2_kg,serve_all_remaining_demand_final_inventory_kg,serve_all_remaining_demand_total_margin_kg,TARGET_STILL_PHYSICALLY_REACHABLE,reason,diagnostic_label
55,8,154.458409272,162.482322222,8,120.12,39.0109281376,120.12,274.578409272,316.940731494,-42.3623222219,81.1090718624,235.567481134,-81.3732503594,NO,nameplate upper bound still below total target,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
55,4,211.974491256,104.966240238,4,60.06,32.8359897274,60.06,272.034491256,316.940731494,-44.9062402384,27.2240102726,239.198501528,-77.7422299657,NO,nameplate upper bound still below total target,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
61,16,254.111343625,201.387990933,16,240.24,98.5039340683,240.24,494.351343625,455.499334558,38.8520090667,141.736065932,395.847409557,-59.6519250015,NOT_IDENTIFIABLE,nameplate bound does not prove grid/HTT-feasible reachability,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
61,8,374.231343625,81.2679909333,8,120.12,59.4930059307,120.12,494.351343625,455.499334558,38.8520090667,60.6269940693,434.858337694,-20.640996864,NOT_IDENTIFIABLE,nameplate bound does not prove grid/HTT-feasible reachability,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
61,4,408.108964,47.3903705581,4,60.06,33.3106263059,60.06,468.168964,455.499334558,12.6696294419,26.7493736941,434.858337694,-20.640996864,NOT_IDENTIFIABLE,nameplate bound does not prove grid/HTT-feasible reachability,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
139,16,241.507481134,0,16,240.24,104.989071862,240.24,481.747481134,180.836278269,300.911202866,135.250928138,376.758409272,195.922131003,NOT_IDENTIFIABLE,nameplate bound does not prove grid/HTT-feasible reachability,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
139,8,182.014475204,0,8,120.12,45.4960659317,120.12,302.134475204,180.836278269,121.298196935,74.6239340683,256.638409272,75.8021310033,NOT_IDENTIFIABLE,nameplate bound does not prove grid/HTT-feasible reachability,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
139,4,145.515295663,35.3209826055,4,60.06,8.99688639124,60.06,205.575295663,180.836278269,24.7390173945,51.0631136088,196.578409272,15.7421310033,NOT_IDENTIFIABLE,nameplate bound does not prove grid/HTT-feasible reachability,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
152,16,182.014475204,241.847051561,16,240.24,84.5069940693,240.24,422.254475204,423.861526765,-1.60705156141,155.733005931,337.747481134,-86.1140456307,NO,nameplate upper bound still below total target,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
152,8,251.186343625,172.67518314,8,120.12,39.0109281376,120.12,371.306343625,423.861526765,-52.5551831404,81.1090718624,332.295415487,-91.5661112779,NO,nameplate upper bound still below total target,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
152,4,311.246343625,112.61518314,4,60.06,32.8359897274,60.06,371.306343625,423.861526765,-52.5551831404,27.2240102726,338.470353897,-85.3911728677,NO,nameplate upper bound still below total target,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
156,16,448.53188923,94.5249737926,16,240.24,104.989071862,240.24,688.77188923,543.056863022,145.715026207,135.250928138,583.782817367,40.7259543449,NOT_IDENTIFIABLE,nameplate bound does not prove grid/HTT-feasible reachability,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
156,8,509.158883299,33.8979797234,8,120.12,45.4960659317,120.12,629.278883299,543.056863022,86.2220202766,74.6239340683,583.782817367,40.7259543449,NOT_IDENTIFIABLE,nameplate bound does not prove grid/HTT-feasible reachability,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
156,4,525.886700035,17.1701629868,4,60.06,8.99688639124,60.06,585.946700035,543.056863022,42.8898370132,51.0631136088,576.949813644,33.8929506219,NOT_IDENTIFIABLE,nameplate bound does not prove grid/HTT-feasible reachability,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
182,16,186.356815296,0,16,240.24,104.989071862,240.24,426.596815296,58.1956878969,368.4011274,135.250928138,321.607743434,263.412055537,NOT_IDENTIFIABLE,nameplate bound does not prove grid/HTT-feasible reachability,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
182,8,126.863809366,0,8,120.12,45.4960659317,120.12,246.983809366,58.1956878969,188.788121469,74.6239340683,201.487743434,143.292055537,NOT_IDENTIFIABLE,nameplate bound does not prove grid/HTT-feasible reachability,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
182,4,90.3646298252,0,4,60.06,8.99688639124,60.06,150.424629825,58.1956878969,92.2289419283,51.0631136088,141.427743434,83.2320555371,NOT_IDENTIFIABLE,nameplate bound does not prove grid/HTT-feasible reachability,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
201,16,182.014475204,204.751455346,16,240.24,84.5069940693,240.24,422.254475204,386.76593055,35.4885446535,155.733005931,337.747481134,-49.0184494157,NOT_IDENTIFIABLE,nameplate bound does not prove grid/HTT-feasible reachability,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
201,8,251.186343625,135.579586925,8,120.12,39.0109281376,120.12,371.306343625,386.76593055,-15.4595869254,81.1090718624,332.295415487,-54.470515063,NO,nameplate upper bound still below total target,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
201,4,305.071405215,81.6945253356,4,60.06,32.8359897274,60.06,365.131405215,386.76593055,-21.6345253356,27.2240102726,332.295415487,-54.470515063,NO,nameplate upper bound still below total target,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
202,16,371.306343625,24.2190210966,16,240.24,98.5039340683,240.24,611.546343625,395.525364721,216.020978903,141.736065932,513.042409557,117.517044835,NOT_IDENTIFIABLE,nameplate bound does not prove grid/HTT-feasible reachability,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
202,8,452.415415487,0,8,120.12,59.4930059307,120.12,572.535415487,395.525364721,177.010050766,60.6269940693,513.042409557,117.517044835,NOT_IDENTIFIABLE,nameplate bound does not prove grid/HTT-feasible reachability,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
202,4,486.293035862,0,4,60.06,33.3106263059,60.06,546.353035862,395.525364721,150.827671141,26.7493736941,513.042409557,117.517044835,NOT_IDENTIFIABLE,nameplate bound does not prove grid/HTT-feasible reachability,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
216,16,251.186343625,144.339021097,16,240.24,98.5039340683,240.24,491.426343625,395.525364721,95.9009789034,141.736065932,392.922409557,-2.60295516485,NOT_IDENTIFIABLE,nameplate bound does not prove grid/HTT-feasible reachability,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
216,8,371.306343625,24.2190210966,8,120.12,59.4930059307,120.12,491.426343625,395.525364721,95.9009789034,60.6269940693,431.933337694,36.4079729727,NOT_IDENTIFIABLE,nameplate bound does not prove grid/HTT-feasible reachability,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
216,4,431.366343625,0,4,60.06,33.3106263059,60.06,491.426343625,395.525364721,95.9009789034,26.7493736941,458.115717319,62.5903525975,NOT_IDENTIFIABLE,nameplate bound does not prove grid/HTT-feasible reachability,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
222,16,182.014475204,134.92625629,16,240.24,84.5069940693,240.24,422.254475204,316.940731494,105.31374371,155.733005931,337.747481134,20.8067496406,NOT_IDENTIFIABLE,nameplate bound does not prove grid/HTT-feasible reachability,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
222,8,151.533409272,165.407322222,8,120.12,39.0109281376,120.12,271.653409272,316.940731494,-45.2873222219,81.1090718624,232.642481134,-84.2982503594,NO,nameplate upper bound still below total target,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
222,4,205.418470862,111.522260632,4,60.06,32.8359897274,60.06,265.478470862,316.940731494,-51.4622606321,27.2240102726,232.642481134,-84.2982503594,NO,nameplate upper bound still below total target,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
230,16,359.622817367,183.434045655,16,240.24,98.5039340683,240.24,599.862817367,543.056863022,56.8059543449,141.736065932,501.358883299,-41.6979797234,NOT_IDENTIFIABLE,nameplate bound does not prove grid/HTT-feasible reachability,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
230,8,440.73188923,102.324973793,8,120.12,59.4930059307,120.12,560.85188923,543.056863022,17.7950262074,60.6269940693,501.358883299,-41.6979797234,NOT_IDENTIFIABLE,nameplate bound does not prove grid/HTT-feasible reachability,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
230,4,499.087157695,43.9697053276,4,60.06,33.3106263059,60.06,559.147157695,543.056863022,16.0902946724,26.7493736941,525.836531389,-17.2203316335,NOT_IDENTIFIABLE,nameplate bound does not prove grid/HTT-feasible reachability,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
272,16,346.522481134,226.683546832,16,240.24,104.989071862,240.24,586.762481134,573.206027967,13.5564531676,135.250928138,481.773409272,-91.4326186949,NOT_IDENTIFIABLE,nameplate bound does not prove grid/HTT-feasible reachability,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
272,8,407.149475204,166.056552763,8,120.12,45.4960659317,120.12,527.269475204,573.206027967,-45.9365527631,74.6239340683,481.773409272,-91.4326186949,NO,nameplate upper bound still below total target,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
272,4,465.916906248,107.289121719,4,60.06,8.99688639124,60.06,525.976906248,573.206027967,-47.2291217192,51.0631136088,516.980019856,-56.2260081105,NO,nameplate upper bound still below total target,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
282,16,241.507481134,213.991853424,16,240.24,104.989071862,240.24,481.747481134,455.499334558,26.2481465764,135.250928138,376.758409272,-78.740925286,NOT_IDENTIFIABLE,nameplate bound does not prove grid/HTT-feasible reachability,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
282,8,302.134475204,153.364859354,8,120.12,45.4960659317,120.12,422.254475204,455.499334558,-33.2448593543,74.6239340683,376.758409272,-78.740925286,NO,nameplate upper bound still below total target,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
282,4,324.402726707,131.096607851,4,60.06,8.99688639124,60.06,384.462726707,455.499334558,-71.0366078509,51.0631136088,375.465840316,-80.0334942421,NO,nameplate upper bound still below total target,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
285,16,145.293409272,171.647322222,16,240.24,98.5039340683,240.24,385.533409272,316.940731494,68.5926777781,141.736065932,287.029475204,-29.9112562901,NOT_IDENTIFIABLE,nameplate bound does not prove grid/HTT-feasible reachability,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
285,8,226.402481134,90.5382503594,8,120.12,59.4930059307,120.12,346.522481134,316.940731494,29.5817496406,60.6269940693,287.029475204,-29.9112562901,NOT_IDENTIFIABLE,nameplate bound does not prove grid/HTT-feasible reachability,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
285,4,286.462481134,30.4782503594,4,60.06,33.3106263059,60.06,346.522481134,316.940731494,29.5817496406,26.7493736941,313.211854829,-3.72887666536,NOT_IDENTIFIABLE,nameplate bound does not prove grid/HTT-feasible reachability,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
289,16,251.186343625,135.579586925,16,240.24,98.5039340683,240.24,491.426343625,386.76593055,104.660413075,141.736065932,392.922409557,6.15647900631,NOT_IDENTIFIABLE,nameplate bound does not prove grid/HTT-feasible reachability,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
289,8,332.295415487,54.470515063,8,120.12,59.4930059307,120.12,452.415415487,386.76593055,65.649484937,60.6269940693,392.922409557,6.15647900631,NOT_IDENTIFIABLE,nameplate bound does not prove grid/HTT-feasible reachability,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
289,4,387.841604695,0,4,60.06,33.3106263059,60.06,447.901604695,386.76593055,61.1356741448,26.7493736941,414.590978389,27.8250478388,NOT_IDENTIFIABLE,nameplate bound does not prove grid/HTT-feasible reachability,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
313,16,225.037481134,161.728449416,16,240.24,104.989071862,240.24,465.277481134,386.76593055,78.5115505843,135.250928138,360.288409272,-26.4775212782,NOT_IDENTIFIABLE,nameplate bound does not prove grid/HTT-feasible reachability,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
313,8,285.664475204,101.101455346,8,120.12,45.4960659317,120.12,405.784475204,386.76593055,19.0185446535,74.6239340683,360.288409272,-26.4775212782,NOT_IDENTIFIABLE,nameplate bound does not prove grid/HTT-feasible reachability,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
313,4,344.431906248,42.3340243026,4,60.06,8.99688639124,60.06,404.491906248,386.76593055,17.7259756974,51.0631136088,395.495019856,8.72908930621,NOT_IDENTIFIABLE,nameplate bound does not prove grid/HTT-feasible reachability,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
326,16,145.293409272,278.568117493,16,240.24,98.5039340683,240.24,385.533409272,423.861526765,-38.3281174931,141.736065932,287.029475204,-136.832051561,NO,nameplate upper bound still below total target,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
326,8,255.83990479,168.021621975,8,120.12,59.4930059307,120.12,375.95990479,423.861526765,-47.9016219753,60.6269940693,316.466898859,-107.394627906,NO,nameplate upper bound still below total target,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
326,4,289.717525165,134.1440016,4,60.06,33.3106263059,60.06,349.777525165,423.861526765,-74.0840016001,26.7493736941,316.466898859,-107.394627906,NO,nameplate upper bound still below total target,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
439,16,302.134475204,84.6314553465,16,240.24,84.5069940693,240.24,542.374475204,386.76593055,155.608544654,155.733005931,457.867481134,71.1015505843,NOT_IDENTIFIABLE,nameplate bound does not prove grid/HTT-feasible reachability,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
439,8,388.994224464,0,8,120.12,39.0109281376,120.12,509.114224464,386.76593055,122.348293914,81.1090718624,470.103296327,83.3373657766,NOT_IDENTIFIABLE,nameplate bound does not prove grid/HTT-feasible reachability,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
439,4,445.054119518,0,4,60.06,32.8359897274,60.06,505.114119518,386.76593055,118.348188968,27.2240102726,472.27812979,85.5121992402,NOT_IDENTIFIABLE,nameplate bound does not prove grid/HTT-feasible reachability,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
459,16,151.533409272,235.232521278,16,240.24,98.5039340683,240.24,391.773409272,386.76593055,5.00747872182,141.736065932,293.269475204,-93.4964553465,NOT_IDENTIFIABLE,nameplate bound does not prove grid/HTT-feasible reachability,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
459,8,255.042954597,131.722975953,8,120.12,59.4930059307,120.12,375.162954597,386.76593055,-11.6029759528,60.6269940693,315.669948667,-71.0959818836,NO,nameplate upper bound still below total target,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
459,4,288.920574973,97.8453555776,4,60.06,33.3106263059,60.06,348.980574973,386.76593055,-37.7853555776,26.7493736941,315.669948667,-71.0959818836,NO,nameplate upper bound still below total target,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
462,16,302.134475204,93.3908895176,16,240.24,84.5069940693,240.24,542.374475204,395.525364721,146.849110482,155.733005931,457.867481134,62.3421164131,NOT_IDENTIFIABLE,nameplate bound does not prove grid/HTT-feasible reachability,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
462,8,371.306343625,24.2190210966,8,120.12,39.0109281376,120.12,491.426343625,395.525364721,95.9009789034,81.1090718624,452.415415487,56.8900507659,NOT_IDENTIFIABLE,nameplate bound does not prove grid/HTT-feasible reachability,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
462,4,426.549512086,0,4,60.06,32.8359897274,60.06,486.609512086,395.525364721,91.0841473645,27.2240102726,453.773522359,58.2481576372,NOT_IDENTIFIABLE,nameplate bound does not prove grid/HTT-feasible reachability,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
467,16,182.014475204,241.847051561,16,240.24,84.5069940693,240.24,422.254475204,423.861526765,-1.60705156141,155.733005931,337.747481134,-86.1140456307,NO,nameplate upper bound still below total target,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
467,8,251.186343625,172.67518314,8,120.12,39.0109281376,120.12,371.306343625,423.861526765,-52.5551831404,81.1090718624,332.295415487,-91.5661112779,NO,nameplate upper bound still below total target,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
467,4,311.246343625,112.61518314,4,60.06,32.8359897274,60.06,371.306343625,423.861526765,-52.5551831404,27.2240102726,338.470353897,-85.3911728677,NO,nameplate upper bound still below total target,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
477,16,190.108006047,0,16,240.24,104.989071862,240.24,430.348006047,180.836278269,249.511727779,135.250928138,325.358934185,144.522655916,NOT_IDENTIFIABLE,nameplate bound does not prove grid/HTT-feasible reachability,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
477,8,130.615000117,50.221278152,8,120.12,45.4960659317,120.12,250.735000117,180.836278269,69.898721848,74.6239340683,205.238934185,24.4026559163,NOT_IDENTIFIABLE,nameplate bound does not prove grid/HTT-feasible reachability,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
477,4,114.364400036,66.471878233,4,60.06,8.99688639124,60.06,174.424400036,180.836278269,-6.411878233,51.0631136088,165.427513645,-15.4087646242,NO,nameplate upper bound still below total target,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
484,16,302.134475204,84.6314553465,16,240.24,84.5069940693,240.24,542.374475204,386.76593055,155.608544654,155.733005931,457.867481134,71.1015505843,NOT_IDENTIFIABLE,nameplate bound does not prove grid/HTT-feasible reachability,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
484,8,371.306343625,15.4595869254,8,120.12,39.0109281376,120.12,491.426343625,386.76593055,104.660413075,81.1090718624,452.415415487,65.649484937,NOT_IDENTIFIABLE,nameplate bound does not prove grid/HTT-feasible reachability,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
484,4,428.492087799,0,4,60.06,32.8359897274,60.06,488.552087799,386.76593055,101.786157249,27.2240102726,455.716098071,68.9501675212,NOT_IDENTIFIABLE,nameplate bound does not prove grid/HTT-feasible reachability,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
488,16,182.014475204,241.847051561,16,240.24,84.5069940693,240.24,422.254475204,423.861526765,-1.60705156141,155.733005931,337.747481134,-86.1140456307,NO,nameplate upper bound still below total target,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
488,8,251.186343625,172.67518314,8,120.12,39.0109281376,120.12,371.306343625,423.861526765,-52.5551831404,81.1090718624,332.295415487,-91.5661112779,NO,nameplate upper bound still below total target,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
488,4,305.071405215,118.790121551,4,60.06,32.8359897274,60.06,365.131405215,423.861526765,-58.7301215506,27.2240102726,332.295415487,-91.5661112779,NO,nameplate upper bound still below total target,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
491,16,241.507481134,0,16,240.24,104.989071862,240.24,481.747481134,180.836278269,300.911202866,135.250928138,376.758409272,195.922131003,NOT_IDENTIFIABLE,nameplate bound does not prove grid/HTT-feasible reachability,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
491,8,184.939475204,0,8,120.12,45.4960659317,120.12,305.059475204,180.836278269,124.223196935,74.6239340683,259.563409272,78.7271310033,NOT_IDENTIFIABLE,nameplate bound does not prove grid/HTT-feasible reachability,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
491,4,148.440295663,32.3959826055,4,60.06,8.99688639124,60.06,208.500295663,180.836278269,27.6640173945,51.0631136088,199.503409272,18.6671310033,NOT_IDENTIFIABLE,nameplate bound does not prove grid/HTT-feasible reachability,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
518,16,302.134475204,244.796912417,16,240.24,84.5069940693,240.24,542.374475204,546.93138762,-4.55691241672,155.733005931,457.867481134,-89.063906486,NO,nameplate upper bound still below total target,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
518,8,356.235386323,190.696001297,8,120.12,39.0109281376,120.12,476.355386323,546.93138762,-70.5760012973,81.1090718624,437.344458186,-109.586929435,NO,nameplate upper bound still below total target,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
518,4,410.120447913,136.810939707,4,60.06,32.8359897274,60.06,470.180447913,546.93138762,-76.7509397075,27.2240102726,437.344458186,-109.586929435,NO,nameplate upper bound still below total target,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
521,16,256.638409272,0,16,240.24,98.5039340683,240.24,496.878409272,156.407515605,340.470893667,141.736065932,398.374475204,241.966959599,NOT_IDENTIFIABLE,nameplate bound does not prove grid/HTT-feasible reachability,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
521,8,240.15969454,0,8,120.12,59.4930059307,120.12,360.27969454,156.407515605,203.872178936,60.6269940693,300.78668861,144.379173005,NOT_IDENTIFIABLE,nameplate bound does not prove grid/HTT-feasible reachability,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
521,4,213.977314916,0,4,60.06,33.3106263059,60.06,274.037314916,156.407515605,117.629799311,26.7493736941,240.72668861,84.319173005,NOT_IDENTIFIABLE,nameplate bound does not prove grid/HTT-feasible reachability,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
550,16,241.507481134,0,16,240.24,104.989071862,240.24,481.747481134,142.923283799,338.824197335,135.250928138,376.758409272,233.835125473,NOT_IDENTIFIABLE,nameplate bound does not prove grid/HTT-feasible reachability,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
550,8,182.014475204,0,8,120.12,45.4960659317,120.12,302.134475204,142.923283799,159.211191405,74.6239340683,256.638409272,113.715125473,NOT_IDENTIFIABLE,nameplate bound does not prove grid/HTT-feasible reachability,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
550,4,204.282726707,0,4,60.06,8.99688639124,60.06,264.342726707,142.923283799,121.419442908,51.0631136088,255.345840316,112.422556517,NOT_IDENTIFIABLE,nameplate bound does not prove grid/HTT-feasible reachability,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
579,16,241.507481134,0,16,240.24,104.989071862,240.24,481.747481134,180.836278269,300.911202866,135.250928138,376.758409272,195.922131003,NOT_IDENTIFIABLE,nameplate bound does not prove grid/HTT-feasible reachability,ELECTROLYZER_NAMEPLATE_UPPER_BOUND_DIAGNOSTIC
