tau,branch,from_bus,to_bus,p_kw,q_kvar,true_s_mva,true_utilization,true_circle_pass,hour_octagon_violation,hour_true_circle_violation_mva
6,5,5,6,1392.864615,1003.13364,1.71649320867248,0.286082201445413,1,0,0
6,6,6,7,728.627475,345.67443,0.806466867813365,0.134411144635561,1,0,0
6,7,7,8,593.068875,277.89513,0.654947626739331,0.109157937789889,1,0,0
6,8,8,9,457.510275,210.11583,0.503452394717876,0.0839087324529794,1,0,0
6,9,9,10,416.842695,196.55997,0.460861860193772,0.0768103100322953,1,0,0
6,10,10,11,376.175115,183.00411,0.418327887454512,0.0697213145757521,1,0,0
6,11,11,12,345.67443,162.67032,0.382037229291501,0.0636728715485836,1,0,0
6,12,12,13,305.00685,138.947565,0.335165040489535,0.0558608400815892,1,0,0
6,13,13,14,264.33927,115.22481,0.288360896280458,0.0480601493800763,1,0,0
6,14,14,15,183.00411,61.00137,0.192903269590666,0.0321505449317776,1,0,0
6,15,15,16,142.33653,54.22344,0.152315032803314,0.0253858388005523,1,0,0
6,16,16,17,101.66895,40.66758,0.109500810303664,0.0182501350506106,1,0,0
6,17,17,18,61.00137,27.11172,0.0667548687605279,0.011125811460088,1,0,0
6,18,2,19,244.00548,108.44688,0.267019475042111,0.0445032458403519,1,0,0
6,19,19,20,183.00411,81.33516,0.200264606281584,0.0333774343802639,1,0,0
6,20,20,21,122.00274,54.22344,0.133509737521056,0.022251622920176,1,0,0
6,21,21,22,61.00137,27.11172,0.0667548687605279,0.011125811460088,1,0,0
6,22,3,23,630.34749,305.00685,0.700262191394211,0.116710365232368,1,0,0
6,23,23,24,569.34612,271.1172,0.63060252179554,0.105100420299257,1,0,0
6,24,24,25,284.67306,135.5586,0.31530126089777,0.0525502101496283,1,0,0
6,25,6,26,623.56956,643.90335,0.896354015051986,0.149392335841998,1,0,0
6,26,26,27,582.90198,626.958525,0.85606758515791,0.142677930859652,1,0,0
6,27,27,28,542.2344,610.0137,0.816170851434337,0.136028475239056,1,0,0
6,28,28,29,501.56682,596.45784,0.779314589766147,0.129885764961024,1,0,0
6,29,29,30,420.23166,549.01233,0.691382084348723,0.115230347391454,1,0,0
6,30,30,31,284.67306,142.33653,0.318274156761438,0.053045692793573,1,0,0
6,31,31,32,183.00411,94.89102,0.206142693184921,0.0343571155308202,1,0,0
6,32,32,33,40.66758,27.11172,0.0488763483130113,0.00814605805216854,1,0,0
7,1,1,2,2462.001085,1524.2537,2.89565168563225,0.482608614272041,1,0,0
7,2,2,3,2157.150345,1378.45552,2.55996820909012,0.426661368181687,1,0,0
7,3,3,4,1481.176965,1053.72321,1.81775075434981,0.302958459058302,1,0,0
7,4,4,5,1401.650685,1000.70569,1.72221848810171,0.287036414683619,1,0,0
7,5,5,6,1361.887545,980.82412,1.67831869428899,0.279719782381498,1,0,0
7,6,6,7,712.422925,337.98669,0.788531183075667,0.131421863845945,1,0,0
7,7,7,8,579.879125,271.71479,0.640381703920021,0.10673028398667,1,0,0
7,8,8,9,447.335325,205.44289,0.492255699859745,0.0820426166432909,1,0,0
7,9,9,10,407.572185,192.18851,0.450612371514248,0.0751020619190413,1,0,0
7,10,10,11,367.809045,178.93413,0.409024347029207,0.0681707245048678,1,0,0
7,11,11,12,337.98669,159.05256,0.37354078687569,0.062256797812615,1,0,0
7,12,12,13,298.22355,135.857395,0.32771102750867,0.0546185045847784,1,0,0
7,13,13,14,258.46041,112.66223,0.281947799434472,0.0469912999057452,1,0,0
7,14,14,15,178.93413,59.64471,0.188613133980222,0.0314355223300369,1,0,0
7,15,15,16,139.17099,53.01752,0.148927572613437,0.0248212621022395,1,0,0
7,16,16,17,99.40785,39.76314,0.107065531074581,0.0178442551790969,1,0,0
7,17,17,18,59.64471,26.50876,0.0652702519354851,0.0108783753225809,1,0,0
7,18,2,19,238.57884,106.03504,0.26108100774194,0.0435135012903234,1,0,0
7,19,19,20,178.93413,79.52628,0.195810755806455,0.0326351259677426,1,0,0
7,20,20,21,119.28942,53.01752,0.13054050387097,0.0217567506451617,1,0,0
7,21,21,22,59.64471,26.50876,0.0652702519354851,0.0108783753225809,1,0,0
7,22,3,23,616.32867,298.22355,0.684688480433672,0.114114746738945,1,0,0
7,23,23,24,556.68396,265.0876,0.616578029932175,0.102763004988696,1,0,0
7,24,24,25,278.34198,132.5438,0.308289014966087,0.0513815024943479,1,0,0
7,25,6,26,609.70148,629.58305,0.876419255585757,0.14606987593096,1,0,0
7,26,26,27,569.93834,613.015075,0.837028788978737,0.139504798163123,1,0,0
7,27,27,28,530.1752,596.4471,0.798019351766265,0.133003225294377,1,0,0
7,28,28,29,490.41206,583.19272,0.761982767032458,0.126997127838743,1,0,0
7,29,29,30,410.88578,536.80239,0.676005865444909,0.112667644240818,1,0,0
7,30,30,31,278.34198,139.17099,0.311195794135943,0.0518659656893239,1,0,0
7,31,31,32,178.93413,92.78066,0.201558115065835,0.0335930191776392,1,0,0
7,32,32,33,39.76314,26.50876,0.0477893467144844,0.00796489111908073,1,0,0
8,1,1,2,2630.000815,1628.2643,3.09324246019531,0.515540410032552,1,0,0
8,2,2,3,2304.347955,1472.51728,2.73465292818143,0.455775488030239,1,0,0
8,3,3,4,1582.248135,1125.62619,1.9417887321552,0.3236314553592,1,0,0
8,4,4,5,1497.295215,1068.99091,1.83973762437053,0.306622937395088,1,0,0
8,5,5,6,1454.818755,1047.75268,1.79284223743946,0.298807039573243,1,0,0
8,6,6,7,761.036575,361.04991,0.842338237288762,0.140389706214794,1,0,0
8,7,7,8,619.448375,290.25581,0.684079472377952,0.114013245396325,1,0,0
8,8,8,9,477.860175,219.46171,0.525845784434139,0.0876409640723564,1,0,0
8,9,9,10,435.383715,205.30289,0.481360837552821,0.0802268062588035,1,0,0
8,10,10,11,392.907255,191.14407,0.436934968305124,0.0728224947175207,1,0,0
8,11,11,12,361.04991,169.90584,0.399030114123124,0.0665050190205207,1,0,0
8,12,12,13,318.57345,145.127905,0.350073066451265,0.0583455110752108,1,0,0
8,13,13,14,276.09699,120.34997,0.301187089972431,0.0501978483287384,1,0,0
8,14,14,15,191.14407,63.71469,0.201483540811554,0.0335805901352589,1,0,0
8,15,15,16,148.66761,56.63528,0.159089953183067,0.0265149921971779,1,0,0
8,16,16,17,106.19115,42.47646,0.114371368761828,0.019061894793638,1,0,0
8,17,17,18,63.71469,28.31764,0.0697241024106134,0.0116206837351022,1,0,0
8,18,2,19,254.85876,113.27056,0.278896409642453,0.0464827349404089,1,0,0
8,19,19,20,191.14407,84.95292,0.20917230723184,0.0348620512053067,1,0,0
8,20,20,21,127.42938,56.63528,0.139448204821227,0.0232413674702045,1,0,0
8,21,21,22,63.71469,28.31764,0.0697241024106134,0.0116206837351022,1,0,0
8,22,3,23,658.38513,318.57345,0.731409613315288,0.121901602219215,1,0,0
8,23,23,24,594.67044,283.1764,0.658651505522271,0.109775250920378,1,0,0
8,24,24,25,297.33522,141.5882,0.329325752761135,0.0548876254601892,1,0,0
8,25,6,26,651.30572,672.54395,0.936223533984444,0.156037255664074,1,0,0
8,26,26,27,608.82926,654.845425,0.894145177516257,0.149024196252709,1,0,0
8,27,27,28,566.3528,637.1469,0.85247385077048,0.142078975128413,1,0,0
8,28,28,29,523.87634,622.98808,0.813978235233524,0.135663039205587,1,0,0
8,29,29,30,438.92342,573.43221,0.72213452215635,0.120355753692725,1,0,0
8,30,30,31,297.33522,148.66761,0.332430882012427,0.0554051470020712,1,0,0
8,31,31,32,191.14407,99.11174,0.215311849423093,0.0358853082371821,1,0,0
8,32,32,33,42.47646,28.31764,0.051050351510065,0.00850839191834417,1,0,0
9,1,1,2,2964.025855,1842.4771,3.49001019097837,0.581668365163062,1,0,0
9,2,2,3,2595.530435,1666.24016,3.0843369643747,0.514056160729116,1,0,0
9,3,3,4,1781.425695,1273.71243,2.18993626873997,0.364989378123328,1,0,0
9,4,4,5,1685.296455,1209.62627,2.0744685715406,0.345744761923433,1,0,0
9,5,5,6,1637.231835,1185.59396,2.02142551669013,0.336904252781688,1,0,0
9,6,6,7,855.170175,408.54927,0.947749193735908,0.157958198955985,1,0,0
9,7,7,8,694.954775,328.44157,0.768658574530569,0.128109762421761,1,0,0
9,8,8,9,534.739375,248.33387,0.589589611649126,0.0982649352748544,1,0,0
9,9,9,10,486.674755,232.31233,0.539278532693764,0.0898797554489606,1,0,0
9,10,10,11,438.610135,216.29079,0.489040444506937,0.0815067407511561,1,0,0
9,11,11,12,402.56167,192.25848,0.446115703921191,0.0743526173201984,1,0,0
9,12,12,13,354.49705,164.220785,0.390687374616481,0.0651145624360802,1,0,0
9,13,13,14,306.43243,136.18309,0.33533068478392,0.0558884474639867,1,0,0
9,14,14,15,213.29699,72.09693,0.225152333451121,0.0375253889085202,1,0,0
9,15,15,16,165.23237,64.08616,0.177225201366404,0.0295375335610674,1,0,0
9,16,16,17,117.16775,48.06462,0.126643157477247,0.0211071929128746,1,0,0
9,17,17,18,69.10313,32.04308,0.0761708707557115,0.0126951451259519,1,0,0
9,18,2,19,288.38772,128.17232,0.315587738451577,0.0525979564085961,1,0,0
9,19,19,20,216.29079,96.12924,0.236690803838683,0.0394484673064471,1,0,0
9,20,20,21,144.19386,64.08616,0.157793869225788,0.0262989782042981,1,0,0
9,21,21,22,72.09693,32.04308,0.0788969346128942,0.013149489102149,1,0,0
9,22,3,23,742.00781,360.48465,0.824939254119125,0.137489875686521,1,0,0
9,23,23,24,669.91088,320.4308,0.742601161277717,0.123766860212953,1,0,0
9,24,24,25,336.45234,160.2154,0.372651514807918,0.0621085858013196,1,0,0
9,25,6,26,733.99704,761.02315,1.05731163313599,0.176218605522664,1,0,0
9,26,26,27,685.93242,740.996225,1.00974189289704,0.168290315482841,1,0,0
9,27,27,28,637.8678,720.9693,0.962638074158367,0.160439679026395,1,0,0
9,28,28,29,589.80318,704.94776,0.919140432941088,0.153190072156848,1,0,0
9,29,29,30,493.67394,648.87237,0.815321600096882,0.13588693334948,1,0,0
9,30,30,31,333.45854,168.22617,0.373489815352173,0.0622483025586955,1,0,0
9,31,31,32,216.29079,112.15078,0.243638057974185,0.0406063429956976,1,0,0
9,32,32,33,48.06462,32.04308,0.0577664839818973,0.00962774733031622,1,0,0
10,1,1,2,2941.413855,1842.4771,3.47082660621506,0.578471101035844,1,0,0
10,2,2,3,2572.918435,1666.24016,3.06533286022247,0.510888810037079,1,0,0
10,3,3,4,1764.466695,1273.71243,2.17616315383308,0.36269385897218,1,0,0
10,4,4,5,1668.337455,1209.62627,2.06071482181062,0.343452470301771,1,0,0
10,5,5,6,1620.272835,1185.59396,2.0077143964786,0.334619066079766,1,0,0
10,6,6,7,843.864175,408.54927,0.937560265724803,0.156260044287467,1,0,0
10,7,7,8,683.648775,328.44157,0.75845205020691,0.126408675034485,1,0,0
10,8,8,9,523.433375,248.33387,0.579354993983022,0.096559165663837,1,0,0
10,9,9,10,475.368755,232.31233,0.529097790488941,0.0881829650814901,1,0,0
10,10,10,11,427.304135,216.29079,0.478926434462457,0.0798210724104095,1,0,0
10,11,11,12,391.25567,192.25848,0.435940732713817,0.0726567887856361,1,0,0
10,12,12,13,343.19105,164.220785,0.380458359122413,0.0634097265204021,1,0,0
10,13,13,14,295.12643,136.18309,0.325031450303648,0.0541719083839414,1,0,0
10,14,14,15,207.64399,72.09693,0.219804444674226,0.0366340741123711,1,0,0
10,15,15,16,159.57937,64.08616,0.17196688993275,0.028661148322125,1,0,0
10,16,16,17,111.51475,48.06462,0.121432068101086,0.0202386780168477,1,0,0
10,17,17,18,63.45013,32.04308,0.0710821916720588,0.0118470319453431,1,0,0
10,18,2,19,288.38772,128.17232,0.315587738451577,0.0525979564085961,1,0,0
10,19,19,20,216.29079,96.12924,0.236690803838683,0.0394484673064471,1,0,0
10,20,20,21,144.19386,64.08616,0.157793869225788,0.0262989782042981,1,0,0
10,21,21,22,72.09693,32.04308,0.0788969346128942,0.013149489102149,1,0,0
10,22,3,23,736.35481,360.48465,0.819858273786243,0.136643045631041,1,0,0
10,23,23,24,664.25788,320.4308,0.737505544881348,0.122917590813558,1,0,0
10,24,24,25,336.45234,160.2154,0.372651514807918,0.0621085858013196,1,0,0
10,25,6,26,728.34404,761.02315,1.05339511838599,0.175565853064332,1,0,0
10,26,26,27,680.27942,740.996225,1.00591028165527,0.167651713609212,1,0,0
10,27,27,28,632.2148,720.9693,0.958901603336614,0.159816933889436,1,0,0
10,28,28,29,584.15018,704.94776,0.915523225878541,0.15258720431309,1,0,0
10,29,29,30,488.02094,648.87237,0.811911196146414,0.135318532691069,1,0,0
10,30,30,31,327.80554,168.22617,0.368451511501256,0.0614085852502094,1,0,0
10,31,31,32,216.29079,112.15078,0.243638057974185,0.0406063429956976,1,0,0
10,32,32,33,48.06462,32.04308,0.0577664839818973,0.00962774733031622,1,0,0
11,1,1,2,3057.01027,1939.6774,3.62045027682417,0.603408379470696,1,0,0
11,2,2,3,2669.07479,1754.14304,3.1938969988705,0.532316166478417,1,0,0
11,3,3,4,1827.86763,1340.90742,2.26696554491083,0.377827590818472,1,0,0
11,4,4,5,1726.66707,1273.44038,2.14546721532559,0.357577869220931,1,0,0
11,5,5,6,1676.06679,1248.14024,2.08974973220435,0.348291622034059,1,0,0
11,6,6,7,868.59315,430.10238,0.969248222855521,0.16154137047592,1,0,0
11,7,7,8,699.92555,345.76858,0.780673866898348,0.130112311149725,1,0,0
11,8,8,9,531.25795,261.43478,0.592100627961034,0.0986834379935057,1,0,0
11,9,9,10,480.65767,244.56802,0.539300762225077,0.0898834603708462,1,0,0
11,10,10,11,430.05739,227.70126,0.486618148550996,0.0811030247584994,1,0,0
11,11,11,12,392.10718,202.40112,0.441264381051549,0.0735440635085915,1,0,0
11,12,12,13,341.5069,172.88429,0.382774007054311,0.0637956678423852,1,0,0
11,13,13,14,290.90662,143.36746,0.324316034365672,0.0540526723942787,1,0,0
11,14,14,15,208.70366,75.90042,0.222076769279391,0.0370127948798986,1,0,0
11,15,15,16,158.10338,67.46704,0.171896713912122,0.028649452318687,1,0,0
11,16,16,17,107.5031,50.60028,0.11881626507212,0.0198027108453534,1,0,0
11,17,17,18,56.90282,33.73352,0.0661504444092615,0.0110250740682103,1,0,0
11,18,2,19,303.60168,134.93408,0.332236641634045,0.0553727736056742,1,0,0
11,19,19,20,227.70126,101.20056,0.249177481225534,0.0415295802042556,1,0,0
