role,relative_path,size_bytes,sha256
output,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\02_stage7_adequate_surplus\stage7_surplus_ratio_bins.csv,415,c236cc66f8c99aa3eee8caf42a1531b8b2900748f89566e52f358a52601225a3
output,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\02_stage7_adequate_surplus\stage7_zero_vs_positive_target.csv,372,1f7e4bc5ad6322c212af478af35ff52a34241045e5f1e934c15193ef916cd6bd
output,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\03_terminal_state_35\stage7_by_terminal_state_35.csv,8247,49d524505002320d4668060a8f94dc9abce367289ce6988e3ec8495b4206f9af
output,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\04_arrival_timing\stage7_arrival_by_intensity.csv,993,731e268b0bb1f7f1c17f343aa78793551a2ff760355ee10fecb3f6818d0ab3b5
output,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\04_arrival_timing\stage7_by_arrival_stage_detailed.csv,1524,7f569af016f3a83bd7de953b1bfd35fe30b6c705552bb17868c3fced172ee344
output,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\04_arrival_timing\stage7_time_to_adequacy.csv,198428,4ea76b91675d20b81bd87d55cc1f281e49240395b997ca1075b9edfea8efc822
output,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\05_shortfall_sites\stage7_shortfall_by_site.csv,511,05d5205dfd376cad86511ae71f1ae61eb051f531b983c0ed28f9f11859ef0396
output,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\05_shortfall_sites\stage7_shortfall_mechanism_groups.csv,1312,7d0c6860bf9533626d54f7a542388c3a0c10b2a4fbdd555540caed76f8463da5
output,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\05_shortfall_sites\stage7_shortfall_site_combinations.csv,605,56f27a63d5675f605deb8f107137d8794ada1bb49e6de6d28ef4a5325431284c
output,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\06_spatial_htt\htt_helpfulness_summary.csv,1817,913b62da3b73a7e650b89767acd0a357e919ad518fda76af590e8ee89317c071
output,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\06_spatial_htt\pure_location_failure_diagnosis.csv,72216,df52466f7a3db5082f79cd0740b334b8e2e096ec4d2c26646ae5b06edf45bd89
output,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\06_spatial_htt\spatial_mismatch_timeline.csv,27326,d2658c341675263b4bab7ad1fd0e66f69832f6891c2d483755a877b724605ad4
output,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\07_catchup_limits\electrolyzer_binding_by_site.csv,1604,b4c625c4f9fa178fa4a6ff3a1dda01221d07d1976a7df164cd97049f9d37ac6d
output,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\07_catchup_limits\shortfall_catchup_feasibility_diagnostic.csv,244376,01c6b815a49c1e7043fa536cd34c3e5a1bda4111c88c583143f180639d4e43ce
output,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\07_catchup_limits\voltage_binding_diagnosis.csv,1799,8f690ddff7a40441e48ee2db96689af7b47c496cf505be155bbdac846ab2289b
output,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\08_ordinary_shortage\ordinary_shortage_detailed.csv,11359,205433a3f4c1a294c79cefcf9d32fc1bbf65f2fbfcf9bf2c1632274f2fcf745a
output,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\08_ordinary_shortage\ordinary_shortage_mechanism.csv,2250887,c2ba1ec2f49bcf7f197cd3c4b207dc3ae3e110865a794c17f6ee4b0c6b5b866d
output,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\08_ordinary_shortage\ordinary_vs_terminal_tradeoff.csv,799,3d4570fbff66a715fbf1ffe6fd2f502ef6cabff431d6b35b3c9d61d613a27eae
output,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\09_dissipation\dissipation_detailed_summary.csv,1966,307baf00acb4fa68edcd1daadd9ac3801cb6e24088d5a6f628ae6c7d368b13de
output,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\09_dissipation\preventive_inventory_exposure.csv,1548529,7c0efe662d0e24192083eff3cbd1c5f14913f43ae364d7f24210e2f0eef3aab5
output,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\10_tail\stage7_tail_full_profile.csv,1346,44c5e0743b57c26e54fb401b54359cbfd549e624f0b7e6d460d830123047fe28
output,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\11_cases\case_hourly_site_profile.csv,128775,79070d536012912d69714b8bb9447096a172d0d1827f8ca3e91c042d56db01a0
output,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\11_cases\case_htt_od_profile.csv,2798,933db7215741dbbb0acde35136db438da0927ade29a615168b8842b23a6f1ac5
output,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\11_cases\case_path_selection.csv,1076,9b1e22db6410f5a30a7349c227042957ece14e041d1ce53b15419151f214dac0
output,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\12_economics\cost_vs_terminal_outcome.csv,1199,f469609f4ee6dd60b7e0fa7e62de96ca3141bd15e0791dd93516042f7af90108
output,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\12_economics\economics_by_path_group.csv,2390,1d8e7e1457a5e8d4622de00d898be42ca193c69b2eba9070d76e8e32683bb3d5
output,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\12_economics\economics_cost_definition_audit.md,853,442b2ba959ce16bced487678c104c09055c4e612688e365af28aa4a1aca387b3
output,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\12_economics\economics_overall_distribution.csv,919,667c333385386393721e92bf7c0b1529949c2fc1126f6f51e6060cd888c06760
output,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\12_economics\model_penalty_components.csv,408,f370e21b4bd3dc1a0ab3edc6d9a43035229739e99aa4e10d1761de95cc51a369
output,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\13_training_depth\training_depth_diagnosis.csv,2993,551b7b229a81bd2750acbd3b2843afaf8946f88a03f4704ff56e515d7c58b475
output,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\14_summary\deep_analysis_qa.csv,367,85f3d16135f0b4a9078d21e563f2e88bf2c1f08224237757be3f69ee2d624e71
output,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\14_summary\independent_deep_analysis_audit.csv,1132,e1922daf243c7e113bf4908d6a24ce1af86d9ae3e110f0594e50a1c4138f75ec
output,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\14_summary\penalty1000_full_diagnostic_summary.csv,4069,c6bce90f8368ffecd90a41c9c45bdf9dcea3b9fe82ef00c30e6759ac548db0b8
output,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\05_analysis\10_deep_penalty1000\14_summary\README.md,7211,3d2efa799df6aa81880da1db3631fec9d966db3598a73dd0a8bdf619134c327b
figure,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\06_figures\08_penalty1000_deep_analysis\01_10000条路线最终去向.png,66928,54377396bd365a804e08831bf434fc2847d4b4a536f37165bbc4f2b808edbdf8
figure,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\06_figures\08_penalty1000_deep_analysis\02_Stage7零目标与正目标.png,70836,ae718e463b1669d4951ea2413a8a96be6037486c59b297b129e09574db17c56d
figure,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\06_figures\08_penalty1000_deep_analysis\03_达标路线多存多少.png,64214,c270a2410516662cd11ad7df0cad5cc80dbad714dcd62fede926d159f29706c1
figure,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\06_figures\08_penalty1000_deep_analysis\04_四站达标后超额库存.png,54247,360b1dbc29a7000bd106e30ff15501a48d2f93e454efa895d0f7bfb505d88b05
figure,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\06_figures\08_penalty1000_deep_analysis\05_35状态不足率.png,102641,4f3db932f6fa3ec04407bebe93f3ebffc0dcd9c1247e6e85013712a74be0585f
figure,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\06_figures\08_penalty1000_deep_analysis\06_35状态不足严重程度.png,93508,53965e5c995efb3686d5acf5b26c31f22f7078ab233256fb55b51043402cb18d
figure,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\06_figures\08_penalty1000_deep_analysis\07_35状态达标后超额.png,106491,22e7d00c3725d7e619b43c1e071fd0fc423929cb11b9b3265ddb3b59dc294920
figure,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\06_figures\08_penalty1000_deep_analysis\08_到达时间乘最终强度.png,117525,7fe72d78f1a6088b1b163f02b2aecd7f798086a9ac32d3075362ad1875055c8a
figure,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\06_figures\08_penalty1000_deep_analysis\09_不足发生站点.png,67400,ad6f62caf71e2b22d72d7b9ed6f5f18922a51cc3d4f672de51d6ef1085d2f7c6
figure,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\06_figures\08_penalty1000_deep_analysis\10_三类不足原因.png,95530,f3c014001e986860f38b29d7efd432865bc25cf315dc620d87289ba94121b3c7
figure,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\06_figures\08_penalty1000_deep_analysis\11_位置问题形成时间线.png,131739,188939ca1503409fb6ddabf61b5fb9f94e0acfb3921c90b7fe1415cba054ce58
figure,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\06_figures\08_penalty1000_deep_analysis\12_HTT是否搬向缺口站.png,76914,2c2bb094ae579ad2d2b184ac62a725ee0ec968dcc3ecd2050a216ec1f2070d67
figure,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\06_figures\08_penalty1000_deep_analysis\13_不足路径四站电解槽负荷.png,68322,3bdd5322f730545761250c3973b16fb6f93dfa18f2a83d70625ec9a9243dcd1b
figure,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\06_figures\08_penalty1000_deep_analysis\14_普通缺氢与最终储备.png,60118,a6984e74b4e9287d2be77c96a36bafa2a201a4b6795ddb16df865c07686402fa
figure,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\06_figures\08_penalty1000_deep_analysis\15_消散路径预防库存.png,62019,a35386644073f2ca20d30c3f500d42f1226013b9729613ab0e61d3458f3deaea
figure,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\06_figures\08_penalty1000_deep_analysis\16_风险尾部完整比较.png,71296,f1c82b9cd65dc35e30b6131f719434a9264bbe7272879ab6ca7d4f6c102bbdb2
figure,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\06_figures\08_penalty1000_deep_analysis\17_三条代表性路线.png,214385,3fa34ebebdd75fe4adcd15173c9ec973f8908e8b4eb5b2df89fd3f6a07f75475
figure,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\06_figures\08_penalty1000_deep_analysis\18_成本分布与最终结果.png,114871,87322183455f384f7d616be84cf8b1a121d06daaeef43c9db5d6e333240615d3
figure,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\06_figures\08_penalty1000_deep_analysis\19_训练深度稳定性.png,87234,73e2e1aca5bef68119a0965718dce90d94fd8e090a23c1ce76f8b64e9fdfc50e
figure,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\06_figures\08_penalty1000_deep_analysis\contact_sheet.png,526578,c8179d52abd84848b10623372698bc774c6c3c843d15bbe1b398b53d33d0d9b6
figure,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\06_figures\08_penalty1000_deep_analysis\figure_manifest.csv,4599,939bba3256368c7ecf8e897b1fe028ae01a87365645c81c3d99ce3d1b39f7aaf
figure,results\task-002-stage2b-b3-smoke\stage89q-penalty1000-vs1500-long-training\run-003\06_figures\08_penalty1000_deep_analysis\visual_audit.csv,3276,345373178771668e5bd0b2d6400cd95cfbedcd955256d303607832e217d3b46b
