a0,loc0,lfw0,seed_id,base_seed,mode,asset,stage,threshold_mps,observation_count,above_count,above_share,crossed_up_vs_M0_count,crossed_up_vs_M0_share,crossed_down_vs_M0_count,crossed_down_vs_M0_share,local_wind_max_mps
6,7,0,1,20260723,M0_FIXED,grid_line,W1,25,64000,41206,0.64384375,0,0,0,0,55.2436058969241
6,7,0,1,20260723,M0_FIXED,grid_line,W1,50,64000,18,0.00028125,0,0,0,0,55.2436058969241
6,7,0,1,20260723,M0_FIXED,road_edge,W1,30,82000,21566,0.263,0,0,0,0,55.2436058969241
6,7,0,1,20260723,M0_FIXED,road_edge,W1,60,82000,0,0,0,0,0,0,55.2436058969241
6,7,0,1,20260723,M0_FIXED,grid_line,W2,25,64000,41327,0.645734375,0,0,0,0,55.4697563798546
6,7,0,1,20260723,M0_FIXED,grid_line,W2,50,64000,431,0.006734375,0,0,0,0,55.4697563798546
6,7,0,1,20260723,M0_FIXED,road_edge,W2,30,82000,29862,0.364170731707317,0,0,0,0,55.4697563798546
6,7,0,1,20260723,M0_FIXED,road_edge,W2,60,82000,0,0,0,0,0,0,55.4697563798546
6,7,0,1,20260723,M0_FIXED,grid_line,W3,25,64000,38122,0.59565625,0,0,0,0,55.4697563798546
6,7,0,1,20260723,M0_FIXED,grid_line,W3,50,64000,129,0.002015625,0,0,0,0,55.4697563798546
6,7,0,1,20260723,M0_FIXED,road_edge,W3,30,82000,27474,0.335048780487805,0,0,0,0,55.4697563798546
6,7,0,1,20260723,M0_FIXED,road_edge,W3,60,82000,0,0,0,0,0,0,55.4697563798546
6,7,0,1,20260723,M1_STAGEWISE_RANDOM,grid_line,W1,25,64000,41721,0.651890625,2258,0.03528125,1743,0.027234375,54.7626847667813
6,7,0,1,20260723,M1_STAGEWISE_RANDOM,grid_line,W1,50,64000,18,0.00028125,0,0,0,0,54.7626847667813
6,7,0,1,20260723,M1_STAGEWISE_RANDOM,road_edge,W1,30,82000,22040,0.268780487804878,2589,0.0315731707317073,2115,0.0257926829268293,54.7626847667813
6,7,0,1,20260723,M1_STAGEWISE_RANDOM,road_edge,W1,60,82000,0,0,0,0,0,0,54.7626847667813
6,7,0,1,20260723,M1_STAGEWISE_RANDOM,grid_line,W2,25,64000,41716,0.6518125,2047,0.031984375,1658,0.02590625,59.4922637781802
6,7,0,1,20260723,M1_STAGEWISE_RANDOM,grid_line,W2,50,64000,481,0.007515625,69,0.001078125,19,0.000296875,59.4922637781802
6,7,0,1,20260723,M1_STAGEWISE_RANDOM,road_edge,W2,30,82000,30083,0.366865853658537,2076,0.0253170731707317,1855,0.0226219512195122,59.4922637781802
6,7,0,1,20260723,M1_STAGEWISE_RANDOM,road_edge,W2,60,82000,0,0,0,0,0,0,59.4922637781802
6,7,0,1,20260723,M1_STAGEWISE_RANDOM,grid_line,W3,25,64000,38290,0.59828125,1730,0.02703125,1562,0.02440625,56.8629169409253
6,7,0,1,20260723,M1_STAGEWISE_RANDOM,grid_line,W3,50,64000,144,0.00225,28,0.0004375,13,0.000203125,56.8629169409253
6,7,0,1,20260723,M1_STAGEWISE_RANDOM,road_edge,W3,30,82000,27793,0.338939024390244,1984,0.0241951219512195,1665,0.0203048780487805,56.8629169409253
6,7,0,1,20260723,M1_STAGEWISE_RANDOM,road_edge,W3,60,82000,0,0,0,0,0,0,56.8629169409253
5,4,0,2,20260724,M0_FIXED,grid_line,W1,25,64000,46143,0.720984375,0,0,0,0,55.4697563798546
