a0,loc0,lfw0,seed_id,base_seed,mode,stage,metric,M0_mean,M1_mean,paired_difference_mean,paired_absolute_difference_mean,paired_difference_q05,paired_difference_median,paired_difference_q95,paired_difference_min,paired_difference_max,nonzero_difference_share
6,7,0,1,20260723,M1_STAGEWISE_RANDOM,W2,D_W2,90.1951558792243,93.2498704415896,3.05471456236533,10.8156724763386,-27.8209639145733,0,50.7323459618689,-174.290156288356,202.656629299294,0.2485
6,7,0,1,20260723,M1_STAGEWISE_RANDOM,W2,A0_W2,0.115939393939394,0.117795454545455,0.00185606060606061,0.0255530303030303,-0.0303030303030303,0,0.0606060606060606,-0.795454545454545,0.598484848484849,0.158
6,7,0,1,20260723,M1_STAGEWISE_RANDOM,W2,C_W2,20.8842489553637,20.9116780842198,0.0274291288561609,0.911996828640849,-2.15875133111057,0,2.45389504719205,-20.3573065351721,28.1835730464841,0.619
6,7,0,1,20260723,M1_STAGEWISE_RANDOM,W2,failed_W2,5.9495,6.051,0.1015,0.8665,-2,0,3,-7,7,0.461
6,7,0,1,20260723,M1_STAGEWISE_RANDOM,W2,closed_W2,2.7775,2.8775,0.1,0.549,-2,0,2,-8,8,0.2915
6,7,0,1,20260723,M1_STAGEWISE_RANDOM,W3,D_W3,106.826773586449,109.357390284483,2.53061669803344,10.1650165016502,-27.8209639145733,0,50.1868368655047,-194.473992853831,202.656629299294,0.256
6,7,0,1,20260723,M1_STAGEWISE_RANDOM,W3,A0_W3,0.166772727272727,0.170590909090909,0.00381818181818182,0.033530303030303,-0.0606060606060606,0,0.174242424242424,-0.704545454545454,0.765151515151515,0.2165
6,7,0,1,20260723,M1_STAGEWISE_RANDOM,W3,C_W3,21.3680917328302,21.3630285913917,-0.00506314143851466,1.23476895604881,-3.5049017236565,0,3.41756229399731,-32.218897758935,28.1835730464841,0.712
6,7,0,1,20260723,M1_STAGEWISE_RANDOM,W3,failed_W3,7.571,7.716,0.145,0.985,-3,0,3,-8,7,0.5065
6,7,0,1,20260723,M1_STAGEWISE_RANDOM,W3,closed_W3,3.919,4.0785,0.1595,0.7155,-2,0,3,-6,8,0.375
5,4,0,2,20260724,M1_STAGEWISE_RANDOM,Hres3h,Dtotal,343.715053323514,346.097564301884,2.38251097837056,27.7664130049369,-85.0994190328123,0,101.464691923738,-475.683932029567,573.602814826937,0.439
5,4,0,2,20260724,M1_STAGEWISE_RANDOM,Hres3h,fullLoss,0.097,0.0995,0.0025,0.0285,0,0,0,-1,1,0.0285
5,4,0,2,20260724,M1_STAGEWISE_RANDOM,Hres3h,A0Share,0.151020202020202,0.152786616161616,0.00176641414141414,0.030655303030303,-0.106060606060606,0,0.113636363636364,-0.502525252525253,0.44949494949495,0.349
5,4,0,2,20260724,M1_STAGEWISE_RANDOM,Hres3h,reachableShare,0.848979797979799,0.847213383838384,-0.00176641414141414,0.0306553030303031,-0.116161616161616,0,0.106060606060606,-0.44949494949495,0.502525252525253,0.349
5,4,0,2,20260724,M1_STAGEWISE_RANDOM,Hres3h,CScenarioMean,21.5055367728178,21.5527560020261,0.0472192292082831,0.955030403231578,-2.55376091332439,0,2.77378837351422,-15.4334336809123,10.4159355837546,0.859
5,4,0,2,20260724,M1_STAGEWISE_RANDOM,W1,D_W1,78.7116438916618,78.9002536617297,0.188609770067916,12.215448817609,-46.9137822873196,0,46.9137822873196,-187.382374601096,202.656629299294,0.2795
5,4,0,2,20260724,M1_STAGEWISE_RANDOM,W1,A0_W1,0.0441515151515152,0.0464204545454546,0.00226893939393939,0.0157689393939394,0,0,0.0227272727272727,-0.522727272727273,0.568181818181818,0.0905
5,4,0,2,20260724,M1_STAGEWISE_RANDOM,W1,C_W1,20.0331060757775,20.1075230014828,0.0744169257053122,0.542828686260776,-1.36880296932327,0,1.79547258370969,-16.9912995411738,10.3545714435199,0.598
5,4,0,2,20260724,M1_STAGEWISE_RANDOM,W1,failed_W1,3.69,3.76,0.07,0.797,-2,0,3,-7,8,0.437
5,4,0,2,20260724,M1_STAGEWISE_RANDOM,W1,closed_W1,1.0245,1.113,0.0885,0.4385,-1,0,2,-6,6,0.2565
5,4,0,2,20260724,M1_STAGEWISE_RANDOM,W2,D_W2,123.620680249843,124.538226549928,0.917546300084554,9.23355971960833,-30.2757548482121,0,38.1856367454927,-197.747047432016,202.656629299294,0.241
5,4,0,2,20260724,M1_STAGEWISE_RANDOM,W2,A0_W2,0.168609848484849,0.169443181818182,0.000833333333333334,0.0357575757575758,-0.159090909090909,0,0.136363636363636,-0.674242424242424,0.674242424242424,0.2275
5,4,0,2,20260724,M1_STAGEWISE_RANDOM,W2,C_W2,21.8816149816965,21.8762993002724,-0.0053156814241096,1.30808856346676,-4.00274103526737,0,3.88300247758993,-27.2508348077762,27.3494691917727,0.79
5,4,0,2,20260724,M1_STAGEWISE_RANDOM,W2,failed_W2,8.1365,8.255,0.1185,1.1285,-3,0,3,-8,9,0.5495
5,4,0,2,20260724,M1_STAGEWISE_RANDOM,W2,closed_W2,4.15,4.227,0.077,0.798,-2,0,3,-7,8,0.405
5,4,0,2,20260724,M1_STAGEWISE_RANDOM,W3,D_W3,141.382729182009,142.659084090227,1.27635490821809,7.64953768104083,-22.9113820472956,0,30.5485093963942,-197.747047432016,202.656629299294,0.2145
5,4,0,2,20260724,M1_STAGEWISE_RANDOM,W3,A0_W3,0.240299242424243,0.242496212121212,0.0021969696969697,0.0440757575757576,-0.21969696969697,0,0.227272727272727,-0.742424242424242,0.674242424242424,0.3075
5,4,0,2,20260724,M1_STAGEWISE_RANDOM,W3,C_W3,22.5571883967056,22.5737872098749,0.0165988131692278,1.78558933292599,-5.66050608876405,0,5.46897743433598,-27.4053766660445,27.4449681627691,0.859
5,4,0,2,20260724,M1_STAGEWISE_RANDOM,W3,failed_W3,10.206,10.4105,0.2045,1.2655,-3,0,4,-8,9,0.6075
5,4,0,2,20260724,M1_STAGEWISE_RANDOM,W3,closed_W3,5.7575,5.883,0.1255,0.9645,-3,0,3,-6,8,0.4885
2,6,0,2,20260724,M1_STAGEWISE_RANDOM,Hres3h,Dtotal,1.80113465892044,1.72217221722172,-0.0789624416987153,0.207702588440662,0,0,0,-97.9188827973706,45.8227640945913,0.005
2,6,0,2,20260724,M1_STAGEWISE_RANDOM,Hres3h,fullLoss,0,0,0,0,0,0,0,0,0,0
2,6,0,2,20260724,M1_STAGEWISE_RANDOM,Hres3h,A0Share,0.000460858585858586,0.000390151515151515,-7.07070707070707e-05,7.07070707070707e-05,0,0,0,-0.095959595959596,0,0.002
2,6,0,2,20260724,M1_STAGEWISE_RANDOM,Hres3h,reachableShare,0.999539141414141,0.999609848484849,7.07070707070708e-05,7.07070707070708e-05,0,0,0,0,0.095959595959596,0.002
2,6,0,2,20260724,M1_STAGEWISE_RANDOM,Hres3h,CScenarioMean,19.0196088246897,19.0207939759625,0.00118515127276816,0.00187341352442611,0,0,0,-0.477180404942885,1.12890236866422,0.008
2,6,0,2,20260724,M1_STAGEWISE_RANDOM,W1,D_W1,0,0.00736437280091645,0.00736437280091645,0.00736437280091645,0,0,0,0,14.7287456018329,0.0005
2,6,0,2,20260724,M1_STAGEWISE_RANDOM,W1,A0_W1,0,0,0,0,0,0,0,0,0,0
2,6,0,2,20260724,M1_STAGEWISE_RANDOM,W1,C_W1,19.013761888799,19.013761888799,0,0,0,0,0,0,0,0
2,6,0,2,20260724,M1_STAGEWISE_RANDOM,W1,failed_W1,0,0.0005,0.0005,0.0005,0,0,0,0,1,0.0005
2,6,0,2,20260724,M1_STAGEWISE_RANDOM,W1,closed_W1,0,0,0,0,0,0,0,0,0,0
2,6,0,2,20260724,M1_STAGEWISE_RANDOM,W2,D_W2,0.635654474538363,0.607288001527425,-0.0283664730109375,0.0545509096364182,0,0,0,-46.9137822873196,14.7287456018329,0.003
2,6,0,2,20260724,M1_STAGEWISE_RANDOM,W2,A0_W2,0.000333333333333333,0.000318181818181818,-1.51515151515151e-05,1.51515151515151e-05,0,0,0,-0.0303030303030303,0,0.0005
2,6,0,2,20260724,M1_STAGEWISE_RANDOM,W2,C_W2,19.0212904214811,19.0219554149532,0.000664993472169027,0.00171079301315816,0,0,0,-0.703241815393326,1.33207445314083,0.005
2,6,0,2,20260724,M1_STAGEWISE_RANDOM,W2,failed_W2,0.037,0.0365,-0.0005,0.0075,0,0,0,-5,2,0.0045
2,6,0,2,20260724,M1_STAGEWISE_RANDOM,W2,closed_W2,0.0085,0.008,-0.0005,0.0015,0,0,0,-2,1,0.001
2,6,0,2,20260724,M1_STAGEWISE_RANDOM,W3,D_W3,1.16548018438207,1.10751984289338,-0.0579603414886943,0.145787306003328,0,0,0,-97.9188827973706,45.8227640945913,0.0035
2,6,0,2,20260724,M1_STAGEWISE_RANDOM,W3,A0_W3,0.00104924242424242,0.000852272727272727,-0.000196969696969697,0.000196969696969697,0,0,0,-0.287878787878788,0,0.002
2,6,0,2,20260724,M1_STAGEWISE_RANDOM,W3,C_W3,19.0228620254463,19.0268019308864,0.00393990544011184,0.00507005185736158,0,0,0,-0.787588691653944,3.76380097825276,0.008
2,6,0,2,20260724,M1_STAGEWISE_RANDOM,W3,failed_W3,0.0655,0.0595,-0.006,0.012,0,0,0,-6,2,0.005
2,6,0,2,20260724,M1_STAGEWISE_RANDOM,W3,closed_W3,0.0235,0.0205,-0.003,0.003,0,0,0,-2,0,0.002
2,1,0,2,20260724,M1_STAGEWISE_RANDOM,Hres3h,Dtotal,2.49570411586613,2.65049232195947,0.154788206093337,0.721572157215722,0,0,0,-240.569511496604,315.849766794861,0.01
2,1,0,2,20260724,M1_STAGEWISE_RANDOM,Hres3h,fullLoss,0,0,0,0,0,0,0,0,0,0
2,1,0,2,20260724,M1_STAGEWISE_RANDOM,Hres3h,A0Share,0.000549242424242424,0.000568181818181818,1.89393939393939e-05,0.000119949494949495,0,0,0,-0.0833333333333333,0.128787878787879,0.0025
2,1,0,2,20260724,M1_STAGEWISE_RANDOM,Hres3h,reachableShare,0.999450757575758,0.999431818181818,-1.89393939393939e-05,0.000119949494949495,0,0,0,-0.128787878787879,0.0833333333333334,0.0025
2,1,0,2,20260724,M1_STAGEWISE_RANDOM,Hres3h,CScenarioMean,19.0228851364996,19.0226711742243,-0.00021396227529937,0.00309629424012212,0,0,0,-2.99805555665425,1.35616994849842,0.013
2,1,0,2,20260724,M1_STAGEWISE_RANDOM,W1,D_W1,0.0342306957968524,0.0293211139295748,-0.00490958186727764,0.00490958186727764,0,0,0,-9.81916373455527,0,0.0005
2,1,0,2,20260724,M1_STAGEWISE_RANDOM,W1,A0_W1,0,0,0,0,0,0,0,0,0,0
2,1,0,2,20260724,M1_STAGEWISE_RANDOM,W1,C_W1,19.013761888799,19.0137950170061,3.31282070801286e-05,3.31282070801286e-05,0,0,0,0,0.0482753458072196,0.001
2,1,0,2,20260724,M1_STAGEWISE_RANDOM,W1,failed_W1,0.001,0.0015,0.0005,0.0015,0,0,0,-1,2,0.001
2,1,0,2,20260724,M1_STAGEWISE_RANDOM,W1,closed_W1,0,0,0,0,0,0,0,0,0,0
