state_id,historical_objective,reconstructed_objective,historical_preparation_cost,reconstructed_preparation_cost,historical_empirical_expected_recourse,reconstructed_empirical_expected_recourse,historical_status,reconstructed_status,historical_probability_qa,reconstructed_probability_qa,historical_duration_qa,reconstructed_duration_qa,historical_inventory_qa,reconstructed_inventory_qa,historical_demand_balance_qa,reconstructed_demand_balance_qa,historical_fc_capacity_qa,reconstructed_fc_capacity_qa
16,14273.28739915107,14273.28739915107,nan,nan,4311.883333333333,4311.883333333333,OPTIMAL,OPTIMAL,PASS,PASS,PASS,PASS,PASS,PASS,NOT_AVAILABLE,PASS,NOT_AVAILABLE,PASS
17,14787.353277191898,14787.353277191898,nan,nan,4550.9683333333305,4550.9683333333305,OPTIMAL,OPTIMAL,PASS,PASS,PASS,PASS,PASS,PASS,NOT_AVAILABLE,PASS,NOT_AVAILABLE,PASS
18,14588.541610265724,14588.541610265724,nan,nan,4436.424999999999,4436.424999999999,OPTIMAL,OPTIMAL,PASS,PASS,PASS,PASS,PASS,PASS,NOT_AVAILABLE,PASS,NOT_AVAILABLE,PASS
19,9771.31721199896,9771.31721199896,nan,nan,3606.4233333333327,3606.4233333333327,OPTIMAL,OPTIMAL,PASS,PASS,PASS,PASS,PASS,PASS,NOT_AVAILABLE,PASS,NOT_AVAILABLE,PASS
20,5362.720883758134,5362.720883758134,nan,nan,3233.836666666666,3233.836666666666,OPTIMAL,OPTIMAL,PASS,PASS,PASS,PASS,PASS,PASS,NOT_AVAILABLE,PASS,NOT_AVAILABLE,PASS
21,1143.1466666666754,1143.1466666666754,nan,nan,1143.1466666666663,1143.1466666666663,OPTIMAL,OPTIMAL,PASS,PASS,PASS,PASS,PASS,PASS,NOT_AVAILABLE,PASS,NOT_AVAILABLE,PASS
22,24269.09890208396,24269.09890208396,nan,nan,10520.055000000004,10520.055000000004,OPTIMAL,OPTIMAL,PASS,PASS,PASS,PASS,PASS,PASS,NOT_AVAILABLE,PASS,NOT_AVAILABLE,PASS
23,30138.674430512918,30138.674430512918,nan,nan,15702.178333333326,15702.178333333326,OPTIMAL,OPTIMAL,PASS,PASS,PASS,PASS,PASS,PASS,NOT_AVAILABLE,PASS,NOT_AVAILABLE,PASS
24,31678.996799508543,31678.996799508543,nan,nan,17056.223333333328,17056.223333333328,OPTIMAL,OPTIMAL,PASS,PASS,PASS,PASS,PASS,PASS,NOT_AVAILABLE,PASS,NOT_AVAILABLE,PASS
25,28776.08390337074,28776.08390337074,nan,nan,14605.698333333336,14605.698333333336,OPTIMAL,OPTIMAL,PASS,PASS,PASS,PASS,PASS,PASS,NOT_AVAILABLE,PASS,NOT_AVAILABLE,PASS
26,19454.2624898847,19454.2624898847,nan,nan,8521.554999999998,8521.554999999998,OPTIMAL,OPTIMAL,PASS,PASS,PASS,PASS,PASS,PASS,NOT_AVAILABLE,PASS,NOT_AVAILABLE,PASS
27,11302.645812019859,11302.645812019859,nan,nan,3993.476666666665,3993.476666666665,OPTIMAL,OPTIMAL,PASS,PASS,PASS,PASS,PASS,PASS,NOT_AVAILABLE,PASS,NOT_AVAILABLE,PASS
28,4755.321671864657,4755.321671864657,nan,nan,3069.955,3069.955,OPTIMAL,OPTIMAL,PASS,PASS,PASS,PASS,PASS,PASS,NOT_AVAILABLE,PASS,NOT_AVAILABLE,PASS
29,44324.76267853132,44324.76267853132,nan,nan,29089.934999999987,29089.934999999987,OPTIMAL,OPTIMAL,PASS,PASS,PASS,PASS,PASS,PASS,NOT_AVAILABLE,PASS,NOT_AVAILABLE,PASS
30,59845.501627187004,59845.501627187004,nan,nan,44215.943333333315,44215.943333333315,OPTIMAL,OPTIMAL,PASS,PASS,PASS,PASS,PASS,PASS,NOT_AVAILABLE,PASS,NOT_AVAILABLE,PASS
31,71497.90241785001,71497.90241785001,nan,nan,55469.1783333333,55469.1783333333,OPTIMAL,OPTIMAL,PASS,PASS,PASS,PASS,PASS,PASS,NOT_AVAILABLE,PASS,NOT_AVAILABLE,PASS
32,60758.16838170248,60758.16838170248,nan,nan,45084.2583333333,45084.2583333333,OPTIMAL,OPTIMAL,PASS,PASS,PASS,PASS,PASS,PASS,NOT_AVAILABLE,PASS,NOT_AVAILABLE,PASS
33,36621.633552970445,36621.633552970445,nan,nan,22291.581666666665,22291.581666666665,OPTIMAL,OPTIMAL,PASS,PASS,PASS,PASS,PASS,PASS,NOT_AVAILABLE,PASS,NOT_AVAILABLE,PASS
34,19338.594245965156,19338.594245965156,nan,nan,7855.925000000001,7855.925000000001,OPTIMAL,OPTIMAL,PASS,PASS,PASS,PASS,PASS,PASS,NOT_AVAILABLE,PASS,NOT_AVAILABLE,PASS
35,10835.653706852398,10835.653706852398,nan,nan,3495.438333333332,3495.438333333332,OPTIMAL,OPTIMAL,PASS,PASS,PASS,PASS,PASS,PASS,NOT_AVAILABLE,PASS,NOT_AVAILABLE,PASS
