case,interval_start_h,interval_end_h,duration_h,row_type,station_site,station_bus,H2_before_kg,transfer_in_kg,transfer_out_kg,fixed_FC_H2_use_kg,H2_use_kg,H2_after_kg,actual_P_kW,actual_Q_kvar
CASE-10_POST,1.2166666666667,1.5,0.2833333333332999,B4C_INTERVAL,1,24,40.0,0.0,0.0,4.636827319094998,4.636827319094998,35.363172680905,300.0,145.29663145135575
CASE-10_POST,1.2166666666667,1.5,0.2833333333332999,B4C_INTERVAL,2,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_POST,1.2166666666667,1.5,0.2833333333332999,B4C_INTERVAL,3,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_POST,1.2166666666667,1.5,0.2833333333332999,B4C_INTERVAL,4,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_POST,1.5,2.0,0.5,B4C_INTERVAL,1,24,35.363172680905,0.0,0.0,8.182636445462727,8.182636445462727,27.180536235442275,300.0,145.29663145135575
CASE-10_POST,1.5,2.0,0.5,B4C_INTERVAL,2,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_POST,1.5,2.0,0.5,B4C_INTERVAL,3,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_POST,1.5,2.0,0.5,B4C_INTERVAL,4,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_POST,2.0,2.5,0.5,B4C_INTERVAL,1,24,27.180536235442275,0.0,0.0,8.182636445462727,8.182636445462727,18.99789978997955,300.0,145.29663145135575
CASE-10_POST,2.0,2.5,0.5,B4C_INTERVAL,2,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_POST,2.0,2.5,0.5,B4C_INTERVAL,3,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_POST,2.0,2.5,0.5,B4C_INTERVAL,4,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_POST,2.5,3.0,0.5,B4C_INTERVAL,1,24,18.99789978997955,0.0,0.0,8.182636445462727,8.182636445462727,10.815263344516822,300.0,145.29663145135575
CASE-10_POST,2.5,3.0,0.5,B4C_INTERVAL,2,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_POST,2.5,3.0,0.5,B4C_INTERVAL,3,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_POST,2.5,3.0,0.5,B4C_INTERVAL,4,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_POST,3.0,3.5,0.5,B4C_INTERVAL,1,24,10.815263344516822,0.0,0.0,8.182636445462727,8.182636445462727,2.6326268990540953,300.0,145.29663145135575
CASE-10_POST,3.0,3.5,0.5,B4C_INTERVAL,2,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_POST,3.0,3.5,0.5,B4C_INTERVAL,3,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_POST,3.0,3.5,0.5,B4C_INTERVAL,4,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_PRE,0.0,1.0,1.0,B4C_INTERVAL,1,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_PRE,0.0,1.0,1.0,B4C_INTERVAL,2,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_PRE,0.0,1.0,1.0,B4C_INTERVAL,3,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_PRE,0.0,1.0,1.0,B4C_INTERVAL,4,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_PRE,1.0,1.2166666666667,0.2166666666667001,B4C_INTERVAL,1,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_PRE,1.0,1.2166666666667,0.2166666666667001,B4C_INTERVAL,2,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_PRE,1.0,1.2166666666667,0.2166666666667001,B4C_INTERVAL,3,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_PRE,1.0,1.2166666666667,0.2166666666667001,B4C_INTERVAL,4,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASE-12,0.0,0.0,0.0,TRANSFER_EVENT,1,24,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
CASE-13,0.0,0.0,0.0,TRANSFER_EVENT,1,24,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
CASE-13,0.325,0.325,0.0,TRANSFER_EVENT,2,14,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0
CASE-13,0.325,0.325,0.0,TRANSFER_EVENT,2,14,10.0,0.0,6.0,0.0,0.0,4.0,0.0,0.0
CASE-14_FRAMEWORK,0.0,1.0,1.0,B4C_INTERVAL,1,24,69.1553559615926,0.0,0.0,16.365272890925453,16.365272890925453,52.79008307066715,300.0,145.29663145135575
CASE-14_FRAMEWORK,0.0,1.0,1.0,B4C_INTERVAL,2,14,55.5009093832021,0.0,0.0,0.0,0.0,55.5009093832021,0.0,-0.0
CASE-14_FRAMEWORK,0.0,1.0,1.0,B4C_INTERVAL,3,18,33.3376415005701,0.0,0.0,0.0,0.0,33.3376415005701,0.0,-0.0
CASE-14_FRAMEWORK,0.0,1.0,1.0,B4C_INTERVAL,4,31,37.9373084666148,0.0,0.0,0.0,0.0,37.9373084666148,0.0,-0.0
CASE-14_FRAMEWORK,1.0,2.0,1.0,B4C_INTERVAL,1,24,52.79008307066715,0.0,0.0,16.365272890925453,16.365272890925453,36.4248101797417,300.0,145.29663145135575
CASE-14_FRAMEWORK,1.0,2.0,1.0,B4C_INTERVAL,2,14,55.5009093832021,0.0,0.0,0.0,0.0,55.5009093832021,0.0,-0.0
CASE-14_FRAMEWORK,1.0,2.0,1.0,B4C_INTERVAL,3,18,33.3376415005701,0.0,0.0,0.0,0.0,33.3376415005701,0.0,-0.0
CASE-14_FRAMEWORK,1.0,2.0,1.0,B4C_INTERVAL,4,31,37.9373084666148,0.0,0.0,0.0,0.0,37.9373084666148,0.0,-0.0
CASE-14_FRAMEWORK,2.0,3.5,1.5,B4C_INTERVAL,1,24,36.4248101797417,0.0,0.0,24.54790933638818,24.54790933638818,11.876900843353518,300.0,145.29663145135575
CASE-14_FRAMEWORK,2.0,3.5,1.5,B4C_INTERVAL,2,14,55.5009093832021,0.0,0.0,0.0,0.0,55.5009093832021,0.0,-0.0
CASE-14_FRAMEWORK,2.0,3.5,1.5,B4C_INTERVAL,3,18,33.3376415005701,0.0,0.0,0.0,0.0,33.3376415005701,0.0,-0.0
CASE-14_FRAMEWORK,2.0,3.5,1.5,B4C_INTERVAL,4,31,37.9373084666148,0.0,0.0,0.0,0.0,37.9373084666148,0.0,-0.0
