case,time_h,vehicle_id,event,node,status,detail,road_state,kind,requested_at_h,source_engine,edge_id,from_node,to_node,route_edges,weight_km,arrival_h
CASE-7,0.25,2,EDGE_ARRIVAL,31,,,W0,,,B3 Simulator,2.0,,,,,
CASE-7,0.25,2,MOVE_COMPLETE,31,,,W0,,,B3 Simulator,,,,,,
CASE-7,0.25,2,HTT_TO_STATION,31,TRANSFERRED,,,,,,,,,,,
CASE-7,0.325,1,EDGE_ARRIVAL,14,,,W0,,,B3 Simulator,1.0,,,,,
CASE-7,0.325,1,MOVE_COMPLETE,14,,,W0,,,B3 Simulator,,,,,,
CASE-7,0.325,1,HTT_TO_STATION,14,TRANSFERRED,,,,,,,,,,,
CASE-8,0.0,1,STATION_TO_HTT,24,INFEASIBLE_GIVEN_ACTION,INSUFFICIENT_STATION_INVENTORY,,,,,,,,,,
CASE-8,0.0,2,STATION_TO_HTT,24,INFEASIBLE_GIVEN_ACTION,INSUFFICIENT_STATION_INVENTORY,,,,,,,,,,
CASE-9,1.4,1,ACTION_START,,,,W1,MOVE,1.4,B3 Simulator,,,,,,
CASE-9,1.4,1,EDGE_ENTER,,,,W1,,,B3 Simulator,1.0,24.0,1.0,[1],13.0,1.7249999999999999
CASE-9,1.7249999999999999,1,EDGE_ARRIVAL,1,,,M12,,,B3 Simulator,1.0,,,,,
CASE-9,1.7249999999999999,1,MOVE_COMPLETE,1,,,M12,,,B3 Simulator,,,,,,
CASE-9,1.7249999999999999,1,ACTION_START,,,,M12,MOVE,0.0,B3 Simulator,,,,,,
CASE-9,1.7249999999999999,1,EDGE_ENTER,,,,M12,,,B3 Simulator,2.0,1.0,14.0,"[2, 3]",9.0,1.95
CASE-9,1.95,1,EDGE_ARRIVAL,14,,,M12,,,B3 Simulator,2.0,,,,,
CASE-9,1.95,1,EDGE_ENTER,,,,M12,,,B3 Simulator,3.0,14.0,24.0,[3],9.0,2.175
CASE-9,2.175,1,EDGE_ARRIVAL,24,,,W2,,,B3 Simulator,3.0,,,,,
CASE-9,2.175,1,MOVE_COMPLETE,24,,,W2,,,B3 Simulator,,,,,,
CASE-10,0.0,1,STATION_TO_HTT,14,TRANSFERRED,,,,,,,,,,,
CASE-10,0.0,1,ACTION_START,,,,W0,MOVE,0.0,B3 Simulator,,,,,,
CASE-10,0.0,1,EDGE_ENTER,,,,W0,,,B3 Simulator,1.0,14.0,24.0,[1],48.66666666666801,1.2166666666667
CASE-10,1.2166666666667,1,EDGE_ARRIVAL,24,,,W1,,,B3 Simulator,1.0,,,,,
CASE-10,1.2166666666667,1,MOVE_COMPLETE,24,,,W1,,,B3 Simulator,,,,,,
CASE-10,1.2166666666667,1,HTT_TO_STATION,24,TRANSFERRED,,,,,,,,,,,
CASE-12,0.0,1,STATION_TO_HTT,24,TRANSFERRED,,,,,,,,,,,
CASE-12,0.0,1,ACTION_START,,,,W0,MOVE,0.0,B3 Simulator,,,,,,
CASE-12,0.0,1,EDGE_ENTER,,,,W0,,,B3 Simulator,1.0,24.0,1.0,[1],13.0,0.325
CASE-12,0.325,1,EDGE_ARRIVAL,1,,,W0,,,B3 Simulator,1.0,,,,,
CASE-12,0.325,1,MOVE_COMPLETE,1,,,W0,,,B3 Simulator,,,,,,
CASE-12,0.325,1,HTT_TO_MFCV,,DISABLED_DIRECT_REFUEL,DIRECT_INTERFACE_RESERVED_FLAG_OFF,,,,,,,,,,
CASE-13,0.0,1,STATION_TO_HTT,24,TRANSFERRED,,,,,,,,,,,
CASE-13,0.0,1,ACTION_START,,,,W0,MOVE,0.0,B3 Simulator,,,,,,
CASE-13,0.0,1,EDGE_ENTER,,,,W0,,,B3 Simulator,1.0,24.0,14.0,[1],13.0,0.325
CASE-13,0.325,1,EDGE_ARRIVAL,14,,,W0,,,B3 Simulator,1.0,,,,,
CASE-13,0.325,1,MOVE_COMPLETE,14,,,W0,,,B3 Simulator,,,,,,
CASE-13,0.325,1,HTT_TO_STATION,14,TRANSFERRED,,,,,,,,,,,
CASE-13,0.325,,STATION_TO_MFCV,14,TRANSFERRED,,,,,,,,,,,
