case,interval_start_h,interval_end_h,duration_h,row_type,vehicle_id,bus,H2_before_kg,station_refuel_kg,H2_use_kg,H2_after_kg,actual_P_kW,actual_Q_kvar
CASE-10_NO_DELIVERY,1.2166666666667,1.5,0.2833333333332999,B4C_INTERVAL,6,31,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_NO_DELIVERY,1.5,2.0,0.5,B4C_INTERVAL,1,24,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_NO_DELIVERY,1.5,2.0,0.5,B4C_INTERVAL,2,24,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_NO_DELIVERY,1.5,2.0,0.5,B4C_INTERVAL,3,14,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_NO_DELIVERY,1.5,2.0,0.5,B4C_INTERVAL,4,18,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_NO_DELIVERY,1.5,2.0,0.5,B4C_INTERVAL,5,31,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_NO_DELIVERY,1.5,2.0,0.5,B4C_INTERVAL,6,31,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_NO_DELIVERY,2.0,2.5,0.5,B4C_INTERVAL,1,24,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_NO_DELIVERY,2.0,2.5,0.5,B4C_INTERVAL,2,24,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_NO_DELIVERY,2.0,2.5,0.5,B4C_INTERVAL,3,14,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_NO_DELIVERY,2.0,2.5,0.5,B4C_INTERVAL,4,18,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_NO_DELIVERY,2.0,2.5,0.5,B4C_INTERVAL,5,31,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_NO_DELIVERY,2.0,2.5,0.5,B4C_INTERVAL,6,31,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_NO_DELIVERY,2.5,3.0,0.5,B4C_INTERVAL,1,24,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_NO_DELIVERY,2.5,3.0,0.5,B4C_INTERVAL,2,24,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_NO_DELIVERY,2.5,3.0,0.5,B4C_INTERVAL,3,14,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_NO_DELIVERY,2.5,3.0,0.5,B4C_INTERVAL,4,18,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_NO_DELIVERY,2.5,3.0,0.5,B4C_INTERVAL,5,31,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_NO_DELIVERY,2.5,3.0,0.5,B4C_INTERVAL,6,31,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_NO_DELIVERY,3.0,3.5,0.5,B4C_INTERVAL,1,24,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_NO_DELIVERY,3.0,3.5,0.5,B4C_INTERVAL,2,24,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_NO_DELIVERY,3.0,3.5,0.5,B4C_INTERVAL,3,14,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_NO_DELIVERY,3.0,3.5,0.5,B4C_INTERVAL,4,18,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_NO_DELIVERY,3.0,3.5,0.5,B4C_INTERVAL,5,31,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_NO_DELIVERY,3.0,3.5,0.5,B4C_INTERVAL,6,31,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_POST,1.2166666666667,1.5,0.2833333333332999,B4C_INTERVAL,1,24,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_POST,1.2166666666667,1.5,0.2833333333332999,B4C_INTERVAL,2,24,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_POST,1.2166666666667,1.5,0.2833333333332999,B4C_INTERVAL,3,14,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_POST,1.2166666666667,1.5,0.2833333333332999,B4C_INTERVAL,4,18,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_POST,1.2166666666667,1.5,0.2833333333332999,B4C_INTERVAL,5,31,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_POST,1.2166666666667,1.5,0.2833333333332999,B4C_INTERVAL,6,31,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_POST,1.5,2.0,0.5,B4C_INTERVAL,1,24,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_POST,1.5,2.0,0.5,B4C_INTERVAL,2,24,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_POST,1.5,2.0,0.5,B4C_INTERVAL,3,14,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_POST,1.5,2.0,0.5,B4C_INTERVAL,4,18,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_POST,1.5,2.0,0.5,B4C_INTERVAL,5,31,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_POST,1.5,2.0,0.5,B4C_INTERVAL,6,31,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_POST,2.0,2.5,0.5,B4C_INTERVAL,1,24,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_POST,2.0,2.5,0.5,B4C_INTERVAL,2,24,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_POST,2.0,2.5,0.5,B4C_INTERVAL,3,14,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_POST,2.0,2.5,0.5,B4C_INTERVAL,4,18,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_POST,2.0,2.5,0.5,B4C_INTERVAL,5,31,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_POST,2.0,2.5,0.5,B4C_INTERVAL,6,31,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_POST,2.5,3.0,0.5,B4C_INTERVAL,1,24,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_POST,2.5,3.0,0.5,B4C_INTERVAL,2,24,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_POST,2.5,3.0,0.5,B4C_INTERVAL,3,14,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_POST,2.5,3.0,0.5,B4C_INTERVAL,4,18,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_POST,2.5,3.0,0.5,B4C_INTERVAL,5,31,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_POST,2.5,3.0,0.5,B4C_INTERVAL,6,31,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_POST,3.0,3.5,0.5,B4C_INTERVAL,1,24,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_POST,3.0,3.5,0.5,B4C_INTERVAL,2,24,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_POST,3.0,3.5,0.5,B4C_INTERVAL,3,14,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_POST,3.0,3.5,0.5,B4C_INTERVAL,4,18,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_POST,3.0,3.5,0.5,B4C_INTERVAL,5,31,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_POST,3.0,3.5,0.5,B4C_INTERVAL,6,31,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_PRE,0.0,1.0,1.0,B4C_INTERVAL,1,24,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_PRE,0.0,1.0,1.0,B4C_INTERVAL,2,24,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_PRE,0.0,1.0,1.0,B4C_INTERVAL,3,14,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_PRE,0.0,1.0,1.0,B4C_INTERVAL,4,18,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_PRE,0.0,1.0,1.0,B4C_INTERVAL,5,31,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_PRE,0.0,1.0,1.0,B4C_INTERVAL,6,31,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_PRE,1.0,1.2166666666667,0.2166666666667001,B4C_INTERVAL,1,24,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_PRE,1.0,1.2166666666667,0.2166666666667001,B4C_INTERVAL,2,24,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_PRE,1.0,1.2166666666667,0.2166666666667001,B4C_INTERVAL,3,14,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_PRE,1.0,1.2166666666667,0.2166666666667001,B4C_INTERVAL,4,18,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_PRE,1.0,1.2166666666667,0.2166666666667001,B4C_INTERVAL,5,31,0.0,0.0,0.0,0.0,0.0,0.0
CASE-10_PRE,1.0,1.2166666666667,0.2166666666667001,B4C_INTERVAL,6,31,0.0,0.0,0.0,0.0,0.0,0.0
CASE-12,0.325,0.325,0.0,TRANSFER_EVENT,1,,0.0,0.0,0.0,0.0,0.0,0.0
CASE-13,0.325,0.325,0.0,TRANSFER_EVENT,1,14,0.0,6.0,0.0,6.0,0.0,0.0
CASE-14_FRAMEWORK,0.0,1.0,1.0,B4C_INTERVAL,1,24,10.0,0.0,0.0,10.0,0.0,0.0
CASE-14_FRAMEWORK,0.0,1.0,1.0,B4C_INTERVAL,2,24,5.0,0.0,0.0,5.0,0.0,0.0
CASE-14_FRAMEWORK,0.0,1.0,1.0,B4C_INTERVAL,3,14,3.0,0.0,0.0,3.0,0.0,0.0
CASE-14_FRAMEWORK,0.0,1.0,1.0,B4C_INTERVAL,4,18,2.0,0.0,0.0,2.0,0.0,0.0
CASE-14_FRAMEWORK,0.0,1.0,1.0,B4C_INTERVAL,5,31,4.0,0.0,0.0,4.0,0.0,0.0
CASE-14_FRAMEWORK,0.0,1.0,1.0,B4C_INTERVAL,6,31,4.0,0.0,0.0,4.0,0.0,0.0
CASE-14_FRAMEWORK,1.0,2.0,1.0,B4C_INTERVAL,1,24,10.0,0.0,0.0,10.0,0.0,0.0
CASE-14_FRAMEWORK,1.0,2.0,1.0,B4C_INTERVAL,2,24,5.0,0.0,0.0,5.0,0.0,0.0
CASE-14_FRAMEWORK,1.0,2.0,1.0,B4C_INTERVAL,3,14,3.0,0.0,0.0,3.0,0.0,0.0
CASE-14_FRAMEWORK,1.0,2.0,1.0,B4C_INTERVAL,4,18,2.0,0.0,0.0,2.0,0.0,0.0
CASE-14_FRAMEWORK,1.0,2.0,1.0,B4C_INTERVAL,5,31,4.0,0.0,0.0,4.0,0.0,0.0
CASE-14_FRAMEWORK,1.0,2.0,1.0,B4C_INTERVAL,6,31,4.0,0.0,0.0,4.0,0.0,0.0
CASE-14_FRAMEWORK,2.0,3.5,1.5,B4C_INTERVAL,1,24,10.0,0.0,0.0,10.0,0.0,0.0
CASE-14_FRAMEWORK,2.0,3.5,1.5,B4C_INTERVAL,2,24,5.0,0.0,0.0,5.0,0.0,0.0
CASE-14_FRAMEWORK,2.0,3.5,1.5,B4C_INTERVAL,3,14,3.0,0.0,0.0,3.0,0.0,0.0
CASE-14_FRAMEWORK,2.0,3.5,1.5,B4C_INTERVAL,4,18,2.0,0.0,0.0,2.0,0.0,0.0
CASE-14_FRAMEWORK,2.0,3.5,1.5,B4C_INTERVAL,5,31,4.0,0.0,0.0,4.0,0.0,0.0
CASE-14_FRAMEWORK,2.0,3.5,1.5,B4C_INTERVAL,6,31,4.0,0.0,0.0,4.0,0.0,0.0
