case,time_h,vehicle_id,event,status,current_node,destination_node,route,edge_progress,departure_time,arrival_time,cargo_H2_kg,P_HTT_kW,Q_HTT_kvar
CASE-8,0.0,1,STATION_TO_HTT,PARKED,24,,[],0.0,,0.0,0.0,0.0,0.0
CASE-8,0.0,1,INITIAL,PARKED,24,,[],0.0,,,0.0,0.0,0.0
CASE-8,0.0,2,STATION_TO_HTT,PARKED,24,,[],0.0,,0.0,0.0,0.0,0.0
CASE-8,0.0,2,INITIAL,PARKED,24,,[],0.0,,,0.0,0.0,0.0
CASE-9,0.0,1,INITIAL,PARKED,24,,[],0.0,,,0.0,0.0,0.0
CASE-9,0.0,2,INITIAL,PARKED,14,,[],0.0,,,0.0,0.0,0.0
CASE-9,1.4,1,EDGE_ENTER,MOVING,,1,[1],0.0,1.4,1.7249999999999999,0.0,0.0,0.0
CASE-9,1.7249999999999999,1,EDGE_ARRIVAL,PARKED,1,,[],0.0,,1.7249999999999999,0.0,0.0,0.0
CASE-9,1.7249999999999999,1,MOVE_COMPLETE,PARKED,1,,[],0.0,,1.7249999999999999,0.0,0.0,0.0
CASE-9,1.7249999999999999,1,EDGE_ENTER,MOVING,,14,"[2, 3]",0.0,1.7249999999999999,1.95,0.0,0.0,0.0
CASE-9,1.95,1,EDGE_ARRIVAL,PARKED,14,,[],0.0,,1.95,0.0,0.0,0.0
CASE-9,1.95,1,EDGE_ENTER,MOVING,,24,[3],0.0,1.95,2.175,0.0,0.0,0.0
CASE-9,2.175,1,EDGE_ARRIVAL,PARKED,24,,[],0.0,,2.175,0.0,0.0,0.0
CASE-9,2.175,1,MOVE_COMPLETE,PARKED,24,,[],0.0,,2.175,0.0,0.0,0.0
CASE-10,0.0,1,STATION_TO_HTT,PARKED,14,,[],0.0,,0.0,40.0,0.0,0.0
CASE-10,0.0,1,INITIAL,PARKED,14,,[],0.0,,,0.0,0.0,0.0
CASE-10,0.0,1,EDGE_ENTER,MOVING,,24,[1],0.0,0.0,1.2166666666667,40.0,0.0,0.0
CASE-10,0.0,2,INITIAL,PARKED,24,,[],0.0,,,0.0,0.0,0.0
CASE-10,1.2166666666667,1,EDGE_ARRIVAL,PARKED,24,,[],0.0,,1.2166666666667,0.0,0.0,0.0
CASE-10,1.2166666666667,1,MOVE_COMPLETE,PARKED,24,,[],0.0,,1.2166666666667,0.0,0.0,0.0
CASE-10,1.2166666666667,1,HTT_TO_STATION,PARKED,24,,[],0.0,,1.2166666666667,0.0,0.0,0.0
CASE-11,0.0,1,INITIAL,PARKED,24,,[],0.0,,,0.0,0.0,0.0
CASE-11,0.0,2,INITIAL,PARKED,14,,[],0.0,,,0.0,0.0,0.0
CASE-12,0.0,1,STATION_TO_HTT,PARKED,24,,[],0.0,,0.0,10.0,0.0,0.0
CASE-12,0.0,1,INITIAL,PARKED,24,,[],0.0,,,0.0,0.0,0.0
CASE-12,0.0,1,EDGE_ENTER,MOVING,,1,[1],0.0,0.0,0.325,10.0,0.0,0.0
CASE-12,0.0,2,INITIAL,PARKED,14,,[],0.0,,,0.0,0.0,0.0
CASE-12,0.325,1,EDGE_ARRIVAL,PARKED,1,,[],0.0,,0.325,10.0,0.0,0.0
CASE-12,0.325,1,MOVE_COMPLETE,PARKED,1,,[],0.0,,0.325,10.0,0.0,0.0
CASE-12,0.325,1,HTT_TO_MFCV,PARKED,1,,[],0.0,,0.325,10.0,0.0,0.0
CASE-13,0.0,1,STATION_TO_HTT,PARKED,24,,[],0.0,,0.0,10.0,0.0,0.0
CASE-13,0.0,1,INITIAL,PARKED,24,,[],0.0,,,0.0,0.0,0.0
CASE-13,0.0,1,EDGE_ENTER,MOVING,,14,[1],0.0,0.0,0.325,10.0,0.0,0.0
CASE-13,0.0,2,INITIAL,PARKED,14,,[],0.0,,,0.0,0.0,0.0
CASE-13,0.325,1,EDGE_ARRIVAL,PARKED,14,,[],0.0,,0.325,0.0,0.0,0.0
CASE-13,0.325,1,MOVE_COMPLETE,PARKED,14,,[],0.0,,0.325,0.0,0.0,0.0
CASE-13,0.325,1,HTT_TO_STATION,PARKED,14,,[],0.0,,0.325,0.0,0.0,0.0
CASE-14,0.0,1,INITIAL,PARKED,24,,[],0.0,,,0.0,0.0,0.0
CASE-14,0.0,2,INITIAL,PARKED,14,,[],0.0,,,0.0,0.0,0.0
