a0,loc0,lfw0,metric,mode,step3d_N2000_three_seed_mean,step3d_N2000_seed_std,step3d_N2000_seed_range,mode_three_seed_mean,mode_shift_vs_M0,absolute_mode_shift_vs_M0,shift_over_step3d_seed_std,shift_over_step3d_seed_range
5,4,0,full_loss_probability,M2L,0.0943333333333333,0.00340342964277703,0.00650000000000001,0.0405,-0.0538333333333333,0.0538333333333333,15.8173780520428,8.28205128205128
5,4,0,full_loss_probability,M2H,0.0943333333333333,0.00340342964277703,0.00650000000000001,0.166833333333333,0.0725,0.0725,21.302041649036,11.1538461538461
5,4,0,A0_pair_share,M0,0.146013468013468,0.00453633297261311,0.00884343434343399,0.146013468013468,1.38777878078145e-16,1.38777878078145e-16,3.05925246043399e-14,1.5692758343503e-14
5,4,0,A0_pair_share,M1,0.146013468013468,0.00453633297261311,0.00884343434343399,0.150790404040404,0.00477693602693616,0.00477693602693616,1.05303910797017,0.540167523320044
5,4,0,A0_pair_share,M2L,0.146013468013468,0.00453633297261311,0.00884343434343399,0.0637525252525253,-0.0822609427609427,0.0822609427609427,18.1337973331259,9.30192271083228
5,4,0,A0_pair_share,M2H,0.146013468013468,0.00453633297261311,0.00884343434343399,0.259148569023569,0.113135101010101,0.113135101010101,24.9397700065502,12.7931182181616
5,4,0,C_reachable_mean_km,M0,21.4249496099576,0.0717689970175218,0.137616060824698,21.4249496099576,-1.4210854715202e-14,1.4210854715202e-14,1.9800826688065e-13,1.03264507282362e-13
5,4,0,C_reachable_mean_km,M1,21.4249496099576,0.0717689970175218,0.137616060824698,21.4710892312689,0.0461396213113439,0.0461396213113439,0.642890708087773,0.335277881337694
5,4,0,C_reachable_mean_km,M2L,21.4249496099576,0.0717689970175218,0.137616060824698,20.3800753495422,-1.04487426041533,1.04487426041533,14.558852761454,7.59267671341315
5,4,0,C_reachable_mean_km,M2H,21.4249496099576,0.0717689970175218,0.137616060824698,22.6964182396648,1.27146862970724,1.27146862970724,17.7161264967494,9.23924592876484
5,4,0,W3_failed_lines_mean,M0,10.074,0.11712493329774,0.2235,10.074,0,0,0,0
5,4,0,W3_failed_lines_mean,M1,10.074,0.11712493329774,0.2235,10.1721666666667,0.0981666666666676,0.0981666666666676,0.838136372015011,0.439224459358693
5,4,0,W3_failed_lines_mean,M2L,10.074,0.11712493329774,0.2235,6.36633333333333,-3.70766666666667,3.70766666666667,31.65565659057,16.5891126025355
5,4,0,W3_failed_lines_mean,M2H,10.074,0.11712493329774,0.2235,14.4373333333333,4.36333333333333,4.36333333333333,37.2536676050132,19.5227442207308
5,4,0,W3_closed_roads_mean,M0,5.55583333333333,0.175249346170916,0.317,5.55583333333333,0,0,0,0
5,4,0,W3_closed_roads_mean,M1,5.55583333333333,0.175249346170916,0.317,5.70066666666667,0.144833333333334,0.144833333333334,0.826441504620975,0.456887486855942
5,4,0,W3_closed_roads_mean,M2L,5.55583333333333,0.175249346170916,0.317,2.8765,-2.67933333333333,2.67933333333333,15.2886923225394,8.4521556256572
5,4,0,W3_closed_roads_mean,M2H,5.55583333333333,0.175249346170916,0.317,9.09933333333333,3.5435,3.5435,20.219761599248,11.1782334384858
2,6,0,D_mean_kg,M0,1.64789206193347,0.718724929915103,1.41273218230914,1.64789206193347,-6.66133814775094e-16,6.66133814775094e-16,9.26827200572795e-16,4.71521653655744e-16
2,6,0,D_mean_kg,M1,1.64789206193347,0.718724929915103,1.41273218230914,1.67830419405577,0.0304121321223025,0.0304121321223025,0.0423140075660028,0.0215271744376866
2,6,0,D_mean_kg,M2L,1.64789206193347,0.718724929915103,1.41273218230914,0.848084808480848,-0.799807253452619,0.799807253452619,1.11281412423957,0.566142163014449
2,6,0,D_mean_kg,M2H,1.64789206193347,0.718724929915103,1.41273218230914,2.74836574566548,1.10047368373201,1.10047368373201,1.53114722744068,0.778968368890175
2,6,0,D_q95_kg,M0,0,0,0,0,0,0,NaN,NaN
2,6,0,D_q95_kg,M1,0,0,0,0,0,0,NaN,NaN
2,6,0,D_q95_kg,M2L,0,0,0,0,0,0,NaN,NaN
2,6,0,D_q95_kg,M2H,0,0,0,0,0,0,NaN,NaN
2,6,0,D_q99_kg,M0,17.2744547181991,23.1975030633483,43.6407277091345,17.2744547181991,1.4210854715202e-14,1.4210854715202e-14,6.126027735138e-16,3.25632854014657e-16
2,6,0,D_q99_kg,M1,17.2744547181991,23.1975030633483,43.6407277091345,25.6389275291165,8.36447281091747,8.36447281091747,0.360576428768026,0.191666666666667
2,6,0,D_q99_kg,M2L,17.2744547181991,23.1975030633483,43.6407277091345,0,-17.2744547181991,17.2744547181991,0.74466871158614,0.395833333333333
2,6,0,D_q99_kg,M2H,17.2744547181991,23.1975030633483,43.6407277091345,87.9178826973606,70.6434279791616,70.6434279791616,3.04530309948648,1.61875
2,6,0,full_loss_probability,M0,0,0,0,0,0,0,NaN,NaN
2,6,0,full_loss_probability,M1,0,0,0,0,0,0,NaN,NaN
2,6,0,full_loss_probability,M2L,0,0,0,0,0,0,NaN,NaN
2,6,0,full_loss_probability,M2H,0,0,0,0.000166666666666667,0.000166666666666667,0.000166666666666667,NaN,NaN
2,6,0,A0_pair_share,M0,0.000381313131313131,0.00012594024500414,0.000224747474747475,0.000381313131313131,0,0,0,0
2,6,0,A0_pair_share,M1,0.000381313131313131,0.00012594024500414,0.000224747474747475,0.00046969696969697,8.83838383838383e-05,8.83838383838383e-05,0.701791856772492,0.393258426966291
2,6,0,A0_pair_share,M2L,0.000381313131313131,0.00012594024500414,0.000224747474747475,8.92255892255892e-05,-0.000292087542087542,0.000292087542087542,2.31925499333386,1.29962546816479
2,6,0,A0_pair_share,M2H,0.000381313131313131,0.00012594024500414,0.000224747474747475,0.000736111111111111,0.00035479797979798,0.00035479797979798,2.81719302504386,1.57865168539326
2,6,0,C_reachable_mean_km,M0,19.0199723432039,0.00304008409855758,0.00604747948939988,19.0199723432039,0,0,0,0
2,6,0,C_reachable_mean_km,M1,19.0199723432039,0.00304008409855758,0.00604747948939988,19.0200564662767,8.41230728276798e-05,8.41230728276798e-05,0.0276712979313939,0.0139104354095177
2,6,0,C_reachable_mean_km,M2L,19.0199723432039,0.00304008409855758,0.00604747948939988,19.0167507046812,-0.0032216385226711,0.0032216385226711,1.05972019793783,0.532724175140741
2,6,0,C_reachable_mean_km,M2H,19.0199723432039,0.00304008409855758,0.00604747948939988,19.0291096241627,0.00913728095883926,0.00913728095883926,3.00560137897981,1.51092384436446
2,6,0,W3_failed_lines_mean,M0,0.0535,0.0220963797939844,0.039,0.0535,0,0,0,0
2,6,0,W3_failed_lines_mean,M1,0.0535,0.0220963797939844,0.039,0.0561666666666667,0.00266666666666666,0.00266666666666666,0.120683419253712,0.0683760683760683
2,6,0,W3_failed_lines_mean,M2L,0.0535,0.0220963797939844,0.039,0.0231666666666667,-0.0303333333333333,0.0303333333333333,1.37277389401098,0.777777777777778
2,6,0,W3_failed_lines_mean,M2H,0.0535,0.0220963797939844,0.039,0.1005,0.047,0.047,2.12704526434668,1.2051282051282
2,6,0,W3_closed_roads_mean,M0,0.0203333333333333,0.00464578662158879,0.0085,0.0203333333333333,0,0,0,0
2,6,0,W3_closed_roads_mean,M1,0.0203333333333333,0.00464578662158879,0.0085,0.0213333333333333,0.001,0.001,0.215248801000253,0.11764705882353
2,6,0,W3_closed_roads_mean,M2L,0.0203333333333333,0.00464578662158879,0.0085,0.007,-0.0133333333333333,0.0133333333333333,2.8699840133367,1.56862745098039
2,6,0,W3_closed_roads_mean,M2H,0.0203333333333333,0.00464578662158879,0.0085,0.0408333333333333,0.0205,0.0205,4.41260042050518,2.41176470588235
2,1,0,D_mean_kg,M0,2.78641500513688,0.261615704257009,0.5071870823446,2.78641500513688,4.44089209850063e-16,4.44089209850063e-16,1.69748681988063e-15,8.75592508778316e-16
2,1,0,D_mean_kg,M1,2.78641500513688,0.261615704257009,0.5071870823446,2.82596441462328,0.0395494094864035,0.0395494094864035,0.151173682783013,0.0779779510621138
2,1,0,D_mean_kg,M2L,2.78641500513688,0.261615704257009,0.5071870823446,1.17311731173117,-1.6132976934057,1.6132976934057,6.16666991757044,3.18087299453257
2,1,0,D_mean_kg,M2H,2.78641500513688,0.261615704257009,0.5071870823446,5.57196628753784,2.78555128240097,2.78555128240097,10.6474926278297,5.49215738997936
2,1,0,D_q95_kg,M0,0,0,0,0,0,0,NaN,NaN
2,1,0,D_q95_kg,M1,0,0,0,0,0,0,NaN,NaN
2,1,0,D_q95_kg,M2L,0,0,0,0,0,0,NaN,NaN
2,1,0,D_q95_kg,M2H,0,0,0,0,0,0,NaN,NaN
2,1,0,D_q99_kg,M0,108.829064724654,5.66909682536234,9.819163734555,108.829064724654,2.8421709430404e-13,2.8421709430404e-13,5.01344575792943e-14,2.89451425790814e-14
2,1,0,D_q99_kg,M1,108.829064724654,5.66909682536234,9.819163734555,111.829364754657,3.00030003000326,3.00030003000326,0.529237746757217,0.30555555555559
2,1,0,D_q99_kg,M2L,108.829064724654,5.66909682536234,9.819163734555,3.27305457818509,-105.556010146469,105.556010146469,18.6195461813659,10.7500000000003
2,1,0,D_q99_kg,M2H,108.829064724654,5.66909682536234,9.819163734555,226.840865904772,118.011801180118,118.011801180118,20.8166847057821,12.0185185185189
2,1,0,full_loss_probability,M0,0.000166666666666667,0.000288675134594813,0.0005,0.000166666666666667,0,0,0,0
2,1,0,full_loss_probability,M1,0.000166666666666667,0.000288675134594813,0.0005,0.000166666666666667,0,0,0,0
2,1,0,full_loss_probability,M2L,0.000166666666666667,0.000288675134594813,0.0005,0,-0.000166666666666667,0.000166666666666667,0.577350269189626,0.333333333333333
2,1,0,full_loss_probability,M2H,0.000166666666666667,0.000288675134594813,0.0005,0.0005,0.000333333333333333,0.000333333333333333,1.15470053837925,0.666666666666667
2,1,0,A0_pair_share,M0,0.000398148148148148,0.000181398282903775,0.000352272727272727,0.000398148148148148,1.62630325872826e-19,1.62630325872826e-19,8.96537295003476e-16,4.61660279897054e-16
2,1,0,A0_pair_share,M1,0.000398148148148148,0.000181398282903775,0.000352272727272727,0.00042550505050505,2.73569023569025e-05,2.73569023569025e-05,0.150811253111003,0.0776583034647555
2,1,0,A0_pair_share,M2L,0.000398148148148148,0.000181398282903775,0.000352272727272727,0.000118686868686869,-0.000279461279461279,0.000279461279461279,1.540594954857,0.793309438470729
2,1,0,A0_pair_share,M2H,0.000398148148148148,0.000181398282903775,0.000352272727272727,0.00112289562289562,0.000724747474747475,0.000724747474747475,3.99533812087916,2.0573476702509
2,1,0,C_reachable_mean_km,M0,19.02538903589,0.0026868130279906,0.00534230114270073,19.02538903589,0,0,0,0
2,1,0,C_reachable_mean_km,M1,19.02538903589,0.0026868130279906,0.00534230114270073,19.0251933352486,-0.000195700641441476,0.000195700641441476,0.072837461856375,0.0366322744102258
