a0,loc0,lfw0,seed_id,base_seed,derived_seed,mode,N,D_mean_kg,D_q95_kg,D_q99_kg,full_loss_probability,A0_pair_share,reachable_pair_share,C_reachable_mean_km,C_reachable_q95_km,W3_failed_lines_mean,W3_failed_lines_q95,W3_closed_roads_mean,W3_closed_roads_q95,D_upper_bound_hit_share,D_min_kg,D_max_kg,nonfinite_count,negative_value_count,A_invalid_scenario_count,C_invalid_value_count
5,4,0,2,20260724,22760799,M2L,2000,246.803862204402,582.876469465128,607.969887897881,0.041,0.0654053030303031,0.934594696969698,20.4699931230624,25.4373443051004,6.519,16,3.022,10,0.041,0,607.969887897881,0,0,0,0
5,4,0,2,20260724,22760799,M2H,2000,431.136159070452,607.969887897881,607.969887897881,0.182,0.263915404040404,0.736084595959596,22.7306492139579,30.8047202451545,14.616,28,9.326,21,0.182,0,607.969887897881,0,0,0,0
2,6,0,2,20260724,20860742,M0,2000,1.80113465892044,0,8.18263644546273,0,0.000460858585858586,0.999539141414141,19.0196088246897,19.0137618887991,0.0655,0,0.0235,0,0,0,384.583912936748,0,0,0,0
2,6,0,2,20260724,20860742,M1,2000,1.72108119902899,0,16.3652728909255,0,0.000435606060606061,0.999564393939394,19.0207088319854,19.0137618887991,0.0595,0,0.021,0,0,0,384.583912936748,0,0,0,0
2,6,0,2,20260724,20860742,M2L,2000,1.11911191119112,0,0,0,0.000111111111111111,0.999888888888889,19.0159022344659,19.0137618887991,0.029,0,0.0075,0,0,0,355.126421733082,0,0,0,0
2,6,0,2,20260724,20860742,M2H,2000,2.52297957068434,0,76.3712734909855,0,0.000803030303030303,0.99919696969697,19.0297868647444,19.0137618887991,0.1095,0,0.0425,0,0,0,399.312658538581,0,0,0,0
2,1,0,2,20260724,20360727,M0,2000,2.49570411586613,0,112.102119302839,0,0.000549242424242424,0.999450757575758,19.0228851364996,19.0137618887991,0.074,0,0.0315,0,0,0,405.313258598587,0,0,0,0
2,1,0,2,20260724,20360727,M1,2000,2.71213484984862,0,112.102119302839,0,0.00057449494949495,0.999425505050505,19.0234386232246,19.0137618887991,0.0845,0,0.0335,0,0,0,441.316858958623,0,0,0,0
2,1,0,2,20260724,20360727,M2L,2000,0.986553200774623,0,0,0,7.7020202020202e-05,0.99992297979798,19.0199211193176,19.0137618887991,0.035,0,0.012,0,0,0,355.126421733082,0,0,0,0
2,1,0,2,20260724,20360727,M2H,2000,5.5360990644519,0,224.204238605679,0.0005,0.000893939393939394,0.999106060606061,19.033202831754,19.0137618887991,0.1515,0,0.058,0,0.0005,0,607.969887897881,0,0,0,0
4,4,0,2,20260724,22060778,M0,2000,158.006300630063,473.774650192292,607.969887897881,0.019,0.0407222222222222,0.959277777777778,19.8561692713784,23.0353164962868,4.49,16,1.963,10,0.019,0,607.969887897881,0,0,0,0
4,4,0,2,20260724,22060778,M1,2000,164.169871532608,527.234541635982,607.969887897881,0.0225,0.0455984848484849,0.954401515151516,19.8859903944375,23.6107312485932,4.611,17,2.071,10,0.0225,0,607.969887897881,0,0,0,0
4,4,0,2,20260724,22060778,M2L,2000,90.2672994572184,405.313258598587,532.689632599624,0.0045,0.0174469696969697,0.98255303030303,19.3523790542312,21.0435559352424,2.385,11,0.8635,6,0.0045,0,607.969887897881,0,0,0,0
4,4,0,2,20260724,22060778,M2H,2000,253.648092081936,607.969887897881,607.969887897881,0.051,0.0872853535353536,0.912714646464647,20.5718021190399,26.1093328563425,7.387,23,3.74,15,0.051,0,607.969887897881,0,0,0,0
6,7,0,2,20260724,23760829,M0,2000,267.936475465728,607.969887897881,607.969887897881,0.059,0.110335858585859,0.889664141414142,20.7858225870161,26.9874863633797,7.767,21,4.0765,15,0.059,0,607.969887897881,0,0,0,0
6,7,0,2,20260724,23760829,M1,2000,270.918091809181,607.969887897881,607.969887897881,0.066,0.113689393939394,0.886310606060606,20.8225499959529,27.2867976198725,7.852,23,4.1885,17,0.066,0,607.969887897881,0,0,0,0
6,7,0,2,20260724,23760829,M2L,2000,209.3136131795,597.059705970597,607.969887897881,0.0485,0.0748232323232324,0.925176767676768,20.4186479360168,25.993947287215,5.612,17,2.724,12,0.0485,0,607.969887897881,0,0,0,0
6,7,0,2,20260724,23760829,M2H,2000,335.429315658839,607.969887897881,607.969887897881,0.0835,0.163743686868687,0.836256313131314,21.2288538610746,27.8379913914024,10.549,26,6.1145,20,0.0835,0,607.969887897881,0,0,0,0
5,4,0,3,20260725,22760800,M0,2000,342.114529634781,607.969887897881,607.969887897881,0.0955,0.144843434343434,0.855156565656566,21.4013913450618,27.475006501138,9.9825,21,5.4695,15,0.0955,0,607.969887897881,0,0,0,0
5,4,0,3,20260725,22760800,M1,2000,344.142050568693,607.969887897881,607.969887897881,0.0975,0.152320707070707,0.847679292929293,21.3905586206248,27.8889627728114,10.1515,23,5.61,17,0.0975,0,607.969887897881,0,0,0,0
5,4,0,3,20260725,22760800,M2L,2000,246.577203174863,591.604615006955,607.969887897881,0.0445,0.0630997474747475,0.936900252525253,20.3175448930644,25.2050034376392,6.3405,16,2.787,10,0.0445,0,607.969887897881,0,0,0,0
5,4,0,3,20260725,22760800,M2H,2000,433.133267872241,607.969887897881,607.969887897881,0.162,0.258402777777778,0.741597222222223,22.6103139018287,30.1433684979743,14.3505,27,8.995,21,0.162,0,607.969887897881,0,0,0,0
2,6,0,3,20260725,20860743,M0,2000,2.27763685459455,0,43.6407277091345,0,0.000446969696969697,0.99955303030303,19.0231778422057,19.0137618887991,0.067,0,0.0225,0,0,0,410.222840465865,0,0,0,0
2,6,0,3,20260725,20860743,M1,2000,2.58503123039577,0,60.5515096964242,0,0.000654040404040404,0.99934595959596,19.0232633071389,19.0137618887991,0.081,0,0.027,0,0,0,420.04200420042,0,0,0,0
2,6,0,3,20260725,20860743,M2L,2000,1.08924528816518,0,0,0,0.000116161616161616,0.999883838383838,19.0171402218241,19.0137618887991,0.029,0,0.0075,0,0,0,355.126421733082,0,0,0,0
2,6,0,3,20260725,20860743,M2H,2000,4.12473065488367,0,157.924883397431,0.0005,0.000901515151515151,0.999098484848485,19.0390912940778,19.0137618887991,0.135,0,0.051,0,0.0005,0,607.969887897881,0,0,0,0
2,1,0,3,20260725,20360728,M0,2000,3.00289119821073,0,102.282955568284,0.0005,0.000448232323232323,0.999551767676768,19.0282274376423,19.0137618887991,0.077,0,0.031,0,0.0005,0,607.969887897881,0,0,0,0
2,1,0,3,20260725,20360728,M1,2000,2.78318740965006,0,91.6455281891825,0.0005,0.000443181818181818,0.999556818181818,19.0242687015407,19.0137618887991,0.067,0,0.0265,0,0.0005,0,607.969887897881,0,0,0,0
2,1,0,3,20260725,20360728,M2L,2000,1.40536780950822,0,0,0,0.000164141414141414,0.999835858585859,19.0194012504751,19.0137618887991,0.0345,0,0.011,0,0,0,405.313258598587,0,0,0,0
2,1,0,3,20260725,20360728,M2H,2000,5.72770913454982,0,253.661729809345,0.001,0.00166792929292929,0.998332070707071,19.0397063554718,19.0137618887991,0.164,0,0.0685,0,0.001,0,607.969887897881,0,0,0,0
4,4,0,3,20260725,22060779,M0,2000,161.6954422715,509.778250552328,607.969887897881,0.021,0.0467474747474748,0.953252525252526,19.8886296827093,23.5399495467879,4.7135,18,2.107,11,0.021,0,607.969887897881,0,0,0,0
4,4,0,3,20260725,22060779,M1,2000,169.654556364727,532.689632599624,607.969887897881,0.026,0.0511237373737374,0.948876262626263,19.8786479971086,23.7666568227934,4.8265,17,2.219,11,0.026,0,607.969887897881,0,0,0,0
4,4,0,3,20260725,22060779,M2L,2000,96.623844202602,405.313258598587,576.875869405122,0.0075,0.0198421717171717,0.980157828282828,19.388282971025,21.1761838916476,2.5485,12,0.915,6,0.0075,0,607.969887897881,0,0,0,0
4,4,0,3,20260725,22060779,M2H,2000,261.250579603415,607.969887897881,607.969887897881,0.053,0.0938219696969698,0.906178030303031,20.5217089762733,25.6477358696186,7.7035,23,3.9335,16,0.053,0,607.969887897881,0,0,0,0
6,7,0,3,20260725,23760830,M0,2000,261.402913018575,607.969887897881,607.969887897881,0.065,0.11110101010101,0.88889898989899,20.8405382024422,27.4227992530246,7.591,22,4.0685,15,0.065,0,607.969887897881,0,0,0,0
6,7,0,3,20260725,23760830,M1,2000,264.224558819518,607.969887897881,607.969887897881,0.068,0.113630050505051,0.88636994949495,20.8372773659881,27.3665404719903,7.718,23,4.1735,17,0.068,0,607.969887897881,0,0,0,0
6,7,0,3,20260725,23760830,M2L,2000,207.062433516079,607.969887897881,607.969887897881,0.053,0.0777803030303031,0.922219696969697,20.4754424062812,26.2710427223199,5.5785,18,2.773,12,0.053,0,607.969887897881,0,0,0,0
6,7,0,3,20260725,23760830,M2H,2000,327.329051086927,607.969887897881,607.969887897881,0.085,0.160383838383839,0.839616161616162,21.2670244216315,28.0456901196978,10.2475,26,5.95,20,0.085,0,607.969887897881,0,0,0,0
