check,result,detail
historical_hash:results\task-002-stage2b-b3-smoke\w-oos-v1-preflight\run-001\00_plain_language_summary_zh.md,PASS,
historical_hash:results\task-002-stage2b-b3-smoke\w-oos-v1-preflight\run-001\analysis_control_card.json,PASS,
historical_hash:results\task-002-stage2b-b3-smoke\w-oos-v1-preflight\run-001\analysis_qa.csv,PASS,
historical_hash:results\task-002-stage2b-b3-smoke\w-oos-v1-preflight\run-001\audit_metrics.json,PASS,
historical_hash:results\task-002-stage2b-b3-smoke\w-oos-v1-preflight\run-001\bank_qa_by_state.csv,PASS,
historical_hash:results\task-002-stage2b-b3-smoke\w-oos-v1-preflight\run-001\BASE2-DRO_checkpoint_parameters.json,PASS,
historical_hash:results\task-002-stage2b-b3-smoke\w-oos-v1-preflight\run-001\BASE2-SAA_checkpoint_parameters.json,PASS,
historical_hash:results\task-002-stage2b-b3-smoke\w-oos-v1-preflight\run-001\closeout_qa.json,PASS,
historical_hash:results\task-002-stage2b-b3-smoke\w-oos-v1-preflight\run-001\communication_qa.csv,PASS,
historical_hash:results\task-002-stage2b-b3-smoke\w-oos-v1-preflight\run-001\data_preservation_qa.csv,PASS,
historical_hash:results\task-002-stage2b-b3-smoke\w-oos-v1-preflight\run-001\data_schema.csv,PASS,
historical_hash:results\task-002-stage2b-b3-smoke\w-oos-v1-preflight\run-001\issue_by_issue_result_ledger.csv,PASS,
historical_hash:results\task-002-stage2b-b3-smoke\w-oos-v1-preflight\run-001\level_coverage_matrix.csv,PASS,
historical_hash:results\task-002-stage2b-b3-smoke\w-oos-v1-preflight\run-001\node_mapping_and_load.csv,PASS,
historical_hash:results\task-002-stage2b-b3-smoke\w-oos-v1-preflight\run-001\oos_interface_qa.csv,PASS,
historical_hash:results\task-002-stage2b-b3-smoke\w-oos-v1-preflight\run-001\output_manifest.csv,PASS,
historical_hash:results\task-002-stage2b-b3-smoke\w-oos-v1-preflight\run-001\preflight.json,PASS,
historical_hash:results\task-002-stage2b-b3-smoke\w-oos-v1-preflight\run-001\recovered_msp_inventory.csv,PASS,
historical_hash:results\task-002-stage2b-b3-smoke\w-oos-v1-preflight\run-001\road_edge_geometry_audit.csv,PASS,
historical_hash:results\task-002-stage2b-b3-smoke\w-oos-v1-preflight\run-001\road_node_to_node_sample_qa.csv,PASS,
historical_hash:results\task-002-stage2b-b3-smoke\w-oos-v1-preflight\run-001\scale_exact_frequency.csv,PASS,
historical_hash:results\task-002-stage2b-b3-smoke\w-oos-v1-preflight\run-001\scale_exact_frequency_by_state.csv,PASS,
historical_hash:results\task-002-stage2b-b3-smoke\w-oos-v1-preflight\run-001\scale_quantiles.csv,PASS,
historical_hash:results\task-002-stage2b-b3-smoke\w-oos-v1-preflight\run-001\scale_quantiles_by_state.csv,PASS,
historical_hash:results\task-002-stage2b-b3-smoke\w-oos-v1-preflight\run-001\source_manifest.csv,PASS,
historical_hash:results\task-002-stage2b-b3-smoke\w-oos-v1-preflight\run-001\supplemental_source_manifest.csv,PASS,
historical_hash:scripts\audit_w_oos_v1_b2.py,PASS,
historical_hash:terminalLoh_wdro\current_w_mainline_stage88\msp_bridge\near_stage_msp_input_stage88_cap200_candidate.mat,PASS,
historical_hash:terminalLoh_wdro\current_w_mainline_stage88\src_snapshot\terminalLoh_wdro\src\run_stage88a_h2_bank_state_h2.m,PASS,
historical_hash:terminalLoh_wdro\partial_temporal_refinement\config\w0_zero_3p5h_schema.json,PASS,
historical_hash:terminalLoh_wdro\partial_temporal_refinement\consequences\five_point_consequence_manifest.csv,PASS,
historical_hash:terminalLoh_wdro\partial_temporal_refinement\consequences\state-001_five_point_consequence.h5,PASS,
historical_hash:terminalLoh_wdro\partial_temporal_refinement\consequences\state-002_five_point_consequence.h5,PASS,
historical_hash:terminalLoh_wdro\partial_temporal_refinement\consequences\state-003_five_point_consequence.h5,PASS,
historical_hash:terminalLoh_wdro\partial_temporal_refinement\consequences\state-004_five_point_consequence.h5,PASS,
historical_hash:terminalLoh_wdro\partial_temporal_refinement\consequences\state-005_five_point_consequence.h5,PASS,
historical_hash:terminalLoh_wdro\partial_temporal_refinement\consequences\state-006_five_point_consequence.h5,PASS,
historical_hash:terminalLoh_wdro\partial_temporal_refinement\consequences\state-007_five_point_consequence.h5,PASS,
historical_hash:terminalLoh_wdro\partial_temporal_refinement\consequences\state-008_five_point_consequence.h5,PASS,
historical_hash:terminalLoh_wdro\partial_temporal_refinement\consequences\state-009_five_point_consequence.h5,PASS,
historical_hash:terminalLoh_wdro\partial_temporal_refinement\consequences\state-010_five_point_consequence.h5,PASS,
historical_hash:terminalLoh_wdro\partial_temporal_refinement\consequences\state-011_five_point_consequence.h5,PASS,
historical_hash:terminalLoh_wdro\partial_temporal_refinement\consequences\state-012_five_point_consequence.h5,PASS,
