path_id,dissipation_stage,inventory_at_resolution_kg,remaining_formal_demand_kg,inventory_minus_remaining_demand_kg,positive_preventive_inventory_kg
233,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
234,5,165.405036381,104.989071862,60.415964519,60.415964519
235,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
238,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
243,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
244,5,161.543578189,104.989071862,56.5545063261,56.5545063261
246,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
247,5,161.055071273,104.989071862,56.0659994104,56.0659994104
248,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
249,5,171.066218643,104.989071862,66.0771467804,66.0771467804
253,5,199.257181415,104.989071862,94.2681095524,94.2681095524
258,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
259,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
260,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
261,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
263,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
267,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
268,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
270,4,154.458409272,144,10.458409272,12.4762758297
271,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
279,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
281,3,184.939475204,189.496065932,-4.55659072795,5.60813793862
286,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
287,5,186.356815296,104.989071862,81.367743434,81.367743434
288,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
291,4,154.458409272,144,10.458409272,12.4762758297
296,4,145.293409272,144,1.29340927205,6.30269498349
298,4,160.308409272,144,16.308409272,18.3262758297
300,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
301,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
303,4,160.308409272,144,16.308409272,18.3262758297
304,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
309,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
310,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
312,4,163.233409272,144,19.233409272,21.2512758297
315,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
317,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
320,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
321,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
325,5,162.088602245,104.989071862,57.0995303823,57.0995303823
330,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
335,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
336,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
337,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
338,4,163.233409272,144,19.233409272,21.2512758297
344,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
351,6,138.194790321,45.4960659317,92.6987243889,92.6987243889
361,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
362,5,172.322167937,104.989071862,67.3330960747,67.3330960747
363,4,145.293409272,144,1.29340927205,6.30269498349
366,6,150.529475204,45.4960659317,105.033409272,105.033409272
372,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
376,3,184.939475204,189.496065932,-4.55659072795,5.60813793862
377,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
378,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
379,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
386,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
391,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
396,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
397,4,145.293409272,144,1.29340927205,6.30269498349
398,5,159.964981244,104.989071862,54.9759093816,54.9759093816
400,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
402,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
404,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
406,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
415,4,147.633409272,144,3.63340927205,6.30269498349
419,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
428,6,126.863809366,45.4960659317,81.367743434,81.367743434
433,4,151.533409272,144,7.53340927205,10.2026949835
434,4,147.633409272,144,3.63340927205,5.26920416384
435,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
436,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
443,7,151.982617659,0,151.982617659,151.982617659
447,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
448,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
452,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
457,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
461,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
464,5,163.163130633,104.989071862,58.1740587709,58.1740587709
465,4,151.363143683,144,7.36314368349,8.84644556089
468,4,163.233409272,144,19.233409272,21.2512758297
469,4,147.633409272,144,3.63340927205,5.26920416384
470,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
472,5,161.876273045,104.989071862,56.8872011821,56.8872011821
473,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
478,3,184.939475204,189.496065932,-4.55659072795,5.60813793862
481,4,156.408409272,144,12.408409272,13.808762375
486,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
487,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
490,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
495,5,197.546367222,104.989071862,92.5572953597,92.5572953597
496,4,256.638409272,144,112.638409272,112.638409272
498,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
500,4,160.308409272,144,16.308409272,18.3262758297
502,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
503,4,163.233409272,144,19.233409272,21.2512758297
504,6,135.990016495,45.4960659317,90.493950563,90.493950563
510,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
511,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
512,6,126.863809366,45.4960659317,81.367743434,81.367743434
513,4,163.233409272,144,19.233409272,21.2512758297
516,5,207.487481134,104.989071862,102.498409272,102.498409272
517,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
519,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
520,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
525,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
528,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
532,5,160.887522927,104.989071862,55.8984510643,55.8984510643
537,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
538,4,155.546921843,144,11.546921843,13.5647884007
539,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
547,3,184.939475204,189.496065932,-4.55659072795,5.60813793862
551,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
552,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
554,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
556,6,136.834146225,45.4960659317,91.338080293,91.338080293
560,6,119.446361079,45.4960659317,73.9502951477,73.9502951477
561,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
562,5,159.571992527,104.989071862,54.5829206642,54.5829206642
564,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
566,4,136.518409272,144,-7.48159072795,5.60813793862
567,3,184.939475204,189.496065932,-4.55659072795,5.60813793862
570,3,184.939475204,189.496065932,-4.55659072795,5.60813793862
573,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
575,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
577,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
578,3,184.939475204,189.496065932,-4.55659072795,5.60813793862
584,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
588,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
589,4,160.308409272,144,16.308409272,18.3262758297
590,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
592,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
597,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
604,5,201.247481134,104.989071862,96.258409272,96.258409272
607,4,160.308409272,144,16.308409272,18.3262758297
609,6,272.802409557,45.4960659317,227.306343625,227.306343625
612,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
614,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
615,4,145.293409272,144,1.29340927205,6.30269498349
617,5,186.356815296,104.989071862,81.367743434,81.367743434
618,3,184.939475204,189.496065932,-4.55659072795,5.60813793862
619,4,145.293409272,144,1.29340927205,6.30269498349
629,4,151.533409272,144,7.53340927205,10.2026949835
636,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
645,4,147.633409272,144,3.63340927205,6.30269498349
648,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
651,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
652,6,157.457024364,45.4960659317,111.960958433,111.960958433
653,3,184.939475204,189.496065932,-4.55659072795,5.60813793862
658,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
659,6,147.994475204,45.4960659317,102.498409272,102.498409272
666,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
669,3,184.939475204,189.496065932,-4.55659072795,5.60813793862
670,4,163.233409272,144,19.233409272,21.2512758297
671,4,145.293409272,144,1.29340927205,6.30269498349
676,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
677,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
678,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
679,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
681,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
683,5,169.344196627,104.989071862,64.3551247646,64.3551247646
687,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
688,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
693,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
699,4,136.518409272,144,-7.48159072795,5.60813793862
704,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
713,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
714,4,154.458409272,144,10.458409272,12.4762758297
715,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
716,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
720,5,199.177550046,104.989071862,94.1884781839,94.1884781839
721,6,109.594926623,45.4960659317,64.098860691,64.098860691
723,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
726,4,157.383409272,144,13.383409272,15.4012758297
730,4,154.068409272,144,10.068409272,10.1570471812
733,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
737,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
738,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
739,4,160.308409272,144,16.308409272,18.3262758297
745,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
747,5,222.394590982,104.989071862,117.40551912,117.40551912
748,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
750,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
752,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
757,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
760,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
761,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
762,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
768,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
770,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
774,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
775,6,156.407475452,45.4960659317,110.911409521,110.911409521
777,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
781,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
785,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
786,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
788,4,163.233409272,144,19.233409272,21.2512758297
790,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
792,4,147.633409272,144,3.63340927205,6.30269498349
798,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
810,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
815,3,184.939475204,189.496065932,-4.55659072795,5.60813793862
816,5,168.913562092,104.989071862,63.92449023,63.92449023
817,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
819,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
822,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
823,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
824,4,147.385558521,144,3.38555852063,17.947359981
826,4,163.233409272,144,19.233409272,21.2512758297
833,5,207.487481134,104.989071862,102.498409272,102.498409272
839,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
843,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
849,4,154.458409272,144,10.458409272,12.4762758297
851,5,224.992358276,104.989071862,120.003286414,120.003286414
856,4,160.308409272,144,16.308409272,18.3262758297
857,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
863,4,155.546921843,144,11.546921843,13.5647884007
864,4,160.308409272,144,16.308409272,18.3262758297
866,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
875,4,159.333409272,144,15.333409272,16.8911297703
877,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
878,5,162.088562092,104.989071862,57.09949023,57.09949023
879,4,151.533409272,144,7.53340927205,10.2026949835
880,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
881,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
882,3,184.939475204,189.496065932,-4.55659072795,5.60813793862
883,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
886,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
887,5,210.022481134,104.989071862,105.033409272,105.033409272
892,4,155.546921843,144,11.546921843,13.5647884007
896,5,161.720751477,104.989071862,56.7316796148,56.7316796148
899,4,157.383409272,144,13.383409272,15.4012758297
902,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
906,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
910,4,160.308409272,144,16.308409272,18.3262758297
911,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
915,5,200.403911092,104.989071862,95.4148392299,95.4148392299
916,4,154.458409272,144,10.458409272,12.4762758297
917,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
919,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
922,4,160.308409272,144,16.308409272,18.3262758297
923,4,160.308409272,144,16.308409272,18.3262758297
926,5,186.356815296,104.989071862,81.367743434,81.367743434
927,4,163.233409272,144,19.233409272,21.2512758297
930,7,89.5178315897,0,89.5178315897,89.5178315897
933,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
934,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
936,5,182.295601322,104.989071862,77.3065294594,77.3065294594
939,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
940,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
944,5,207.487481134,104.989071862,102.498409272,102.498409272
947,4,159.333409272,144,15.333409272,15.4083798254
951,4,160.308409272,144,16.308409272,18.3262758297
956,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
964,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
966,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
968,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
969,4,160.308409272,144,16.308409272,18.3262758297
970,4,136.518409272,144,-7.48159072795,5.60813793862
975,5,158.630471701,104.989071862,53.6413998387,53.6413998387
977,5,161.876273045,104.989071862,56.8872011821,56.8872011821
981,4,160.308409272,144,16.308409272,18.3262758297
982,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
984,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
992,5,199.177550046,104.989071862,94.1884781839,94.1884781839
993,5,161.505036381,104.989071862,56.515964519,56.515964519
994,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
998,4,168.230179337,144,24.2301793368,24.6366829784
1001,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
1003,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
1005,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
1007,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
1012,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
1020,5,182.678398864,104.989071862,77.6893270013,77.6893270013
1021,6,156.407475452,45.4960659317,110.911409521,110.911409521
1022,4,163.233409272,144,19.233409272,21.2512758297
1027,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
1028,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
1036,5,161.543578189,104.989071862,56.5545063261,56.5545063261
1039,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
1041,5,162.496992527,104.989071862,57.5079206642,57.5079206642
1046,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
1047,4,151.533409272,144,7.53340927205,10.2026949835
1049,6,165.544475204,45.4960659317,120.048409272,120.048409272
1050,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
1052,6,98.1375734105,45.4960659317,52.6415074787,52.6415074787
1053,5,219.187481134,104.989071862,114.198409272,114.198409272
1054,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
1058,4,160.308409272,144,16.308409272,18.3262758297
1059,6,135.013897521,45.4960659317,89.5178315897,89.5178315897
1060,5,200.403911092,104.989071862,95.4148392299,95.4148392299
1063,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
1064,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
1067,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
1070,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
1071,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
1072,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
1073,4,136.518409272,144,-7.48159072795,5.60813793862
1075,3,188.084209615,189.496065932,-1.41185631651,5.60813793862
1078,6,187.389765227,45.4960659317,141.893699295,141.893699295
1081,5,179.51612768,104.989071862,74.5270558179,74.5270558179
1082,4,162.258409272,144,18.258409272,21.5899129137
1085,4,163.233409272,144,19.233409272,21.2512758297
1088,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
1091,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
1093,6,156.407475452,45.4960659317,110.911409521,110.911409521
1095,5,199.257181415,104.989071862,94.2681095524,94.2681095524
1098,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
1102,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
1111,5,156.451144954,104.989071862,51.4620730918,51.4620730918
1114,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
1115,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
1126,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
1127,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
1136,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
1139,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
1140,5,212.947481134,104.989071862,107.958409272,107.958409272
1146,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
1149,4,160.308409272,144,16.308409272,18.3262758297
1153,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
1156,3,184.939475204,189.496065932,-4.55659072795,5.60813793862
1160,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
1167,4,160.308409272,144,16.308409272,18.3262758297
1173,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
1175,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
1177,5,199.513795372,104.989071862,94.5247235097,94.5247235097
1178,5,190.108006047,104.989071862,85.118934185,85.118934185
1179,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
1181,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
1182,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
1183,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
1184,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
1186,5,169.087932553,104.989071862,64.098860691,64.098860691
1187,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
1190,4,157.383409272,144,13.383409272,15.4012758297
1191,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
1201,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
1203,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
1204,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
1207,5,161.351253753,104.989071862,56.3621818906,56.3621818906
1208,3,184.939475204,189.496065932,-4.55659072795,5.60813793862
1213,5,186.356815296,104.989071862,81.367743434,81.367743434
1217,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
1221,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
1222,4,160.308409272,144,16.308409272,18.3262758297
1226,5,196.327152155,104.989071862,91.338080293,91.338080293
1232,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
1233,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
1242,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
1246,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
1247,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
1248,5,169.344196627,104.989071862,64.3551247646,64.3551247646
1250,4,160.308409272,144,16.308409272,18.3262758297
1251,5,196.327152155,104.989071862,91.338080293,91.338080293
1254,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
1256,5,161.351253753,104.989071862,56.3621818906,56.3621818906
1258,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
1263,6,135.013897521,45.4960659317,89.5178315897,89.5178315897
1266,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
1268,3,187.986245268,189.496065932,-1.50982066324,5.60813793862
1270,5,106.282481134,104.989071862,1.29340927205,6.30269498349
1272,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
1273,4,145.293409272,144,1.29340927205,6.30269498349
1280,4,145.293409272,144,1.29340927205,6.30269498349
1282,4,145.293409272,144,1.29340927205,6.30269498349
1283,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
1284,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
1285,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
1287,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
1288,4,160.308409272,144,16.308409272,18.3262758297
1290,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
1291,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
1292,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
1295,4,154.458409272,144,10.458409272,12.4762758297
1296,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
1298,3,182.014475204,189.496065932,-7.48159072795,5.60813793862
1299,2,241.507481134,248.989071862,-7.48159072795,5.60813793862
1301,4,160.308409272,144,16.308409272,18.3262758297
