path_id,base_type,b0001_type,transition_group
51,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
52,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
53,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
54,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
55,MIXED,MIXED,PERSISTENT_FAILURE
56,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
57,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
58,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
59,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
60,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
61,MIXED,MIXED,PERSISTENT_FAILURE
62,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
63,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
64,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
65,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
66,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
67,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
68,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
69,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
70,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
71,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
72,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
73,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
74,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
75,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
76,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
77,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
78,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
79,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
80,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
81,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
82,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
83,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
84,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
85,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
86,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
87,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
88,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
89,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
90,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
91,ADEQUATE,PURE_LOCATION,NEW_FAILURES
92,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
93,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
94,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
95,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
96,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
97,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
98,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
99,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
100,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
101,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
102,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
103,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
104,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
105,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
106,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
107,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
108,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
109,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
110,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
111,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
112,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
113,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
114,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
115,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
116,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
117,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
118,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
119,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
120,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
121,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
122,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
123,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
124,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
125,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
126,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
127,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
128,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
129,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
130,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
131,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
132,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
133,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
134,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
135,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
136,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
137,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
138,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
139,PURE_QUANTITY,PURE_QUANTITY,PERSISTENT_FAILURE
140,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
141,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
142,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
143,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
144,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
145,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
146,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
147,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
148,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
149,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
150,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
151,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
152,MIXED,MIXED,PERSISTENT_FAILURE
153,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
154,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
155,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
156,PURE_LOCATION,PURE_LOCATION,PERSISTENT_FAILURE
157,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
158,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
159,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
160,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
161,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
162,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
163,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
164,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
165,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
166,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
167,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
168,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
169,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
170,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
171,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
172,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
173,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
174,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
175,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
176,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
177,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
178,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
179,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
180,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
181,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
182,PURE_LOCATION,ADEQUATE,RECOVERED_PATHS
183,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
184,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
185,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
186,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
187,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
188,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
189,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
190,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
191,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
192,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
193,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
194,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
195,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
196,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
197,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
198,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
199,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
200,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
201,PURE_QUANTITY,PURE_QUANTITY,PERSISTENT_FAILURE
202,PURE_LOCATION,ADEQUATE,RECOVERED_PATHS
203,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
204,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
205,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
206,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
207,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
208,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
209,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
210,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
211,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
212,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
213,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
214,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
215,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
216,PURE_LOCATION,PURE_LOCATION,PERSISTENT_FAILURE
217,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
218,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
219,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
220,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
221,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
222,MIXED,PURE_QUANTITY,PERSISTENT_FAILURE
223,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
224,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
225,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
226,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
227,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
228,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
229,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
230,PURE_LOCATION,MIXED,PERSISTENT_FAILURE
231,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
232,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
233,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
234,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
235,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
236,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
237,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
238,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
239,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
240,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
241,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
242,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
243,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
244,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
245,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
246,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
247,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
248,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
249,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
250,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
251,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
252,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
253,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
254,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
255,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
256,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
257,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
258,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
259,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
260,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
261,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
262,ADEQUATE,PURE_LOCATION,NEW_FAILURES
263,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
264,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
265,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
266,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
267,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
268,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
269,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
270,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
271,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
272,MIXED,MIXED,PERSISTENT_FAILURE
273,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
274,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
275,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
276,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
277,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
278,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
279,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
280,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
281,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
282,MIXED,MIXED,PERSISTENT_FAILURE
283,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
284,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
285,PURE_LOCATION,ADEQUATE,RECOVERED_PATHS
286,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
287,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
288,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
289,PURE_LOCATION,PURE_LOCATION,PERSISTENT_FAILURE
290,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
291,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
292,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
293,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
294,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
295,ADEQUATE,PURE_LOCATION,NEW_FAILURES
296,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
297,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
298,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
299,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
300,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
301,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
302,ADEQUATE,PURE_LOCATION,NEW_FAILURES
303,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
304,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
305,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
306,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
307,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
308,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
309,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
310,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
311,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
312,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
313,PURE_LOCATION,PURE_LOCATION,PERSISTENT_FAILURE
314,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
315,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
316,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
317,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
318,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
319,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
320,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
321,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
322,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
323,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
324,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
325,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
326,PURE_QUANTITY,PURE_QUANTITY,PERSISTENT_FAILURE
327,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
328,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
329,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
330,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
331,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
332,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
333,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
334,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
335,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
336,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
337,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
338,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
339,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
340,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
341,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
342,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
343,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
344,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
345,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
346,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
347,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
348,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
349,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
350,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
351,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
352,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
353,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
354,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
355,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
356,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
357,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
358,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
359,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
360,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
361,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
362,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
363,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
364,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
365,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
366,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
367,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
368,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
369,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
370,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
371,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
372,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
373,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
374,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
375,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
376,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
377,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
378,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
379,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
380,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
381,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
382,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
383,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
384,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
385,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
386,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
387,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
388,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
389,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
390,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
391,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
392,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
393,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
394,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
395,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
396,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
397,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
398,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
399,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
400,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
401,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
402,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
403,ADEQUATE,PURE_LOCATION,NEW_FAILURES
404,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
405,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
406,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
407,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
408,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
409,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
410,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
411,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
412,ADEQUATE,ADEQUATE,PERSISTENT_ADEQUATE
