arm,penalty,path_id,stage,state_id,hurricane_a,hurricane_loc,hurricane_lf,beta,hour_in_stage,global_hour,origin_site,destination_site,flow_kg,distance_km,unit_cost_yuan_per_kg,htt_cost_yuan,lt5,lt10,source_inventory_pre_htt_kg,source_ending_inventory_kg,destination_inventory_pre_htt_kg,destination_ending_inventory_kg,destination_demand_kg,destination_served_kg,destination_shortage_kg,source_production_kg,fleet_capacity_kg,total_hour_htt_kg,fleet_capacity_binding
Arm-A,1000,3546,5,214,4,6,6,0.403571428571,1,33,2,1,5.60390547052,28.2276208211,40.8090746727,228.690196805,0,1,55.8997691023,39.684149131,112.318161427,127.869695927,4.31956668923,0,4.31956668923,3.9,95.4285714286,26.1632490003,0
Arm-A,1000,3546,5,214,4,6,6,0.403571428571,1,33,2,4,10.6117145008,22.9939521853,33.2426851594,352.76188415,0,0,55.8997691023,39.684149131,50.629272747,61.2409872477,2.08586824266,0,2.08586824266,3.9,95.4285714286,26.1632490003,0
Arm-A,1000,3546,5,214,4,6,6,0.403571428571,1,33,3,1,9.94762902904,28.2276208211,40.8090746727,405.953535863,0,1,24.9102778578,14.9626488287,112.318161427,127.869695927,4.31956668923,0,4.31956668923,2.34,95.4285714286,26.1632490003,0
Arm-A,1000,3909,5,166,3,7,6,0.285714285714,1,33,2,1,1.63324522926,28.2276208211,35.4861518893,57.9575882782,1,1,35.2093801746,33.5761349454,72.0810220162,80.825517111,4.31956668923,4.31956668923,0,3.9,114.285714286,8.74449509479,0
Arm-A,1000,3909,5,166,3,7,6,0.285714285714,1,33,3,1,7.11124986553,28.2276208211,35.4861518893,252.350892851,0,1,19.7614691318,12.6502192663,72.0810220162,80.825517111,4.31956668923,4.31956668923,0,2.34,114.285714286,8.74449509479,0
Arm-A,1000,4500,3,164,3,7,4,0.171428571429,1,17,3,1,21.8980539775,28.2276208211,30.3245297963,664.048190323,0,0,29.3571226692,7.45906869171,68.3553559616,90.2534099391,5.02708192282,5.02708192282,0,2.34,132.571428571,21.8980539775,0
Arm-A,1000,4500,4,165,3,7,5,0.228571428571,5,29,2,3,13.7219304278,8,9.32571428571,127.966802618,0,0,89.5131068827,75.7911764549,20.522666235,34.2445966628,0.198224597087,0.198224597087,0,3.9,123.428571429,13.7219304278,0
Arm-A,1000,5014,4,180,4,2,4,0.182142857143,1,25,2,1,21.5939953458,28.2276208211,30.8084318676,665.27713436,0,0,76.7081379386,55.1141425928,102.494557045,124.088552391,0.930941096818,0,0.930941096818,3.9,130.857142857,21.5939953458,0
Arm-A,1000,5014,4,180,4,2,4,0.182142857143,6,30,3,1,45.9500677951,28.2276208211,30.8084318676,1415.64953297,0,0,45.9500677951,0,153.338552391,199.288620186,1.86188219364,0,1.86188219364,2.34,130.857142857,45.9500677951,0
Arm-A,1000,5014,4,180,4,2,4,0.182142857143,7,31,3,1,1.16140524456,28.2276208211,30.8084318676,35.7810743477,1,1,2.34,1.17859475544,205.138620186,206.30002543,4.31956668923,0,4.31956668923,2.34,130.857142857,1.16140524456,0
Arm-A,1000,5014,5,197,4,4,5,0.282857142857,1,33,2,3,6.21094312187,8,10.0205714286,62.2371991914,0,1,84.7613475617,78.5504044399,4.15386322049,10.3648063424,1.70473153495,1.70473153495,0,3.9,114.742857143,6.21094312187,0
Arm-A,1000,5014,6,222,4,7,6,0.428571428571,1,41,1,3,3.92728411568,28.2276208211,41.9381795056,164.703146213,1,1,237.30002543,233.372741315,22.4398506694,26.3671347851,1.5857967767,1.5857967767,0,5.85,91.4285714286,3.92728411568,0
Arm-A,1000,5014,6,222,4,7,6,0.428571428571,3,43,4,2,6.64771111697,22.9939521853,34.1624432468,227.102053755,0,1,98.8802425879,92.232531471,98.5441932598,105.191904377,1.24223602484,1.24223602484,0,2.925,91.4285714286,6.64771111697,0
Arm-A,1000,5014,6,222,4,7,6,0.428571428571,4,44,1,2,25.645730654,28.2276208211,41.9381795056,1075.53525572,0,0,235.670236237,210.024505583,108.160227358,133.805958012,0.931677018634,0.931677018634,0,0,91.4285714286,25.645730654,0
Arm-A,1000,5273,3,132,3,3,4,0.131428571429,4,20,3,1,2.34950036567,28.2276208211,28.5179620638,67.0029622969,1,1,47.6100350542,45.2605346885,123.302850884,125.652351249,1.86188219364,1.86188219364,0,1.04743104391,138.971428571,2.34950036567,0
Arm-A,1000,5273,4,149,3,5,5,0.201904761905,1,25,3,2,21.7091109031,8,8.98438095238,195.042922491,0,0,50.4223428323,28.7132319293,107.597578932,129.306689835,0.310559006211,0.310559006211,0,2.34,127.695238095,21.7091109031,0
Arm-A,1000,5273,5,166,3,7,6,0.285714285714,1,33,2,3,0.994930164503,8,10.0571428571,10.0061547973,1,1,142.718491078,141.723560913,37.2822330497,38.2771632142,1.70473153495,1.70473153495,0,0,114.285714286,0.994930164503,0
Arm-A,1000,6737,3,148,3,5,4,0.151428571429,1,17,2,4,6.6074784756,22.9939521853,23.9662678778,158.356599143,0,1,51.4087590566,44.801280581,35.8929924576,42.5004709332,2.60733530332,2.60733530332,0,3.9,135.771428571,10.0201675703,0
Arm-A,1000,6737,3,148,3,5,4,0.151428571429,1,17,3,1,3.41268909468,28.2276208211,29.4212459301,100.405565137,1,1,29.3571226692,25.9444335746,68.3553559616,71.7680450563,5.02708192282,5.02708192282,0,2.34,135.771428571,10.0201675703,0
Arm-A,1000,6737,4,197,4,4,5,0.282857142857,1,25,2,1,29.7207109804,28.2276208211,35.357111337,1050.83848715,0,0,70.100659463,40.3799484826,105.90724614,158.966522634,0.930941096818,0,0.930941096818,3.9,114.742857143,53.0592764942,0
Arm-A,1000,6737,4,197,4,4,5,0.282857142857,1,25,3,1,22.9747184208,28.2276208211,35.357111337,812.31967714,0,0,30.8373787004,7.86266027961,105.90724614,158.966522634,0.930941096818,0,0.930941096818,2.34,114.742857143,53.0592764942,0
Arm-A,1000,6737,4,197,4,4,5,0.282857142857,1,25,4,1,0.363847092933,24.388346875,30.5481464857,11.1148542933,1,1,59.3560593218,58.9922122289,105.90724614,158.966522634,0.930941096818,0,0.930941096818,2.925,114.742857143,53.0592764942,0
Arm-A,1000,6737,5,214,4,6,6,0.403571428571,1,33,3,2,11.6364782589,8,11.5657142857,134.584182835,0,0,26.5826602796,14.9461820207,71.5799484826,83.2164267415,1.55279503106,0,1.55279503106,2.34,95.4285714286,11.6364782589,0
Arm-A,1000,6737,5,214,4,6,6,0.403571428571,8,40,4,2,6.49676019937,22.9939521853,33.2426851594,215.969753864,0,1,89.5802315232,83.0834713238,110.516426742,117.013186941,3.10559006211,0,3.10559006211,2.925,95.4285714286,6.49676019937,0
Arm-A,1000,9408,3,164,3,7,4,0.171428571429,1,17,3,1,21.8980539775,28.2276208211,30.3245297963,664.048190323,0,0,29.3571226692,7.45906869171,68.3553559616,90.2534099391,5.02708192282,5.02708192282,0,2.34,132.571428571,21.8980539775,0
Arm-A,1000,9408,4,221,4,7,5,0.342857142857,1,25,2,1,12.8867424912,28.2276208211,38.0669629358,490.559148778,0,0,76.3975789324,63.5108364412,124.392611022,137.279353514,0.930941096818,0,0.930941096818,3.9,105.142857143,12.8867424912,0
Arm-A,1000,9408,4,221,4,7,5,0.342857142857,8,32,2,4,2.32286504503,22.9939521853,31.0089869471,72.0296918613,1,1,78.4754327145,76.1525676694,72.7808189862,75.1036840313,2.60733530332,0.442761860018,2.1645734433,3.9,105.142857143,2.32286504503,0
