profile_id,global_hour,occurrence_count,realized_pel1_kw,realized_pel2_kw,realized_pel3_kw,realized_pel4_kw,site,electrical_bus,realized_pel_kw,base_pmax_kw,candidate_pmax_kw,base_remaining_headroom_kw,nameplate_increment_kw,total_increment_needed_to_candidate_kw,solver_success,max_additional_hosting_kw,requested_additional_kw,hosting_ratio,full_hostable,min_voltage_pu,max_voltage_pu,voltage_margin_pu,critical_bus,max_true_s_mva,max_true_s_utilization,critical_branch_id,critical_branch_from,critical_branch_to,max_octagon_utilization,voltage_limited_flag,branch_limited_flag,substation_limited_flag,unclassified_limited_flag,root_grid_import_kw,root_reactive_import_kvar,pv_used_kw,max_p_balance_error_kw,max_q_balance_error_kvar,max_voltage_drop_error,slack_voltage_error,max_octagon_violation_kva,true_circle_violation_mva,max_additional_site_hosting_kw,max_new_pel_kw,FULL_TO_CANDIDATE_HOSTABLE
3,3,10000,300,200,120,150,3,18,120,120,150,0,30,30,True,30,30,1,True,0.91510687898,1,0.0151068789805,18,3.86232471524,0.643720785874,1,1,2,0.656804068298,False,False,False,False,3486.000725,1662.9345,0,2.27373675443e-13,1.4921397451e-13,1.11022302463e-16,0,0,0,30,150,YES
3,3,10000,300,200,120,150,4,31,150,150,187.5,0,37.5,37.5,True,37.5,37.5,1,True,0.916817228837,1,0.0168172288367,18,3.86909530341,0.644849217235,1,1,2,0.657760776879,False,False,False,False,3493.500725,1662.9345,0,2.27373675443e-13,1.4921397451e-13,1.11022302463e-16,0,0,0,37.5,187.5,YES
4,4,10000,300,200,120,150,1,24,300,300,375,0,75,75,True,75,75,1,True,0.918390200047,1,0.0183902000468,18,3.83756111286,0.639593518809,1,1,2,0.650978336814,False,False,False,False,3475.000815,1628.2643,0,2.13162820728e-13,2.09610107049e-13,1.11022302463e-16,0,0,0,75,375,YES
4,4,10000,300,200,120,150,2,14,200,200,250,0,50,50,True,50,50,1,True,0.916069705031,1,0.0160697050306,18,3.81493777854,0.635822963091,1,1,2,0.647789308211,False,False,False,False,3450.000815,1628.2643,0,2.13162820728e-13,2.09610107049e-13,1.11022302463e-16,0,0,0,50,250,YES
4,4,10000,300,200,120,150,3,18,120,120,150,0,30,30,True,30,30,1,True,0.916432388216,1,0.0164323882158,18,3.79686057442,0.632810095736,1,1,2,0.645238085329,False,False,False,False,3430.000815,1628.2643,0,2.13162820728e-13,2.09610107049e-13,1.11022302463e-16,0,0,0,30,150,YES
4,4,10000,300,200,120,150,4,31,150,150,187.5,0,37.5,37.5,True,37.5,37.5,1,True,0.918140268862,1,0.0181402688616,18,3.80363727027,0.633939545045,1,1,2,0.646194793909,False,False,False,False,3437.500815,1628.2643,0,2.13162820728e-13,2.09610107049e-13,1.11022302463e-16,0,0,0,37.5,187.5,YES
5,5,10000,300,200,120,150,1,24,300,300,375,0,75,75,True,75,75,1,True,0.919192320594,1,0.0191923205942,18,3.79784516574,0.632974194291,1,1,2,0.643956187674,False,False,False,False,3441.001135,1607.2147,0,4.05009359383e-13,1.84741111298e-13,1.11022302463e-16,0,0,0,75,375,YES
5,5,10000,300,200,120,150,2,14,200,200,250,0,50,50,True,50,50,1,True,0.916873855649,1,0.0168738556487,18,3.77520898047,0.629201496745,1,1,2,0.640767159071,False,False,False,False,3416.001135,1607.2147,0,2.98427949019e-13,1.84741111298e-13,1.11022302463e-16,0,0,0,50,250,YES
5,5,10000,300,200,120,150,3,18,120,120,150,0,30,30,True,30,30,1,True,0.917236220866,1,0.0172362208658,18,3.75712161113,0.626186935188,1,1,2,0.638215936189,False,False,False,False,3396.001135,1607.2147,0,2.98427949019e-13,1.84741111298e-13,1.11022302463e-16,0,0,0,30,150,YES
5,5,10000,300,200,120,150,4,31,150,150,187.5,0,37.5,37.5,True,37.5,37.5,1,True,0.918942607567,1,0.0189426075673,18,3.76390210657,0.627317017762,1,1,2,0.63917264477,False,False,False,False,3403.501135,1607.2147,0,2.98427949019e-13,1.84741111298e-13,1.11022302463e-16,0,0,0,37.5,187.5,YES
6,6,10000,300,200,120,150,1,24,300,300,375,0,75,75,True,75,75,1,True,0.92102986052,1,0.0210298605198,18,3.70675321789,0.617792202982,1,1,2,0.627846370876,False,False,False,False,3363.000995,1558.9239,0,1.56319401867e-13,1.10134124043e-13,1.11022302463e-16,0,0,0,75,375,YES
6,6,10000,300,200,120,150,2,14,200,200,250,0,50,50,True,50,50,1,True,0.918716032788,1,0.0187160327881,18,3.68408663967,0.614014439945,1,1,2,0.624657342273,False,False,False,False,3338.000995,1558.9239,0,1.7763568394e-13,1.10134124043e-13,1.11022302463e-16,0,0,0,50,250,YES
6,6,10000,300,200,120,150,3,18,120,120,150,0,30,30,True,30,30,1,True,0.919077671689,1,0.0190776716894,18,3.66597522207,0.610995870345,1,1,2,0.622106119391,False,False,False,False,3318.000995,1558.9239,0,1.7763568394e-13,1.10134124043e-13,1.11022302463e-16,0,0,0,30,150,YES
6,6,10000,300,200,120,150,4,31,150,150,187.5,0,37.5,37.5,True,37.5,37.5,1,True,0.920780645829,1,0.0207806458285,18,3.6727647071,0.612127451184,1,1,2,0.623062827971,False,False,False,False,3325.500995,1558.9239,0,1.7763568394e-13,1.10134124043e-13,1.11022302463e-16,0,0,0,37.5,187.5,YES
7,7,10000,300,200,120,150,1,24,300,300,375,0,75,75,True,75,75,1,True,0.922346857848,1,0.0223468578483,18,3.64137412499,0.606895687499,1,1,2,0.616280387907,False,False,False,False,3307.001085,1524.2537,0,2.55795384874e-13,6.03961325396e-14,1.11022302463e-16,0,0,0,75,375,YES
7,7,10000,300,200,120,150,2,14,200,200,250,0,50,50,True,50,50,1,True,0.92003634228,1,0.0200363422798,18,3.61868490807,0.603114151345,1,1,2,0.613091359304,False,False,False,False,3282.001085,1524.2537,0,2.55795384874e-13,6.03961325396e-14,1.11022302463e-16,0,0,0,50,250,YES
7,7,10000,300,200,120,150,3,18,120,120,150,0,30,30,True,30,30,1,True,0.92039746241,1,0.0203974624104,18,3.60055557109,0.600092595182,1,1,2,0.610540136422,False,False,False,False,3262.001085,1524.2537,0,2.55795384874e-13,6.03961325396e-14,1.11022302463e-16,0,0,0,30,150,YES
7,7,10000,300,200,120,150,4,31,150,150,187.5,0,37.5,37.5,True,37.5,37.5,1,True,0.922097999101,1,0.0220979991009,18,3.60735175534,0.601225292557,1,1,2,0.611496845002,False,False,False,False,3269.501085,1524.2537,0,2.55795384874e-13,6.03961325396e-14,1.11022302463e-16,0,0,0,37.5,187.5,YES
8,8,10000,300,0,0,150,1,24,300,300,375,0,75,75,True,75,75,1,True,0.936243912432,1,0.0362439124317,33,3.55039079163,0.591731798605,1,1,2,0.610158770696,False,False,False,False,3155.000815,1628.2643,0,1.42108547152e-13,2.09610107049e-13,1.11022302463e-16,0,0,0,75,375,YES
8,8,10000,300,0,0,150,2,14,0,200,250,200,50,250,True,250,250,1,True,0.92506398721,1,0.0250639872101,18,3.70677083977,0.617795139961,1,1,2,0.632481970917,False,False,False,False,3330.000815,1628.2643,0,8.52651282912e-14,2.09610107049e-13,1.11022302463e-16,0,0,0,250,250,YES
8,8,10000,300,0,0,150,3,18,0,120,150,120,30,150,True,150,150,1,True,0.926858386655,1,0.0268583866552,18,3.61720194288,0.60286699048,1,1,2,0.619725856505,False,False,False,False,3230.000815,1628.2643,0,1.42108547152e-13,2.09610107049e-13,1.11022302463e-16,0,0,0,150,150,YES
8,8,10000,300,0,0,150,4,31,150,150,187.5,0,37.5,37.5,True,37.5,37.5,1,True,0.935040296279,1,0.0350402962792,33,3.51710903473,0.586184839122,1,1,2,0.605375227791,False,False,False,False,3117.500815,1628.2643,0,1.42108547152e-13,2.09610107049e-13,1.11022302463e-16,0,0,0,37.5,187.5,YES
9,9,6231,0,0,0,0,1,24,0,300,375,300,75,375,True,375,375,1,True,0.932227594196,1,0.0322275941957,18,3.81363547345,0.635605912242,1,1,2,0.660958445198,False,False,False,False,3339.025855,1842.4771,11.9752,2.98427949019e-13,1.27897692437e-13,1.11022302463e-16,0,0,0,375,375,YES
9,9,6231,0,0,0,0,2,14,0,200,250,200,50,250,True,250,250,1,True,0.92074101247,1,0.0207410124699,18,3.70468407029,0.617447345048,1,1,2,0.645013302183,False,False,False,False,3214.025855,1842.4771,11.9752,9.94759830064e-14,1.27897692437e-13,1.11022302463e-16,0,0,0,250,250,YES
9,9,6231,0,0,0,0,3,18,0,120,150,120,30,150,True,150,150,1,True,0.922543820382,1,0.0225438203816,18,3.61827015155,0.603045025259,1,1,2,0.632257187771,False,False,False,False,3114.025855,1842.4771,11.9752,9.94759830064e-14,1.27897692437e-13,1.11022302463e-16,0,0,0,150,150,YES
9,9,6231,0,0,0,0,4,31,0,150,187.5,150,37.5,187.5,True,187.5,187.5,1,True,0.928703574058,1,0.0287035740578,33,3.65059407203,0.608432345339,1,1,2,0.637040730675,False,False,False,False,3151.525855,1842.4771,11.9752,1.27897692437e-13,1.27897692437e-13,1.11022302463e-16,0,0,0,187.5,187.5,YES
10,9,1820,0,0,0,150,1,24,0,300,375,300,75,375,True,375,375,1,True,0.928736727977,1,0.0287367279772,33,3.94563344482,0.657605574137,1,1,2,0.680092616816,False,False,False,False,3489.025855,1842.4771,11.9752,2.98427949019e-13,1.27897692437e-13,1.11022302463e-16,0,0,0,375,375,YES
10,9,1820,0,0,0,150,2,14,0,200,250,200,50,250,True,250,250,1,True,0.918551719079,1,0.0185517190792,18,3.83554322321,0.639257203869,1,1,2,0.664147473801,False,False,False,False,3364.025855,1842.4771,11.9752,1.98951966013e-13,1.27897692437e-13,1.11022302463e-16,0,0,0,250,250,YES
10,9,1820,0,0,0,150,3,18,0,120,150,120,30,150,True,150,150,1,True,0.92035881541,1,0.0203588154103,18,3.74814442706,0.624690737844,1,1,2,0.651391359389,False,False,False,False,3264.025855,1842.4771,11.9752,1.98951966013e-13,1.27897692437e-13,1.11022302463e-16,0,0,0,150,150,YES
10,9,1820,0,0,0,150,4,31,150,150,187.5,0,37.5,37.5,True,37.5,37.5,1,True,0.928703574058,1,0.0287035740578,33,3.65059407203,0.608432345339,1,1,2,0.637040730675,False,False,False,False,3151.525855,1842.4771,11.9752,1.27897692437e-13,1.27897692437e-13,1.11022302463e-16,0,0,0,37.5,187.5,YES
11,9,86,156.244618703,0,0,150,1,24,156.244618703,300,375,143.755381297,75,218.755381297,True,218.755381297,218.755381297,1,True,0.928736727977,1,0.0287367279772,33,3.94563344482,0.657605574137,1,1,2,0.680092616816,False,False,False,False,3489.025855,1842.4771,11.9752,2.98427949019e-13,1.27897692437e-13,1.11022302463e-16,0,0,0,218.755381297,375,YES
11,9,86,156.244618703,0,0,150,2,14,0,200,250,200,50,250,True,250,250,1,True,0.917930442108,1,0.0179304421078,18,3.97328907482,0.662214845803,1,1,2,0.684078216125,False,False,False,False,3520.2704737,1842.4771,11.9752,1.98951966013e-13,1.27897692437e-13,1.11022302463e-16,0,0,0,250,250,YES
11,9,86,156.244618703,0,0,150,3,18,0,120,150,120,30,150,True,150,150,1,True,0.91973875912,1,0.0197387591204,18,3.88496743581,0.647494572635,1,1,2,0.671322101713,False,False,False,False,3420.2704737,1842.4771,11.9752,1.98951966013e-13,1.27897692437e-13,1.11022302463e-16,0,0,0,150,150,YES
11,9,86,156.244618703,0,0,150,4,31,150,150,187.5,0,37.5,37.5,True,37.5,37.5,1,True,0.928089092918,1,0.0280890929176,33,3.78629995784,0.631049992973,1,1,2,0.656971473,False,False,False,False,3307.7704737,1842.4771,11.9752,1.27897692437e-13,1.27897692437e-13,1.11022302463e-16,0,0,0,37.5,187.5,YES
12,9,196,161.268431356,0,0,150,1,24,161.268431356,300,375,138.731568644,75,213.731568644,True,213.731568644,213.731568644,1,True,0.928736727977,1,0.0287367279772,33,3.94563344482,0.657605574137,1,1,2,0.680092616816,False,False,False,False,3489.025855,1842.4771,11.9752,2.98427949019e-13,1.27897692437e-13,1.11022302463e-16,0,0,0,213.731568644,375,YES
12,9,196,161.268431356,0,0,150,2,14,0,200,250,200,50,250,True,250,250,1,True,0.917910458896,1,0.0179104588958,18,3.97774077454,0.662956795757,1,1,2,0.684719059415,False,False,False,False,3525.29428636,1842.4771,11.9752,1.98951966013e-13,1.27897692437e-13,1.11022302463e-16,0,0,0,250,250,YES
12,9,196,161.268431356,0,0,150,3,18,0,120,150,120,30,150,True,150,150,1,True,0.919718815199,1,0.0197188151986,18,3.8893910593,0.648231843217,1,1,2,0.671962945003,False,False,False,False,3425.29428636,1842.4771,11.9752,1.98951966013e-13,1.27897692437e-13,1.11022302463e-16,0,0,0,150,150,YES
12,9,196,161.268431356,0,0,150,4,31,150,150,187.5,0,37.5,37.5,True,37.5,37.5,1,True,0.928069328442,1,0.0280693284419,33,3.79068962693,0.631781604489,1,1,2,0.65761231629,False,False,False,False,3312.79428636,1842.4771,11.9752,1.27897692437e-13,1.27897692437e-13,1.11022302463e-16,0,0,0,37.5,187.5,YES
13,9,589,300,200,120,150,1,24,300,300,375,0,75,75,True,75,75,1,True,0.910628197048,1,0.0106281970479,18,4.23124093241,0.705206822068,1,1,2,0.720912182934,False,False,False,False,3809.025855,1842.4771,11.9752,1.98951966013e-13,1.27897692437e-13,1.11022302463e-16,0,0,0,75,375,YES
13,9,589,300,200,120,150,2,14,200,200,250,0,50,50,True,50,50,1,True,0.908287871873,1,0.00828787187301,18,4.20874964037,0.701458273395,1,1,2,0.717723154331,False,False,False,False,3784.025855,1842.4771,11.9752,1.98951966013e-13,1.27897692437e-13,1.11022302463e-16,0,0,0,50,250,YES
13,9,589,300,200,120,150,3,18,120,120,150,0,30,30,True,30,30,1,True,0.908653661131,1,0.00865366113147,18,4.19077707605,0.698462846008,1,1,2,0.715171931449,False,False,False,False,3764.025855,1842.4771,11.9752,1.98951966013e-13,1.27897692437e-13,1.11022302463e-16,0,0,0,30,150,YES
13,9,589,300,200,120,150,4,31,150,150,187.5,0,37.5,37.5,True,37.5,37.5,1,True,0.910376134915,1,0.0103761349146,18,4.19751463833,0.699585773054,1,1,2,0.716128640029,False,False,False,False,3771.525855,1842.4771,11.9752,1.98951966013e-13,1.27897692437e-13,1.11022302463e-16,0,0,0,37.5,187.5,YES
14,10,8333,0,0,0,0,1,24,0,300,375,300,75,375,True,375,375,1,True,0.933040525626,1,0.0330405256258,18,3.79385328151,0.632308880252,1,1,2,0.658074032607,False,False,False,False,3316.413855,1842.4771,34.5872,1.56319401867e-13,1.27897692437e-13,1.11022302463e-16,0,0,0,375,375,YES
14,10,8333,0,0,0,0,2,14,0,200,250,200,50,250,True,250,250,1,True,0.921564076516,1,0.0215640765158,18,3.68508402318,0.61418067053,1,1,2,0.642128889592,False,False,False,False,3191.413855,1842.4771,34.5872,1.27897692437e-13,1.27897692437e-13,1.11022302463e-16,0,0,0,250,250,YES
14,10,8333,0,0,0,0,3,18,0,120,150,120,30,150,True,150,150,1,True,0.923365277452,1,0.0233652774523,18,3.59882779345,0.599804632242,1,1,2,0.62937277518,False,False,False,False,3091.413855,1842.4771,34.5872,9.94759830064e-14,1.27897692437e-13,1.11022302463e-16,0,0,0,150,150,YES
14,10,8333,0,0,0,0,4,31,0,150,187.5,150,37.5,187.5,True,187.5,187.5,1,True,0.929116358601,1,0.0291163586013,33,3.63109126518,0.605181877529,1,1,2,0.634156318085,False,False,False,False,3128.913855,1842.4771,34.5872,1.56319401867e-13,1.27897692437e-13,1.11022302463e-16,0,0,0,187.5,187.5,YES
15,10,589,300,200,120,150,1,24,300,300,375,0,75,75,True,75,75,1,True,0.911460393182,1,0.0114603931818,18,4.21089678636,0.70181613106,1,1,2,0.718027770343,False,False,False,False,3786.413855,1842.4771,34.5872,2.98427949019e-13,1.27897692437e-13,1.11022302463e-16,0,0,0,75,375,YES
15,10,589,300,200,120,150,2,14,200,200,250,0,50,50,True,50,50,1,True,0.909122210306,1,0.00912221030615,18,4.18843121617,0.698071869362,1,1,2,0.71483874174,False,False,False,False,3761.413855,1842.4771,34.5872,2.98427949019e-13,1.27897692437e-13,1.11022302463e-16,0,0,0,50,250,YES
15,10,589,300,200,120,150,3,18,120,120,150,0,30,30,True,30,30,1,True,0.909487664,1,0.00948766399988,18,4.17047952859,0.695079921432,1,1,2,0.712287518858,False,False,False,False,3741.413855,1842.4771,34.5872,2.98427949019e-13,1.27897692437e-13,1.11022302463e-16,0,0,0,30,150,YES
15,10,589,300,200,120,150,4,31,150,150,187.5,0,37.5,37.5,True,37.5,37.5,1,True,0.911208561254,1,0.0112085612539,18,4.1772092306,0.696201538434,1,1,2,0.713244227439,False,False,False,False,3748.913855,1842.4771,34.5872,2.98427949019e-13,1.27897692437e-13,1.11022302463e-16,0,0,0,37.5,187.5,YES
16,11,8333,0,0,0,0,1,24,0,300,375,300,75,375,True,375,375,1,True,0.930878502933,1,0.030878502933,18,3.94221294573,0.657035490954,1,1,2,0.685218625037,False,False,False,False,3432.01027,1939.6774,75.9904,3.41060513165e-13,1.06581410364e-13,1.11022302463e-16,0,0,0,375,375,YES
16,11,8333,0,0,0,0,2,14,0,200,250,200,50,250,True,250,250,1,True,0.919375065948,1,0.019375065948,18,3.83388384565,0.638980640942,1,1,2,0.669273482022,False,False,False,False,3307.01027,1939.6774,75.9904,2.13162820728e-13,1.06581410364e-13,1.11022302463e-16,0,0,0,250,250,YES
16,11,8333,0,0,0,0,3,18,0,120,150,120,30,150,True,150,150,1,True,0.921180547106,1,0.0211805471063,18,3.7479678878,0.624661314633,1,1,2,0.65651736761,False,False,False,False,3207.01027,1939.6774,75.9904,1.13686837722e-13,1.06581410364e-13,1.11022302463e-16,0,0,0,150,150,YES
16,11,8333,0,0,0,0,4,31,0,150,187.5,150,37.5,187.5,True,187.5,187.5,1,True,0.926349920801,1,0.0263499208009,33,3.78010519803,0.630017533006,1,1,2,0.661300910515,False,False,False,False,3244.51027,1939.6774,75.9904,3.41060513165e-13,1.06581410364e-13,1.11022302463e-16,0,0,0,187.5,187.5,YES
17,11,589,300,200,120,150,1,24,300,300,375,0,75,75,True,75,75,1,True,0.909247058341,1,0.00924705834092,18,4.35752596817,0.726254328028,1,1,2,0.745172362773,False,False,False,False,3902.01027,1939.6774,75.9904,2.13162820728e-13,1.06581410364e-13,1.11022302463e-16,0,0,0,75,375,YES
17,11,589,300,200,120,150,2,14,200,200,250,0,50,50,True,50,50,1,True,0.906903169051,1,0.00690316905085,18,4.33515363623,0.722525606039,1,1,2,0.74198333417,False,False,False,False,3877.01027,1939.6774,75.9904,2.13162820728e-13,1.06581410364e-13,1.11022302463e-16,0,0,0,50,250,YES
17,11,589,300,200,120,150,3,18,120,120,150,0,30,30,True,30,30,1,True,0.907269516588,1,0.00726951658837,18,4.31727653029,0.719546088381,1,1,2,0.739432111288,False,False,False,False,3857.01027,1939.6774,75.9904,2.13162820728e-13,1.06581410364e-13,1.11022302463e-16,0,0,0,30,150,YES
17,11,589,300,200,120,150,4,31,150,150,187.5,0,37.5,37.5,True,37.5,37.5,1,True,0.908994613221,1,0.00899461322104,18,4.32397826579,0.720663044298,1,1,2,0.740388819869,False,False,False,False,3864.51027,1939.6774,75.9904,2.13162820728e-13,1.06581410364e-13,1.11022302463e-16,0,0,0,37.5,187.5,YES
18,12,8333,0,0,0,0,1,24,0,300,375,300,75,375,True,375,375,1,True,0.930559343795,1,0.0305593437952,18,4.01867888965,0.669779814942,1,1,2,0.700244539487,False,False,False,False,3480.46369,2009.0178,139.5368,1.98951966013e-13,1.56319401867e-13,1.11022302463e-16,0,0,0,375,375,YES
18,12,8333,0,0,0,0,2,14,0,200,250,200,50,250,True,250,250,1,True,0.919051912021,1,0.0190519120206,18,3.91091921364,0.65181986894,1,1,2,0.684299396472,False,False,False,False,3355.46369,2009.0178,139.5368,2.41584530158e-13,1.56319401867e-13,1.11022302463e-16,0,0,0,250,250,YES
18,12,8333,0,0,0,0,3,18,0,120,150,120,30,150,True,150,150,1,True,0.920858026771,1,0.0208580267712,18,3.82546681565,0.637577802608,1,1,2,0.67154328206,False,False,False,False,3255.46369,2009.0178,139.5368,2.41584530158e-13,1.56319401867e-13,1.11022302463e-16,0,0,0,150,150,YES
18,12,8333,0,0,0,0,4,31,0,150,187.5,150,37.5,187.5,True,187.5,187.5,1,True,0.924995049914,1,0.0249950499137,33,3.85742950478,0.642904917464,1,1,2,0.676326824964,False,False,False,False,3292.96369,2009.0178,139.5368,2.41584530158e-13,1.56319401867e-13,1.11022302463e-16,0,0,0,187.5,187.5,YES
19,12,589,300,200,120,150,1,24,300,300,375,0,75,75,True,75,75,1,True,0.908920303549,1,0.00892030354892,18,4.43196523979,0.738660873299,1,1,2,0.760198277223,False,False,False,False,3950.46369,2009.0178,139.5368,2.41584530158e-13,1.56319401867e-13,1.11022302463e-16,0,0,0,75,375,YES
19,12,589,300,200,120,150,2,14,200,200,250,0,50,50,True,50,50,1,True,0.906575569457,1,0.00657556945701,18,4.40969587412,0.734949312353,1,1,2,0.75700924862,False,False,False,False,3925.46369,2009.0178,139.5368,2.41584530158e-13,1.56319401867e-13,1.11022302463e-16,0,0,0,50,250,YES
19,12,589,300,200,120,150,3,18,120,120,150,0,30,30,True,30,30,1,True,0.906942049324,1,0.00694204932417,18,4.391901542,0.731983590333,1,1,2,0.754458025737,False,False,False,False,3905.46369,2009.0178,139.5368,2.41584530158e-13,1.56319401867e-13,1.11022302463e-16,0,0,0,30,150,YES
19,12,589,300,200,120,150,4,31,150,150,187.5,0,37.5,37.5,True,37.5,37.5,1,True,0.90866776765,1,0.00866776765037,18,4.39857219561,0.733095365935,1,1,2,0.755414734318,False,False,False,False,3912.96369,2009.0178,139.5368,2.41584530158e-13,1.56319401867e-13,1.11022302463e-16,0,0,0,37.5,187.5,YES
20,13,8333,0,0,0,0,1,24,0,300,375,300,75,375,True,375,375,1,True,0.930470254923,1,0.0304702549232,33,4.05316995559,0.675528325931,1,1,2,0.70718699225,False,False,False,False,3500.218,2043.688,175.7824,2.27373675443e-13,1.7763568394e-13,1.11022302463e-16,0,0,0,375,375,YES
20,13,8333,0,0,0,0,2,14,0,200,250,200,50,250,True,250,250,1,True,0.919053471574,1,0.0190534715741,18,3.94572644628,0.65762107438,1,1,2,0.691241849235,False,False,False,False,3375.218,2043.688,175.7824,2.27373675443e-13,1.7763568394e-13,1.11022302463e-16,0,0,0,250,250,YES
20,13,8333,0,0,0,0,3,18,0,120,150,120,30,150,True,150,150,1,True,0.920859583266,1,0.0208595832659,18,3.86053281153,0.643422135254,1,1,2,0.678485734823,False,False,False,False,3275.218,2043.688,175.7824,2.27373675443e-13,1.7763568394e-13,1.11022302463e-16,0,0,0,150,150,YES
20,13,8333,0,0,0,0,4,31,0,150,187.5,150,37.5,187.5,True,187.5,187.5,1,True,0.924398915944,1,0.0243989159441,33,3.89239787135,0.648732978558,1,1,2,0.683269277728,False,False,False,False,3312.718,2043.688,175.7824,2.27373675443e-13,1.7763568394e-13,1.11022302463e-16,0,0,0,187.5,187.5,YES
21,13,589,300,200,120,150,1,24,300,300,375,0,75,75,True,75,75,1,True,0.908921880487,1,0.00892188048651,18,4.46534339204,0.744223898674,1,1,2,0.767140729986,False,False,False,False,3970.218,2043.688,175.7824,2.27373675443e-13,1.7763568394e-13,1.11022302463e-16,0,0,0,75,375,YES
21,13,589,300,200,120,150,2,14,200,200,250,0,50,50,True,50,50,1,True,0.906577150473,1,0.00657715047313,18,4.44313017015,0.740521695024,1,1,2,0.763951701383,False,False,False,False,3945.218,2043.688,175.7824,2.27373675443e-13,1.7763568394e-13,1.11022302463e-16,0,0,0,50,250,YES
21,13,589,300,200,120,150,3,18,120,120,150,0,30,30,True,30,30,1,True,0.906943629701,1,0.00694362970143,18,4.42538099929,0.737563499881,1,1,2,0.761400478501,False,False,False,False,3925.218,2043.688,175.7824,2.27373675443e-13,1.7763568394e-13,1.11022302463e-16,0,0,0,30,150,YES
