method,category,path_count,metric,value_mean,value_median,value_std,denominator,unit
chi2_eta003,both_limited,7707,operating_cost,74318.98742343398,66998.4368067935,15593.983789012,该 paired limitation category 内 paths,见 metric
chi2_eta003,both_limited,7707,grid_import_kwh,118063.96343865526,114847.026720744,22814.987835766402,该 paired limitation category 内 paths,见 metric
chi2_eta003,neither_limited,2073,site3_average_p_el_kw,118.68863804490216,120.0,4.161821970691432,该 paired limitation category 内 paths,见 metric
chi2_eta003,neither_limited,2073,site3_production_kg,27.34681536034068,18.72,9.214707481180312,该 paired limitation category 内 paths,见 metric
chi2_eta003,neither_limited,2073,site3_beginning_inventory_kg,25.26213344230928,25.2621334423093,1.7767854452309298e-14,该 paired limitation category 内 paths,见 metric
chi2_eta003,neither_limited,2073,site3_ending_inventory_kg,44.52509515830284,42.3963366656137,9.709598702224602,该 paired limitation category 内 paths,见 metric
chi2_eta003,neither_limited,2073,site3_net_htt_kg,-3.1239768405246977,0.0,10.434205579818434,该 paired limitation category 内 paths,见 metric
chi2_eta003,neither_limited,2073,other_site_production_kg,149.68044610486507,101.4,51.19300606036016,该 paired limitation category 内 paths,见 metric
chi2_eta003,neither_limited,2073,total_htt_kg,5.100027641983739,0.0,17.21714729641208,该 paired limitation category 内 paths,见 metric
chi2_eta003,neither_limited,2073,total_terminal_inventory_kg,304.69566736499297,271.358280672679,35.82087143570284,该 paired limitation category 内 paths,见 metric
chi2_eta003,neither_limited,2073,terminal_gap_kg,0.5769935837167164,0.0,8.290613207830763,该 paired limitation category 内 paths,见 metric
chi2_eta003,neither_limited,2073,ordinary_shortage_kg,0.48067567672628553,0.0,4.790277864939999,该 paired limitation category 内 paths,见 metric
chi2_eta003,neither_limited,2073,operating_cost,21696.623923625924,9988.49075738363,12679.144915986762,该 paired limitation category 内 paths,见 metric
chi2_eta003,neither_limited,2073,grid_import_kwh,42070.34051746088,27332.0079,15972.17179489717,该 paired limitation category 内 paths,见 metric
chi2_eta003,only_dro_limited,217,site3_average_p_el_kw,91.62746086676758,92.1105401461251,5.770922178109154,该 paired limitation category 内 paths,见 metric
chi2_eta003,only_dro_limited,217,site3_production_kg,51.62976952817073,55.136977051182,8.035294752032867,该 paired limitation category 内 paths,见 metric
chi2_eta003,only_dro_limited,217,site3_beginning_inventory_kg,25.26213344230928,25.2621334423093,1.780464028326862e-14,该 paired limitation category 内 paths,见 metric
chi2_eta003,only_dro_limited,217,site3_ending_inventory_kg,20.09318345345079,16.3652905806895,5.800089768287102,该 paired limitation category 内 paths,见 metric
chi2_eta003,only_dro_limited,217,site3_net_htt_kg,-37.45428253485676,-36.69572179648567,4.014349450113227,该 paired limitation category 内 paths,见 metric
chi2_eta003,only_dro_limited,217,other_site_production_kg,299.31763689594595,318.0806198473685,43.31065093979864,该 paired limitation category 内 paths,见 metric
chi2_eta003,only_dro_limited,217,total_htt_kg,83.27653736114033,82.7974918634405,10.937217205227585,该 paired limitation category 内 paths,见 metric
chi2_eta003,only_dro_limited,217,total_terminal_inventory_kg,391.70068716552197,415.880005437784,44.724070060807584,该 paired limitation category 内 paths,见 metric
