method,stage,site,records,htt_in_mean_kg,htt_out_mean_kg,net_htt_mean_kg,htt_in_active_frequency,htt_out_active_frequency,net_orientation,schema_boundary
chi2_eta003,6,2,427,0.8194359527841067,2.0117849041842204,-1.1923489514001135,0.2997658079625293,0.5971896955503513,正=净流入，负=净流出,Stage-84B stage/site schema 无 source-destination arcs；仅可统计 site in/out/net
chi2_eta003,6,3,427,1.6790322065084708,1.17104975215905,0.507982454349421,0.585480093676815,0.2529274004683841,正=净流入，负=净流出,Stage-84B stage/site schema 无 source-destination arcs；仅可统计 site in/out/net
chi2_eta003,6,4,427,1.640852372496088,2.092491505751092,-0.45163913325500415,0.30679156908665106,0.40046838407494145,正=净流入，负=净流出,Stage-84B stage/site schema 无 source-destination arcs；仅可统计 site in/out/net
saa,1,1,10000,0.0,0.0,0.0,0.0,0.0,正=净流入，负=净流出,Stage-84B stage/site schema 无 source-destination arcs；仅可统计 site in/out/net
saa,1,2,10000,0.0,0.0,0.0,0.0,0.0,正=净流入，负=净流出,Stage-84B stage/site schema 无 source-destination arcs；仅可统计 site in/out/net
saa,1,3,10000,0.0,0.0,0.0,0.0,0.0,正=净流入，负=净流出,Stage-84B stage/site schema 无 source-destination arcs；仅可统计 site in/out/net
saa,1,4,10000,0.0,0.0,0.0,0.0,0.0,正=净流入，负=净流出,Stage-84B stage/site schema 无 source-destination arcs；仅可统计 site in/out/net
saa,2,1,8914,7.388147022833643,0.0,7.388147022833643,0.15503702041732106,0.0,正=净流入，负=净流出,Stage-84B stage/site schema 无 source-destination arcs；仅可统计 site in/out/net
saa,2,2,8914,0.0,3.212714694674201,-3.212714694674201,0.0,0.14538927529728518,正=净流入，负=净流出,Stage-84B stage/site schema 无 source-destination arcs；仅可统计 site in/out/net
saa,2,3,8914,0.0,5.7393758810008615,-5.7393758810008615,0.0,0.15503702041732106,正=净流入，负=净流出,Stage-84B stage/site schema 无 source-destination arcs；仅可统计 site in/out/net
saa,2,4,8914,1.5689713872952404,0.005027834453819681,1.5639435528414207,0.144267444469374,0.001121830827911151,正=净流入，负=净流出,Stage-84B stage/site schema 无 source-destination arcs；仅可统计 site in/out/net
saa,3,1,7936,21.675272704756633,0.1884398141449384,21.486832890611698,0.6010584677419355,0.01839717741935484,正=净流入，负=净流出,Stage-84B stage/site schema 无 source-destination arcs；仅可统计 site in/out/net
saa,3,2,7936,0.5057382068409845,10.001231549484974,-9.49549334264399,0.04536290322580645,0.59375,正=净流入，负=净流出,Stage-84B stage/site schema 无 source-destination arcs；仅可统计 site in/out/net
saa,3,3,7936,0.26528732769531793,16.7700915451948,-16.504804217499483,0.052545362903225805,0.5882056451612904,正=净流入，负=净流出,Stage-84B stage/site schema 无 source-destination arcs；仅可统计 site in/out/net
saa,3,4,7936,4.600750922783324,0.08728625325154643,4.513464669531777,0.5046622983870968,0.03452620967741935,正=净流入，负=净流出,Stage-84B stage/site schema 无 source-destination arcs；仅可统计 site in/out/net
saa,4,1,5788,13.545768016724498,1.9361733606344378,11.60959465609006,0.5736005528680027,0.15186592950932964,正=净流入，负=净流出,Stage-84B stage/site schema 无 source-destination arcs；仅可统计 site in/out/net
saa,4,2,5788,1.6799169629201216,9.384999268424776,-7.705082305504654,0.12733241188666206,0.763303386316517,正=净流入，负=净流出,Stage-84B stage/site schema 无 source-destination arcs；仅可统计 site in/out/net
saa,4,3,5788,0.7236281484449091,12.40516525792207,-11.681537109477159,0.08051140290255701,0.7202833448514168,正=净流入，负=净流出,Stage-84B stage/site schema 无 source-destination arcs；仅可统计 site in/out/net
saa,4,4,5788,8.648611183085373,0.8715864241936202,7.777024758891753,0.624913614374568,0.10608154803040774,正=净流入，负=净流出,Stage-84B stage/site schema 无 source-destination arcs；仅可统计 site in/out/net
saa,5,1,2476,2.5389029835837302,2.1794088366751714,0.3594941469085589,0.5577544426494345,0.21567043618739903,正=净流入，负=净流出,Stage-84B stage/site schema 无 source-destination arcs；仅可统计 site in/out/net
saa,5,2,2476,1.6967502700323571,2.3695239072010894,-0.6727736371687322,0.40105008077544424,0.4834410339256866,正=净流入，负=净流出,Stage-84B stage/site schema 无 source-destination arcs；仅可统计 site in/out/net
saa,5,3,2476,0.6852038254258799,2.5201957515587647,-1.8349919261328849,0.2560581583198708,0.5852180936995154,正=净流入，负=净流出,Stage-84B stage/site schema 无 source-destination arcs；仅可统计 site in/out/net
saa,5,4,2476,3.6496506184441992,1.5013792020511418,2.1482714163930576,0.44264943457189015,0.3033117932148627,正=净流入，负=净流出,Stage-84B stage/site schema 无 source-destination arcs；仅可统计 site in/out/net
saa,6,1,427,4.7751163030120365,1.4240378586434466,3.35107844436859,0.6065573770491803,0.14988290398126464,正=净流入，负=净流出,Stage-84B stage/site schema 无 source-destination arcs；仅可统计 site in/out/net
saa,6,2,427,1.7276611421037027,3.1829330604523545,-1.4552719183486518,0.48009367681498827,0.4168618266978923,正=净流入，负=净流出,Stage-84B stage/site schema 无 source-destination arcs；仅可统计 site in/out/net
saa,6,3,427,1.732942612949543,1.3857840949649172,0.347158517984626,0.4332552693208431,0.33489461358313816,正=净流入，负=净流出,Stage-84B stage/site schema 无 source-destination arcs；仅可统计 site in/out/net
saa,6,4,427,2.086299833670372,4.329264877674935,-2.242965044004563,0.2997658079625293,0.5011709601873536,正=净流入，负=净流出,Stage-84B stage/site schema 无 source-destination arcs；仅可统计 site in/out/net
