method,stage,markov_state,path_count,beginning_inventory_mean_kg,beginning_inventory_q10_kg,beginning_inventory_q90_kg,inventory_range_kg,corr_begin_inventory_production,corr_begin_inventory_total_htt,corr_begin_inventory_total_p_el,corr_begin_inventory_end_inventory,corr_begin_inventory_shortage,low_q25_production_mean_kg,high_q75_production_mean_kg,low_q25_htt_mean_kg,high_q75_htt_mean_kg,low_inventory_path_id,high_inventory_path_id,low_inventory_state_sequence,high_inventory_state_sequence,definition_cn
chi2_eta003,2,91,300,271.35828067267755,271.3582806726787,271.3582806726787,0.0,-0.9999999999999998,,,,,120.11999999999993,120.11999999999993,0.0,0.0,18,18,65-91-109-110-87-96-112-104,65-91-109-110-87-96-112-104,同一 method、stage、current Markov state 下比较不同进入库存历史
chi2_eta003,2,92,96,271.3582806726783,271.3582806726787,271.3582806726787,0.0,1.0,-1.0,,1.0,,120.12000000000016,120.12000000000016,61.50742816136397,61.50742816136397,383,383,65-92-71-88-64-72-72-16,65-92-71-88-64-72-72-16,同一 method、stage、current Markov state 下比较不同进入库存历史
chi2_eta003,2,98,175,271.3582806726778,271.3582806726787,271.3582806726787,0.0,1.0,,-1.0,-1.0,,111.4106658593021,111.4106658593021,0.0,0.0,35,35,65-98-83-100-13-31-40-56,65-98-83-100-13-31-40-56,同一 method、stage、current Markov state 下比较不同进入库存历史
chi2_eta003,2,99,74,271.3582806726786,271.3582806726787,271.3582806726787,0.0,-1.0,,,-1.0,,120.11999999999996,120.11999999999996,0.0,0.0,53,53,65-99-108-110-111-112-112-96,65-99-108-110-111-112-112-96,同一 method、stage、current Markov state 下比较不同进入库存历史
chi2_eta003,2,100,22,271.35828067267875,271.3582806726787,271.3582806726787,0.0,-0.9999999999999998,0.9999999999999998,,0.9999999999999998,,120.11999999999993,120.11999999999993,89.04633185927285,89.04633185927285,715,715,65-100-109-62-79-16-8-24,65-100-109-62-79-16-8-24,同一 method、stage、current Markov state 下比较不同进入库存历史
chi2_eta003,2,106,120,271.35828067267806,271.3582806726787,271.3582806726787,0.0,-1.0,,1.0,1.0,,111.39210053143742,111.39210053143742,0.0,0.0,5,5,65-106-107-94-31-16-32-40,65-106-107-94-31-16-32-40,同一 method、stage、current Markov state 下比较不同进入库存历史
chi2_eta003,2,107,81,271.35828067267846,271.3582806726787,271.3582806726787,0.0,,,,,,120.12000000000003,120.12000000000003,0.0,0.0,108,108,65-107-109-86-71-96-80-96,65-107-109-86-71-96-80-96,同一 method、stage、current Markov state 下比较不同进入库存历史
chi2_eta003,2,108,20,271.3582806726787,271.3582806726787,271.3582806726787,0.0,-1.0,,,1.0,,120.11999999999993,120.11999999999993,102.79798582348079,102.79798582348079,287,287,65-108-109-102-111-88-120-192,65-108-109-102-111-88-120-192,同一 method、stage、current Markov state 下比较不同进入库存历史
chi2_eta003,2,114,46,271.35828067267886,271.3582806726787,271.3582806726787,0.0,,,,,,120.1199999999999,120.1199999999999,49.85786772840083,49.85786772840083,12,12,65-114-132-69-94-23-32-40,65-114-132-69-94-23-32-40,同一 method、stage、current Markov state 下比较不同进入库存历史
chi2_eta003,2,115,35,271.3582806726788,271.3582806726787,271.3582806726787,0.0,,1.0,,-1.0,,120.11999999999992,120.11999999999992,66.62482482110903,66.62482482110903,394,394,65-115-84-102-87-104-56-56,65-115-84-102-87-104-56-56,同一 method、stage、current Markov state 下比较不同进入库存历史
chi2_eta003,2,116,11,271.35828067267863,271.3582806726787,271.3582806726787,0.0,1.0,-1.0,,-1.0,-1.0,120.11999999999998,120.11999999999998,78.88161437675531,78.88161437675531,1831,1831,65-116-133-174-199-240-232-256,65-116-133-174-199-240-232-256,同一 method、stage、current Markov state 下比较不同进入库存历史
chi2_eta003,2,122,82,271.35828067267846,271.3582806726787,271.3582806726787,0.0,-1.0,-1.0,,,-1.0,120.12000000000005,120.12000000000005,50.136306308032104,50.136306308032104,113,113,65-122-203-236-229-264-280-264,65-122-203-236-229-264-280-264,同一 method、stage、current Markov state 下比较不同进入库存历史
chi2_eta003,2,123,43,271.35828067267886,271.3582806726787,271.3582806726787,0.0,,,,,,120.1199999999999,120.1199999999999,66.77093635441803,66.77093635441803,800,800,65-123-148-189-207-216-280-264,65-123-148-189-207-216-280-264,同一 method、stage、current Markov state 下比较不同进入库存历史
chi2_eta003,2,124,14,271.35828067267863,271.3582806726787,271.3582806726787,0.0,1.0,1.0,,1.0,-1.0,120.11999999999996,120.11999999999996,75.19011685894988,75.19011685894988,481,481,65-124-197-238-279-200-224-216,65-124-197-238-279-200-224-216,同一 method、stage、current Markov state 下比较不同进入库存历史
chi2_eta003,2,130,102,271.35828067267823,271.3582806726787,271.3582806726787,0.0,-1.0,1.0,,-1.0,-1.0,120.12000000000019,120.12000000000019,50.80509231244769,50.80509231244769,129,129,65-130-115-188-213-255-272-192,65-130-115-188-213-255-272-192,同一 method、stage、current Markov state 下比较不同进入库存历史
chi2_eta003,2,131,44,271.35828067267886,271.3582806726787,271.3582806726787,0.0,,,,,,120.1199999999999,120.1199999999999,67.36981501483585,67.36981501483585,131,131,65-131-196-245-231-248-256-224,65-131-196-245-231-248-256-224,同一 method、stage、current Markov state 下比较不同进入库存历史
chi2_eta003,2,132,17,271.35828067267863,271.3582806726787,271.3582806726787,0.0,,,,,,120.11999999999995,120.11999999999995,78.4680452808478,78.4680452808478,742,742,65-132-119-136-96-112-112-112,65-132-119-136-96-112-112-112,同一 method、stage、current Markov state 下比较不同进入库存历史
chi2_eta003,2,138,94,271.3582806726783,271.3582806726787,271.3582806726787,0.0,-1.0,-1.0,,-1.0,,120.12000000000015,120.12000000000015,51.50196993559949,51.50196993559949,64,64,65-138-211-196-239-232-192-184,65-138-211-196-239-232-192-184,同一 method、stage、current Markov state 下比较不同进入库存历史
chi2_eta003,2,139,33,271.3582806726788,271.3582806726787,271.3582806726787,0.0,,,,,,120.11999999999992,120.11999999999992,68.42597792282751,68.42597792282751,239,239,65-139-100-87-16-8-16-32,65-139-100-87-16-8-16-32,同一 method、stage、current Markov state 下比较不同进入库存历史
chi2_eta003,2,140,23,271.35828067267875,271.3582806726787,271.3582806726787,0.0,-1.0,1.0,,-1.0,1.0,120.11999999999993,120.11999999999993,80.12106315861564,80.12106315861564,237,237,65-140-110-111-96-24-48-56,65-140-110-111-96-24-48-56,同一 method、stage、current Markov state 下比较不同进入库存历史
chi2_eta003,2,146,42,271.35828067267886,271.3582806726787,271.3582806726787,0.0,,,,,,120.11999999999992,120.11999999999992,52.97575123373529,52.97575123373529,218,218,65-146-211-132-159-144-208-224,65-146-211-132-159-144-208-224,同一 method、stage、current Markov state 下比较不同进入库存历史
chi2_eta003,2,147,31,271.3582806726788,271.3582806726787,271.3582806726787,0.0,-1.0,-1.0,,-1.0,,120.11999999999992,120.11999999999992,54.929631271630576,54.929631271630576,185,185,65-147-221-198-191-160-144-128,65-147-221-198-191-160-144-128,同一 method、stage、current Markov state 下比较不同进入库存历史
chi2_eta003,2,155,12,271.35828067267863,271.3582806726787,271.3582806726787,0.0,1.0,1.0,,,-1.0,120.11999999999996,120.11999999999996,55.223878239991485,55.223878239991485,317,317,65-155-140-134-151-112-104-72,65-155-140-134-151-112-104-72,同一 method、stage、current Markov state 下比较不同进入库存历史
chi2_eta003,3,59,236,340.28940026676014,335.44510150969677,341.6851015096968,48.144276240003535,-0.9755788087514787,,-0.9755788087514795,0.9507503323094822,,66.7435331484124,61.361465687545916,0.0,0.0,340,1166,65-106-59-76-93-110-111-112,65-122-59-84-6-23-48-56,同一 method、stage、current Markov state 下比较不同进入库存历史
chi2_eta003,3,60,283,341.46152189303706,335.44510150969677,341.6851015096968,58.521078631544526,-0.9769708805863524,-0.7887236348604438,-0.9769708805863505,0.812059395583848,,85.01228340395369,84.08973111836767,46.4705962580634,46.30872994935758,4225,8124,65-106-60-69-94-63-96-104,65-131-60-85-104-88-112-56,同一 method、stage、current Markov state 下比较不同进入库存历史
chi2_eta003,3,61,141,341.59569143283943,341.6851015096968,341.6851015096977,56.03317916298158,-0.6188174252996209,-0.1309344152367648,-0.6188174252996144,0.729651458963488,,93.53565797336215,97.46163897348048,41.864664442996286,2.077482389239407,903,2275,65-82-61-79-104-112-56-56,65-132-61-79-96-64-96-112,同一 method、stage、current Markov state 下比较不同进入库存历史
chi2_eta003,3,62,36,341.6851015096969,341.6851015096968,341.6851015096977,9.094947017729282e-13,,-0.8724303693038264,-0.15557748908141475,-0.11703640398333877,,114.66793435276593,114.66793435276591,57.77479714535062,9.02176311395545,93,1762,65-67-62-79-96-136-168-216,65-76-62-95-80-8-24-56,同一 method、stage、current Markov state 下比较不同进入库存历史
chi2_eta003,3,67,549,339.99887495388936,335.44510150969677,341.6851015096968,48.144276240003535,-0.9740349350804879,0.26169689671777313,-0.9740349350804869,0.9759726747891615,,64.04948885192208,61.23418177559175,0.0,0.003620627235975879,1528,990,65-106-67-4-13-30-15-16,65-122-67-77-120-136-128-152,同一 method、stage、current Markov state 下比较不同进入库存历史
chi2_eta003,3,68,522,341.824654341053,335.44510150969677,341.6851015096968,58.37432358715597,-0.9910555268911491,-0.7777364337635875,-0.9910555268911468,0.9356446576411734,,78.98504590739145,77.806340936138,55.54721429321183,55.33156760142297,407,2991,65-90-68-125-198-215-200-224,65-139-68-77-63-80-88-80,同一 method、stage、current Markov state 下比较不同进入库存历史
chi2_eta003,3,69,303,341.4625067003943,341.6851015096968,341.6851015096977,58.37432358715523,-0.6112417129271885,-0.11180454311497877,-0.6112417129271859,0.5916170577450619,,96.15940809509057,91.13184458339394,44.78912777755939,2.8521343009583147,4174,4363,65-90-69-63-88-64-72-80,65-140-69-86-71-80-144-224,同一 method、stage、current Markov state 下比较不同进入库存历史
chi2_eta003,3,70,94,343.2742455255374,341.6851015096968,341.6851015096977,49.793179162982426,-0.9999999999999996,-0.1997467863743996,-1.0,0.999999999999999,,114.66793435276585,110.78385993364827,60.65747697957478,12.611918362665106,254,3528,65-83-70-79-72-80-64-72,65-139-70-23-32-40-56-48,同一 method、stage、current Markov state 下比较不同进入库存历史
chi2_eta003,3,75,491,339.8364965455166,333.10395708552323,341.6851015096968,48.253361031960594,-0.8569805312334148,0.26017402371216886,-0.856980531233418,0.9370235947361629,,62.17434782090331,61.175677367718926,0.0,0.004105532669365506,1415,3378,65-98-75-69-126-191-200-232,65-114-75-60-69-87-112-112,同一 method、stage、current Markov state 下比较不同进入库存历史
chi2_eta003,3,76,452,341.54318556909556,335.44510150969677,341.6851015096968,58.50251330368059,-0.9888838520262637,-0.8407430090788571,-0.9888838520262636,0.9518963172449391,,71.98944904754552,70.01837291348,63.63139075094514,62.823641421668306,1830,1069,65-98-76-70-71-24-40-32,65-139-76-6-31-8-32-56,同一 method、stage、current Markov state 下比较不同进入库存历史
chi2_eta003,3,77,263,341.89174814730893,341.6851015096968,341.68510150969735,58.5210786315443,-0.9453316565322326,-0.2640975564261794,-0.9453316565322315,0.9153965678847078,,85.65863186313194,81.09488139377258,59.66873567552767,11.51748288102695,3598,5803,65-106-77-70-15-32-24-56,65-123-77-110-39-32-48-56,同一 method、stage、current Markov state 下比较不同进入库存历史
chi2_eta003,3,78,80,343.5523457283091,341.6851015096968,341.6851015096976,49.7931791629822,-1.0,-0.18367595597793282,-0.9999999999999994,0.9999999999999994,,114.66793435276585,109.44797623250615,62.434002854540104,15.4573103995219,290,2470,65-91-78-95-112-96-56-56,65-155-78-63-80-80-152-136,同一 method、stage、current Markov state 下比较不同进入库存历史
chi2_eta003,3,83,362,340.5429373529002,333.10395708552323,341.6851015096968,48.27192635982482,-0.9089630832887801,0.751418861288367,-0.9089630832887781,0.9001960682873698,,61.844147920249846,60.919769654242806,0.0,0.028957707319747707,3514,2575,65-106-83-68-94-111-152-160,65-114-83-61-70-103-136-120,同一 method、stage、current Markov state 下比较不同进入库存历史
chi2_eta003,3,84,373,342.0611621447095,335.44510150969677,341.6851015096968,58.52107863154458,-0.964889014034122,-0.8574231485332433,-0.9648890140341256,0.9523694239210152,,64.91117337284868,63.37707380502778,45.852653473524136,45.137326329428596,5287,2618,65-106-84-110-87-104-112-104,65-155-84-69-86-79-96-112,同一 method、stage、current Markov state 下比较不同进入库存历史
chi2_eta003,3,85,228,341.71590043609206,341.6851015096968,341.6851015096977,58.502513303680075,-0.8343071568737613,-0.12928150521925397,-0.8343071568737612,0.6942744406863451,,81.95271012533796,78.71042289152113,52.72532627483358,4.5893343917335905,1855,1450,65-98-85-158-111-96-72-80,65-123-85-71-96-112-112-96,同一 method、stage、current Markov state 下比较不同进入库存历史
chi2_eta003,3,86,73,343.04929819909404,341.6851015096968,341.6851015096977,49.79317916298214,-0.9645236315569136,-0.15832734722603076,-0.9645236315569141,0.7903659646960196,,109.72050330885715,109.44051993240534,63.983403287688375,12.590914385414065,342,4380,65-59-86-103-112-112-48-32,65-131-86-79-64-136-184-144,同一 method、stage、current Markov state 下比较不同进入库存历史
chi2_eta003,3,91,319,340.0917720272283,335.44510150969677,341.6851015096968,48.144276240003535,-0.9824284940525774,0.49307849381944696,-0.9824284940525752,0.9636724472347579,,61.57197705118226,58.031091208010714,0.0,0.008170242227824318,387,5010,65-106-91-84-101-22-15-40,65-122-91-109-111-112-88-56,同一 method、stage、current Markov state 下比较不同进入库存历史
chi2_eta003,3,92,283,341.18874996413007,335.44510150969677,341.6851015096968,58.52107863154481,-0.9953693151545177,-0.9874485365121826,-0.995369315154515,0.9914426971594248,,65.54350627722124,64.45036550499744,50.57399721327716,48.795035410908945,3204,9721,65-106-92-87-96-80-96-112,65-139-92-77-70-79-88-80,同一 method、stage、current Markov state 下比较不同进入库存历史
chi2_eta003,3,93,186,341.73097960528696,341.6851015096968,341.6851015096977,58.52107863154481,-0.9645531432526332,-0.18909256766600238,-0.9645531432526339,0.9129618644868496,,77.76800511383867,76.05315948354121,61.67435953184463,9.649159158549379,1897,5763,65-106-93-70-79-88-88-96,65-139-93-86-71-80-64-168,同一 method、stage、current Markov state 下比较不同进入库存历史
chi2_eta003,3,94,44,342.816764672492,341.6851015096968,341.6851015096977,49.79317916298157,-0.988514207193824,-0.15770899192825533,-0.9885142071938247,0.7887013853363231,,112.01998526847366,109.05998875623467,56.97496505254592,3.2339972945559405,149,3365,65-83-94-111-160-96-144-104,65-124-94-103-112-96-24-16,同一 method、stage、current Markov state 下比较不同进入库存历史
chi2_eta003,3,99,246,337.3328727063023,333.10395708552323,341.6851015096968,47.99926300025396,-0.9805998140099546,0.6126791026222742,-0.9805998140099531,0.7857797300399479,,61.571977051182216,53.950430309872765,0.0,0.005714968552187544,24,7326,65-106-99-84-63-104-56-56,65-130-99-94-79-104-112-40,同一 method、stage、current Markov state 下比较不同进入库存历史
chi2_eta003,3,100,275,340.665344033231,335.44510150969677,341.6851015096968,58.52107863154481,-0.9312109484382921,-0.7374969697255078,-0.9312109484382923,0.9461691534034136,,61.959353561865846,60.654755206134,62.727708287549994,65.80162635218376,4681,239,65-106-100-110-111-104-168-168,65-139-100-87-16-8-16-32,同一 method、stage、current Markov state 下比较不同进入库存历史
chi2_eta003,3,101,163,341.63658359081325,335.44510150969677,341.6851015096977,58.52107863154407,-0.8719526133035406,-0.347834024779297,-0.8719526133035381,0.9001585691248585,,61.57197705118213,61.40942271289041,77.09298574295255,21.500712307816116,5622,3670,65-106-101-86-71-64-80-32,65-140-101-112-104-96-104-112,同一 method、stage、current Markov state 下比较不同进入库存历史
chi2_eta003,3,102,46,342.76756192628346,341.6851015096968,341.6851015096976,49.79317916298169,-0.8437840227689254,-0.2171169612440004,-0.8437840227689224,0.5522358184507604,,87.38440809509076,84.84577973109872,71.27202579452795,15.51723617991769,563,857,65-75-102-111-104-112-104-96,65-140-102-111-112-112-168-88,同一 method、stage、current Markov state 下比较不同进入库存历史
chi2_eta003,3,107,287,336.1873320019282,332.9572020411344,341.6851015096968,47.52375110778905,-0.8873640917932153,0.7204399574267978,-0.8873640917932141,0.9544088283534387,,53.18605960236725,51.786475337337954,0.0,0.05296068591948757,5,5447,65-106-107-94-31-16-32-40,65-138-107-93-110-111-96-112,同一 method、stage、current Markov state 下比较不同进入库存历史
chi2_eta003,3,108,322,339.1307348529471,332.9757673689986,341.6851015096968,58.52107863154441,-0.8814783977101117,-0.8018632135083115,-0.8814783977101147,0.9150585320672177,,61.57197705118208,59.79530973129094,59.92491254924821,58.83860221996715,1900,2190,65-106-108-109-111-32-40-32,65-147-108-109-166-135-128-200,同一 method、stage、current Markov state 下比较不同进入库存历史
chi2_eta003,3,109,193,339.9018731653164,333.10395708552323,341.6851015096976,39.173944162680186,-0.64698556023797,-0.34544242248598545,-0.6469855602379697,0.48147196383507973,,54.55251409813825,51.219282954968754,72.8669642425353,16.362517580018817,606,7010,65-106-109-110-55-56-48-56,65-146-109-111-112-104-112-112,同一 method、stage、current Markov state 下比较不同进入库存历史
chi2_eta003,3,110,42,342.87065339452977,341.6851015096968,341.6851015096976,49.79317916298169,-0.6214708299404538,-0.22576171716796478,-0.621470829940454,0.8926850057939053,,55.33197705118208,56.41301292868996,71.168213870656,18.39431981903408,782,237,65-83-110-103-112-112-112-112,65-140-110-111-96-24-48-56,同一 method、stage、current Markov state 下比较不同进入库存历史
chi2_eta003,3,115,33,363.6729175225936,341.6851015096968,381.10147828113793,45.65637677144116,0.4437590102779886,-0.9785467031735163,0.05404218024083541,0.9966336092531044,-0.9912959620477277,114.66793435276593,114.66793435276594,39.248740876284806,11.569408153407728,764,2683,65-82-115-132-150-135-152-136,65-122-115-86-111-112-104-96,同一 method、stage、current Markov state 下比较不同进入库存历史
chi2_eta003,3,116,29,358.1143419338392,341.6851015096968,391.4782806726789,58.37432358715597,0.632091575545736,-0.9947296969875751,0.6392340799456622,0.992367860991709,-0.9957712884679318,114.66793435276594,114.66793435276595,55.17094740300188,9.825858652589186,4844,1679,65-90-116-135-144-96-80-144,65-139-116-134-151-216-224-224,同一 method、stage、current Markov state 下比较不同进入库存历史
chi2_eta003,3,117,21,355.5386329804433,341.6851015096968,391.47828067267847,56.033179162982435,0.17525860872715202,-0.6418071944445551,-0.10672056658716685,0.9933497908589352,-0.7080477884761762,114.6679343527659,114.6679343527659,78.49921306528893,19.816155325897814,1808,2534,65-82-117-158-167-136-120-144,65-139-117-136-120-152-224-216,同一 method、stage、current Markov state 下比较不同进入库存历史
chi2_eta003,3,123,50,356.87306794096077,335.44510150969677,380.9709663653633,48.12517131543598,0.08096422708055238,-0.9631360081580542,-0.6019086221460773,0.9926465972574399,-0.9824534439852579,114.66793435276588,114.66793435276593,38.91646856580512,6.409272684720636,2934,1600,65-90-123-125-118-135-184-256,65-114-123-133-118-199-192-184,同一 method、stage、current Markov state 下比较不同进入库存历史
chi2_eta003,3,124,66,359.2264308897228,338.5651015096968,391.4782806726787,58.37432358715597,,-0.9879962859214142,0.7570192907826149,0.9880209691045396,-0.9542143487281413,114.66793435276587,114.66793435276594,65.22077831664107,19.585425882025344,3009,1293,65-90-124-133-134-119-72-80,65-139-124-189-230-239-248-264,同一 method、stage、current Markov state 下比较不同进入库存历史
chi2_eta003,3,125,43,359.7701824097454,341.6851015096968,391.4782806726787,56.03317916298215,,-0.7945244178782493,-0.3993355626824673,0.9916153113848272,-0.8079149380945755,114.66793435276593,114.66793435276591,73.23104313994385,9.561626831114024,5568,2950,65-82-125-150-223-192-200-192,65-131-125-103-112-96-112-112,同一 method、stage、current Markov state 下比较不同进入库存历史
chi2_eta003,3,126,14,355.9117241276916,341.6851015096968,391.4782806726785,49.79317916298203,-2.5270182307888287e-15,-0.38889372656276716,-0.24397501823712994,1.0,2.5270182307888287e-15,114.6679343527659,114.6679343527659,67.79836478333162,25.261061782179297,1854,788,65-75-126-79-64-136-192-264,65-147-126-191-200-216-224-224,同一 method、stage、current Markov state 下比较不同进入库存历史
chi2_eta003,3,131,68,357.08207907494415,335.44510150969677,381.2291284009592,48.27192635982482,0.8407334388433034,-0.9355583605762835,0.6784540957686758,0.9858424377427278,-0.973098884066039,114.66793435276587,114.667934352766,36.23008543699408,5.237582607508707,6284,1956,65-106-131-156-166-111-112-8,65-114-131-148-221-150-71-80,同一 method、stage、current Markov state 下比较不同进入库存历史
chi2_eta003,3,132,53,360.6608018144745,341.6851015096968,391.4782806726787,58.37432358715597,8.498320965326124e-16,-0.9852285486406159,0.7002113396089255,0.9911376400883437,-0.9890140360199087,114.66793435276588,114.66793435276594,65.665994787623,13.2152253340546,2848,8233,65-90-132-61-78-63-88-104,65-139-132-157-206-279-264-232,同一 method、stage、current Markov state 下比较不同进入库存历史
chi2_eta003,3,133,33,360.75186333565375,341.6851015096968,391.4782806726787,58.37432358715546,,-0.7278503884305272,-0.6369467943828276,0.9927233450608547,-0.8649227047719376,114.66793435276593,114.6679343527659,71.41287025891936,9.671359618184248,2814,1831,65-90-133-182-207-224-224-224,65-116-133-174-199-240-232-256,同一 method、stage、current Markov state 下比较不同进入库存历史
chi2_eta003,3,134,12,354.1333963004425,341.6851015096968,391.4782806726787,49.793179162981914,-3.95458539494241e-15,-0.3958916459571305,,1.0,3.95458539494241e-15,114.6679343527659,114.6679343527659,78.5697510132385,21.57399260217998,5815,3226,65-75-134-159-224-208-176-200,65-116-134-135-72-144-128-88,同一 method、stage、current Markov state 下比较不同进入库存历史
chi2_eta003,3,139,41,355.3888355097955,335.44510150969677,381.10147828113793,48.253361031960594,0.19270607185653946,-0.8706355788421732,-0.288416356725645,0.9999714572160687,-0.3812832569272951,114.6679343527659,114.66793435276593,36.51075485884137,7.341622775232163,5618,1074,65-98-139-188-205-222-279-280,65-114-139-124-189-239-184-256,同一 method、stage、current Markov state 下比较不同进入库存历史
chi2_eta003,3,140,53,364.7796296280786,341.6851015096968,391.4782806726789,58.50251330368036,-3.825550684326281e-15,-0.9753823376475292,0.6714643322614753,0.9726679786917964,-0.990283744676651,114.6679343527659,114.66793435276594,74.60020856728521,6.631974778000567,4348,317,65-98-140-165-110-111-112-112,65-155-140-134-151-112-104-72,同一 method、stage、current Markov state 下比较不同进入库存历史
chi2_eta003,3,141,36,358.3128908680237,341.6851015096968,391.4782806726788,58.50251330368059,,-0.7545560217193124,0.15771876800203344,0.993117000534403,-0.9629709919914251,114.66793435276594,114.6679343527659,71.74007080310932,10.754724906320046,8583,1177,65-98-141-128-64-88-144-152,65-139-141-127-120-128-120-72,同一 method、stage、current Markov state 下比较不同进入库存历史
chi2_eta003,3,147,43,355.8418868386511,335.44510150969677,381.072475633188,48.27192635982482,5.182707702098708e-16,-0.9053571481011452,,1.0,,114.66793435276594,114.667934352766,33.12199409454384,0.9064990453853289,2543,8963,65-106-147-164-149-166-127-144,65-114-147-140-158-223-208-256,同一 method、stage、current Markov state 下比较不同进入库存历史
chi2_eta003,3,148,54,365.8374683313646,337.3171015096968,391.4782806726789,58.50251330368059,-1.5610717395963945e-15,-0.9680834557046541,0.6548261742975046,0.9619041570763457,-0.9941853826352293,114.6679343527659,114.66793435276593,66.16656822189623,0.3470809971852543,1749,419,65-98-148-221-206-271-280-280,65-139-148-126-119-88-104-88,同一 method、stage、current Markov state 下比较不同进入库存历史
chi2_eta003,3,149,23,360.31177044337164,341.6851015096968,391.47828067267847,58.52107863154481,5.010407667606915e-15,-0.5786192631865843,0.7749974313570198,0.993283933642943,-0.9938081457641019,114.6679343527659,114.6679343527659,51.07190389579932,6.559574284977192,5090,3526,65-106-149-70-79-152-144-192,65-139-149-168-168-112-80-64,同一 method、stage、current Markov state 下比较不同进入库存历史
