metric,unit,lower_exclusive,upper_inclusive,count,proportion,denominator,orientation
total_cost,model_cost_unit,-100000,-50000,6,0.0006,10000 paired paths,DRO-SAA
total_cost,model_cost_unit,-50000,-10000,96,0.0096,10000 paired paths,DRO-SAA
total_cost,model_cost_unit,-10000,-1000,100,0.01,10000 paired paths,DRO-SAA
total_cost,model_cost_unit,-1000,-1,168,0.0168,10000 paired paths,DRO-SAA
total_cost,model_cost_unit,-1,1,1086,0.1086,10000 paired paths,DRO-SAA
total_cost,model_cost_unit,1,1000,1811,0.1811,10000 paired paths,DRO-SAA
total_cost,model_cost_unit,1000,10000,6539,0.6539,10000 paired paths,DRO-SAA
total_cost,model_cost_unit,10000,50000,162,0.0162,10000 paired paths,DRO-SAA
total_cost,model_cost_unit,50000,100000,30,0.003,10000 paired paths,DRO-SAA
total_cost,model_cost_unit,100000,OPEN_UPPER,2,0.0002,10000 paired paths,DRO-SAA
grid_procurement_kwh,kWh,OPEN_LOWER,-100,97,0.0097,10000 paired paths,DRO-SAA
grid_procurement_kwh,kWh,-100,-50,10,0.001,10000 paired paths,DRO-SAA
grid_procurement_kwh,kWh,-50,-20,2,0.0002,10000 paired paths,DRO-SAA
grid_procurement_kwh,kWh,-20,-10,4,0.0004,10000 paired paths,DRO-SAA
grid_procurement_kwh,kWh,-10,-1,3,0.0003,10000 paired paths,DRO-SAA
grid_procurement_kwh,kWh,-1,1,1604,0.1604,10000 paired paths,DRO-SAA
grid_procurement_kwh,kWh,1,10,4,0.0004,10000 paired paths,DRO-SAA
grid_procurement_kwh,kWh,10,20,0,0.0,10000 paired paths,DRO-SAA
grid_procurement_kwh,kWh,20,50,3,0.0003,10000 paired paths,DRO-SAA
grid_procurement_kwh,kWh,50,100,67,0.0067,10000 paired paths,DRO-SAA
grid_procurement_kwh,kWh,100,OPEN_UPPER,8206,0.8206,10000 paired paths,DRO-SAA
site1_average_p_el_kw,kW,OPEN_LOWER,-100,0,0.0,10000 paired paths,DRO-SAA
site1_average_p_el_kw,kW,-100,-50,1,0.0001,10000 paired paths,DRO-SAA
site1_average_p_el_kw,kW,-50,-20,15,0.0015,10000 paired paths,DRO-SAA
site1_average_p_el_kw,kW,-20,-10,30,0.003,10000 paired paths,DRO-SAA
site1_average_p_el_kw,kW,-10,-1,147,0.0147,10000 paired paths,DRO-SAA
site1_average_p_el_kw,kW,-1,1,3755,0.3755,10000 paired paths,DRO-SAA
site1_average_p_el_kw,kW,1,10,2230,0.223,10000 paired paths,DRO-SAA
site1_average_p_el_kw,kW,10,20,2426,0.2426,10000 paired paths,DRO-SAA
site1_average_p_el_kw,kW,20,50,1389,0.1389,10000 paired paths,DRO-SAA
site1_average_p_el_kw,kW,50,100,7,0.0007,10000 paired paths,DRO-SAA
site1_average_p_el_kw,kW,100,OPEN_UPPER,0,0.0,10000 paired paths,DRO-SAA
site2_average_p_el_kw,kW,OPEN_LOWER,-100,0,0.0,10000 paired paths,DRO-SAA
site2_average_p_el_kw,kW,-100,-50,0,0.0,10000 paired paths,DRO-SAA
site2_average_p_el_kw,kW,-50,-20,1,0.0001,10000 paired paths,DRO-SAA
site2_average_p_el_kw,kW,-20,-10,20,0.002,10000 paired paths,DRO-SAA
site2_average_p_el_kw,kW,-10,-1,48,0.0048,10000 paired paths,DRO-SAA
site2_average_p_el_kw,kW,-1,1,1806,0.1806,10000 paired paths,DRO-SAA
site2_average_p_el_kw,kW,1,10,608,0.0608,10000 paired paths,DRO-SAA
site2_average_p_el_kw,kW,10,20,3716,0.3716,10000 paired paths,DRO-SAA
site2_average_p_el_kw,kW,20,50,3794,0.3794,10000 paired paths,DRO-SAA
site2_average_p_el_kw,kW,50,100,7,0.0007,10000 paired paths,DRO-SAA
site2_average_p_el_kw,kW,100,OPEN_UPPER,0,0.0,10000 paired paths,DRO-SAA
site3_average_p_el_kw,kW,OPEN_LOWER,-100,0,0.0,10000 paired paths,DRO-SAA
site3_average_p_el_kw,kW,-100,-50,0,0.0,10000 paired paths,DRO-SAA
site3_average_p_el_kw,kW,-50,-20,0,0.0,10000 paired paths,DRO-SAA
site3_average_p_el_kw,kW,-20,-10,3,0.0003,10000 paired paths,DRO-SAA
site3_average_p_el_kw,kW,-10,-1,72,0.0072,10000 paired paths,DRO-SAA
site3_average_p_el_kw,kW,-1,1,1744,0.1744,10000 paired paths,DRO-SAA
site3_average_p_el_kw,kW,1,10,2815,0.2815,10000 paired paths,DRO-SAA
site3_average_p_el_kw,kW,10,20,5055,0.5055,10000 paired paths,DRO-SAA
site3_average_p_el_kw,kW,20,50,311,0.0311,10000 paired paths,DRO-SAA
site3_average_p_el_kw,kW,50,100,0,0.0,10000 paired paths,DRO-SAA
site3_average_p_el_kw,kW,100,OPEN_UPPER,0,0.0,10000 paired paths,DRO-SAA
site4_average_p_el_kw,kW,OPEN_LOWER,-100,0,0.0,10000 paired paths,DRO-SAA
site4_average_p_el_kw,kW,-100,-50,0,0.0,10000 paired paths,DRO-SAA
site4_average_p_el_kw,kW,-50,-20,5,0.0005,10000 paired paths,DRO-SAA
site4_average_p_el_kw,kW,-20,-10,32,0.0032,10000 paired paths,DRO-SAA
site4_average_p_el_kw,kW,-10,-1,103,0.0103,10000 paired paths,DRO-SAA
site4_average_p_el_kw,kW,-1,1,3386,0.3386,10000 paired paths,DRO-SAA
site4_average_p_el_kw,kW,1,10,3837,0.3837,10000 paired paths,DRO-SAA
site4_average_p_el_kw,kW,10,20,2297,0.2297,10000 paired paths,DRO-SAA
site4_average_p_el_kw,kW,20,50,340,0.034,10000 paired paths,DRO-SAA
site4_average_p_el_kw,kW,50,100,0,0.0,10000 paired paths,DRO-SAA
site4_average_p_el_kw,kW,100,OPEN_UPPER,0,0.0,10000 paired paths,DRO-SAA
minimum_voltage_pu,p.u.,OPEN_LOWER,-0.05,0,0.0,10000 paired paths,DRO-SAA
minimum_voltage_pu,p.u.,-0.05,-0.01,0,0.0,10000 paired paths,DRO-SAA
minimum_voltage_pu,p.u.,-0.01,-0.001,172,0.0172,10000 paired paths,DRO-SAA
minimum_voltage_pu,p.u.,-0.001,-1e-09,247,0.0247,10000 paired paths,DRO-SAA
minimum_voltage_pu,p.u.,-1e-09,1e-09,9581,0.9581,10000 paired paths,DRO-SAA
minimum_voltage_pu,p.u.,1e-09,0.001,0,0.0,10000 paired paths,DRO-SAA
minimum_voltage_pu,p.u.,0.001,0.01,0,0.0,10000 paired paths,DRO-SAA
minimum_voltage_pu,p.u.,0.01,0.05,0,0.0,10000 paired paths,DRO-SAA
minimum_voltage_pu,p.u.,0.05,OPEN_UPPER,0,0.0,10000 paired paths,DRO-SAA
max_true_branch_mva,MVA,OPEN_LOWER,-100,0,0.0,10000 paired paths,DRO-SAA
max_true_branch_mva,MVA,-100,-50,0,0.0,10000 paired paths,DRO-SAA
max_true_branch_mva,MVA,-50,-20,0,0.0,10000 paired paths,DRO-SAA
max_true_branch_mva,MVA,-20,-10,0,0.0,10000 paired paths,DRO-SAA
max_true_branch_mva,MVA,-10,-1,0,0.0,10000 paired paths,DRO-SAA
max_true_branch_mva,MVA,-1,1,10000,1.0,10000 paired paths,DRO-SAA
max_true_branch_mva,MVA,1,10,0,0.0,10000 paired paths,DRO-SAA
max_true_branch_mva,MVA,10,20,0,0.0,10000 paired paths,DRO-SAA
max_true_branch_mva,MVA,20,50,0,0.0,10000 paired paths,DRO-SAA
max_true_branch_mva,MVA,50,100,0,0.0,10000 paired paths,DRO-SAA
max_true_branch_mva,MVA,100,OPEN_UPPER,0,0.0,10000 paired paths,DRO-SAA
max_branch_utilization,ratio,OPEN_LOWER,-0.05,0,0.0,10000 paired paths,DRO-SAA
max_branch_utilization,ratio,-0.05,-0.01,10,0.001,10000 paired paths,DRO-SAA
max_branch_utilization,ratio,-0.01,-0.001,26,0.0026,10000 paired paths,DRO-SAA
max_branch_utilization,ratio,-0.001,-1e-09,1,0.0001,10000 paired paths,DRO-SAA
max_branch_utilization,ratio,-1e-09,1e-09,7039,0.7039,10000 paired paths,DRO-SAA
max_branch_utilization,ratio,1e-09,0.001,23,0.0023,10000 paired paths,DRO-SAA
max_branch_utilization,ratio,0.001,0.01,1861,0.1861,10000 paired paths,DRO-SAA
max_branch_utilization,ratio,0.01,0.05,1039,0.1039,10000 paired paths,DRO-SAA
max_branch_utilization,ratio,0.05,OPEN_UPPER,1,0.0001,10000 paired paths,DRO-SAA
site3_grid_limited_frequency,ratio,OPEN_LOWER,-0.05,0,0.0,10000 paired paths,DRO-SAA
site3_grid_limited_frequency,ratio,-0.05,-0.01,69,0.0069,10000 paired paths,DRO-SAA
site3_grid_limited_frequency,ratio,-0.01,-0.001,0,0.0,10000 paired paths,DRO-SAA
site3_grid_limited_frequency,ratio,-0.001,-1e-09,0,0.0,10000 paired paths,DRO-SAA
site3_grid_limited_frequency,ratio,-1e-09,1e-09,7873,0.7873,10000 paired paths,DRO-SAA
site3_grid_limited_frequency,ratio,1e-09,0.001,0,0.0,10000 paired paths,DRO-SAA
site3_grid_limited_frequency,ratio,0.001,0.01,0,0.0,10000 paired paths,DRO-SAA
site3_grid_limited_frequency,ratio,0.01,0.05,2040,0.204,10000 paired paths,DRO-SAA
site3_grid_limited_frequency,ratio,0.05,OPEN_UPPER,18,0.0018,10000 paired paths,DRO-SAA
