method,stage,site,path_count,beginning_inventory_mean_kg,ending_inventory_mean_kg,production_mean_kg,ordinary_shortage_mean_kg,htt_in_mean_kg,htt_out_mean_kg,net_htt_mean_kg,htt_in_active_frequency,htt_out_active_frequency,average_p_el_mean_kw,site_min_voltage_mean_pu,site_voltage_binding_hours_mean,denominator
chi2_eta003,4,4,5788,77.6909872498938,106.67984006909288,21.385117294557062,0.4793601640163674,11.45272978206355,0.13054458309269276,11.322185198970855,0.9011748445058743,0.025570145127850726,137.08408522151964,0.9267357828988212,0.0,该 method×stage×site 的 normal records
chi2_eta003,5,1,2476,216.69536443008906,220.82358349990443,9.728226425799216,0.2660088862006908,2.538456947022751,3.2842971567089156,-0.7458402096861648,0.42689822294022617,0.2762520193861066,62.36042580640523,0.9759266743870394,0.0,该 method×stage×site 的 normal records
chi2_eta003,5,2,2476,99.0056522126631,98.2662578498889,6.301919547609718,0.3481737731816209,1.49286466620918,3.05626539325297,-1.56340072704379,0.3247172859450727,0.5726978998384491,40.396920176985375,0.9308546453756034,0.0,该 method×stage×site 的 normal records
chi2_eta003,5,3,2476,30.546306843217184,32.47632547110099,3.783271404251759,0.08907620137405829,1.1154338522370153,1.471966053283333,-0.3565322010463178,0.4745557350565428,0.3869143780290792,24.25173977084461,0.9262812553019658,0.0,该 method×stage×site 的 normal records
chi2_eta003,5,4,2476,106.30979077889072,110.83874017887736,4.5646430477428055,0.16660204811957163,3.8156102822159874,1.1498371444397146,2.665773137776272,0.5189822294022617,0.23263327948303716,29.26053235732568,0.9297059594078623,0.0,该 method×stage×site 的 normal records
chi2_eta003,6,1,427,221.99900097705557,223.15193100161332,19.08525312512255,1.0213801384592334,2.318611936339477,1.1826063060337788,1.136005630305698,0.49414519906323184,0.11241217798594848,122.34136618668305,0.9698026516742866,0.0,该 method×stage×site 的 normal records
chi2_eta003,6,2,427,101.48009605933767,99.39103329317064,10.714274601784686,0.6436699685415572,0.8194359527841067,2.0117849041842204,-1.1923489514001135,0.2997658079625293,0.5971896955503513,68.68124744733773,0.9086800903764445,0.0,该 method×stage×site 的 normal records
chi2_eta003,6,3,427,33.44914780728023,33.3020679488002,5.976115454803177,0.4612983161388054,1.6790322065084708,1.17104975215905,0.507982454349421,0.585480093676815,0.2529274004683841,38.308432402584494,0.9017168139361823,1.1194379391100702,该 method×stage×site 的 normal records
chi2_eta003,6,4,427,112.66985347551356,110.83430770636886,8.428521497091648,0.5439076918057647,1.640852372496088,2.092491505751092,-0.45163913325500415,0.30679156908665106,0.40046838407494145,54.02898395571569,0.913876774678144,0.0,该 method×stage×site 的 normal records
saa,1,1,10000,58.0445570448695,99.7243810123712,46.8,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.973923125868214,0.0,该 method×stage×site 的 normal records
saa,1,2,10000,50.3081379386248,75.682050982103,31.2,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.919057778866742,0.0,该 method×stage×site 的 normal records
saa,1,3,10000,25.2621334423093,42.3963366656137,18.72,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.912081659455724,0.0,该 method×stage×site 的 normal records
saa,1,4,10000,33.0235808462428,53.5555120125908,23.4,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.9266143788019982,0.0,该 method×stage×site 的 normal records
saa,2,1,8914,99.7243810123712,135.21659335153763,46.786874579313434,1.406899606349468,7.388147022833643,0.0,7.388147022833643,0.15503702041732106,0.0,299.91586268790667,0.9723196287965871,0.0,该 method×stage×site 的 normal records
saa,2,2,8914,75.682050982103,85.32598993758587,24.731876796941258,0.3794352383089211,0.0,3.212714694674201,-3.212714694674201,0.0,0.14538927529728518,158.53767177526447,0.9159981086610509,0.0,该 method×stage×site 的 normal records
saa,2,3,8914,42.3963366656137,44.15506254030346,14.37097682991299,0.21960100954912692,0.0,5.7393758810008615,-5.7393758810008615,0.0,0.15503702041732106,92.12164634559608,0.9093026483901631,0.0,该 method×stage×site 的 normal records
saa,2,4,8914,53.5555120125908,68.41288651712622,23.223616515713854,0.42615026076725493,1.5689713872952404,0.005027834453819681,1.5639435528414207,0.144267444469374,0.001121830827911151,148.86933663919137,0.9216966612036853,0.0,该 method×stage×site 的 normal records
saa,3,1,7936,135.22917031423438,166.22320966420807,29.32901113062639,1.8318852407189186,21.675272704756633,0.1884398141449384,21.486832890611698,0.6010584677419355,0.01839717741935484,188.00648160657946,0.969164306802714,0.0,该 method×stage×site 的 normal records
saa,3,2,7936,85.43549998717974,76.01604869738031,13.111539224910398,0.8464904055739436,0.5057382068409845,10.001231549484974,-9.49549334264399,0.04536290322580645,0.59375,84.04832836481026,0.9068087484768907,0.0,该 method×stage×site 的 normal records
saa,3,3,7936,44.190151607148756,25.89356547632011,6.114002447866486,0.5187610150001519,0.26528732769531793,16.7700915451948,-16.504804217499483,0.052545362903225805,0.5882056451612904,39.19232338375954,0.9000579059211137,1.4509828629032258,该 method×stage×site 的 normal records
saa,3,4,7936,68.51113981907523,74.4619674021865,13.029813719265066,0.9853346975301561,4.600750922783324,0.08728625325154643,4.513464669531777,0.5046622983870968,0.03452620967741935,83.5244469183658,0.9120906918940762,0.0,该 method×stage×site 的 normal records
saa,4,1,5788,162.22981401306055,206.7899793878646,40.26736315226978,0.819632752632527,13.545768016724498,1.9361733606344378,11.60959465609006,0.5736005528680027,0.15186592950932964,258.1241227709601,0.9740222140727337,0.0,该 method×stage×site 的 normal records
saa,4,2,5788,76.62803394147082,88.85762233222098,23.523008093808418,0.448929683191737,1.6799169629201216,9.384999268424776,-7.705082305504654,0.12733241188666206,0.763303386316517,150.78851342184882,0.9196021132654627,0.0,该 method×stage×site 的 normal records
saa,4,3,5788,27.504353469502917,24.71854795702056,14.17991791219258,0.6129954481392899,0.7236281484449091,12.40516525792207,-11.681537109477159,0.08051140290255701,0.7202833448514168,90.89690969354218,0.9127030841543765,0.0,该 method×stage×site 的 normal records
saa,4,4,5788,74.06699337827285,97.66777979187128,19.563730694858307,0.4578407981935618,8.648611183085373,0.8715864241936202,7.777024758891753,0.624913614374568,0.10608154803040774,125.40853009524557,0.9269423864847373,0.0,该 method×stage×site 的 normal records
saa,5,1,2476,206.81087994160615,211.5729506392401,9.213434362336423,0.30931822088735555,2.5389029835837302,2.1794088366751714,0.3594941469085589,0.5577544426494345,0.21567043618739903,59.06047668164374,0.9761603640181036,0.0,该 method×stage×site 的 normal records
saa,5,2,2476,91.8630733413829,91.91428364503967,6.186720777719047,0.36335011962820757,1.6967502700323571,2.3695239072010894,-0.6727736371687322,0.40105008077544424,0.4834410339256866,39.65846652384004,0.9310795772210549,0.0,该 method×stage×site 的 normal records
saa,5,3,2476,25.718160529874353,26.050488539385537,3.663701701034117,0.08941501130563637,0.6852038254258799,2.5201957515587647,-1.8349919261328849,0.2560581583198708,0.5852180936995154,23.485267314321263,0.9266102291520294,0.0,该 method×stage×site 的 normal records
saa,5,4,2476,98.0205416141708,102.13009257095112,4.6445683934352315,0.18477998060403106,3.6496506184441992,1.5013792020511418,2.1482714163930576,0.44264943457189015,0.3033117932148627,29.772874316892512,0.9298193448501748,0.0,该 method×stage×site 的 normal records
saa,6,1,427,212.94647919041202,214.889789121927,17.46064581416797,1.221294542308196,4.7751163030120365,1.4240378586434466,3.35107844436859,0.6065573770491803,0.14988290398126464,111.92721675748702,0.9701673726926192,0.0,该 method×stage×site 的 normal records
saa,6,2,427,94.75898932070798,92.38891374907577,10.607404328088245,0.7324504037213541,1.7276611421037027,3.1829330604523545,-1.4552719183486518,0.48009367681498827,0.4168618266978923,67.99618159030928,0.9105453996733699,0.0,该 method×stage×site 的 normal records
saa,6,3,427,27.280598047907077,26.788650835851012,5.725631356944439,0.5277389967862928,1.732942612949543,1.3857840949649172,0.347158517984626,0.4332552693208431,0.33489461358313816,36.70276510861822,0.9039269888263513,1.1498829039812646,该 method×stage×site 的 normal records
saa,6,4,427,104.13295246957114,100.19104445452197,7.974840889793579,0.6825519639488983,2.086299833670372,4.329264877674935,-2.242965044004563,0.2997658079625293,0.5011709601873536,51.12077493457422,0.91502685554803,0.0,该 method×stage×site 的 normal records
