candidate,path_id,checkpoint_relative_hour,failure_type,tail_group,current_inventory_kg,target_total_kg,arrival_stage,final_intensity,final_location,final_gap,optimistic_margin_kg
B1000,6266,-16,mixed,difficult4,302.134475204,546.93138762,5,5,4,42.1319777437,18.843087584
B1000,6266,-8,mixed,difficult4,416.802409557,546.93138762,5,5,4,42.1319777437,1.691021937
B1000,6663,-16,mixed,difficult4,302.134475204,543.056863022,5,5,2,88.1847364306,22.717612182
B1000,7669,-16,mixed,difficult4,302.134475204,546.93138762,5,5,4,41.0614092413,18.843087584
B1000,7669,-8,mixed,difficult4,416.802409557,546.93138762,5,5,4,41.0614092413,1.691021937
B1000,7786,-16,mixed,difficult4,302.134475204,552.327963649,5,5,3,67.7390173926,13.446511555
B1000,7862,-16,mixed,difficult4,182.014475204,423.861526765,5,4,4,72.9173932171,21.792948439
B1000,8332,-16,pure_quantity,extreme1,182.014475204,423.861526765,5,4,4,149.283117493,21.792948439
B1000,8384,-4,mixed,difficult4,324.402726707,386.76593055,4,4,3,31.5594161696,3.546796157
B1000,8440,-8,mixed,difficult4,302.134475204,423.861526765,4,4,4,42.2401159909,10.092948439
B1000,8440,-4,mixed,difficult4,360.901906248,423.861526765,4,4,4,42.2401159909,2.950379483
B1000,8716,-16,mixed,difficult4,302.134475204,546.93138762,5,5,4,42.5638992717,18.843087584
B1000,8716,-8,mixed,difficult4,416.802409557,546.93138762,5,5,4,42.5638992717,1.691021937
B1000,8747,-16,mixed,difficult4,182.014475204,423.861526765,5,4,4,63.1664616747,21.792948439
B1000,9334,-4,pure_quantity,difficult4,323.849042681,386.76593055,5,4,3,26.1817912012,2.993112131
B1000,9428,-16,pure_quantity,extreme1,302.134475204,552.327963649,5,5,3,99.9125481619,13.446511555
B1000,9825,-16,mixed,difficult4,302.134475204,543.056863022,5,5,2,54.7076288417,22.717612182
B1000,9825,-8,mixed,difficult4,416.802409557,543.056863022,5,5,2,54.7076288417,5.565546535
B1000,9955,-8,mixed,difficult4,196.400831545,316.940731494,6,4,5,66.3337975202,11.280100051
B0100,152,-16,mixed,difficult4,182.014475204,423.861526765,5,4,4,63.1664616747,13.992948439
B0100,467,-16,mixed,difficult4,182.014475204,423.861526765,5,4,4,62.9448956867,13.992948439
B0100,488,-16,mixed,difficult4,182.014475204,423.861526765,5,4,4,91.9948037838,13.992948439
B0100,518,-16,pure_quantity,extreme1,302.134475204,546.93138762,5,5,4,109.586929435,11.043087584
B0100,643,-16,mixed,difficult4,302.134475204,543.056863022,5,5,2,51.8374642806,14.917612182
B0100,783,-8,mixed,difficult4,335.220415487,455.499334558,6,5,5,32.7616416645,7.641080929
B0100,801,-16,pure_quantity,difficult4,182.014475204,423.861526765,5,4,4,91.5661112779,13.992948439
B0100,869,-8,mixed,difficult4,254.111343625,374.764778406,5,4,1,50.3514616849,7.266565219
B0100,869,-4,mixed,difficult4,314.171343625,374.764778406,5,4,1,50.3514616849,3.366565219
B0100,965,-4,mixed,difficult4,483.953035862,546.93138762,6,5,4,61.8597733859,0.981648242
B0100,1165,-16,pure_quantity,extreme1,182.014475204,423.861526765,5,4,4,188.294045631,13.992948439
B0100,1320,-16,pure_quantity,extreme1,182.014475204,423.861526765,5,4,4,191.219045631,13.992948439
B0100,1432,-8,mixed,difficult4,302.134475204,423.861526765,4,4,4,44.0169071218,6.192948439
B0100,1432,-4,mixed,difficult4,360.901906248,423.861526765,4,4,4,44.0169071218,1.000379483
B0100,1580,-4,mixed,difficult4,324.402726707,386.76593055,4,4,3,24.61068681,1.596796157
B0100,1666,-16,mixed,difficult4,302.134475204,543.056863022,5,5,2,57.1249121551,14.917612182
B0100,2000,-16,pure_quantity,extreme1,182.014475204,423.861526765,5,4,4,160.561358653,13.992948439
B0100,2052,-16,mixed,difficult4,302.134475204,546.93138762,5,5,4,66.8006773112,11.043087584
B0100,2103,-16,mixed,difficult4,302.134475204,543.056863022,5,5,2,58.1179800353,14.917612182
B0100,2435,-16,pure_quantity,difficult4,302.134475204,546.93138762,5,5,4,94.5159721332,11.043087584
B0100,2467,-16,mixed,difficult4,302.134475204,552.327963649,5,5,3,86.7099746942,5.646511555
B0100,2501,-16,mixed,difficult4,151.533409272,395.525364721,6,4,2,50.4349409882,11.848044551
B0100,3269,-8,mixed,difficult4,334.419629347,455.499334558,7,5,5,58.3914159486,6.840294789
B0100,3349,-16,pure_quantity,difficult4,302.134475204,552.327963649,5,5,3,51.7498731097,5.646511555
B0100,3381,-8,mixed,difficult4,251.186343625,374.764778406,5,4,1,64.9716701245,4.341565219
B0100,3951,-8,pure_quantity,difficult4,302.134475204,423.861526765,4,4,4,78.5279185717,6.192948439
B0100,3997,-8,mixed,difficult4,302.134475204,423.861526765,4,4,4,44.3673461149,6.192948439
B0100,3997,-4,mixed,difficult4,360.901906248,423.861526765,4,4,4,44.3673461149,1.000379483
B0100,4007,-16,pure_quantity,difficult4,182.014475204,423.861526765,5,4,4,91.5661112779,13.992948439
B0100,4711,-16,mixed,difficult4,302.134475204,552.327963649,5,5,3,29.631447778,5.646511555
B0100,4723,-16,pure_quantity,extreme1,182.014475204,423.861526765,5,4,4,168.070694858,13.992948439
B0100,5685,-16,pure_quantity,difficult4,182.014475204,423.861526765,5,4,4,91.5661112779,13.992948439
B0100,6098,-16,mixed,difficult4,302.134475204,543.056863022,5,5,2,30.665857873,14.917612182
B0100,6098,-8,mixed,difficult4,416.802409557,543.056863022,5,5,2,30.665857873,1.665546535
B0100,6266,-16,mixed,difficult4,302.134475204,546.93138762,5,5,4,42.1319777437,11.043087584
B0100,6663,-16,mixed,difficult4,302.134475204,543.056863022,5,5,2,88.1847364306,14.917612182
B0100,7669,-16,mixed,difficult4,302.134475204,546.93138762,5,5,4,41.0614092413,11.043087584
B0100,7786,-16,mixed,difficult4,302.134475204,552.327963649,5,5,3,67.7390173926,5.646511555
B0100,7862,-16,mixed,difficult4,182.014475204,423.861526765,5,4,4,72.9173932171,13.992948439
B0100,8332,-16,pure_quantity,extreme1,182.014475204,423.861526765,5,4,4,149.283117493,13.992948439
B0100,8384,-4,mixed,difficult4,324.402726707,386.76593055,4,4,3,31.5594161696,1.596796157
B0100,8440,-8,mixed,difficult4,302.134475204,423.861526765,4,4,4,42.2401159909,6.192948439
B0100,8440,-4,mixed,difficult4,360.901906248,423.861526765,4,4,4,42.2401159909,1.000379483
B0100,8716,-16,mixed,difficult4,302.134475204,546.93138762,5,5,4,42.5638992717,11.043087584
B0100,8747,-16,mixed,difficult4,182.014475204,423.861526765,5,4,4,63.1664616747,13.992948439
B0100,9334,-4,pure_quantity,difficult4,323.849042681,386.76593055,5,4,3,26.1817912012,1.043112131
B0100,9428,-16,pure_quantity,extreme1,302.134475204,552.327963649,5,5,3,99.9125481619,5.646511555
B0100,9825,-16,mixed,difficult4,302.134475204,543.056863022,5,5,2,54.7076288417,14.917612182
B0100,9825,-8,mixed,difficult4,416.802409557,543.056863022,5,5,2,54.7076288417,1.665546535
B0100,9955,-8,mixed,difficult4,196.400831545,316.940731494,6,4,5,66.3337975202,7.380100051
B0010,152,-16,mixed,difficult4,182.014475204,423.861526765,5,4,4,63.1664616747,7.752948439
B0010,467,-16,mixed,difficult4,182.014475204,423.861526765,5,4,4,62.9448956867,7.752948439
B0010,488,-16,mixed,difficult4,182.014475204,423.861526765,5,4,4,91.9948037838,7.752948439
B0010,518,-16,pure_quantity,extreme1,302.134475204,546.93138762,5,5,4,109.586929435,4.803087584
B0010,643,-16,mixed,difficult4,302.134475204,543.056863022,5,5,2,51.8374642806,8.677612182
B0010,783,-8,mixed,difficult4,335.220415487,455.499334558,6,5,5,32.7616416645,4.521080929
B0010,801,-16,pure_quantity,difficult4,182.014475204,423.861526765,5,4,4,91.5661112779,7.752948439
B0010,869,-8,mixed,difficult4,254.111343625,374.764778406,5,4,1,50.3514616849,4.146565219
B0010,869,-4,mixed,difficult4,314.171343625,374.764778406,5,4,1,50.3514616849,1.806565219
B0010,1165,-16,pure_quantity,extreme1,182.014475204,423.861526765,5,4,4,188.294045631,7.752948439
B0010,1320,-16,pure_quantity,extreme1,182.014475204,423.861526765,5,4,4,191.219045631,7.752948439
B0010,1432,-8,mixed,difficult4,302.134475204,423.861526765,4,4,4,44.0169071218,3.072948439
B0010,1580,-4,mixed,difficult4,324.402726707,386.76593055,4,4,3,24.61068681,0.036796157
B0010,1666,-16,mixed,difficult4,302.134475204,543.056863022,5,5,2,57.1249121551,8.677612182
B0010,2000,-16,pure_quantity,extreme1,182.014475204,423.861526765,5,4,4,160.561358653,7.752948439
B0010,2052,-16,mixed,difficult4,302.134475204,546.93138762,5,5,4,66.8006773112,4.803087584
B0010,2103,-16,mixed,difficult4,302.134475204,543.056863022,5,5,2,58.1179800353,8.677612182
B0010,2435,-16,pure_quantity,difficult4,302.134475204,546.93138762,5,5,4,94.5159721332,4.803087584
B0010,2501,-16,mixed,difficult4,151.533409272,395.525364721,6,4,2,50.4349409882,5.608044551
B0010,3269,-8,mixed,difficult4,334.419629347,455.499334558,7,5,5,58.3914159486,3.720294789
B0010,3381,-8,mixed,difficult4,251.186343625,374.764778406,5,4,1,64.9716701245,1.221565219
B0010,3951,-8,pure_quantity,difficult4,302.134475204,423.861526765,4,4,4,78.5279185717,3.072948439
B0010,3997,-8,mixed,difficult4,302.134475204,423.861526765,4,4,4,44.3673461149,3.072948439
B0010,4007,-16,pure_quantity,difficult4,182.014475204,423.861526765,5,4,4,91.5661112779,7.752948439
B0010,4723,-16,pure_quantity,extreme1,182.014475204,423.861526765,5,4,4,168.070694858,7.752948439
B0010,5685,-16,pure_quantity,difficult4,182.014475204,423.861526765,5,4,4,91.5661112779,7.752948439
B0010,6098,-16,mixed,difficult4,302.134475204,543.056863022,5,5,2,30.665857873,8.677612182
B0010,6266,-16,mixed,difficult4,302.134475204,546.93138762,5,5,4,42.1319777437,4.803087584
B0010,6663,-16,mixed,difficult4,302.134475204,543.056863022,5,5,2,88.1847364306,8.677612182
B0010,7669,-16,mixed,difficult4,302.134475204,546.93138762,5,5,4,41.0614092413,4.803087584
B0010,7862,-16,mixed,difficult4,182.014475204,423.861526765,5,4,4,72.9173932171,7.752948439
B0010,8332,-16,pure_quantity,extreme1,182.014475204,423.861526765,5,4,4,149.283117493,7.752948439
B0010,8384,-4,mixed,difficult4,324.402726707,386.76593055,4,4,3,31.5594161696,0.036796157
B0010,8440,-8,mixed,difficult4,302.134475204,423.861526765,4,4,4,42.2401159909,3.072948439
B0010,8716,-16,mixed,difficult4,302.134475204,546.93138762,5,5,4,42.5638992717,4.803087584
B0010,8747,-16,mixed,difficult4,182.014475204,423.861526765,5,4,4,63.1664616747,7.752948439
B0010,9825,-16,mixed,difficult4,302.134475204,543.056863022,5,5,2,54.7076288417,8.677612182
B0010,9955,-8,mixed,difficult4,196.400831545,316.940731494,6,4,5,66.3337975202,4.260100051
B0001,152,-16,mixed,difficult4,182.014475204,423.861526765,5,4,4,63.1664616747,10.092948439
B0001,467,-16,mixed,difficult4,182.014475204,423.861526765,5,4,4,62.9448956867,10.092948439
B0001,488,-16,mixed,difficult4,182.014475204,423.861526765,5,4,4,91.9948037838,10.092948439
B0001,518,-16,pure_quantity,extreme1,302.134475204,546.93138762,5,5,4,109.586929435,7.143087584
B0001,643,-16,mixed,difficult4,302.134475204,543.056863022,5,5,2,51.8374642806,11.017612182
B0001,783,-8,mixed,difficult4,335.220415487,455.499334558,6,5,5,32.7616416645,5.691080929
B0001,801,-16,pure_quantity,difficult4,182.014475204,423.861526765,5,4,4,91.5661112779,10.092948439
B0001,869,-8,mixed,difficult4,254.111343625,374.764778406,5,4,1,50.3514616849,5.316565219
B0001,869,-4,mixed,difficult4,314.171343625,374.764778406,5,4,1,50.3514616849,2.391565219
B0001,965,-4,mixed,difficult4,483.953035862,546.93138762,6,5,4,61.8597733859,0.00664824199998
B0001,1165,-16,pure_quantity,extreme1,182.014475204,423.861526765,5,4,4,188.294045631,10.092948439
B0001,1320,-16,pure_quantity,extreme1,182.014475204,423.861526765,5,4,4,191.219045631,10.092948439
B0001,1432,-8,mixed,difficult4,302.134475204,423.861526765,4,4,4,44.0169071218,4.242948439
B0001,1432,-4,mixed,difficult4,360.901906248,423.861526765,4,4,4,44.0169071218,0.025379483
B0001,1580,-4,mixed,difficult4,324.402726707,386.76593055,4,4,3,24.61068681,0.621796157
B0001,1666,-16,mixed,difficult4,302.134475204,543.056863022,5,5,2,57.1249121551,11.017612182
B0001,2000,-16,pure_quantity,extreme1,182.014475204,423.861526765,5,4,4,160.561358653,10.092948439
B0001,2052,-16,mixed,difficult4,302.134475204,546.93138762,5,5,4,66.8006773112,7.143087584
B0001,2103,-16,mixed,difficult4,302.134475204,543.056863022,5,5,2,58.1179800353,11.017612182
B0001,2435,-16,pure_quantity,difficult4,302.134475204,546.93138762,5,5,4,94.5159721332,7.143087584
B0001,2467,-16,mixed,difficult4,302.134475204,552.327963649,5,5,3,86.7099746942,1.746511555
B0001,2501,-16,mixed,difficult4,151.533409272,395.525364721,6,4,2,50.4349409882,7.948044551
B0001,3269,-8,mixed,difficult4,334.419629347,455.499334558,7,5,5,58.3914159486,4.890294789
B0001,3349,-16,pure_quantity,difficult4,302.134475204,552.327963649,5,5,3,51.7498731097,1.746511555
B0001,3381,-8,mixed,difficult4,251.186343625,374.764778406,5,4,1,64.9716701245,2.391565219
B0001,3951,-8,pure_quantity,difficult4,302.134475204,423.861526765,4,4,4,78.5279185717,4.242948439
B0001,3997,-8,mixed,difficult4,302.134475204,423.861526765,4,4,4,44.3673461149,4.242948439
B0001,3997,-4,mixed,difficult4,360.901906248,423.861526765,4,4,4,44.3673461149,0.025379483
B0001,4007,-16,pure_quantity,difficult4,182.014475204,423.861526765,5,4,4,91.5661112779,10.092948439
B0001,4711,-16,mixed,difficult4,302.134475204,552.327963649,5,5,3,29.631447778,1.746511555
B0001,4723,-16,pure_quantity,extreme1,182.014475204,423.861526765,5,4,4,168.070694858,10.092948439
B0001,5685,-16,pure_quantity,difficult4,182.014475204,423.861526765,5,4,4,91.5661112779,10.092948439
B0001,6098,-16,mixed,difficult4,302.134475204,543.056863022,5,5,2,30.665857873,11.017612182
B0001,6266,-16,mixed,difficult4,302.134475204,546.93138762,5,5,4,42.1319777437,7.143087584
B0001,6663,-16,mixed,difficult4,302.134475204,543.056863022,5,5,2,88.1847364306,11.017612182
B0001,7669,-16,mixed,difficult4,302.134475204,546.93138762,5,5,4,41.0614092413,7.143087584
B0001,7786,-16,mixed,difficult4,302.134475204,552.327963649,5,5,3,67.7390173926,1.746511555
B0001,7862,-16,mixed,difficult4,182.014475204,423.861526765,5,4,4,72.9173932171,10.092948439
B0001,8332,-16,pure_quantity,extreme1,182.014475204,423.861526765,5,4,4,149.283117493,10.092948439
B0001,8384,-4,mixed,difficult4,324.402726707,386.76593055,4,4,3,31.5594161696,0.621796157
B0001,8440,-8,mixed,difficult4,302.134475204,423.861526765,4,4,4,42.2401159909,4.242948439
B0001,8440,-4,mixed,difficult4,360.901906248,423.861526765,4,4,4,42.2401159909,0.025379483
B0001,8716,-16,mixed,difficult4,302.134475204,546.93138762,5,5,4,42.5638992717,7.143087584
B0001,8747,-16,mixed,difficult4,182.014475204,423.861526765,5,4,4,63.1664616747,10.092948439
B0001,9334,-4,pure_quantity,difficult4,323.849042681,386.76593055,5,4,3,26.1817912012,0.068112131
B0001,9428,-16,pure_quantity,extreme1,302.134475204,552.327963649,5,5,3,99.9125481619,1.746511555
B0001,9825,-16,mixed,difficult4,302.134475204,543.056863022,5,5,2,54.7076288417,11.017612182
B0001,9955,-8,mixed,difficult4,196.400831545,316.940731494,6,4,5,66.3337975202,5.430100051
B1100,152,-16,mixed,difficult4,182.014475204,423.861526765,5,4,4,63.1664616747,37.392948439
B1100,201,-8,pure_quantity,difficult4,251.186343625,386.76593055,5,4,3,54.470515063,4.040413075
B1100,326,-16,pure_quantity,extreme1,145.293409272,423.861526765,6,4,4,107.394627906,0.671882507
B1100,459,-8,pure_quantity,difficult4,255.042954597,386.76593055,6,4,3,71.0959818836,7.897024047
B1100,467,-16,mixed,difficult4,182.014475204,423.861526765,5,4,4,62.9448956867,37.392948439
B1100,477,-4,pure_quantity,difficult4,114.364400036,180.836278269,7,3,4,38.1329427538,3.338121767
B1100,488,-16,mixed,difficult4,182.014475204,423.861526765,5,4,4,91.9948037838,37.392948439
B1100,518,-16,pure_quantity,extreme1,302.134475204,546.93138762,5,5,4,109.586929435,34.443087584
B1100,643,-16,mixed,difficult4,302.134475204,543.056863022,5,5,2,51.8374642806,38.317612182
B1100,668,-8,pure_quantity,difficult4,182.014475204,316.940731494,4,4,5,49.714476029,4.69374371
B1100,766,-8,pure_quantity,difficult4,251.186343625,386.76593055,5,4,3,29.7634886724,4.040413075
B1100,783,-8,mixed,difficult4,335.220415487,455.499334558,6,5,5,32.7616416645,19.341080929
B1100,783,-4,mixed,difficult4,389.698534679,455.499334558,6,5,5,32.7616416645,4.009200121
B1100,801,-16,pure_quantity,difficult4,182.014475204,423.861526765,5,4,4,91.5661112779,37.392948439
B1100,869,-8,mixed,difficult4,254.111343625,374.764778406,5,4,1,50.3514616849,18.966565219
B1100,869,-4,mixed,difficult4,314.171343625,374.764778406,5,4,1,50.3514616849,9.216565219
B1100,904,-16,pure_quantity,difficult4,251.186343625,528.704034541,6,5,1,76.2886190541,1.722309084
B1100,965,-4,mixed,difficult4,483.953035862,546.93138762,6,5,4,61.8597733859,6.831648242
B1100,1057,-8,mixed,difficult4,235.567481134,374.764778406,6,4,1,91.2841779,0.422702728
B1100,1165,-16,pure_quantity,extreme1,182.014475204,423.861526765,5,4,4,188.294045631,37.392948439
B1100,1320,-16,pure_quantity,extreme1,182.014475204,423.861526765,5,4,4,191.219045631,37.392948439
B1100,1432,-8,mixed,difficult4,302.134475204,423.861526765,4,4,4,44.0169071218,17.892948439
B1100,1432,-4,mixed,difficult4,360.901906248,423.861526765,4,4,4,44.0169071218,6.850379483
B1100,1580,-4,mixed,difficult4,324.402726707,386.76593055,4,4,3,24.61068681,7.446796157
B1100,1666,-16,mixed,difficult4,302.134475204,543.056863022,5,5,2,57.1249121551,38.317612182
B1100,2000,-16,pure_quantity,extreme1,182.014475204,423.861526765,5,4,4,160.561358653,37.392948439
B1100,2052,-16,mixed,difficult4,302.134475204,546.93138762,5,5,4,66.8006773112,34.443087584
B1100,2103,-16,mixed,difficult4,302.134475204,543.056863022,5,5,2,58.1179800353,38.317612182
B1100,2268,-16,pure_quantity,extreme1,160.308409272,423.861526765,6,4,4,168.727629244,15.686882507
B1100,2316,-16,pure_quantity,extreme1,151.533409272,423.861526765,6,4,4,130.592051561,6.911882507
B1100,2419,-8,mixed,difficult4,251.186343625,386.76593055,5,4,3,26.9928568362,4.040413075
B1100,2435,-16,pure_quantity,difficult4,302.134475204,546.93138762,5,5,4,94.5159721332,34.443087584
B1100,2467,-16,mixed,difficult4,302.134475204,552.327963649,5,5,3,86.7099746942,29.046511555
B1100,2501,-16,mixed,difficult4,151.533409272,395.525364721,6,4,2,50.4349409882,35.248044551
B1100,2829,-8,mixed,difficult4,236.655993705,374.764778406,6,4,1,71.5830186142,1.511215299
B1100,3269,-8,mixed,difficult4,334.419629347,455.499334558,7,5,5,58.3914159486,18.540294789
B1100,3349,-16,pure_quantity,difficult4,302.134475204,552.327963649,5,5,3,51.7498731097,29.046511555
B1100,3381,-8,mixed,difficult4,251.186343625,374.764778406,5,4,1,64.9716701245,16.041565219
B1100,3381,-4,mixed,difficult4,305.071405215,374.764778406,5,4,1,64.9716701245,0.116626809
B1100,3724,-16,pure_quantity,extreme1,182.014475204,455.499334558,5,5,5,100.803445608,5.755140646
B1100,3909,-16,pure_quantity,extreme1,160.308409272,423.861526765,6,4,4,201.358259651,15.686882507
B1100,3911,-8,pure_quantity,difficult4,251.186343625,386.76593055,5,4,3,54.470515063,4.040413075
B1100,3951,-8,pure_quantity,difficult4,302.134475204,423.861526765,4,4,4,78.5279185717,17.892948439
B1100,3997,-8,mixed,difficult4,302.134475204,423.861526765,4,4,4,44.3673461149,17.892948439
B1100,3997,-4,mixed,difficult4,360.901906248,423.861526765,4,4,4,44.3673461149,6.850379483
B1100,4007,-16,pure_quantity,difficult4,182.014475204,423.861526765,5,4,4,91.5661112779,37.392948439
B1100,4329,-8,mixed,normal95,251.186343625,386.76593055,5,4,3,16.753594571,4.040413075
B1100,4689,-16,pure_quantity,difficult4,182.014475204,455.499334558,5,5,5,84.1929909333,5.755140646
B1100,4711,-16,mixed,difficult4,302.134475204,552.327963649,5,5,3,29.631447778,29.046511555
B1100,4711,-8,mixed,difficult4,416.802409557,552.327963649,5,5,3,29.631447778,4.094445908
B1100,4723,-16,pure_quantity,extreme1,182.014475204,423.861526765,5,4,4,168.070694858,37.392948439
B1100,5152,-16,mixed,difficult4,160.308409272,423.861526765,6,4,4,79.4180631879,15.686882507
B1100,5212,-16,mixed,difficult4,154.458409272,423.861526765,6,4,4,79.8866068466,9.836882507
B1100,5265,-16,pure_quantity,extreme1,160.308409272,423.861526765,6,4,4,168.727629244,15.686882507
B1100,5334,-8,mixed,difficult4,251.186343625,386.76593055,5,4,3,66.7690306901,4.040413075
B1100,5444,-8,pure_quantity,difficult4,251.186343625,386.76593055,5,4,3,54.470515063,4.040413075
B1100,5592,-16,pure_quantity,extreme1,163.233409272,423.861526765,6,4,4,135.272051561,18.611882507
B1100,5685,-16,pure_quantity,difficult4,182.014475204,423.861526765,5,4,4,91.5661112779,37.392948439
B1100,6098,-16,mixed,difficult4,302.134475204,543.056863022,5,5,2,30.665857873,38.317612182
B1100,6098,-8,mixed,difficult4,416.802409557,543.056863022,5,5,2,30.665857873,13.365546535
B1100,6098,-4,mixed,difficult4,476.862409557,543.056863022,5,5,2,30.665857873,3.615546535
B1100,6257,-8,pure_quantity,difficult4,251.186343625,386.76593055,5,4,3,54.470515063,4.040413075
B1100,6260,-16,pure_quantity,difficult4,182.014475204,455.499334558,5,5,5,84.1929909333,5.755140646
B1100,6266,-16,mixed,difficult4,302.134475204,546.93138762,5,5,4,42.1319777437,34.443087584
B1100,6266,-8,mixed,difficult4,416.802409557,546.93138762,5,5,4,42.1319777437,9.491021937
B1100,6526,-8,pure_quantity,difficult4,251.186343625,386.76593055,5,4,3,54.470515063,4.040413075
B1100,6663,-16,mixed,difficult4,302.134475204,543.056863022,5,5,2,88.1847364306,38.317612182
B1100,7669,-16,mixed,difficult4,302.134475204,546.93138762,5,5,4,41.0614092413,34.443087584
B1100,7669,-8,mixed,difficult4,416.802409557,546.93138762,5,5,4,41.0614092413,9.491021937
B1100,7786,-16,mixed,difficult4,302.134475204,552.327963649,5,5,3,67.7390173926,29.046511555
B1100,7862,-16,mixed,difficult4,182.014475204,423.861526765,5,4,4,72.9173932171,37.392948439
B1100,8061,-8,mixed,difficult4,284.455840093,423.861526765,7,4,4,81.212206725,0.214313328
B1100,8332,-16,pure_quantity,extreme1,182.014475204,423.861526765,5,4,4,149.283117493,37.392948439
B1100,8384,-4,mixed,difficult4,324.402726707,386.76593055,4,4,3,31.5594161696,7.446796157
B1100,8440,-8,mixed,difficult4,302.134475204,423.861526765,4,4,4,42.2401159909,17.892948439
B1100,8440,-4,mixed,difficult4,360.901906248,423.861526765,4,4,4,42.2401159909,6.850379483
B1100,8716,-16,mixed,difficult4,302.134475204,546.93138762,5,5,4,42.5638992717,34.443087584
B1100,8716,-8,mixed,difficult4,416.802409557,546.93138762,5,5,4,42.5638992717,9.491021937
