a0,loc0,lfw0,stage,stage_index,distribution_type,state_a,state_loc,state_lfw,exact_probability
2,1,0,W1,1,joint,5,10,0,0
2,1,0,W1,1,joint,6,10,0,0
2,1,0,W1,1,joint,1,-2,1,0.00426
2,1,0,W1,1,joint,2,-2,1,0.02523
2,1,0,W1,1,joint,3,-2,1,0.00036
2,1,0,W1,1,joint,4,-2,1,0.00015
2,1,0,W1,1,joint,5,-2,1,0
2,1,0,W1,1,joint,6,-2,1,0
2,1,0,W1,1,joint,1,-1,1,0.01065
2,1,0,W1,1,joint,2,-1,1,0.063075
2,1,0,W1,1,joint,3,-1,1,0.0009
2,1,0,W1,1,joint,4,-1,1,0.000375
2,1,0,W1,1,joint,5,-1,1,0
2,1,0,W1,1,joint,6,-1,1,0
2,1,0,W1,1,joint,1,0,1,0.02343
2,1,0,W1,1,joint,2,0,1,0.138765
2,1,0,W1,1,joint,3,0,1,0.00198
2,1,0,W1,1,joint,4,0,1,0.000825
2,1,0,W1,1,joint,5,0,1,0
2,1,0,W1,1,joint,6,0,1,0
2,1,0,W1,1,joint,1,1,1,0.01917
2,1,0,W1,1,joint,2,1,1,0.113535
2,1,0,W1,1,joint,3,1,1,0.00162
2,1,0,W1,1,joint,4,1,1,0.000675
2,1,0,W1,1,joint,5,1,1,0
2,1,0,W1,1,joint,6,1,1,0
2,1,0,W1,1,joint,1,2,1,0.02982
2,1,0,W1,1,joint,2,2,1,0.17661
2,1,0,W1,1,joint,3,2,1,0.00252
2,1,0,W1,1,joint,4,2,1,0.00105
2,1,0,W1,1,joint,5,2,1,0
2,1,0,W1,1,joint,6,2,1,0
2,1,0,W1,1,joint,1,3,1,0.013845
2,1,0,W1,1,joint,2,3,1,0.0819975
2,1,0,W1,1,joint,3,3,1,0.00117
2,1,0,W1,1,joint,4,3,1,0.0004875
2,1,0,W1,1,joint,5,3,1,0
2,1,0,W1,1,joint,6,3,1,0
2,1,0,W1,1,joint,1,4,1,0.005325
2,1,0,W1,1,joint,2,4,1,0.0315375
2,1,0,W1,1,joint,3,4,1,0.00045
2,1,0,W1,1,joint,4,4,1,0.0001875
2,1,0,W1,1,joint,5,4,1,0
2,1,0,W1,1,joint,6,4,1,0
2,1,0,W1,1,joint,1,5,1,0
2,1,0,W1,1,joint,2,5,1,0
2,1,0,W1,1,joint,3,5,1,0
2,1,0,W1,1,joint,4,5,1,0
2,1,0,W1,1,joint,5,5,1,0
2,1,0,W1,1,joint,6,5,1,0
2,1,0,W1,1,joint,1,6,1,0
2,1,0,W1,1,joint,2,6,1,0
2,1,0,W1,1,joint,3,6,1,0
2,1,0,W1,1,joint,4,6,1,0
2,1,0,W1,1,joint,5,6,1,0
2,1,0,W1,1,joint,6,6,1,0
2,1,0,W1,1,joint,1,7,1,0
2,1,0,W1,1,joint,2,7,1,0
2,1,0,W1,1,joint,3,7,1,0
2,1,0,W1,1,joint,4,7,1,0
2,1,0,W1,1,joint,5,7,1,0
2,1,0,W1,1,joint,6,7,1,0
2,1,0,W1,1,joint,1,8,1,0
2,1,0,W1,1,joint,2,8,1,0
2,1,0,W1,1,joint,3,8,1,0
2,1,0,W1,1,joint,4,8,1,0
2,1,0,W1,1,joint,5,8,1,0
2,1,0,W1,1,joint,6,8,1,0
2,1,0,W1,1,joint,1,9,1,0
2,1,0,W1,1,joint,2,9,1,0
2,1,0,W1,1,joint,3,9,1,0
2,1,0,W1,1,joint,4,9,1,0
2,1,0,W1,1,joint,5,9,1,0
2,1,0,W1,1,joint,6,9,1,0
2,1,0,W1,1,joint,1,10,1,0
2,1,0,W1,1,joint,2,10,1,0
2,1,0,W1,1,joint,3,10,1,0
2,1,0,W1,1,joint,4,10,1,0
2,1,0,W1,1,joint,5,10,1,0
2,1,0,W1,1,joint,6,10,1,0
2,1,0,W1,1,joint,1,-2,2,0.0001136
2,1,0,W1,1,joint,2,-2,2,0.0006728
2,1,0,W1,1,joint,3,-2,2,9.6e-06
2,1,0,W1,1,joint,4,-2,2,4e-06
2,1,0,W1,1,joint,5,-2,2,0
2,1,0,W1,1,joint,6,-2,2,0
2,1,0,W1,1,joint,1,-1,2,0.000284
2,1,0,W1,1,joint,2,-1,2,0.001682
2,1,0,W1,1,joint,3,-1,2,2.4e-05
2,1,0,W1,1,joint,4,-1,2,1e-05
2,1,0,W1,1,joint,5,-1,2,0
2,1,0,W1,1,joint,6,-1,2,0
2,1,0,W1,1,joint,1,0,2,0.0006248
2,1,0,W1,1,joint,2,0,2,0.0037004
2,1,0,W1,1,joint,3,0,2,5.28e-05
2,1,0,W1,1,joint,4,0,2,2.2e-05
2,1,0,W1,1,joint,5,0,2,0
2,1,0,W1,1,joint,6,0,2,0
2,1,0,W1,1,joint,1,1,2,0.0005112
2,1,0,W1,1,joint,2,1,2,0.0030276
2,1,0,W1,1,joint,3,1,2,4.32e-05
2,1,0,W1,1,joint,4,1,2,1.8e-05
2,1,0,W1,1,joint,5,1,2,0
2,1,0,W1,1,joint,6,1,2,0
2,1,0,W1,1,joint,1,2,2,0.0007952
2,1,0,W1,1,joint,2,2,2,0.0047096
2,1,0,W1,1,joint,3,2,2,6.72e-05
2,1,0,W1,1,joint,4,2,2,2.8e-05
2,1,0,W1,1,joint,5,2,2,0
2,1,0,W1,1,joint,6,2,2,0
2,1,0,W1,1,joint,1,3,2,0.0003692
2,1,0,W1,1,joint,2,3,2,0.0021866
2,1,0,W1,1,joint,3,3,2,3.12e-05
2,1,0,W1,1,joint,4,3,2,1.3e-05
2,1,0,W1,1,joint,5,3,2,0
2,1,0,W1,1,joint,6,3,2,0
2,1,0,W1,1,joint,1,4,2,0.000142
2,1,0,W1,1,joint,2,4,2,0.000841
2,1,0,W1,1,joint,3,4,2,1.2e-05
2,1,0,W1,1,joint,4,4,2,5e-06
2,1,0,W1,1,joint,5,4,2,0
2,1,0,W1,1,joint,6,4,2,0
2,1,0,W1,1,joint,1,5,2,0
2,1,0,W1,1,joint,2,5,2,0
2,1,0,W1,1,joint,3,5,2,0
2,1,0,W1,1,joint,4,5,2,0
2,1,0,W1,1,joint,5,5,2,0
2,1,0,W1,1,joint,6,5,2,0
2,1,0,W1,1,joint,1,6,2,0
2,1,0,W1,1,joint,2,6,2,0
2,1,0,W1,1,joint,3,6,2,0
2,1,0,W1,1,joint,4,6,2,0
2,1,0,W1,1,joint,5,6,2,0
2,1,0,W1,1,joint,6,6,2,0
2,1,0,W1,1,joint,1,7,2,0
2,1,0,W1,1,joint,2,7,2,0
2,1,0,W1,1,joint,3,7,2,0
2,1,0,W1,1,joint,4,7,2,0
2,1,0,W1,1,joint,5,7,2,0
2,1,0,W1,1,joint,6,7,2,0
2,1,0,W1,1,joint,1,8,2,0
2,1,0,W1,1,joint,2,8,2,0
2,1,0,W1,1,joint,3,8,2,0
2,1,0,W1,1,joint,4,8,2,0
2,1,0,W1,1,joint,5,8,2,0
2,1,0,W1,1,joint,6,8,2,0
2,1,0,W1,1,joint,1,9,2,0
2,1,0,W1,1,joint,2,9,2,0
2,1,0,W1,1,joint,3,9,2,0
2,1,0,W1,1,joint,4,9,2,0
2,1,0,W1,1,joint,5,9,2,0
2,1,0,W1,1,joint,6,9,2,0
2,1,0,W1,1,joint,1,10,2,0
2,1,0,W1,1,joint,2,10,2,0
2,1,0,W1,1,joint,3,10,2,0
2,1,0,W1,1,joint,4,10,2,0
2,1,0,W1,1,joint,5,10,2,0
2,1,0,W1,1,joint,6,10,2,0
2,1,0,W1,1,joint,1,-2,3,0
2,1,0,W1,1,joint,2,-2,3,0
2,1,0,W1,1,joint,3,-2,3,0
2,1,0,W1,1,joint,4,-2,3,0
2,1,0,W1,1,joint,5,-2,3,0
2,1,0,W1,1,joint,6,-2,3,0
2,1,0,W1,1,joint,1,-1,3,0
2,1,0,W1,1,joint,2,-1,3,0
2,1,0,W1,1,joint,3,-1,3,0
2,1,0,W1,1,joint,4,-1,3,0
2,1,0,W1,1,joint,5,-1,3,0
2,1,0,W1,1,joint,6,-1,3,0
2,1,0,W1,1,joint,1,0,3,0
2,1,0,W1,1,joint,2,0,3,0
2,1,0,W1,1,joint,3,0,3,0
2,1,0,W1,1,joint,4,0,3,0
2,1,0,W1,1,joint,5,0,3,0
2,1,0,W1,1,joint,6,0,3,0
2,1,0,W1,1,joint,1,1,3,0
2,1,0,W1,1,joint,2,1,3,0
2,1,0,W1,1,joint,3,1,3,0
2,1,0,W1,1,joint,4,1,3,0
2,1,0,W1,1,joint,5,1,3,0
2,1,0,W1,1,joint,6,1,3,0
2,1,0,W1,1,joint,1,2,3,0
2,1,0,W1,1,joint,2,2,3,0
2,1,0,W1,1,joint,3,2,3,0
2,1,0,W1,1,joint,4,2,3,0
2,1,0,W1,1,joint,5,2,3,0
2,1,0,W1,1,joint,6,2,3,0
2,1,0,W1,1,joint,1,3,3,0
2,1,0,W1,1,joint,2,3,3,0
2,1,0,W1,1,joint,3,3,3,0
2,1,0,W1,1,joint,4,3,3,0
2,1,0,W1,1,joint,5,3,3,0
2,1,0,W1,1,joint,6,3,3,0
2,1,0,W1,1,joint,1,4,3,0
2,1,0,W1,1,joint,2,4,3,0
2,1,0,W1,1,joint,3,4,3,0
2,1,0,W1,1,joint,4,4,3,0
2,1,0,W1,1,joint,5,4,3,0
2,1,0,W1,1,joint,6,4,3,0
2,1,0,W1,1,joint,1,5,3,0
2,1,0,W1,1,joint,2,5,3,0
2,1,0,W1,1,joint,3,5,3,0
2,1,0,W1,1,joint,4,5,3,0
2,1,0,W1,1,joint,5,5,3,0
2,1,0,W1,1,joint,6,5,3,0
2,1,0,W1,1,joint,1,6,3,0
2,1,0,W1,1,joint,2,6,3,0
2,1,0,W1,1,joint,3,6,3,0
2,1,0,W1,1,joint,4,6,3,0
2,1,0,W1,1,joint,5,6,3,0
2,1,0,W1,1,joint,6,6,3,0
2,1,0,W1,1,joint,1,7,3,0
2,1,0,W1,1,joint,2,7,3,0
2,1,0,W1,1,joint,3,7,3,0
2,1,0,W1,1,joint,4,7,3,0
2,1,0,W1,1,joint,5,7,3,0
2,1,0,W1,1,joint,6,7,3,0
2,1,0,W1,1,joint,1,8,3,0
2,1,0,W1,1,joint,2,8,3,0
2,1,0,W1,1,joint,3,8,3,0
2,1,0,W1,1,joint,4,8,3,0
2,1,0,W1,1,joint,5,8,3,0
2,1,0,W1,1,joint,6,8,3,0
2,1,0,W1,1,joint,1,9,3,0
2,1,0,W1,1,joint,2,9,3,0
2,1,0,W1,1,joint,3,9,3,0
2,1,0,W1,1,joint,4,9,3,0
2,1,0,W1,1,joint,5,9,3,0
2,1,0,W1,1,joint,6,9,3,0
2,1,0,W1,1,joint,1,10,3,0
2,1,0,W1,1,joint,2,10,3,0
2,1,0,W1,1,joint,3,10,3,0
2,1,0,W1,1,joint,4,10,3,0
2,1,0,W1,1,joint,5,10,3,0
2,1,0,W1,1,joint,6,10,3,0
2,1,0,W2,2,intensity,1,NaN,NaN,0.261662
2,1,0,W2,2,intensity,2,NaN,NaN,0.710781
2,1,0,W2,2,intensity,3,NaN,NaN,0.0187386666666667
2,1,0,W2,2,intensity,4,NaN,NaN,0.00845333333333333
2,1,0,W2,2,intensity,5,NaN,NaN,0.00034
2,1,0,W2,2,intensity,6,NaN,NaN,2.5e-05
2,1,0,W2,2,loc,NaN,-2,NaN,0.0669480620155039
2,1,0,W2,2,loc,NaN,-1,NaN,0.118046899224806
2,1,0,W2,2,loc,NaN,0,NaN,0.154733139534884
2,1,0,W2,2,loc,NaN,1,NaN,0.191407945736434
2,1,0,W2,2,loc,NaN,2,NaN,0.170005620155039
2,1,0,W2,2,loc,NaN,3,NaN,0.147658333333333
2,1,0,W2,2,loc,NaN,4,NaN,0.0908
2,1,0,W2,2,loc,NaN,5,NaN,0.0449
2,1,0,W2,2,loc,NaN,6,NaN,0.013
2,1,0,W2,2,loc,NaN,7,NaN,0.0025
2,1,0,W2,2,loc,NaN,8,NaN,0
2,1,0,W2,2,loc,NaN,9,NaN,0
2,1,0,W2,2,loc,NaN,10,NaN,0
2,1,0,W2,2,lfw,NaN,NaN,0,0.0904
2,1,0,W2,2,lfw,NaN,NaN,1,0.3085
2,1,0,W2,2,lfw,NaN,NaN,2,0.5711
2,1,0,W2,2,lfw,NaN,NaN,3,0.03
2,1,0,W2,2,joint,1,-2,0,0.00158360584780031
2,1,0,W2,2,joint,2,-2,0,0.00430172110625675
2,1,0,W2,2,joint,3,-2,0,0.000113408374595142
2,1,0,W2,2,joint,4,-2,0,5.11604592950905e-05
2,1,0,W2,2,joint,5,-2,0,2.05771563410853e-06
2,1,0,W2,2,joint,6,-2,0,1.51302620155039e-07
2,1,0,W2,2,joint,1,-1,0,0.0027923102521445
2,1,0,W2,2,joint,2,-1,0,0.00758505657424279
2,1,0,W2,2,joint,3,-1,0,0.000199968551202894
2,1,0,W2,2,joint,4,-1,0,9.02092368454781e-05
2,1,0,W2,2,joint,5,-1,0,3.62828949457365e-06
2,1,0,W2,2,joint,6,-1,0,2.66785992248062e-07
2,1,0,W2,2,joint,1,0,0,0.0036600955612307
2,1,0,W2,2,joint,2,0,0,0.00994231635891767
2,1,0,W2,2,joint,3,0,0,0.000262114142252403
2,1,0,W2,2,joint,4,0,0,0.00011824417688062
2,1,0,W2,2,joint,5,0,0,4.75587777674419e-06
2,1,0,W2,2,joint,6,0,0,3.49696895348837e-07
2,1,0,W2,2,joint,1,1,0,0.00452761040511473
2,1,0,W2,2,joint,2,1,0,0.0122988414494954
2,1,0,W2,2,joint,3,1,0,0.000324240364202584
2,1,0,W2,2,joint,4,1,0,0.000146270379183463
2,1,0,W2,2,joint,5,1,0,5.88311462015504e-06
2,1,0,W2,2,joint,6,1,0,4.32581957364341e-07
2,1,0,W2,2,joint,1,2,0,0.0040213545565231
2,1,0,W2,2,joint,2,2,0,0.0109236435288274
2,1,0,W2,2,joint,3,2,0,0.000287985349738088
2,1,0,W2,2,joint,4,2,0,0.000129915121484238
2,1,0,W2,2,joint,5,2,0,5.22529274108527e-06
2,1,0,W2,2,joint,6,2,0,3.84212701550388e-07
2,1,0,W2,2,joint,1,3,0,0.00349274636342667
2,1,0,W2,2,joint,2,3,0,0.00948772749938
2,1,0,W2,2,joint,3,3,0,0.000250129594115556
2,1,0,W2,2,joint,4,3,0,0.000112837742044444
2,1,0,W2,2,joint,5,3,0,4.53842653333333e-06
2,1,0,W2,2,joint,6,3,0,3.33707833333333e-07
2,1,0,W2,2,joint,1,4,0,0.00214780542784
2,1,0,W2,2,joint,2,4,0,0.00583431789792
2,1,0,W2,2,joint,3,4,0,0.000153812972373333
2,1,0,W2,2,joint,4,4,0,6.93876650666667e-05
2,1,0,W2,2,joint,5,4,0,2.7908288e-06
2,1,0,W2,2,joint,6,4,0,2.05208e-07
2,1,0,W2,2,joint,1,5,0,0.00106207559152
2,1,0,W2,2,joint,2,5,0,0.00288503164776
2,1,0,W2,2,joint,3,5,0,7.60594984533333e-05
2,1,0,W2,2,joint,4,5,0,3.43117418666667e-05
2,1,0,W2,2,joint,5,5,0,1.3800464e-06
2,1,0,W2,2,joint,6,5,0,1.01474e-07
2,1,0,W2,2,joint,1,6,0,0.0003075051824
2,1,0,W2,2,joint,2,6,0,0.0008353098312
2,1,0,W2,2,joint,3,6,0,2.20216810666667e-05
2,1,0,W2,2,joint,4,6,0,9.93435733333333e-06
2,1,0,W2,2,joint,5,6,0,3.99568e-07
2,1,0,W2,2,joint,6,6,0,2.938e-08
2,1,0,W2,2,joint,1,7,0,5.9135612e-05
2,1,0,W2,2,joint,2,7,0,0.000160636506
2,1,0,W2,2,joint,3,7,0,4.23493866666667e-06
2,1,0,W2,2,joint,4,7,0,1.91045333333333e-06
2,1,0,W2,2,joint,5,7,0,7.684e-08
2,1,0,W2,2,joint,6,7,0,5.65e-09
2,1,0,W2,2,joint,1,8,0,0
2,1,0,W2,2,joint,2,8,0,0
2,1,0,W2,2,joint,3,8,0,0
2,1,0,W2,2,joint,4,8,0,0
2,1,0,W2,2,joint,5,8,0,0
2,1,0,W2,2,joint,6,8,0,0
2,1,0,W2,2,joint,1,9,0,0
2,1,0,W2,2,joint,2,9,0,0
2,1,0,W2,2,joint,3,9,0,0
2,1,0,W2,2,joint,4,9,0,0
2,1,0,W2,2,joint,5,9,0,0
2,1,0,W2,2,joint,6,9,0,0
2,1,0,W2,2,joint,1,10,0,0
2,1,0,W2,2,joint,2,10,0,0
2,1,0,W2,2,joint,3,10,0,0
2,1,0,W2,2,joint,4,10,0,0
2,1,0,W2,2,joint,5,10,0,0
2,1,0,W2,2,joint,6,10,0,0
2,1,0,W2,2,joint,1,-2,1,0.00540423013325659
2,1,0,W2,2,joint,2,-2,1,0.0146800991292058
2,1,0,W2,2,joint,3,-2,1,0.000387018623480104
2,1,0,W2,2,joint,4,-2,1,0.000174590726687339
2,1,0,W2,2,joint,5,-2,1,7.02218222480621e-06
2,1,0,W2,2,joint,6,-2,1,5.16336928294574e-07
2,1,0,W2,2,joint,1,-1,1,0.00952906761932055
2,1,0,W2,2,joint,2,-1,1,0.0258848446145343
2,1,0,W2,2,joint,3,-1,1,0.000682414801394832
2,1,0,W2,2,joint,4,-1,1,0.000307848999633075
2,1,0,W2,2,joint,5,-1,1,1.23819392596899e-05
2,1,0,W2,2,joint,6,-1,1,9.10436710271318e-07
2,1,0,W2,2,joint,1,0,1,0.0124904809805273
2,1,0,W2,2,joint,2,0,1,0.0339292543885631
2,1,0,W2,2,joint,3,0,1,0.000894493505363566
2,1,0,W2,2,joint,4,0,1,0.000403521333713178
2,1,0,W2,2,joint,5,0,1,1.6229959005814e-05
2,1,0,W2,2,joint,6,0,1,1.19337933866279e-06
2,1,0,W2,2,joint,1,1,1,0.015450971349313
2,1,0,W2,2,joint,2,1,1,0.0419711569377137
2,1,0,W2,2,joint,3,1,1,0.00110650611013824
2,1,0,W2,2,joint,4,1,1,0.000499163849315246
2,1,0,W2,2,joint,5,1,1,2.00767794282946e-05
2,1,0,W2,2,joint,6,1,1,1.47623378149225e-06
2,1,0,W2,2,joint,1,2,1,0.0137233172642409
2,1,0,W2,2,joint,2,2,1,0.0372781419097707
2,1,0,W2,2,joint,3,2,1,0.000982781862767701
2,1,0,W2,2,joint,4,2,1,0.000443349723206719
2,1,0,W2,2,joint,5,2,1,1.7831889498062e-05
2,1,0,W2,2,joint,6,2,1,1.31116834544574e-06
2,1,0,W2,2,joint,1,3,1,0.0119193833309417
2,1,0,W2,2,joint,2,3,1,0.0323779196190125
2,1,0,W2,2,joint,3,3,1,0.000853594909122222
2,1,0,W2,2,joint,4,3,1,0.000385071276777778
2,1,0,W2,2,joint,5,3,1,1.54878825833333e-05
2,1,0,W2,2,joint,6,3,1,1.13881489583333e-06
2,1,0,W2,2,joint,1,4,1,0.0073296236116
2,1,0,W2,2,joint,2,4,1,0.0199102552158
2,1,0,W2,2,joint,3,4,1,0.000524903782933333
2,1,0,W2,2,joint,4,4,1,0.000236793082666667
2,1,0,W2,2,joint,5,4,1,9.524012e-06
2,1,0,W2,2,joint,6,4,1,7.00295e-07
2,1,0,W2,2,joint,1,5,1,0.0036244504423
2,1,0,W2,2,joint,2,5,1,0.00984548963865
2,1,0,W2,2,joint,3,5,1,0.000259561452133333
2,1,0,W2,2,joint,4,5,1,0.000117092614666667
2,1,0,W2,2,joint,5,5,1,4.709561e-06
2,1,0,W2,2,joint,6,5,1,3.4629125e-07
2,1,0,W2,2,joint,1,6,1,0.001049395451
2,1,0,W2,2,joint,2,6,1,0.0028505872005
2,1,0,W2,2,joint,3,6,1,7.51514226666667e-05
2,1,0,W2,2,joint,4,6,1,3.39020933333333e-05
2,1,0,W2,2,joint,5,6,1,1.36357e-06
2,1,0,W2,2,joint,6,6,1,1.002625e-07
2,1,0,W2,2,joint,1,7,1,0.0002018068175
2,1,0,W2,2,joint,2,7,1,0.00054818984625
2,1,0,W2,2,joint,3,7,1,1.44521966666667e-05
2,1,0,W2,2,joint,4,7,1,6.51963333333333e-06
2,1,0,W2,2,joint,5,7,1,2.62225e-07
2,1,0,W2,2,joint,6,7,1,1.928125e-08
2,1,0,W2,2,joint,1,8,1,0
2,1,0,W2,2,joint,2,8,1,0
2,1,0,W2,2,joint,3,8,1,0
2,1,0,W2,2,joint,4,8,1,0
2,1,0,W2,2,joint,5,8,1,0
2,1,0,W2,2,joint,6,8,1,0
2,1,0,W2,2,joint,1,9,1,0
2,1,0,W2,2,joint,2,9,1,0
2,1,0,W2,2,joint,3,9,1,0
2,1,0,W2,2,joint,4,9,1,0
2,1,0,W2,2,joint,5,9,1,0
2,1,0,W2,2,joint,6,9,1,0
2,1,0,W2,2,joint,1,10,1,0
2,1,0,W2,2,joint,2,10,1,0
2,1,0,W2,2,joint,3,10,1,0
2,1,0,W2,2,joint,4,10,1,0
2,1,0,W2,2,joint,5,10,1,0
2,1,0,W2,2,joint,6,10,1,0
2,1,0,W2,2,joint,1,-2,2,0.0100043949079509
2,1,0,W2,2,joint,2,-2,2,0.0271760279179561
2,1,0,W2,2,joint,3,-2,2,0.000716454897469975
2,1,0,W2,2,joint,4,-2,2,0.000323205069728166
2,1,0,W2,2,joint,5,-2,2,1.29995729937985e-05
2,1,0,W2,2,joint,6,-2,2,9.55850955426358e-07
2,1,0,W2,2,joint,1,-1,2,0.0176403582411474
2,1,0,W2,2,joint,2,-1,2,0.0479184270967927
2,1,0,W2,2,joint,3,-1,2,0.00126329689814129
2,1,0,W2,2,joint,4,-1,2,0.000569894857991732
2,1,0,W2,2,joint,5,-1,2,2.29216386100775e-05
2,1,0,W2,2,joint,6,-1,2,1.68541460368217e-06
2,1,0,W2,2,joint,1,0,2,0.0231225727325094
2,1,0,W2,2,joint,2,0,2,0.0628103636347111
2,1,0,W2,2,joint,3,0,2,0.00165590029469411
2,1,0,W2,2,joint,4,0,2,0.000747004971421705
2,1,0,W2,2,joint,5,0,2,3.00451526360465e-05
2,1,0,W2,2,joint,6,0,2,2.2092023997093e-06
2,1,0,W2,2,joint,1,1,2,0.0286030785659405
2,1,0,W2,2,joint,2,1,2,0.0776976587589247
2,1,0,W2,2,joint,3,1,2,0.00204838132739044
2,1,0,W2,2,joint,4,1,2,0.000924059884421189
2,1,0,W2,2,joint,5,1,2,3.71664464554264e-05
2,1,0,W2,2,joint,6,1,2,2.73282694525194e-06
2,1,0,W2,2,joint,1,2,2,0.0254048184428135
2,1,0,W2,2,joint,2,2,2,0.069009876319838
2,1,0,W2,2,joint,3,2,2,0.00181934107561308
2,1,0,W2,2,joint,4,2,2,0.000820735905748321
2,1,0,W2,2,joint,5,2,2,3.30106712879845e-05
2,1,0,W2,2,joint,6,2,2,2.42725524176357e-06
2,1,0,W2,2,joint,1,3,2,0.0220653478777983
2,1,0,W2,2,joint,2,3,2,0.0599385085718575
2,1,0,W2,2,joint,3,3,2,0.00158018817698444
