time_h,event,station_total_kg,onboard_total_kg,consumed_H2_kg,original_total_kg,mass_error_kg,case
0.0,INSTANT_COMPLETE,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-4
0.5,INTERVAL_END,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-4
0.5,INSTANT_COMPLETE,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-4
1.0,INTERVAL_END,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-4
1.0,INSTANT_COMPLETE,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-4
1.4,INTERVAL_END,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-4
1.4,INSTANT_COMPLETE,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-4
1.5,INTERVAL_END,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-4
1.5,INSTANT_COMPLETE,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-4
1.6166666666666665,INTERVAL_END,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-4
1.6166666666666665,INSTANT_COMPLETE,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-4
1.7666666666666664,INTERVAL_END,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-4
1.7666666666666664,INSTANT_COMPLETE,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-4
1.9166666666666663,INTERVAL_END,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-4
1.9166666666666663,INSTANT_COMPLETE,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-4
2.0,INTERVAL_END,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-4
2.0,FINAL,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-4
0.0,INITIAL_OPTION_A,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-5-unreachable
0.0,INSTANT_COMPLETE,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-5-unreachable
0.5,INTERVAL_END,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-5-unreachable
0.5,INSTANT_COMPLETE,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-5-unreachable
1.0,INTERVAL_END,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-5-unreachable
1.0,INSTANT_COMPLETE,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-5-unreachable
1.4,INTERVAL_END,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-5-unreachable
1.4,INSTANT_COMPLETE,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-5-unreachable
1.5,INTERVAL_END,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-5-unreachable
1.5,INSTANT_COMPLETE,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-5-unreachable
1.6166666666666665,INTERVAL_END,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-5-unreachable
1.6166666666666665,INSTANT_COMPLETE,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-5-unreachable
1.9,INTERVAL_END,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-5-unreachable
1.9,FINAL,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-5-unreachable
0.0,INITIAL_OPTION_A,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-5-reroute
0.0,INSTANT_COMPLETE,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-5-reroute
0.5,INTERVAL_END,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-5-reroute
0.5,INSTANT_COMPLETE,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-5-reroute
1.0,INTERVAL_END,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-5-reroute
1.0,INSTANT_COMPLETE,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-5-reroute
1.4,INTERVAL_END,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-5-reroute
1.4,INSTANT_COMPLETE,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-5-reroute
1.5,INTERVAL_END,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-5-reroute
1.5,INSTANT_COMPLETE,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-5-reroute
1.6166666666666665,INTERVAL_END,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-5-reroute
1.6166666666666665,INSTANT_COMPLETE,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-5-reroute
1.7666666666666664,INTERVAL_END,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-5-reroute
1.7666666666666664,INSTANT_COMPLETE,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-5-reroute
1.9166666666666663,INTERVAL_END,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-5-reroute
1.9166666666666663,INSTANT_COMPLETE,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-5-reroute
2.0,INTERVAL_END,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-5-reroute
2.0,FINAL,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-5-reroute
0.0,INITIAL_OPTION_A,195.9312153119796,28.0,0.0,223.9312153119796,0.0,CASE-6
