unique_path_id,support_out_path_rank,consequence_replica_rank,consequence_replica_id,path_probability,total_demand_kg,operating_loss,shortage_kg,service_satisfaction_rate,unreachable_demand_kg,single_site_demand_kg,max_site_capacity_shadow_price,road_interruption_flag,irreplaceable_site_flag,shared_inventory_competition_flag,demand_pressure_flag,failure_mechanism
9,7,2,SO-P0007-R02,1.0368e-13,387.856967514934,113323.970349041,54.5509096364182,0.859353023909986,54.5509096364182,96.8278646046423,-0.0,True,True,False,False,ROAD_NETWORK_INTERRUPTION
9,7,3,SO-P0007-R03,1.0368e-13,520.688432479611,428888.929448678,213.021302130213,0.59088528025144,213.021302130213,192.291956468374,4.04628099088136,True,True,True,False,ROAD_NETWORK_INTERRUPTION
9,7,4,SO-P0007-R04,1.0368e-13,405.313258598587,336247.343689235,167.198538035622,0.587483176312248,167.198538035622,76.3712734909854,-0.0,True,True,False,False,ROAD_NETWORK_INTERRUPTION
9,7,5,SO-P0007-R05,1.0368e-13,454.954586367728,127985.105659506,61.3697733409705,0.865107913669065,61.3697733409705,122.466792133759,-0.0,True,True,False,False,ROAD_NETWORK_INTERRUPTION
10,8,1,SO-P0008-R01,2.88e-14,468.865068325014,163677.746987276,80.1898371655347,0.828970331588133,80.1898371655347,230.204838665685,-0.0,True,True,False,False,ROAD_NETWORK_INTERRUPTION
10,8,2,SO-P0008-R02,2.88e-14,607.96988789788,321208.53274309,158.470392493795,0.739344997756841,158.470392493795,246.842866104792,-0.0,True,True,False,False,ROAD_NETWORK_INTERRUPTION
10,8,3,SO-P0008-R03,2.88e-14,455.500095464092,460506.831278647,228.568311376592,0.498203592814371,228.568311376592,176.744947221995,-0.0,True,True,False,False,ROAD_NETWORK_INTERRUPTION
10,8,4,SO-P0008-R04,2.88e-14,521.77945067234,339030.933123731,167.744047131986,0.678515420805018,167.744047131986,141.559610506505,-0.0,True,True,False,False,ROAD_NETWORK_INTERRUPTION
10,8,5,SO-P0008-R05,2.88e-14,582.876469465128,342625.40888216,169.653328969261,0.708937763219466,169.653328969261,130.103919482857,-0.0,True,True,False,False,ROAD_NETWORK_INTERRUPTION
11,9,1,SO-P0009-R01,2.7e-14,285.301257398467,148655.157965363,73.3709734609825,0.74282982791587,73.3709734609825,137.468292283774,-0.0,True,True,False,False,ROAD_NETWORK_INTERRUPTION
11,9,2,SO-P0009-R02,2.7e-14,452.227040885907,145324.471738389,71.4616916237078,0.841978287092883,71.4616916237078,137.741046831956,-0.0,True,True,False,False,ROAD_NETWORK_INTERRUPTION
11,9,3,SO-P0009-R03,2.7e-14,302.757548482121,227381.819106941,112.920382947386,0.627027027027027,112.920382947386,54.005400540054,-0.0,True,True,False,False,ROAD_NETWORK_INTERRUPTION
11,9,4,SO-P0009-R04,2.7e-14,449.772249952268,178702.407319199,87.8269645146333,0.804730139478472,87.8269645146333,135.559010446499,-0.0,True,True,False,False,ROAD_NETWORK_INTERRUPTION
11,9,5,SO-P0009-R05,2.7e-14,376.674031039468,167544.153357478,82.3718735509915,0.781317885590152,82.3718735509915,140.741346861959,-0.0,True,True,False,False,ROAD_NETWORK_INTERRUPTION
12,10,1,SO-P0010-R01,1.44e-15,380.219840165835,161242.171688231,79.0988189728064,0.791965566714491,79.0988189728064,32.7305457818509,-0.0,True,True,False,False,ROAD_NETWORK_INTERRUPTION
12,10,2,SO-P0010-R02,1.44e-15,394.948585767668,36532.6900712293,16.3652728909255,0.958563535911602,16.3652728909255,45.8227640945913,-0.0,True,True,False,False,ROAD_NETWORK_INTERRUPTION
12,10,3,SO-P0010-R03,1.44e-15,381.310858358563,138847.320710257,67.6431279491586,0.822603719599428,67.6431279491586,100.646428279192,16.0004399939794,True,True,True,False,ROAD_NETWORK_INTERRUPTION
