unique_path_id,support_out_path_rank,consequence_replica_rank,consequence_replica_id,path_probability,STATE19_SAA_operating_loss,STATE19_DRO_operating_loss,SAA_minus_DRO_loss,STATE19_SAA_shortage_kg,STATE19_DRO_shortage_kg,SAA_minus_DRO_shortage_kg,DRO_improves_loss,DRO_improves_shortage,verified_low_probability_high_harm_replica
880,677,3,SO-P0677-R03,1.3824e-13,459919.446059034,459870.777747037,48.66831199696753,227.477293183864,227.477293183864,0.0,True,False,True
880,677,4,SO-P0677-R04,1.3824e-13,439786.105322003,430632.452295673,9153.653026329994,218.749147642037,214.11247221439,4.636675427646992,True,True,True
880,677,5,SO-P0677-R05,1.3824e-13,578076.41763952,578076.41763952,0.0,288.30155742847,288.30155742847,0.0,False,False,True
881,678,1,SO-P0678-R01,3.84e-14,530853.029677475,530853.029677475,0.0,263.4808935439,263.4808935439,0.0,False,False,True
881,678,2,SO-P0678-R02,3.84e-14,509042.357721989,508994.956266893,47.40145509596914,252.025202520252,252.025202520252,0.0,True,False,True
881,678,3,SO-P0678-R03,3.84e-14,567724.797223526,567724.797223526,0.0,283.11922101301,283.11922101301,0.0,False,False,True
881,678,4,SO-P0678-R04,3.84e-14,481072.048474221,481023.652408289,48.396065932000056,238.932984207512,238.932984207512,0.0,True,False,True
881,678,5,SO-P0678-R05,3.84e-14,489417.466673422,489414.244900141,3.2217732809949666,243.024302430243,243.024302430243,0.0,True,False,True
882,679,1,SO-P0679-R01,3.6e-14,830690.338553113,830690.338553113,0.0,414.85966778496,414.85966778496,0.0,False,False,True
882,679,2,SO-P0679-R02,3.6e-14,654852.422785594,654848.953805741,3.468979852972552,326.487194173963,326.487194173963,0.0,True,False,True
882,679,3,SO-P0679-R03,3.6e-14,311978.332007362,311976.735503504,1.5965038579888642,153.833565174699,153.833565174699,0.0,True,False,True
882,679,4,SO-P0679-R04,3.6e-14,590908.907348012,590908.907348012,0.0,294.84766658484,294.84766658484,0.0,False,False,True
882,679,5,SO-P0679-R05,3.6e-14,501930.824764088,501929.195704391,1.6290596970357,249.570411586613,249.570411586613,0.0,True,False,True
883,680,1,SO-P0680-R01,1.92e-15,522683.848353867,522683.848353867,0.0,260.207838965715,260.207838965715,0.0,False,False,True
883,680,2,SO-P0680-R02,1.92e-15,794431.441004649,794431.441004649,0.0,396.857867604942,396.857867604942,0.0,False,False,True
883,680,3,SO-P0680-R03,1.92e-15,519289.568017899,519289.568017899,0.0,258.571311676622,258.571311676622,0.0,False,False,True
883,680,4,SO-P0680-R04,1.92e-15,541741.157413245,535858.705160958,5882.452252286952,268.117720862996,265.117420832992,3.0003000300039844,True,True,True
883,680,5,SO-P0680-R05,1.92e-15,556212.089636269,556212.089636269,0.0,276.027602760276,276.027602760276,0.0,False,False,True
884,681,1,SO-P0681-R01,2.4e-15,649762.478643286,649762.478643286,0.0,324.305157788506,324.305157788506,0.0,False,False,True
884,681,2,SO-P0681-R02,2.4e-15,685812.265727509,685812.265727509,0.0,342.306957968524,342.306957968524,0.0,False,False,True
884,681,3,SO-P0681-R03,2.4e-15,767599.442503319,767599.442503319,0.0,383.220140195838,383.220140195838,0.0,False,False,True
884,681,4,SO-P0681-R04,2.4e-15,678444.62215409,678444.62215409,0.0,338.761148842157,338.761148842157,0.0,False,False,True
884,681,5,SO-P0681-R05,2.4e-15,960641.518697324,960641.518697324,0.0,480.320759348662,480.320759348662,0.0,False,False,True
885,682,1,SO-P0682-R01,4.224e-15,610424.324209232,610424.324209232,0.0,304.394075771214,304.394075771214,0.0,False,False,True
885,682,2,SO-P0682-R02,4.224e-15,418632.012800947,413247.248299361,5384.764501586033,207.293456618389,204.565911136568,2.7275454818210108,True,True,True
885,682,3,SO-P0682-R03,4.224e-15,623691.75214764,623691.75214764,0.0,310.940184927584,310.940184927584,0.0,False,False,True
885,682,4,SO-P0682-R04,4.224e-15,494972.105615338,494972.105615338,0.0,246.312358508578,246.312358508578,0.0,False,False,True
